Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-05-16,119.3,124.9,118.45,124.5,-1,-1,0,0
2022-05-17,126.5,130.9,125.25,129.4,-1,-1,0,0
2022-05-18,129.3,131.0,127.7,130.7,-1,-1,0,0
2022-05-19,128.1,134.25,127.3,133.35,-1,-1,0,0
2022-05-20,135.5,137.95,132.35,133.55,-1,-1,0,0
2022-05-23,136.0,137.6,134.3,135.7,-1,-1,0,0
2022-05-24,134.65,137.45,132.85,135.15,-1,-1,0,0
2022-05-25,137.0,137.8,134.2,137.0,-1,-1,0,0
2022-05-26,136.5,142.6,135.5,141.65,-1,-1,0,0
2022-05-27,142.6,145.0,141.45,144.75,-1,-1,0,0
2022-05-30,146.2,147.1,143.5,146.55,-1,-1,0,0
2022-05-31,147.0,148.2,144.35,145.55,-1,-1,0,0
2022-06-01,145.0,145.05,140.4,141.75,-1,-1,0,0
2022-06-02,142.0,146.9,142.0,146.9,-1,-1,0,0
2022-06-03,149.0,149.35,144.3,145.55,-1,-1,0,0
2022-06-06,146.0,148.9,144.65,147.6,-1,-1,0,0
2022-06-07,144.55,149.7,144.2,149.7,-1,-1,0,0
2022-06-08,148.55,149.0,144.6,146.7,-1,-1,0,0
2022-06-09,147.05,149.4,144.45,146.65,-1,-1,0,0
2022-06-10,145.8,146.0,140.1,140.1,-1,-1,0,0
2022-06-13,137.0,139.0,133.8,136.8,-1,-1,0,0
2022-06-14,138.65,139.75,135.45,137.55,-1,-1,0,0
2022-06-15,138.0,140.45,134.85,139.5,-1,-1,0,0
2022-06-17,134.0,136.1,130.8,130.8,-1,-1,0,0
2022-06-20,132.0,132.0,124.3,124.35,-1,-1,0,0
2022-06-21,125.8,131.35,125.8,129.5,-1,-1,0,0
2022-06-22,127.0,127.6,119.6,120.1,-1,-1,0,0
2022-06-23,120.0,120.1,113.0,114.3,-1,-1,0,0
2022-06-24,115.0,117.9,114.0,117.3,-1,-1,0,0
2022-06-27,119.2,123.6,118.95,122.95,-1,-1,0,0
2022-06-28,125.1,129.05,124.45,125.75,-1,-1,0,0
2022-06-29,122.6,126.0,120.0,124.5,-1,-1,0,0
2022-06-30,123.0,124.1,117.65,118.9,-1,-1,0,0
2022-07-01,117.3,118.35,113.6,114.2,-1,-1,0,0
2022-07-04,115.9,117.65,112.9,116.75,-1,-1,0,0
2022-07-05,116.9,117.0,103.0,103.0,-1,-1,0,0
2022-07-06,100.6,104.2,96.1,100.75,-1,-1,0,0
2022-07-07,102.9,112.0,102.7,111.8,-1,-1,0,0
2022-07-08,111.6,112.1,106.7,111.65,-1,-1,0,0
2022-07-11,107.0,108.55,104.65,106.75,-1,-1,0,0
2022-07-12,105.9,106.15,101.85,103.75,-1,-1,0,0
2022-07-13,104.3,105.35,100.6,101.75,-1,-1,0,0
2022-07-14,101.05,103.7,96.9,98.1,-1,-1,0,0
2022-07-15,97.5,99.1,96.4,97.8,-1,-1,0,0
2022-07-18,101.55,104.05,101.1,103.15,-1,-1,0,0
2022-07-19,101.0,104.65,100.6,104.5,-1,-1,0,0
2022-07-20,106.15,107.6,105.0,107.6,-1,-1,0,0
2022-07-21,107.4,107.6,103.5,104.8,-1,-1,0,0
2022-07-22,105.95,107.5,105.2,107.5,-1,-1,0,0
2022-07-25,107.0,107.0,102.3,103.0,-1,-1,0,0
2022-07-26,105.25,107.8,103.25,104.1,-1,-1,0,0
2022-07-27,104.75,105.15,99.48,101.55,-1,-1,0,0
2022-07-28,104.8,109.7,104.4,109.05,-1,-1,0,0
2022-07-29,110.2,115.5,110.15,115.45,-1,-1,0,0
2022-08-01,115.45,115.9,112.65,115.45,-1,-1,0,0
2022-08-02,113.45,114.0,109.3,110.15,-1,-1,0,0
2022-08-03,110.0,110.95,107.65,109.75,-1,-1,0,0
2022-08-04,110.0,111.75,108.35,109.5,-1,-1,0,0
2022-08-05,111.5,111.9,106.25,109.0,-1,-1,0,0
2022-08-08,110.15,115.0,109.6,115.0,-1,-1,0,0
2022-08-09,114.75,114.9,112.3,113.45,-1,-1,0,0
2022-08-10,112.0,114.7,109.3,113.35,-1,-1,0,0
2022-08-11,114.5,115.9,113.05,115.9,-1,-1,0,0
2022-08-12,115.3,115.75,111.95,113.55,-1,-1,0,0
2022-08-16,113.25,115.15,112.0,112.8,-1,-1,0,0
2022-08-17,113.0,113.05,108.4,108.75,-1,-1,0,0
2022-08-18,107.0,108.6,101.0,106.2,-1,-1,0,0
2022-08-19,105.0,105.65,101.7,101.7,-1,-1,0,0
2022-08-22,101.6,102.4,99.1,102.0,-1,-1,0,0
2022-08-23,102.0,105.3,101.1,104.2,-1,-1,0,0
2022-08-24,103.45,103.45,99.8,100.8,-1,-1,0,0
2022-08-25,101.95,103.5,99.6,102.0,-1,-1,0,0
2022-08-26,102.8,104.55,101.35,102.95,-1,-1,0,0
2022-08-29,99.9,99.9,95.3,96.24,-1,-1,0,0
2022-08-30,96.46,97.2,93.76,93.76,-1,-1,0,0
2022-08-31,94.02,94.5,88.42,88.5,-1,-1,0,0
2022-09-01,87.5,87.58,84.22,84.22,-1,-1,0,0
2022-09-02,86.0,87.62,83.7,87.62,-1,-1,0,0
2022-09-05,87.0,89.36,85.84,88.66,-1,-1,0,0
2022-09-06,89.8,91.8,84.88,86.0,-1,-1,0,0
2022-09-07,84.94,86.18,83.0,84.5,-1,-1,0,0
2022-09-08,86.0,87.5,84.66,85.8,-1,-1,0,0
2022-09-09,89.0,94.38,88.66,92.94,-1,-1,0,0
2022-09-12,95.22,97.98,94.28,95.64,-1,-1,0,0
2022-09-13,97.1,97.46,91.82,92.06,-1,-1,0,0
2022-09-14,91.0,93.04,89.04,89.6,-1,-1,0,0
2022-09-15,90.5,92.3,90.02,91.04,-1,-1,0,0
2022-09-16,89.5,90.02,87.3,88.92,-1,-1,0,0
2022-09-19,88.62,90.78,88.16,89.8,-1,-1,0,0
2022-09-20,90.56,91.4,86.5,86.84,-1,-1,0,0
2022-09-21,87.14,90.98,86.8,90.1,-1,-1,0,0
2022-09-22,88.5,91.58,87.8,90.48,-1,-1,0,0
2022-09-23,90.0,90.0,85.0,85.0,-1,-1,0,0
2022-09-26,83.18,85.86,81.26,84.42,-1,-1,0,0
2022-09-27,85.0,86.7,84.3,85.16,-1,-1,0,0
2022-09-28,82.5,84.64,80.68,84.22,-1,-1,0,0
2022-09-29,84.9,88.04,83.36,84.36,-1,-1,0,0
2022-09-30,86.54,87.94,85.52,87.66,-1,-1,0,0
2022-10-03,86.6,92.98,86.18,92.92,-1,-1,0,0
2022-10-04,96.5,97.94,94.02,97.0,-1,-1,0,0
2022-10-05,97.0,97.0,92.94,93.56,-1,-1,0,0
2022-10-06,96.0,96.32,91.26,92.2,-1,-1,0,0
2022-10-07,91.36,92.76,89.92,91.0,-1,-1,0,0
2022-10-10,90.8,91.58,89.14,89.88,-1,-1,0,0
2022-10-11,89.0,90.92,87.02,89.08,-1,-1,0,0
2022-10-12,89.78,90.9,86.64,87.54,-1,-1,0,0
2022-10-13,87.06,89.6,85.9,87.92,-1,-1,0,0
2022-10-14,91.2,91.68,88.28,88.54,-1,-1,0,0
2022-10-17,89.78,90.88,87.1,90.6,-1,-1,0,0
2022-10-18,91.1,92.3,89.32,90.22,-1,-1,0,0
2022-10-19,89.0,89.78,87.62,88.54,-1,-1,0,0
2022-10-20,88.74,92.4,88.0,92.08,-1,-1,0,0
2022-10-21,90.58,90.66,88.28,89.84,-1,-1,0,0
2022-10-24,90.9,91.5,89.1,90.0,-1,-1,0,0
2022-10-25,90.5,91.36,87.98,90.88,-1,-1,0,0
2022-10-26,91.0,95.38,90.4,95.38,-1,-1,0,0
2022-10-27,95.0,96.34,93.12,96.34,-1,-1,0,0
2022-10-28,93.5,95.44,92.1,94.72,-1,-1,0,0
2022-10-31,94.36,96.28,93.7,95.66,-1,-1,0,0
2022-11-02,97.12,101.75,96.68,98.74,-1,-1,0,0
2022-11-03,96.8,97.6,94.6,97.6,-1,-1,0,0
2022-11-04,99.9,109.9,99.8,109.0,-1,-1,0,0
2022-11-07,108.95,114.15,107.0,109.75,-1,-1,0,0
2022-11-08,109.45,113.9,109.1,113.9,-1,-1,0,0
2022-11-09,113.7,115.8,112.2,114.6,-1,-1,0,0
2022-11-10,113.55,118.9,109.9,118.9,-1,-1,0,0
2022-11-14,122.25,128.2,122.25,127.2,-1,-1,0,0
2022-11-15,128.85,129.75,121.35,124.75,-1,-1,0,0
2022-11-16,121.0,124.65,118.0,122.6,-1,-1,0,0
2022-11-17,123.0,124.4,115.1,115.1,-1,-1,0,0
2022-11-18,115.6,117.2,112.5,113.95,-1,-1,0,0
2022-11-21,113.0,113.0,109.7,109.7,-1,-1,0,0
2022-11-22,110.0,116.3,110.0,114.35,-1,-1,0,0
2022-11-23,116.0,117.0,114.5,115.4,-1,-1,0,0
2022-11-24,116.7,117.0,115.5,117.0,-1,-1,0,0
2022-11-25,116.9,117.2,115.1,115.6,-1,-1,0,0
2022-11-28,114.4,114.65,112.4,112.4,-1,-1,0,0
