Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-05-23,14.86,14.86,14.62,14.7,-1,-1,0,0
2022-05-24,14.6,14.8,14.5,14.72,-1,-1,0,0
2022-05-25,14.5,14.5,14.28,14.4,-1,-1,0,0
2022-05-26,14.66,14.66,14.4,14.62,-1,-1,0,0
2022-05-27,14.5,14.5,14.24,14.3,-1,-1,0,0
2022-05-30,14.48,14.48,14.36,14.48,-1,-1,0,0
2022-05-31,14.48,14.62,14.3,14.3,-1,-1,0,0
2022-06-01,13.76,14.3,13.76,14.0,-1,-1,0,0
2022-06-02,13.8,13.82,13.4,13.8,-1,-1,0,0
2022-06-03,13.48,13.5,12.26,13.02,-1,-1,0,0
2022-06-06,13.2,13.78,12.9,13.2,-1,-1,0,0
2022-06-07,13.2,13.24,12.64,12.98,-1,-1,0,0
2022-06-08,12.68,12.98,12.56,12.6,-1,-1,0,0
2022-06-09,12.44,12.78,12.1,12.58,-1,-1,0,0
2022-06-10,12.22,12.4,12.2,12.2,-1,-1,0,0
2022-06-13,12.22,12.44,11.04,11.98,-1,-1,0,0
2022-06-14,11.5,11.98,11.14,11.9,-1,-1,0,0
2022-06-15,11.36,11.88,10.96,11.88,-1,-1,0,0
2022-06-17,11.8,11.8,11.1,11.5,-1,-1,0,0
2022-06-20,11.86,11.86,10.4,10.66,-1,-1,0,0
2022-06-21,10.42,10.98,10.22,10.3,-1,-1,0,0
2022-06-22,10.6,10.6,9.96,9.98,-1,-1,0,0
2022-06-23,10.0,10.5,9.9,10.38,-1,-1,0,0
2022-06-24,9.99,10.48,9.51,10.28,-1,-1,0,0
2022-06-27,10.3,10.72,10.3,10.3,-1,-1,0,0
2022-06-28,10.28,10.6,10.28,10.54,-1,-1,0,0
2022-06-29,10.58,10.88,10.44,10.88,-1,-1,0,0
2022-06-30,10.52,10.78,10.5,10.54,-1,-1,0,0
2022-07-01,10.86,11.9,10.82,11.78,-1,-1,0,0
2022-07-04,11.9,13.92,11.9,13.7,-1,-1,0,0
2022-07-05,13.6,13.6,12.0,12.3,-1,-1,0,0
2022-07-06,12.2,12.76,12.2,12.22,-1,-1,0,0
2022-07-07,12.24,12.24,11.3,12.2,-1,-1,0,0
2022-07-08,12.0,12.18,11.8,12.08,-1,-1,0,0
2022-07-11,12.08,12.1,11.82,12.08,-1,-1,0,0
2022-07-12,11.96,11.96,11.3,11.76,-1,-1,0,0
2022-07-13,11.56,11.72,11.02,11.58,-1,-1,0,0
2022-07-14,11.4,11.42,11.02,11.28,-1,-1,0,0
2022-07-15,11.04,11.34,11.04,11.34,-1,-1,0,0
2022-07-18,11.4,11.7,11.08,11.58,-1,-1,0,0
2022-07-19,11.44,11.44,11.04,11.32,-1,-1,0,0
2022-07-20,11.34,11.36,11.2,11.26,-1,-1,0,0
2022-07-21,11.22,11.3,11.12,11.3,-1,-1,0,0
2022-07-22,11.34,11.44,11.1,11.4,-1,-1,0,0
2022-07-25,11.32,11.68,11.32,11.66,-1,-1,0,0
2022-07-26,11.66,11.68,11.42,11.42,-1,-1,0,0
2022-07-27,11.44,11.6,11.36,11.36,-1,-1,0,0
2022-07-28,11.5,11.9,11.5,11.9,-1,-1,0,0
2022-07-29,11.6,12.18,11.6,12.1,-1,-1,0,0
2022-08-01,12.2,12.58,12.08,12.58,-1,-1,0,0
2022-08-02,12.58,12.58,12.46,12.56,-1,-1,0,0
2022-08-03,12.5,13.3,12.5,13.28,-1,-1,0,0
2022-08-04,13.5,13.5,13.0,13.3,-1,-1,0,0
2022-08-05,13.3,13.3,12.2,12.84,-1,-1,0,0
2022-08-08,12.82,13.18,12.36,13.0,-1,-1,0,0
2022-08-09,13.0,13.0,12.52,12.72,-1,-1,0,0
2022-08-10,12.72,12.72,12.4,12.7,-1,-1,0,0
2022-08-11,12.68,13.1,12.5,13.0,-1,-1,0,0
2022-08-12,13.0,13.18,13.0,13.0,-1,-1,0,0
2022-08-16,12.62,12.98,12.4,12.94,-1,-1,0,0
2022-08-17,12.98,12.98,12.58,12.78,-1,-1,0,0
2022-08-18,12.78,13.0,12.6,13.0,-1,-1,0,0
2022-08-19,13.12,13.12,12.6,12.7,-1,-1,0,0
2022-08-22,12.66,12.76,12.26,12.74,-1,-1,0,0
2022-08-23,12.76,12.8,12.04,12.6,-1,-1,0,0
2022-08-24,12.58,12.58,12.02,12.4,-1,-1,0,0
2022-08-25,12.4,12.4,12.2,12.36,-1,-1,0,0
2022-08-26,12.2,12.4,12.04,12.4,-1,-1,0,0
2022-08-29,12.04,12.4,11.24,12.4,-1,-1,0,0
2022-08-30,11.5,12.5,11.44,12.36,-1,-1,0,0
2022-08-31,12.5,12.98,12.5,12.8,-1,-1,0,0
