Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-31,2.92,3.1,2.92,3.1,-1,-1,0,0
2022-09-01,3.24,3.24,3.12,3.12,-1,-1,0,0
2022-09-02,3.12,3.12,2.92,2.92,-1,-1,0,0
2022-09-05,2.94,2.94,2.94,2.94,-1,-1,0,0
2022-09-06,2.92,2.92,2.9,2.9,-1,-1,0,0
2022-09-07,2.9,2.9,2.9,2.9,-1,-1,0,0
2022-09-08,2.94,2.94,2.94,2.94,-1,-1,0,0
2022-09-09,2.94,2.94,2.94,2.94,-1,-1,0,0
2022-09-12,2.94,3.06,2.94,3.06,-1,-1,0,0
2022-09-13,3.06,3.06,3.06,3.06,-1,-1,0,0
2022-09-14,2.98,2.98,2.98,2.98,-1,-1,0,0
2022-09-15,2.98,2.98,2.98,2.98,-1,-1,0,0
2022-09-16,2.98,2.98,2.98,2.98,-1,-1,0,0
2022-09-19,2.98,2.98,2.98,2.98,-1,-1,0,0
2022-09-20,2.96,3.1,2.96,3.1,-1,-1,0,0
2022-09-21,2.96,2.96,2.96,2.96,-1,-1,0,0
2022-09-22,3.04,3.04,2.96,2.96,-1,-1,0,0
2022-09-23,2.96,2.96,2.94,2.94,-1,-1,0,0
2022-09-26,2.92,2.92,2.8,2.8,-1,-1,0,0
2022-09-27,2.78,2.78,2.72,2.72,-1,-1,0,0
2022-09-28,2.7,2.7,2.7,2.7,-1,-1,0,0
2022-09-29,2.7,2.7,2.54,2.54,-1,-1,0,0
2022-09-30,2.5,2.5,2.4,2.4,-1,-1,0,0
2022-10-03,2.42,2.42,2.42,2.42,-1,-1,0,0
2022-10-04,2.44,2.44,2.44,2.44,-1,-1,0,0
2022-10-05,2.48,2.48,2.48,2.48,-1,-1,0,0
2022-10-06,2.48,2.48,2.44,2.48,-1,-1,0,0
2022-10-07,2.48,2.58,2.48,2.58,-1,-1,0,0
2022-10-10,2.5,2.74,2.5,2.74,-1,-1,0,0
2022-10-11,2.7,2.86,2.7,2.74,-1,-1,0,0
2022-10-12,2.74,2.84,2.74,2.82,-1,-1,0,0
2022-10-13,2.82,3.04,2.82,3.04,-1,-1,0,0
2022-10-14,3.04,3.04,2.98,2.98,-1,-1,0,0
2022-10-17,3.1,3.1,3.08,3.08,-1,-1,0,0
2022-10-18,3.08,3.12,2.98,3.12,-1,-1,0,0
2022-10-19,3.04,3.14,3.0,3.04,-1,-1,0,0
2022-10-20,3.04,3.04,3.04,3.04,-1,-1,0,0
2022-10-21,3.04,3.04,3.04,3.04,-1,-1,0,0
2022-10-24,3.04,3.04,3.04,3.04,-1,-1,0,0
2022-10-25,3.04,3.04,3.04,3.04,-1,-1,0,0
2022-10-26,3.04,3.04,3.04,3.04,-1,-1,0,0
2022-10-27,3.04,3.04,3.04,3.04,-1,-1,0,0
2022-10-28,2.94,2.94,2.94,2.94,-1,-1,0,0
2022-10-31,2.8,2.9,2.8,2.9,-1,-1,0,0
2022-11-02,2.9,2.9,2.9,2.9,-1,-1,0,0
2022-11-03,2.9,2.9,2.9,2.9,-1,-1,0,0
2022-11-04,2.9,2.9,2.9,2.9,-1,-1,0,0
2022-11-07,2.9,2.9,2.9,2.9,-1,-1,0,0
2022-11-08,2.94,2.94,2.94,2.94,-1,-1,0,0
2022-11-09,2.8,2.82,2.74,2.82,-1,-1,0,0
2022-11-10,2.82,2.82,2.82,2.82,-1,-1,0,0
2022-11-14,2.82,2.82,2.82,2.82,-1,-1,0,0
2022-11-15,2.82,2.82,2.82,2.82,-1,-1,0,0
2022-11-16,2.82,2.82,2.82,2.82,-1,-1,0,0
2022-11-17,2.72,2.72,2.7,2.7,-1,-1,0,0
2022-11-18,2.64,2.72,2.64,2.72,-1,-1,0,0
2022-11-21,2.72,2.72,2.72,2.72,-1,-1,0,0
2022-11-22,2.66,2.78,2.44,2.78,-1,-1,0,0
2022-11-23,2.62,2.62,2.62,2.62,-1,-1,0,0
2022-11-24,2.62,2.62,2.62,2.62,-1,-1,0,0
2022-11-25,2.58,2.72,2.56,2.56,-1,-1,0,0
2022-11-28,2.58,2.58,2.5,2.58,-1,-1,0,0
2022-11-29,2.58,2.58,2.58,2.58,-1,-1,0,0
2022-11-30,2.58,2.58,2.58,2.58,-1,-1,0,0
2022-12-01,2.6,2.78,2.6,2.72,-1,-1,0,0
2022-12-02,2.78,3.04,2.74,2.84,-1,-1,0,0
2022-12-05,2.84,2.94,2.84,2.92,-1,-1,0,0
2022-12-06,2.88,2.88,2.88,2.88,-1,-1,0,0
2022-12-07,2.88,2.88,2.88,2.88,-1,-1,0,0
2022-12-08,2.88,2.88,2.88,2.88,-1,-1,0,0
2022-12-09,2.88,2.88,2.8,2.8,-1,-1,0,0
2022-12-12,2.88,2.92,2.88,2.92,-1,-1,0,0
2022-12-13,2.9,2.9,2.9,2.9,-1,-1,0,0
2022-12-14,2.9,2.9,2.9,2.9,-1,-1,0,0
2022-12-15,2.9,2.9,2.68,2.76,-1,-1,0,0
2022-12-16,2.68,2.68,2.5,2.56,-1,-1,0,0
2022-12-19,2.56,2.58,2.5,2.56,-1,-1,0,0
2022-12-20,2.54,2.54,2.54,2.54,-1,-1,0,0
2022-12-21,2.54,2.56,2.54,2.56,-1,-1,0,0
2022-12-22,2.56,2.56,2.56,2.56,-1,-1,0,0
2022-12-23,2.56,2.6,2.56,2.6,-1,-1,0,0
2022-12-27,2.68,2.68,2.6,2.68,-1,-1,0,0
2022-12-28,2.7,2.8,2.7,2.8,-1,-1,0,0
2022-12-29,2.8,2.82,2.8,2.8,-1,-1,0,0
2022-12-30,2.86,2.9,2.8,2.8,-1,-1,0,0
2023-01-02,2.8,2.8,2.8,2.8,-1,-1,0,0
2023-01-03,2.8,2.8,2.8,2.8,-1,-1,0,0
2023-01-04,2.88,2.9,2.88,2.9,-1,-1,0,0
2023-01-05,2.9,2.9,2.76,2.76,-1,-1,0,0
2023-01-09,2.86,2.86,2.86,2.86,-1,-1,0,0
2023-01-10,2.88,2.88,2.88,2.88,-1,-1,0,0
2023-01-11,2.9,2.9,2.9,2.9,-1,-1,0,0
2023-01-12,2.9,2.9,2.9,2.9,-1,-1,0,0
2023-01-13,2.9,2.9,2.9,2.9,-1,-1,0,0
2023-01-16,2.88,2.88,2.82,2.82,-1,-1,0,0
2023-01-17,2.82,2.82,2.8,2.8,-1,-1,0,0
2023-01-18,2.8,2.8,2.8,2.8,-1,-1,0,0
2023-01-19,2.8,2.82,2.78,2.78,-1,-1,0,0
2023-01-20,2.78,2.78,2.7,2.7,-1,-1,0,0
2023-01-23,2.72,2.72,2.72,2.72,-1,-1,0,0
2023-01-24,2.72,2.72,2.72,2.72,-1,-1,0,0
2023-01-25,2.68,2.68,2.68,2.68,-1,-1,0,0
2023-01-26,2.68,2.68,2.68,2.68,-1,-1,0,0
2023-01-27,2.76,2.76,2.76,2.76,-1,-1,0,0
2023-01-30,2.76,2.8,2.76,2.8,-1,-1,0,0
2023-01-31,2.8,2.8,2.8,2.8,-1,-1,0,0
2023-02-01,2.8,2.8,2.6,2.62,-1,-1,0,0
2023-02-02,2.62,2.62,2.62,2.62,-1,-1,0,0
2023-02-03,2.72,2.72,2.72,2.72,-1,-1,0,0
2023-02-06,2.68,2.68,2.64,2.64,-1,-1,0,0
2023-02-07,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-02-08,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-02-09,2.62,2.62,2.52,2.52,-1,-1,0,0
2023-02-10,2.56,2.6,2.56,2.6,-1,-1,0,0
2023-02-13,2.6,2.6,2.58,2.58,-1,-1,0,0
2023-02-14,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-02-15,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-02-16,2.56,2.56,2.5,2.5,-1,-1,0,0
2023-02-17,2.5,2.5,2.5,2.5,-1,-1,0,0
2023-02-20,2.58,2.58,2.58,2.58,-1,-1,0,0
2023-02-21,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-02-22,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-02-23,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-02-24,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-02-27,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-02-28,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-03-01,2.66,2.68,2.66,2.68,-1,-1,0,0
2023-03-02,2.68,2.68,2.6,2.6,-1,-1,0,0
2023-03-03,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-03-06,2.6,2.68,2.56,2.56,-1,-1,0,0
2023-03-07,2.56,2.56,2.56,2.56,-1,-1,0,0
2023-03-08,2.56,2.56,2.56,2.56,-1,-1,0,0
2023-03-09,2.58,2.58,2.58,2.58,-1,-1,0,0
2023-03-10,2.58,2.58,2.58,2.58,-1,-1,0,0
2023-03-13,2.56,2.56,2.42,2.44,-1,-1,0,0
2023-03-14,2.52,2.52,2.48,2.48,-1,-1,0,0
2023-03-15,2.48,2.48,2.48,2.48,-1,-1,0,0
2023-03-16,2.48,2.48,2.48,2.48,-1,-1,0,0
2023-03-17,2.48,2.48,2.48,2.48,-1,-1,0,0
2023-03-20,2.48,2.48,2.48,2.48,-1,-1,0,0
2023-03-21,2.48,2.48,2.48,2.48,-1,-1,0,0
2023-03-22,2.48,2.48,2.48,2.48,-1,-1,0,0
2023-03-23,2.54,2.54,2.54,2.54,-1,-1,0,0
2023-03-24,2.54,2.54,2.54,2.54,-1,-1,0,0
2023-03-27,2.48,2.48,2.48,2.48,-1,-1,0,0
2023-03-28,2.48,2.48,2.48,2.48,-1,-1,0,0
2023-03-29,2.54,2.64,2.54,2.64,-1,-1,0,0
2023-03-30,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-03-31,2.68,2.7,2.66,2.7,-1,-1,0,0
2023-04-03,2.68,2.68,2.68,2.68,-1,-1,0,0
2023-04-04,2.68,2.68,2.64,2.64,-1,-1,0,0
2023-04-05,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-04-06,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-04-11,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-04-12,2.62,2.64,2.62,2.64,-1,-1,0,0
2023-04-13,2.68,2.68,2.58,2.58,-1,-1,0,0
2023-04-14,2.58,2.58,2.58,2.58,-1,-1,0,0
2023-04-17,2.58,2.58,2.58,2.58,-1,-1,0,0
2023-04-18,2.58,2.58,2.58,2.58,-1,-1,0,0
2023-04-19,2.58,2.58,2.58,2.58,-1,-1,0,0
2023-04-20,2.54,2.54,2.54,2.54,-1,-1,0,0
2023-04-21,2.56,2.56,2.56,2.56,-1,-1,0,0
2023-04-24,2.56,2.56,2.56,2.56,-1,-1,0,0
2023-04-25,2.56,2.56,2.56,2.56,-1,-1,0,0
2023-04-26,2.56,2.56,2.56,2.56,-1,-1,0,0
2023-04-27,2.6,2.6,2.52,2.58,-1,-1,0,0
2023-04-28,2.58,2.64,2.58,2.64,-1,-1,0,0
2023-05-02,2.62,2.64,2.54,2.62,-1,-1,0,0
2023-05-04,2.6,2.64,2.52,2.64,-1,-1,0,0
2023-05-05,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-05-08,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-05-09,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-05-10,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-05-11,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-05-12,2.64,2.64,2.64,2.64,-1,-1,0,0
2023-05-15,2.54,2.54,2.54,2.54,-1,-1,0,0
2023-05-16,2.58,2.58,2.58,2.58,-1,-1,0,0
2023-05-17,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-05-18,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-05-19,2.6,2.6,2.54,2.54,-1,-1,0,0
2023-05-22,2.58,2.58,2.58,2.58,-1,-1,0,0
2023-05-23,2.54,2.64,2.46,2.46,-1,-1,0,0
2023-05-24,2.56,2.56,2.56,2.56,-1,-1,0,0
2023-05-25,2.5,2.62,2.5,2.62,-1,-1,0,0
2023-05-26,2.54,2.54,2.54,2.54,-1,-1,0,0
2023-05-29,2.58,2.6,2.5,2.52,-1,-1,0,0
2023-05-30,2.52,2.56,2.52,2.56,-1,-1,0,0
2023-05-31,2.56,2.6,2.44,2.48,-1,-1,0,0
2023-06-01,2.54,2.62,2.5,2.62,-1,-1,0,0
2023-06-02,2.56,2.66,2.48,2.6,-1,-1,0,0
2023-06-05,2.6,2.6,2.6,2.6,-1,-1,0,0
2023-06-06,2.62,2.8,2.62,2.72,-1,-1,0,0
2023-06-07,2.78,2.9,2.76,2.88,-1,-1,0,0
2023-06-09,2.88,2.88,2.84,2.84,-1,-1,0,0
2023-06-12,2.84,2.98,2.72,2.98,-1,-1,0,0
2023-06-13,2.96,2.98,2.96,2.98,-1,-1,0,0
2023-06-14,2.96,3.14,2.82,2.94,-1,-1,0,0
2023-06-15,3.0,3.0,3.0,3.0,-1,-1,0,0
2023-06-16,2.88,3.0,2.88,3.0,-1,-1,0,0
2023-06-19,2.98,2.98,2.98,2.98,-1,-1,0,0
2023-06-20,2.98,3.0,2.98,3.0,-1,-1,0,0
2023-06-21,3.0,3.0,3.0,3.0,-1,-1,0,0
2023-06-22,3.0,3.0,3.0,3.0,-1,-1,0,0
2023-06-23,3.0,3.0,3.0,3.0,-1,-1,0,0
2023-06-26,3.0,3.0,2.9,2.9,-1,-1,0,0
2023-06-27,2.9,2.9,2.9,2.9,-1,-1,0,0
2023-06-28,2.9,2.9,2.9,2.9,-1,-1,0,0
2023-06-29,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-06-30,2.98,3.0,2.98,3.0,-1,-1,0,0
2023-07-03,3.0,3.0,2.94,2.94,-1,-1,0,0
2023-07-04,2.94,3.16,2.9,3.08,-1,-1,0,0
2023-07-05,3.08,3.08,2.98,2.98,-1,-1,0,0
2023-07-06,2.98,2.98,2.98,2.98,-1,-1,0,0
2023-07-07,3.0,3.0,3.0,3.0,-1,-1,0,0
2023-07-10,3.0,3.0,3.0,3.0,-1,-1,0,0
2023-07-11,3.0,3.0,3.0,3.0,-1,-1,0,0
2023-07-12,3.0,3.0,2.92,2.92,-1,-1,0,0
2023-07-13,2.92,2.92,2.92,2.92,-1,-1,0,0
2023-07-14,2.92,2.92,2.92,2.92,-1,-1,0,0
2023-07-17,2.92,2.92,2.92,2.92,-1,-1,0,0
2023-07-18,2.9,2.9,2.9,2.9,-1,-1,0,0
2023-07-19,2.94,2.94,2.9,2.94,-1,-1,0,0
2023-07-20,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-07-21,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-07-24,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-07-25,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-07-26,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-07-27,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-07-28,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-07-31,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-08-01,2.94,2.94,2.82,2.82,-1,-1,0,0
2023-08-02,2.82,2.82,2.82,2.82,-1,-1,0,0
2023-08-03,2.82,2.82,2.82,2.82,-1,-1,0,0
2023-08-04,2.82,2.98,2.8,2.94,-1,-1,0,0
2023-08-07,3.0,3.16,2.92,2.92,-1,-1,0,0
2023-08-08,2.9,2.9,2.86,2.86,-1,-1,0,0
2023-08-09,2.86,2.94,2.8,2.94,-1,-1,0,0
2023-08-10,2.94,2.94,2.94,2.94,-1,-1,0,0
2023-08-11,2.96,3.54,2.96,3.54,-1,-1,0,0
2023-08-14,4.46,4.46,3.8,3.8,-1,-1,0,0
2023-08-16,3.68,4.44,3.32,4.0,-1,-1,0,0
2023-08-17,3.9,4.08,3.6,4.0,-1,-1,0,0
2023-08-18,4.06,4.36,4.0,4.36,-1,-1,0,0
2023-08-21,4.12,4.12,3.66,3.98,-1,-1,0,0
2023-08-22,3.98,3.98,3.68,3.9,-1,-1,0,0
2023-08-23,3.78,3.78,3.44,3.48,-1,-1,0,0
2023-08-24,3.48,3.48,3.48,3.48,-1,-1,0,0
2023-08-25,3.48,3.48,3.48,3.48,-1,-1,0,0
2023-08-28,3.46,3.48,3.46,3.48,-1,-1,0,0
2023-08-29,3.48,3.48,3.48,3.48,-1,-1,0,0
2023-08-30,3.58,3.58,3.58,3.58,-1,-1,0,0
2023-08-31,3.46,3.46,3.44,3.44,-1,-1,0,0
