Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-13,35.63,36.63,35.0,36.4,-1,-1,0,0
2022-10-14,37.22,38.08,36.51,37.18,-1,-1,0,0
2022-10-17,37.3,38.16,36.9,37.75,-1,-1,0,0
2022-10-18,38.12,38.44,36.17,36.25,-1,-1,0,0
2022-10-19,36.57,37.36,35.89,36.36,-1,-1,0,0
2022-10-20,36.49,37.55,35.77,37.29,-1,-1,0,0
2022-10-21,37.01,37.29,35.68,36.12,-1,-1,0,0
2022-10-24,36.9,37.3,35.53,37.3,-1,-1,0,0
2022-10-25,37.66,38.1,36.69,37.71,-1,-1,0,0
2022-10-26,37.95,40.49,37.5,40.49,-1,-1,0,0
2022-10-27,40.1,41.4,39.37,40.41,-1,-1,0,0
2022-10-28,39.8,42.01,39.4,41.22,-1,-1,0,0
2022-10-31,41.48,43.0,41.0,41.54,-1,-1,0,0
2022-11-02,41.71,43.45,41.49,43.0,-1,-1,0,0
2022-11-03,42.4,45.35,42.0,45.35,-1,-1,0,0
2022-11-04,45.7,48.38,45.7,47.58,-1,-1,0,0
2022-11-07,47.58,49.49,45.08,45.7,-1,-1,0,0
2022-11-08,45.5,48.28,45.4,47.9,-1,-1,0,0
2022-11-09,48.0,48.7,47.06,48.38,-1,-1,0,0
2022-11-10,47.4,48.1,45.62,47.2,-1,-1,0,0
2022-11-14,47.07,48.2,45.84,46.87,-1,-1,0,0
2022-11-15,46.9,47.74,45.92,47.21,-1,-1,0,0
2022-11-16,46.0,48.1,45.94,46.56,-1,-1,0,0
2022-11-17,46.4,46.99,45.33,45.86,-1,-1,0,0
2022-11-18,46.0,47.08,45.6,46.37,-1,-1,0,0
2022-11-21,46.34,46.34,44.44,45.0,-1,-1,0,0
2022-11-22,45.3,47.19,45.3,46.4,-1,-1,0,0
2022-11-23,46.77,47.8,46.25,46.54,-1,-1,0,0
2022-11-24,46.71,47.45,45.94,47.45,-1,-1,0,0
2022-11-25,47.48,47.8,46.9,47.34,-1,-1,0,0
2022-11-28,47.32,49.92,47.11,49.47,-1,-1,0,0
2022-11-29,51.6,57.4,51.6,57.4,-1,-1,0,0
2022-11-30,57.4,61.68,56.14,60.06,-1,-1,0,0
2022-12-01,61.92,62.6,57.04,58.02,-1,-1,0,0
2022-12-02,57.8,58.8,56.42,57.44,-1,-1,0,0
2022-12-05,57.44,59.12,57.38,57.5,-1,-1,0,0
2022-12-06,57.0,57.2,55.5,56.3,-1,-1,0,0
2022-12-07,55.86,56.86,55.74,56.36,-1,-1,0,0
2022-12-08,56.24,56.58,55.0,55.52,-1,-1,0,0
2022-12-09,55.6,56.74,55.02,56.72,-1,-1,0,0
2022-12-12,56.0,59.34,55.78,58.4,-1,-1,0,0
2022-12-13,58.9,60.08,57.36,58.3,-1,-1,0,0
2022-12-14,58.04,58.8,57.12,57.24,-1,-1,0,0
2022-12-15,57.0,58.48,56.64,58.36,-1,-1,0,0
2022-12-16,57.0,57.66,55.66,56.86,-1,-1,0,0
2022-12-19,56.5,57.64,56.22,56.46,-1,-1,0,0
2022-12-20,56.0,57.3,55.5,57.16,-1,-1,0,0
2022-12-21,57.4,57.7,56.32,57.7,-1,-1,0,0
2022-12-22,57.7,58.1,56.52,56.52,-1,-1,0,0
2022-12-23,56.5,57.1,56.1,56.62,-1,-1,0,0
2022-12-27,57.0,57.02,55.0,55.0,-1,-1,0,0
2022-12-28,54.5,56.02,53.5,54.78,-1,-1,0,0
2022-12-29,54.76,56.98,54.5,56.62,-1,-1,0,0
2022-12-30,56.5,58.2,56.3,58.16,-1,-1,0,0
2023-01-02,58.1,58.96,57.0,57.98,-1,-1,0,0
2023-01-03,58.0,59.44,55.0,55.0,-1,-1,0,0
2023-01-04,55.1,58.38,55.1,57.5,-1,-1,0,0
2023-01-05,57.2,57.96,55.82,56.52,-1,-1,0,0
2023-01-09,57.5,58.66,57.22,58.08,-1,-1,0,0
2023-01-10,57.8,58.64,57.4,58.48,-1,-1,0,0
2023-01-11,58.48,60.6,58.08,59.46,-1,-1,0,0
2023-01-12,60.0,60.08,58.3,58.4,-1,-1,0,0
2023-01-13,58.42,58.66,57.78,57.9,-1,-1,0,0
2023-01-16,57.5,57.5,55.9,56.08,-1,-1,0,0
2023-01-17,56.06,56.96,55.9,56.38,-1,-1,0,0
2023-01-18,56.5,59.24,56.5,58.1,-1,-1,0,0
2023-01-19,57.4,57.98,56.5,57.38,-1,-1,0,0
2023-01-20,57.5,59.5,57.5,58.8,-1,-1,0,0
2023-01-23,59.38,61.68,59.38,61.28,-1,-1,0,0
2023-01-24,61.52,65.86,61.52,64.42,-1,-1,0,0
2023-01-25,64.42,64.62,63.16,64.48,-1,-1,0,0
2023-01-26,64.8,66.34,64.5,64.96,-1,-1,0,0
2023-01-27,65.4,65.4,64.22,64.32,-1,-1,0,0
2023-01-30,64.0,64.56,62.26,63.84,-1,-1,0,0
2023-01-31,63.26,67.24,62.8,67.24,-1,-1,0,0
2023-02-01,67.0,67.98,59.42,59.42,-1,-1,0,0
2023-02-02,63.2,63.8,60.12,60.5,-1,-1,0,0
2023-02-03,60.7,60.8,56.6,57.62,-1,-1,0,0
2023-02-06,57.6,58.9,57.02,57.5,-1,-1,0,0
2023-02-07,58.0,58.46,57.2,57.6,-1,-1,0,0
2023-02-08,58.46,60.1,56.88,59.66,-1,-1,0,0
2023-02-09,60.48,60.48,57.3,57.42,-1,-1,0,0
2023-02-10,57.16,57.98,55.44,56.44,-1,-1,0,0
2023-02-13,56.44,56.88,51.02,53.72,-1,-1,0,0
2023-02-14,54.0,55.62,53.2,54.88,-1,-1,0,0
2023-02-15,54.5,56.36,54.16,55.94,-1,-1,0,0
2023-02-16,56.2,56.48,54.84,55.6,-1,-1,0,0
2023-02-17,55.5,56.0,55.02,55.9,-1,-1,0,0
2023-02-20,55.68,56.5,55.28,56.1,-1,-1,0,0
2023-02-21,56.1,56.2,54.8,55.34,-1,-1,0,0
2023-02-22,55.44,55.46,52.94,53.28,-1,-1,0,0
2023-02-23,53.52,55.98,53.5,55.76,-1,-1,0,0
2023-02-24,55.26,55.5,53.44,54.06,-1,-1,0,0
2023-02-27,54.96,55.24,54.1,54.8,-1,-1,0,0
2023-02-28,54.3,55.12,53.44,54.66,-1,-1,0,0
2023-03-01,55.0,56.6,54.76,55.54,-1,-1,0,0
2023-03-02,55.0,55.08,51.62,52.24,-1,-1,0,0
2023-03-03,52.52,53.5,52.52,53.0,-1,-1,0,0
2023-03-06,53.4,53.94,53.04,53.78,-1,-1,0,0
2023-03-07,53.74,53.74,52.6,52.6,-1,-1,0,0
2023-03-08,52.5,53.28,52.02,53.04,-1,-1,0,0
2023-03-09,53.0,53.0,51.88,52.16,-1,-1,0,0
2023-03-10,51.2,51.28,49.84,50.66,-1,-1,0,0
2023-03-13,50.6,51.54,46.73,48.15,-1,-1,0,0
2023-03-14,47.8,48.33,46.71,47.37,-1,-1,0,0
