Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-16,44.5,46.5,44.5,45.5,-1,-1,0,0
2022-08-17,45.55,46.4,45.55,46.4,-1,-1,0,0
2022-08-18,46.35,46.8,45.7,46.5,-1,-1,0,0
2022-08-19,46.5,46.5,45.05,46.5,-1,-1,0,0
2022-08-22,46.5,46.55,44.7,45.8,-1,-1,0,0
2022-08-23,45.7,46.0,44.05,45.3,-1,-1,0,0
2022-08-24,45.7,46.0,42.8,43.0,-1,-1,0,0
2022-08-25,43.7,44.95,43.1,43.75,-1,-1,0,0
2022-08-26,43.75,43.95,42.5,42.55,-1,-1,0,0
2022-08-29,43.05,43.7,40.5,42.6,-1,-1,0,0
2022-08-30,43.1,43.95,41.25,42.5,-1,-1,0,0
2022-08-31,42.5,42.5,41.45,42.4,-1,-1,0,0
2022-09-01,43.15,43.15,40.65,41.5,-1,-1,0,0
2022-09-02,41.7,42.0,40.5,41.0,-1,-1,0,0
2022-09-05,40.55,40.9,38.7,39.2,-1,-1,0,0
2022-09-06,39.0,40.2,38.2,39.15,-1,-1,0,0
2022-09-07,39.0,40.4,38.5,39.7,-1,-1,0,0
2022-09-08,40.5,42.0,40.5,41.25,-1,-1,0,0
2022-09-09,42.4,44.4,42.0,43.55,-1,-1,0,0
2022-09-12,43.0,43.95,41.65,42.3,-1,-1,0,0
2022-09-13,41.55,41.65,39.65,40.85,-1,-1,0,0
2022-09-14,40.85,40.9,39.5,40.5,-1,-1,0,0
2022-09-15,40.4,42.9,40.4,42.9,-1,-1,0,0
2022-09-16,42.95,43.25,41.6,42.5,-1,-1,0,0
2022-09-19,41.9,42.95,40.7,42.7,-1,-1,0,0
2022-09-20,42.7,42.7,40.8,40.8,-1,-1,0,0
2022-09-21,41.0,42.45,40.0,41.75,-1,-1,0,0
2022-09-22,41.5,43.5,41.0,43.45,-1,-1,0,0
2022-09-23,44.0,44.5,42.5,43.3,-1,-1,0,0
2022-09-26,41.45,42.9,39.35,40.4,-1,-1,0,0
2022-09-27,40.0,40.3,38.15,39.9,-1,-1,0,0
2022-09-28,39.9,40.0,38.35,39.1,-1,-1,0,0
2022-09-29,39.1,39.65,36.2,37.2,-1,-1,0,0
2022-09-30,37.1,37.35,33.5,33.9,-1,-1,0,0
2022-10-03,32.8,33.7,31.0,32.3,-1,-1,0,0
2022-10-04,33.1,35.95,32.7,34.3,-1,-1,0,0
2022-10-05,34.0,34.65,33.1,33.15,-1,-1,0,0
2022-10-06,33.75,34.0,32.5,33.35,-1,-1,0,0
2022-10-07,34.0,34.0,33.4,33.55,-1,-1,0,0
2022-10-10,33.35,34.9,32.35,33.1,-1,-1,0,0
2022-10-11,33.6,34.45,32.6,34.3,-1,-1,0,0
2022-10-12,34.0,37.1,34.0,35.05,-1,-1,0,0
2022-10-13,35.1,37.1,33.35,33.35,-1,-1,0,0
2022-10-14,34.2,35.25,34.0,34.05,-1,-1,0,0
2022-10-17,34.2,35.9,33.8,35.5,-1,-1,0,0
2022-10-18,35.9,35.95,34.2,34.75,-1,-1,0,0
2022-10-19,35.2,35.65,33.5,33.9,-1,-1,0,0
2022-10-20,33.7,33.8,32.6,33.5,-1,-1,0,0
2022-10-21,33.3,33.95,32.95,33.5,-1,-1,0,0
2022-10-24,33.1,34.25,33.0,34.0,-1,-1,0,0
2022-10-25,34.5,35.8,33.9,35.3,-1,-1,0,0
2022-10-26,35.4,35.9,33.85,33.85,-1,-1,0,0
2022-10-27,33.8,34.3,33.8,34.15,-1,-1,0,0
2022-10-28,34.15,35.3,34.0,35.2,-1,-1,0,0
2022-10-31,35.2,35.7,35.0,35.3,-1,-1,0,0
2022-11-02,35.85,35.85,34.8,35.4,-1,-1,0,0
2022-11-03,35.5,35.75,35.0,35.1,-1,-1,0,0
2022-11-04,35.0,35.4,34.4,34.9,-1,-1,0,0
2022-11-07,34.6,35.5,34.6,35.45,-1,-1,0,0
2022-11-08,35.45,38.9,34.9,38.7,-1,-1,0,0
2022-11-09,38.9,40.15,38.8,38.85,-1,-1,0,0
2022-11-10,38.5,39.85,38.25,39.6,-1,-1,0,0
2022-11-14,39.9,39.9,38.05,38.8,-1,-1,0,0
2022-11-15,39.25,39.9,38.8,39.35,-1,-1,0,0
2022-11-16,39.0,39.0,38.05,38.4,-1,-1,0,0
2022-11-17,38.25,38.5,37.8,38.0,-1,-1,0,0
2022-11-18,38.1,38.2,36.2,37.05,-1,-1,0,0
2022-11-21,37.05,38.2,36.2,37.3,-1,-1,0,0
2022-11-22,38.0,38.0,36.7,36.95,-1,-1,0,0
2022-11-23,37.0,37.6,36.95,37.3,-1,-1,0,0
2022-11-24,37.5,42.4,37.35,41.35,-1,-1,0,0
2022-11-25,40.95,42.7,40.5,42.1,-1,-1,0,0
2022-11-28,42.5,45.6,41.8,44.3,-1,-1,0,0
2022-11-29,44.1,44.3,43.0,43.0,-1,-1,0,0
2022-11-30,42.2,44.4,42.0,44.15,-1,-1,0,0
2022-12-01,44.8,46.45,44.8,46.1,-1,-1,0,0
2022-12-02,46.5,46.5,45.0,45.85,-1,-1,0,0
2022-12-05,45.9,48.2,45.9,48.15,-1,-1,0,0
2022-12-06,48.3,48.9,47.5,48.5,-1,-1,0,0
2022-12-07,48.2,48.3,46.7,47.9,-1,-1,0,0
2022-12-08,48.0,49.0,47.5,47.9,-1,-1,0,0
2022-12-09,47.1,48.0,47.0,47.8,-1,-1,0,0
2022-12-12,47.8,47.95,47.3,47.5,-1,-1,0,0
2022-12-13,47.5,47.6,47.0,47.6,-1,-1,0,0
2022-12-14,47.6,48.8,47.6,48.0,-1,-1,0,0
2022-12-15,47.8,48.2,45.2,46.25,-1,-1,0,0
2022-12-16,46.0,46.2,43.5,46.0,-1,-1,0,0
2022-12-19,46.6,48.4,46.6,47.15,-1,-1,0,0
2022-12-20,47.25,47.25,45.65,45.8,-1,-1,0,0
2022-12-21,46.15,46.9,45.85,46.25,-1,-1,0,0
2022-12-22,46.0,46.5,45.8,45.8,-1,-1,0,0
2022-12-23,45.8,45.95,44.55,45.0,-1,-1,0,0
2022-12-27,45.0,45.45,44.4,45.2,-1,-1,0,0
2022-12-28,45.2,47.35,45.2,46.45,-1,-1,0,0
2022-12-29,47.0,47.8,46.6,47.0,-1,-1,0,0
2022-12-30,47.0,47.4,46.0,46.8,-1,-1,0,0
2023-01-02,47.0,48.9,47.0,47.95,-1,-1,0,0
2023-01-03,48.4,49.1,47.95,49.1,-1,-1,0,0
2023-01-04,49.1,52.0,49.1,51.5,-1,-1,0,0
2023-01-05,51.9,53.8,51.8,53.2,-1,-1,0,0
2023-01-09,53.9,54.9,51.6,53.0,-1,-1,0,0
2023-01-10,53.0,54.3,51.7,52.5,-1,-1,0,0
2023-01-11,52.9,54.0,52.4,53.1,-1,-1,0,0
2023-01-12,53.8,53.8,52.0,52.8,-1,-1,0,0
2023-01-13,52.1,52.7,51.8,52.3,-1,-1,0,0
2023-01-16,53.1,56.5,53.0,56.5,-1,-1,0,0
2023-01-17,56.9,59.0,55.0,55.0,-1,-1,0,0
2023-01-18,55.2,57.8,55.0,57.0,-1,-1,0,0
2023-01-19,57.4,57.4,55.1,55.3,-1,-1,0,0
2023-01-20,55.4,56.9,55.4,56.0,-1,-1,0,0
2023-01-23,56.9,56.9,54.6,55.3,-1,-1,0,0
2023-01-24,55.5,56.8,55.5,55.5,-1,-1,0,0
2023-01-25,55.5,56.4,54.5,54.8,-1,-1,0,0
2023-01-26,55.4,55.9,53.0,53.2,-1,-1,0,0
2023-01-27,54.2,55.5,53.2,54.0,-1,-1,0,0
2023-01-30,54.0,55.0,53.1,54.3,-1,-1,0,0
2023-01-31,54.3,55.8,53.5,54.7,-1,-1,0,0
2023-02-01,55.0,57.0,55.0,55.7,-1,-1,0,0
2023-02-02,56.4,56.4,55.0,55.4,-1,-1,0,0
2023-02-03,55.5,57.5,55.0,56.6,-1,-1,0,0
2023-02-06,57.3,58.5,56.0,56.8,-1,-1,0,0
2023-02-07,56.4,57.3,55.1,55.1,-1,-1,0,0
2023-02-08,55.1,55.7,54.0,54.0,-1,-1,0,0
2023-02-09,53.8,55.6,53.8,54.3,-1,-1,0,0
2023-02-10,54.7,55.0,51.1,52.0,-1,-1,0,0
2023-02-13,52.6,53.8,51.5,51.7,-1,-1,0,0
2023-02-14,51.7,52.9,51.7,52.1,-1,-1,0,0
2023-02-15,51.0,51.5,47.75,51.0,-1,-1,0,0
2023-02-16,52.0,56.0,46.8,53.5,-1,-1,0,0
2023-02-17,54.5,55.0,52.2,52.9,-1,-1,0,0
2023-02-20,52.9,52.9,50.2,51.3,-1,-1,0,0
2023-02-21,51.3,51.5,49.0,49.2,-1,-1,0,0
2023-02-22,49.1,50.5,47.5,49.65,-1,-1,0,0
2023-02-23,50.0,51.6,50.0,50.4,-1,-1,0,0
2023-02-24,50.4,50.6,48.9,49.15,-1,-1,0,0
2023-02-27,49.0,49.1,46.9,47.45,-1,-1,0,0
2023-02-28,47.3,49.1,46.6,48.35,-1,-1,0,0
2023-03-01,47.8,48.85,46.8,47.35,-1,-1,0,0
2023-03-02,47.0,49.1,46.45,48.75,-1,-1,0,0
2023-03-03,49.05,50.4,47.0,47.7,-1,-1,0,0
2023-03-06,47.85,50.0,47.85,49.4,-1,-1,0,0
2023-03-07,49.4,50.3,47.65,47.85,-1,-1,0,0
2023-03-08,48.4,48.45,47.3,47.4,-1,-1,0,0
2023-03-09,47.5,48.9,47.5,48.75,-1,-1,0,0
2023-03-10,48.5,49.55,47.95,48.8,-1,-1,0,0
2023-03-13,48.45,48.8,44.45,47.8,-1,-1,0,0
2023-03-14,47.55,50.3,47.15,50.3,-1,-1,0,0
2023-03-15,50.3,50.8,47.2,47.4,-1,-1,0,0
2023-03-16,47.15,47.4,45.5,46.9,-1,-1,0,0
2023-03-17,46.95,47.8,45.25,45.5,-1,-1,0,0
2023-03-20,45.2,45.2,42.35,43.8,-1,-1,0,0
2023-03-21,43.5,44.6,40.75,43.0,-1,-1,0,0
