Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-26,27.0,27.0,27.0,27.0,-1,-1,0,0
2022-09-27,26.7,27.5,26.1,27.5,-1,-1,0,0
2022-09-28,26.3,27.0,24.1,25.3,-1,-1,0,0
2022-09-29,25.0,25.0,21.0,21.6,-1,-1,0,0
2022-09-30,22.0,23.4,21.0,21.0,-1,-1,0,0
2022-10-03,22.0,22.0,19.85,20.6,-1,-1,0,0
2022-10-04,21.8,21.8,20.6,21.2,-1,-1,0,0
2022-10-05,22.0,22.0,20.4,21.0,-1,-1,0,0
2022-10-06,21.0,21.9,21.0,21.6,-1,-1,0,0
2022-10-07,21.8,23.8,21.6,23.0,-1,-1,0,0
2022-10-10,23.8,23.8,22.1,22.8,-1,-1,0,0
2022-10-11,22.9,22.9,20.7,21.2,-1,-1,0,0
2022-10-12,21.8,21.8,21.0,21.5,-1,-1,0,0
2022-10-13,21.5,21.6,20.8,20.8,-1,-1,0,0
2022-10-14,21.0,21.0,20.6,20.8,-1,-1,0,0
2022-10-17,20.8,20.9,18.8,20.5,-1,-1,0,0
2022-10-18,20.5,20.9,20.0,20.0,-1,-1,0,0
2022-10-19,20.6,21.6,19.4,19.7,-1,-1,0,0
2022-10-20,19.65,20.3,19.65,20.3,-1,-1,0,0
2022-10-21,20.3,20.5,19.8,20.0,-1,-1,0,0
2022-10-24,19.9,20.0,19.0,19.85,-1,-1,0,0
2022-10-25,19.85,19.95,19.3,19.55,-1,-1,0,0
2022-10-26,19.55,19.95,19.55,19.95,-1,-1,0,0
2022-10-27,19.95,20.0,19.6,19.85,-1,-1,0,0
2022-10-28,19.9,20.9,19.9,20.9,-1,-1,0,0
2022-10-31,20.9,21.4,20.9,21.0,-1,-1,0,0
2022-11-02,21.0,21.9,21.0,21.6,-1,-1,0,0
2022-11-03,21.6,23.8,21.5,23.8,-1,-1,0,0
2022-11-04,23.9,25.6,23.2,24.8,-1,-1,0,0
2022-11-07,25.2,26.3,24.0,25.0,-1,-1,0,0
2022-11-08,25.0,27.1,24.1,26.1,-1,-1,0,0
2022-11-09,26.1,26.8,26.1,26.3,-1,-1,0,0
2022-11-10,26.1,26.5,25.2,26.5,-1,-1,0,0
2022-11-14,26.5,26.6,25.5,25.9,-1,-1,0,0
2022-11-15,25.9,25.9,25.5,25.9,-1,-1,0,0
