Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-02-02,1.61,1.65,1.565,1.59,-1,-1,0,0
2022-02-03,1.585,1.615,1.56,1.605,-1,-1,0,0
2022-02-04,1.6,1.66,1.56,1.63,-1,-1,0,0
2022-02-07,1.63,1.655,1.59,1.62,-1,-1,0,0
2022-02-08,1.625,1.64,1.55,1.585,-1,-1,0,0
2022-02-09,1.59,1.63,1.52,1.585,-1,-1,0,0
2022-02-10,1.575,1.73,1.54,1.725,-1,-1,0,0
2022-02-11,1.695,1.72,1.61,1.63,-1,-1,0,0
2022-02-14,1.65,1.7,1.56,1.66,-1,-1,0,0
2022-02-15,1.695,1.7,1.61,1.66,-1,-1,0,0
2022-02-16,1.66,1.685,1.61,1.625,-1,-1,0,0
2022-02-17,1.61,1.75,1.565,1.75,-1,-1,0,0
2022-02-18,1.76,1.935,1.76,1.81,-1,-1,0,0
2022-02-21,1.86,1.89,1.675,1.7,-1,-1,0,0
2022-02-22,1.6,1.685,1.57,1.65,-1,-1,0,0
2022-02-23,1.65,1.695,1.61,1.64,-1,-1,0,0
2022-02-24,1.5,2.19,1.36,2.19,-1,-1,0,0
2022-02-25,2.28,2.58,1.915,2.0,-1,-1,0,0
2022-02-28,2.5,2.72,2.32,2.54,-1,-1,0,0
2022-03-01,2.65,3.16,2.54,3.06,-1,-1,0,0
2022-03-02,3.24,4.24,3.17,4.2,-1,-1,0,0
2022-03-03,4.3,4.59,3.5,3.76,-1,-1,0,0
2022-03-04,3.78,4.18,3.37,3.68,-1,-1,0,0
2022-03-07,3.9,4.08,3.16,3.16,-1,-1,0,0
2022-03-08,3.2,3.2,2.67,2.7,-1,-1,0,0
2022-03-09,2.74,3.13,2.57,2.7,-1,-1,0,0
2022-03-10,2.87,3.1,2.72,3.1,-1,-1,0,0
2022-03-11,3.36,3.48,3.03,3.04,-1,-1,0,0
2022-03-14,3.18,3.21,2.91,2.95,-1,-1,0,0
2022-03-15,2.95,2.98,2.66,2.69,-1,-1,0,0
2022-03-16,2.77,2.77,2.42,2.43,-1,-1,0,0
2022-03-17,2.43,2.73,2.43,2.7,-1,-1,0,0
2022-03-18,2.72,2.78,2.58,2.63,-1,-1,0,0
2022-03-21,2.68,2.89,2.55,2.84,-1,-1,0,0
2022-03-22,2.89,3.08,2.71,2.72,-1,-1,0,0
2022-03-23,2.72,2.8,2.64,2.71,-1,-1,0,0
2022-03-24,2.71,2.77,2.62,2.64,-1,-1,0,0
2022-03-25,2.63,3.36,2.63,2.97,-1,-1,0,0
