Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-17,0.422,0.424,0.38,0.38,-1,-1,0,0
2023-01-18,0.38,0.418,0.38,0.416,-1,-1,0,0
2023-01-19,0.415,0.42,0.4,0.416,-1,-1,0,0
2023-01-20,0.418,0.428,0.402,0.416,-1,-1,0,0
2023-01-23,0.42,0.422,0.405,0.419,-1,-1,0,0
2023-01-24,0.42,0.42,0.401,0.416,-1,-1,0,0
2023-01-25,0.416,0.416,0.4,0.407,-1,-1,0,0
2023-01-26,0.408,0.408,0.397,0.401,-1,-1,0,0
2023-01-27,0.401,0.417,0.401,0.41,-1,-1,0,0
2023-01-30,0.414,0.414,0.391,0.395,-1,-1,0,0
2023-01-31,0.4,0.409,0.388,0.389,-1,-1,0,0
2023-02-01,0.389,0.389,0.38,0.385,-1,-1,0,0
2023-02-02,0.388,0.398,0.379,0.382,-1,-1,0,0
2023-02-03,0.391,0.395,0.382,0.384,-1,-1,0,0
2023-02-06,0.393,0.395,0.38,0.384,-1,-1,0,0
2023-02-07,0.38,0.386,0.378,0.38,-1,-1,0,0
2023-02-08,0.38,0.385,0.371,0.376,-1,-1,0,0
2023-02-09,0.378,0.386,0.371,0.386,-1,-1,0,0
2023-02-10,0.386,0.466,0.386,0.44,-1,-1,0,0
2023-02-13,0.456,0.468,0.432,0.444,-1,-1,0,0
2023-02-14,0.444,0.45,0.43,0.432,-1,-1,0,0
2023-02-15,0.44,0.44,0.411,0.415,-1,-1,0,0
2023-02-16,0.42,0.42,0.411,0.412,-1,-1,0,0
2023-02-17,0.419,0.42,0.408,0.414,-1,-1,0,0
2023-02-20,0.426,0.43,0.39,0.4,-1,-1,0,0
2023-02-21,0.4,0.408,0.38,0.399,-1,-1,0,0
2023-02-22,0.402,0.402,0.383,0.395,-1,-1,0,0
2023-02-23,0.39,0.398,0.39,0.398,-1,-1,0,0
2023-02-24,0.398,0.402,0.395,0.395,-1,-1,0,0
2023-02-27,0.395,0.415,0.39,0.405,-1,-1,0,0
2023-02-28,0.405,0.411,0.392,0.411,-1,-1,0,0
2023-03-01,0.411,0.425,0.405,0.413,-1,-1,0,0
2023-03-02,0.413,0.426,0.413,0.417,-1,-1,0,0
2023-03-03,0.425,0.435,0.414,0.414,-1,-1,0,0
2023-03-06,0.414,0.429,0.394,0.419,-1,-1,0,0
2023-03-07,0.418,0.42,0.412,0.414,-1,-1,0,0
2023-03-08,0.42,0.42,0.408,0.418,-1,-1,0,0
