Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-06-20,3.295,3.295,3.24,3.24,-1,-1,0,0
2022-06-21,3.24,3.27,3.23,3.235,-1,-1,0,0
2022-06-22,3.235,3.24,3.2,3.205,-1,-1,0,0
2022-06-23,3.24,3.24,3.19,3.2,-1,-1,0,0
2022-06-24,3.205,3.22,3.19,3.19,-1,-1,0,0
2022-06-27,3.22,3.22,3.2,3.2,-1,-1,0,0
2022-06-28,3.2,3.255,3.175,3.175,-1,-1,0,0
2022-06-29,3.19,3.19,3.16,3.185,-1,-1,0,0
2022-06-30,3.17,3.3,3.17,3.29,-1,-1,0,0
2022-07-01,3.295,3.295,3.25,3.265,-1,-1,0,0
2022-07-04,3.275,3.28,3.21,3.255,-1,-1,0,0
2022-07-05,3.29,3.29,3.21,3.225,-1,-1,0,0
2022-07-06,3.25,3.255,3.17,3.17,-1,-1,0,0
2022-07-07,3.17,3.245,3.17,3.24,-1,-1,0,0
2022-07-08,3.25,3.32,3.18,3.32,-1,-1,0,0
2022-07-11,3.17,3.21,3.14,3.18,-1,-1,0,0
2022-07-12,3.18,3.18,3.04,3.05,-1,-1,0,0
2022-07-13,3.05,3.08,2.97,3.02,-1,-1,0,0
2022-07-14,3.05,3.065,2.93,2.93,-1,-1,0,0
2022-07-15,2.93,3.08,2.8,3.08,-1,-1,0,0
2022-07-18,3.08,3.2,3.0,3.11,-1,-1,0,0
2022-07-19,3.05,3.11,3.0,3.11,-1,-1,0,0
2022-07-20,3.1,3.1,3.02,3.02,-1,-1,0,0
2022-07-21,3.065,3.065,3.02,3.06,-1,-1,0,0
2022-07-22,3.05,3.075,3.05,3.055,-1,-1,0,0
2022-07-25,3.055,3.08,3.055,3.06,-1,-1,0,0
2022-07-26,3.06,3.09,3.06,3.09,-1,-1,0,0
2022-07-27,3.1,3.105,3.09,3.09,-1,-1,0,0
2022-07-28,3.15,3.19,3.13,3.19,-1,-1,0,0
2022-07-29,3.19,3.2,3.06,3.09,-1,-1,0,0
2022-08-01,3.195,3.25,3.16,3.25,-1,-1,0,0
2022-08-02,3.25,3.29,3.235,3.24,-1,-1,0,0
2022-08-03,3.275,3.275,3.19,3.21,-1,-1,0,0
2022-08-04,3.21,3.21,3.2,3.2,-1,-1,0,0
2022-08-05,3.2,3.285,3.15,3.285,-1,-1,0,0
2022-08-08,3.285,3.285,3.205,3.23,-1,-1,0,0
2022-08-09,3.26,3.27,3.245,3.245,-1,-1,0,0
2022-08-10,3.245,3.245,3.15,3.15,-1,-1,0,0
2022-08-11,3.15,3.15,3.09,3.13,-1,-1,0,0
2022-08-12,3.15,3.15,3.14,3.14,-1,-1,0,0
2022-08-16,3.15,3.22,3.14,3.14,-1,-1,0,0
2022-08-17,3.14,3.14,3.12,3.14,-1,-1,0,0
2022-08-18,3.15,3.16,3.12,3.13,-1,-1,0,0
2022-08-19,3.17,3.17,3.12,3.12,-1,-1,0,0
2022-08-22,3.12,3.2,3.1,3.15,-1,-1,0,0
2022-08-23,3.195,3.195,3.15,3.15,-1,-1,0,0
2022-08-24,3.15,3.18,3.115,3.115,-1,-1,0,0
2022-08-25,3.115,3.14,3.115,3.14,-1,-1,0,0
2022-08-26,3.12,3.17,3.1,3.1,-1,-1,0,0
2022-08-29,3.165,3.165,3.1,3.165,-1,-1,0,0
2022-08-30,3.11,3.12,3.11,3.11,-1,-1,0,0
2022-08-31,3.1,3.17,3.1,3.17,-1,-1,0,0
2022-09-01,3.18,3.18,3.1,3.1,-1,-1,0,0
2022-09-02,3.13,3.15,3.13,3.15,-1,-1,0,0
2022-09-05,3.1,3.12,3.055,3.075,-1,-1,0,0
2022-09-06,3.08,3.1,3.08,3.08,-1,-1,0,0
2022-09-07,3.12,3.13,3.06,3.13,-1,-1,0,0
2022-09-08,3.06,3.1,3.05,3.1,-1,-1,0,0
2022-09-09,3.09,3.15,3.09,3.1,-1,-1,0,0
2022-09-12,3.13,3.13,3.1,3.12,-1,-1,0,0
2022-09-13,3.12,3.12,3.11,3.12,-1,-1,0,0
2022-09-14,3.12,3.12,3.1,3.1,-1,-1,0,0
2022-09-15,3.1,3.13,3.1,3.11,-1,-1,0,0
2022-09-16,3.1,3.3,3.1,3.3,-1,-1,0,0
2022-09-19,3.29,3.29,3.21,3.24,-1,-1,0,0
2022-09-20,3.24,3.24,3.215,3.235,-1,-1,0,0
2022-09-21,3.21,3.21,3.15,3.15,-1,-1,0,0
2022-09-22,3.13,3.17,3.13,3.13,-1,-1,0,0
2022-09-23,3.11,3.17,3.105,3.105,-1,-1,0,0
2022-09-26,3.105,3.15,3.055,3.06,-1,-1,0,0
2022-09-27,3.06,3.1,3.06,3.09,-1,-1,0,0
2022-09-28,3.06,3.1,3.03,3.05,-1,-1,0,0
2022-09-29,3.1,3.105,3.04,3.055,-1,-1,0,0
2022-09-30,3.05,3.12,3.05,3.05,-1,-1,0,0
2022-10-03,3.07,3.07,3.045,3.05,-1,-1,0,0
2022-10-04,3.05,3.075,3.025,3.06,-1,-1,0,0
2022-10-05,3.05,3.085,3.04,3.04,-1,-1,0,0
2022-10-06,3.07,3.07,3.035,3.07,-1,-1,0,0
2022-10-07,3.065,3.065,3.03,3.035,-1,-1,0,0
2022-10-10,3.03,3.06,3.025,3.025,-1,-1,0,0
2022-10-11,3.05,3.075,3.035,3.035,-1,-1,0,0
2022-10-12,3.03,3.06,3.025,3.025,-1,-1,0,0
2022-10-13,3.025,3.05,3.025,3.05,-1,-1,0,0
2022-10-14,3.025,3.06,3.02,3.02,-1,-1,0,0
2022-10-17,3.055,3.055,3.02,3.055,-1,-1,0,0
2022-10-18,3.03,3.05,3.015,3.02,-1,-1,0,0
2022-10-19,3.02,3.03,2.96,2.96,-1,-1,0,0
2022-10-20,2.96,3.05,2.96,3.03,-1,-1,0,0
2022-10-21,3.02,3.05,3.02,3.03,-1,-1,0,0
2022-10-24,3.05,3.05,2.96,2.98,-1,-1,0,0
2022-10-25,2.98,3.02,2.86,2.96,-1,-1,0,0
2022-10-26,2.95,3.02,2.95,2.975,-1,-1,0,0
2022-10-27,2.98,3.045,2.935,2.99,-1,-1,0,0
2022-10-28,3.0,3.02,2.96,3.0,-1,-1,0,0
2022-10-31,3.045,3.045,3.0,3.01,-1,-1,0,0
2022-11-02,3.05,3.05,3.0,3.0,-1,-1,0,0
2022-11-03,3.0,3.0,2.95,2.95,-1,-1,0,0
2022-11-04,2.955,3.0,2.935,3.0,-1,-1,0,0
2022-11-07,2.96,3.02,2.96,3.0,-1,-1,0,0
2022-11-08,3.0,3.0,2.955,2.98,-1,-1,0,0
2022-11-09,2.97,3.0,2.96,2.96,-1,-1,0,0
2022-11-10,2.99,2.99,2.95,2.95,-1,-1,0,0
2022-11-14,2.995,2.995,2.935,2.945,-1,-1,0,0
2022-11-15,2.95,2.96,2.935,2.94,-1,-1,0,0
2022-11-16,2.935,2.98,2.935,2.94,-1,-1,0,0
2022-11-17,2.945,2.96,2.935,2.955,-1,-1,0,0
2022-11-18,2.95,2.955,2.94,2.94,-1,-1,0,0
2022-11-21,2.95,2.95,2.93,2.94,-1,-1,0,0
2022-11-22,2.95,2.95,2.93,2.94,-1,-1,0,0
2022-11-23,2.935,2.94,2.93,2.94,-1,-1,0,0
2022-11-24,2.945,2.945,2.935,2.94,-1,-1,0,0
2022-11-25,2.935,2.95,2.93,2.94,-1,-1,0,0
2022-11-28,2.94,2.94,2.935,2.94,-1,-1,0,0
2022-11-29,3.0,3.01,2.93,2.94,-1,-1,0,0
2022-11-30,2.94,2.955,2.935,2.94,-1,-1,0,0
2022-12-01,2.97,3.0,2.94,3.0,-1,-1,0,0
2022-12-02,3.0,3.0,2.96,2.99,-1,-1,0,0
2022-12-05,2.99,3.0,2.96,3.0,-1,-1,0,0
2022-12-06,2.99,3.075,2.98,3.01,-1,-1,0,0
2022-12-07,3.04,3.04,3.0,3.01,-1,-1,0,0
