Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-05-24,71.5,72.6,71.1,71.72,-1,-1,0,0
2022-05-25,72.4,72.4,71.12,71.34,-1,-1,0,0
2022-05-26,71.34,71.98,70.8,71.6,-1,-1,0,0
2022-05-27,71.64,71.96,70.02,70.4,-1,-1,0,0
2022-05-30,71.0,72.98,70.9,72.9,-1,-1,0,0
2022-05-31,72.9,76.4,72.18,73.9,-1,-1,0,0
2022-06-01,73.9,73.9,72.1,72.18,-1,-1,0,0
2022-06-02,72.0,72.44,70.64,71.84,-1,-1,0,0
2022-06-03,71.12,73.04,70.5,73.0,-1,-1,0,0
2022-06-06,73.64,74.96,72.92,73.5,-1,-1,0,0
2022-06-07,73.5,74.26,72.84,74.04,-1,-1,0,0
2022-06-08,74.1,74.86,73.02,73.34,-1,-1,0,0
2022-06-09,73.34,73.84,73.02,73.22,-1,-1,0,0
2022-06-10,73.0,73.0,70.76,70.76,-1,-1,0,0
2022-06-13,70.3,71.8,69.56,70.48,-1,-1,0,0
2022-06-14,70.48,71.08,69.32,70.82,-1,-1,0,0
2022-06-15,71.02,71.1,69.68,70.74,-1,-1,0,0
2022-06-17,69.14,69.5,67.6,67.6,-1,-1,0,0
2022-06-20,68.0,68.4,65.64,66.64,-1,-1,0,0
2022-06-21,67.0,69.42,66.78,69.42,-1,-1,0,0
2022-06-22,68.1,68.26,65.7,66.14,-1,-1,0,0
2022-06-23,66.0,66.66,64.5,64.5,-1,-1,0,0
2022-06-24,65.02,65.48,64.42,64.7,-1,-1,0,0
2022-06-27,64.9,67.56,64.9,67.44,-1,-1,0,0
2022-06-28,68.0,69.08,67.8,68.76,-1,-1,0,0
2022-06-29,68.4,70.1,68.06,69.3,-1,-1,0,0
2022-06-30,68.7,69.26,68.28,68.52,-1,-1,0,0
2022-07-01,68.0,70.16,67.74,68.02,-1,-1,0,0
2022-07-04,69.0,71.36,68.42,71.24,-1,-1,0,0
2022-07-05,71.5,71.9,68.98,69.6,-1,-1,0,0
2022-07-06,70.04,70.04,67.64,67.74,-1,-1,0,0
2022-07-07,68.0,70.58,67.74,70.5,-1,-1,0,0
2022-07-08,70.44,73.5,70.0,73.36,-1,-1,0,0
2022-07-11,71.5,71.5,69.7,70.6,-1,-1,0,0
2022-07-12,70.0,71.38,69.0,69.52,-1,-1,0,0
2022-07-13,69.54,72.2,69.2,70.62,-1,-1,0,0
2022-07-14,70.56,71.16,66.56,67.22,-1,-1,0,0
2022-07-15,67.66,69.1,66.82,68.7,-1,-1,0,0
2022-07-18,69.9,72.98,69.88,72.76,-1,-1,0,0
2022-07-19,72.5,73.12,71.26,72.8,-1,-1,0,0
2022-07-20,73.24,74.1,73.0,74.1,-1,-1,0,0
2022-07-21,74.2,74.92,72.92,73.44,-1,-1,0,0
2022-07-22,73.52,76.2,73.22,75.8,-1,-1,0,0
2022-07-25,75.7,76.88,74.28,76.44,-1,-1,0,0
2022-07-26,73.78,76.1,73.5,74.4,-1,-1,0,0
2022-07-27,75.2,76.98,73.26,74.24,-1,-1,0,0
2022-07-28,75.0,76.4,73.9,74.98,-1,-1,0,0
2022-07-29,75.0,75.74,72.4,75.52,-1,-1,0,0
2022-08-01,75.5,76.2,74.74,76.1,-1,-1,0,0
2022-08-02,76.08,76.8,74.74,76.1,-1,-1,0,0
2022-08-03,76.1,76.18,73.8,74.46,-1,-1,0,0
2022-08-04,74.42,74.52,72.02,72.4,-1,-1,0,0
2022-08-05,74.5,76.1,68.52,70.16,-1,-1,0,0
2022-08-08,70.5,72.26,69.84,71.16,-1,-1,0,0
2022-08-09,71.1,71.8,70.0,70.4,-1,-1,0,0
2022-08-10,70.3,71.5,69.8,71.08,-1,-1,0,0
2022-08-11,71.42,72.22,70.62,72.22,-1,-1,0,0
2022-08-12,72.0,72.6,70.86,72.3,-1,-1,0,0
2022-08-16,71.98,71.98,68.88,69.7,-1,-1,0,0
2022-08-17,69.7,69.82,66.94,67.5,-1,-1,0,0
2022-08-18,67.5,68.82,66.62,68.26,-1,-1,0,0
2022-08-19,67.94,69.22,67.12,68.3,-1,-1,0,0
2022-08-22,67.8,68.0,64.9,65.2,-1,-1,0,0
2022-08-23,65.2,69.76,65.02,69.0,-1,-1,0,0
2022-08-24,69.04,69.04,65.24,66.0,-1,-1,0,0
2022-08-25,66.76,66.8,64.52,64.82,-1,-1,0,0
2022-08-26,65.3,65.3,62.02,62.5,-1,-1,0,0
2022-08-29,61.72,64.76,60.66,64.12,-1,-1,0,0
2022-08-30,64.56,64.7,60.7,61.14,-1,-1,0,0
2022-08-31,61.02,61.54,59.28,60.98,-1,-1,0,0
2022-09-01,60.58,60.68,56.92,57.2,-1,-1,0,0
2022-09-02,57.78,59.76,57.66,59.56,-1,-1,0,0
2022-09-05,59.0,60.68,58.52,59.62,-1,-1,0,0
2022-09-06,59.68,59.8,56.58,56.92,-1,-1,0,0
2022-09-07,56.24,58.64,55.92,58.08,-1,-1,0,0
2022-09-08,58.5,58.7,55.06,55.42,-1,-1,0,0
2022-09-09,56.0,57.64,55.8,57.32,-1,-1,0,0
2022-09-12,57.9,59.16,56.56,58.38,-1,-1,0,0
2022-09-13,58.64,59.3,56.1,56.42,-1,-1,0,0
2022-09-14,56.36,57.5,55.86,57.06,-1,-1,0,0
2022-09-15,57.16,57.4,55.58,56.82,-1,-1,0,0
2022-09-16,56.32,57.66,55.72,56.58,-1,-1,0,0
2022-09-19,56.2,57.9,56.06,57.9,-1,-1,0,0
2022-09-20,58.02,58.7,56.24,56.24,-1,-1,0,0
2022-09-21,56.24,58.74,56.1,58.0,-1,-1,0,0
2022-09-22,57.64,59.26,57.18,58.4,-1,-1,0,0
2022-09-23,58.4,58.4,54.8,55.06,-1,-1,0,0
2022-09-26,53.0,53.4,50.34,51.68,-1,-1,0,0
2022-09-27,52.1,54.28,52.1,53.56,-1,-1,0,0
2022-09-28,53.04,54.78,51.74,54.4,-1,-1,0,0
2022-09-29,55.56,55.56,52.8,53.4,-1,-1,0,0
2022-09-30,54.0,55.76,52.82,53.54,-1,-1,0,0
2022-10-03,53.54,53.7,51.3,52.88,-1,-1,0,0
2022-10-04,53.5,55.84,53.3,55.84,-1,-1,0,0
2022-10-05,55.5,56.18,54.0,54.56,-1,-1,0,0
2022-10-06,54.8,56.16,54.22,55.12,-1,-1,0,0
2022-10-07,54.84,54.96,53.3,53.64,-1,-1,0,0
2022-10-10,53.5,54.64,52.98,53.6,-1,-1,0,0
2022-10-11,53.76,53.96,52.02,52.5,-1,-1,0,0
2022-10-12,52.98,53.62,51.64,52.62,-1,-1,0,0
2022-10-13,52.84,53.28,51.14,53.0,-1,-1,0,0
2022-10-14,54.06,54.7,52.8,53.3,-1,-1,0,0
2022-10-17,53.3,55.0,53.02,54.14,-1,-1,0,0
2022-10-18,53.0,53.0,50.96,51.68,-1,-1,0,0
2022-10-19,52.0,52.2,50.2,50.4,-1,-1,0,0
2022-10-20,50.5,51.3,49.88,51.0,-1,-1,0,0
2022-10-21,50.7,50.7,49.95,50.26,-1,-1,0,0
2022-10-24,50.64,50.68,49.05,50.28,-1,-1,0,0
2022-10-25,50.54,51.38,49.86,51.26,-1,-1,0,0
2022-10-26,51.46,53.34,51.04,53.28,-1,-1,0,0
2022-10-27,53.68,55.58,53.32,55.58,-1,-1,0,0
2022-10-28,55.0,56.3,54.24,55.54,-1,-1,0,0
2022-10-31,55.88,55.88,54.2,54.92,-1,-1,0,0
2022-11-02,55.88,58.58,55.5,58.04,-1,-1,0,0
2022-11-03,57.5,59.96,56.8,59.96,-1,-1,0,0
2022-11-04,60.82,63.0,60.82,63.0,-1,-1,0,0
2022-11-07,63.46,63.64,59.3,60.5,-1,-1,0,0
2022-11-08,60.4,62.3,59.6,62.04,-1,-1,0,0
2022-11-09,62.0,62.48,60.86,61.0,-1,-1,0,0
2022-11-10,60.5,62.88,59.44,62.6,-1,-1,0,0
2022-11-14,62.9,65.28,62.62,63.44,-1,-1,0,0
2022-11-15,63.78,65.48,62.78,64.9,-1,-1,0,0
2022-11-16,64.2,64.96,64.02,64.1,-1,-1,0,0
2022-11-17,64.3,65.14,63.1,64.1,-1,-1,0,0
2022-11-18,64.1,64.6,62.14,62.76,-1,-1,0,0
2022-11-21,62.78,63.32,61.24,61.5,-1,-1,0,0
2022-11-22,62.3,64.6,62.26,64.14,-1,-1,0,0
2022-11-23,64.66,65.4,63.22,63.6,-1,-1,0,0
2022-11-24,64.18,64.22,62.42,64.04,-1,-1,0,0
2022-11-25,64.0,64.42,63.14,64.26,-1,-1,0,0
2022-11-28,63.7,63.72,62.28,62.6,-1,-1,0,0
2022-11-29,64.0,65.22,62.88,64.8,-1,-1,0,0
2022-11-30,65.0,66.3,64.28,65.3,-1,-1,0,0
2022-12-01,65.8,68.24,64.52,68.24,-1,-1,0,0
2022-12-02,67.94,67.96,64.5,64.5,-1,-1,0,0
2022-12-05,64.82,66.36,64.3,65.82,-1,-1,0,0
2022-12-06,65.5,65.68,63.72,64.22,-1,-1,0,0
2022-12-07,64.0,64.82,63.86,64.62,-1,-1,0,0
2022-12-08,64.32,64.32,62.4,62.98,-1,-1,0,0
2022-12-09,63.02,63.26,61.32,62.2,-1,-1,0,0
2022-12-12,61.96,63.8,61.56,63.74,-1,-1,0,0
2022-12-13,63.68,65.02,62.7,63.94,-1,-1,0,0
2022-12-14,64.0,64.52,63.28,63.58,-1,-1,0,0
2022-12-15,63.2,63.68,62.6,63.48,-1,-1,0,0
2022-12-16,63.0,63.32,61.7,62.5,-1,-1,0,0
2022-12-19,62.3,63.36,62.06,62.78,-1,-1,0,0
2022-12-20,62.14,63.9,61.84,63.8,-1,-1,0,0
2022-12-21,63.52,63.98,63.04,63.3,-1,-1,0,0
2022-12-22,63.5,63.94,63.12,63.7,-1,-1,0,0
2022-12-23,63.68,63.72,63.02,63.7,-1,-1,0,0
2022-12-27,64.0,64.26,63.3,63.72,-1,-1,0,0
2022-12-28,63.72,64.64,63.5,63.62,-1,-1,0,0
2022-12-29,63.72,64.5,63.46,64.5,-1,-1,0,0
2022-12-30,64.5,64.6,64.0,64.24,-1,-1,0,0
2023-01-02,64.24,65.0,63.9,64.6,-1,-1,0,0
2023-01-03,64.72,65.82,64.6,65.2,-1,-1,0,0
2023-01-04,64.8,66.36,64.7,65.76,-1,-1,0,0
2023-01-05,65.2,65.62,61.92,62.46,-1,-1,0,0
2023-01-09,63.42,63.64,61.1,62.0,-1,-1,0,0
