Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-14,22.11,22.96,21.8,22.17,-1,-1,0,0
2022-11-15,22.39,22.4,21.86,22.0,-1,-1,0,0
2022-11-16,21.63,22.2,21.6,21.9,-1,-1,0,0
2022-11-17,22.0,22.0,21.15,21.59,-1,-1,0,0
2022-11-18,21.74,21.98,21.21,21.65,-1,-1,0,0
2022-11-21,21.68,21.81,21.04,21.05,-1,-1,0,0
2022-11-22,21.02,21.58,21.02,21.16,-1,-1,0,0
2022-11-23,21.41,22.6,21.16,22.4,-1,-1,0,0
2022-11-24,22.77,22.77,22.12,22.45,-1,-1,0,0
2022-11-25,21.49,21.49,20.7,20.97,-1,-1,0,0
2022-11-28,21.0,21.85,21.0,21.66,-1,-1,0,0
2022-11-29,21.5,21.5,21.07,21.14,-1,-1,0,0
2022-11-30,21.34,21.6,21.14,21.5,-1,-1,0,0
2022-12-01,21.5,21.72,21.15,21.57,-1,-1,0,0
2022-12-02,21.5,22.2,21.5,22.04,-1,-1,0,0
2022-12-05,21.89,22.89,21.89,22.21,-1,-1,0,0
2022-12-06,22.47,24.0,22.05,23.46,-1,-1,0,0
2022-12-07,23.18,24.48,22.7,22.81,-1,-1,0,0
2022-12-08,23.0,23.79,22.56,23.03,-1,-1,0,0
2022-12-09,23.57,23.58,22.86,23.35,-1,-1,0,0
2022-12-12,23.4,23.4,22.78,23.09,-1,-1,0,0
2022-12-13,23.24,24.34,23.11,23.89,-1,-1,0,0
2022-12-14,23.86,24.42,23.5,23.5,-1,-1,0,0
2022-12-15,23.4,23.47,22.09,22.42,-1,-1,0,0
2022-12-16,22.0,22.12,21.35,21.38,-1,-1,0,0
2022-12-19,21.4,22.37,21.4,21.91,-1,-1,0,0
2022-12-20,21.72,21.97,21.5,21.69,-1,-1,0,0
2022-12-21,21.7,21.79,21.37,21.5,-1,-1,0,0
2022-12-22,21.3,21.38,20.42,20.51,-1,-1,0,0
2022-12-23,20.52,20.97,20.5,20.87,-1,-1,0,0
2022-12-27,20.9,20.98,20.11,20.23,-1,-1,0,0
2022-12-28,20.2,20.2,19.84,19.98,-1,-1,0,0
2022-12-29,19.85,21.37,19.85,21.1,-1,-1,0,0
2022-12-30,21.29,21.4,20.7,21.0,-1,-1,0,0
2023-01-02,21.06,21.46,20.95,21.32,-1,-1,0,0
2023-01-03,21.39,22.1,21.13,21.42,-1,-1,0,0
2023-01-04,21.59,21.73,21.24,21.7,-1,-1,0,0
2023-01-05,21.83,23.49,21.81,22.68,-1,-1,0,0
2023-01-09,23.0,23.1,21.93,22.7,-1,-1,0,0
2023-01-10,22.64,22.76,22.14,22.28,-1,-1,0,0
2023-01-11,22.2,22.57,22.11,22.39,-1,-1,0,0
2023-01-12,22.39,22.39,21.38,21.67,-1,-1,0,0
2023-01-13,21.69,21.88,21.2,21.87,-1,-1,0,0
2023-01-16,22.0,22.0,21.6,21.6,-1,-1,0,0
2023-01-17,21.65,21.65,21.26,21.42,-1,-1,0,0
2023-01-18,21.44,22.75,21.44,22.1,-1,-1,0,0
2023-01-19,22.0,22.14,21.3,21.4,-1,-1,0,0
2023-01-20,21.4,21.94,21.4,21.72,-1,-1,0,0
2023-01-23,21.85,22.37,21.75,22.28,-1,-1,0,0
2023-01-24,22.07,22.6,21.72,21.9,-1,-1,0,0
2023-01-25,21.91,22.0,21.62,21.93,-1,-1,0,0
2023-01-26,21.99,22.4,21.74,21.92,-1,-1,0,0
2023-01-27,24.0,24.9,23.25,24.2,-1,-1,0,0
2023-01-30,24.0,24.14,22.9,23.06,-1,-1,0,0
2023-01-31,23.11,23.49,22.64,23.07,-1,-1,0,0
2023-02-01,23.32,23.32,22.6,22.64,-1,-1,0,0
2023-02-02,22.85,23.19,22.7,23.01,-1,-1,0,0
2023-02-03,23.05,23.35,22.2,22.9,-1,-1,0,0
2023-02-06,22.93,23.8,22.3,23.0,-1,-1,0,0
2023-02-07,23.39,23.39,22.45,22.7,-1,-1,0,0
2023-02-08,23.24,23.49,22.67,22.68,-1,-1,0,0
2023-02-09,23.19,23.29,22.76,23.0,-1,-1,0,0
2023-02-10,22.9,23.0,22.22,22.47,-1,-1,0,0
2023-02-13,22.5,22.7,21.9,21.96,-1,-1,0,0
2023-02-14,22.18,22.19,21.55,21.57,-1,-1,0,0
2023-02-15,21.7,21.85,21.47,21.52,-1,-1,0,0
2023-02-16,21.72,21.97,21.58,21.75,-1,-1,0,0
2023-02-17,21.7,21.9,21.48,21.6,-1,-1,0,0
2023-02-20,21.83,22.49,21.6,22.3,-1,-1,0,0
2023-02-21,22.4,22.53,21.98,22.46,-1,-1,0,0
2023-02-22,22.35,22.35,21.7,21.79,-1,-1,0,0
2023-02-23,21.8,22.19,21.61,21.7,-1,-1,0,0
2023-02-24,21.93,22.18,21.63,21.78,-1,-1,0,0
2023-02-27,21.79,21.97,21.58,21.61,-1,-1,0,0
2023-02-28,21.71,22.13,21.5,21.71,-1,-1,0,0
2023-03-01,21.22,21.22,20.32,20.69,-1,-1,0,0
2023-03-02,20.5,20.75,20.21,20.4,-1,-1,0,0
2023-03-03,20.41,20.67,20.2,20.49,-1,-1,0,0
2023-03-06,20.7,21.3,20.6,20.66,-1,-1,0,0
2023-03-07,20.75,21.19,20.43,20.51,-1,-1,0,0
2023-03-08,20.58,20.77,20.42,20.69,-1,-1,0,0
2023-03-09,20.65,20.74,20.38,20.39,-1,-1,0,0
2023-03-10,20.27,20.54,20.0,20.1,-1,-1,0,0
2023-03-13,20.38,20.44,19.1,19.5,-1,-1,0,0
2023-03-14,19.305,19.99,19.085,19.7,-1,-1,0,0
2023-03-15,19.705,19.745,18.5,18.88,-1,-1,0,0
2023-03-16,18.88,18.995,18.22,18.56,-1,-1,0,0
2023-03-17,18.795,19.08,18.195,18.2,-1,-1,0,0
2023-03-20,18.2,18.49,17.48,18.02,-1,-1,0,0
2023-03-21,18.0,18.45,17.9,18.18,-1,-1,0,0
2023-03-22,18.25,18.385,17.77,17.935,-1,-1,0,0
2023-03-23,17.85,18.0,17.405,17.5,-1,-1,0,0
2023-03-24,17.405,17.74,16.88,17.19,-1,-1,0,0
2023-03-27,17.395,17.49,16.87,17.14,-1,-1,0,0
2023-03-28,17.22,17.39,16.93,17.35,-1,-1,0,0
2023-03-29,17.5,18.145,17.4,17.72,-1,-1,0,0
2023-03-30,17.89,18.6,17.8,18.17,-1,-1,0,0
2023-03-31,18.22,18.27,17.7,17.82,-1,-1,0,0
2023-04-03,17.7,18.475,17.69,18.285,-1,-1,0,0
2023-04-04,18.3,18.455,17.92,17.92,-1,-1,0,0
2023-04-05,17.85,18.185,17.85,17.88,-1,-1,0,0
2023-04-06,18.1,18.975,17.81,18.34,-1,-1,0,0
2023-04-11,18.5,18.9,18.5,18.7,-1,-1,0,0
2023-04-12,18.86,19.24,18.615,18.62,-1,-1,0,0
2023-04-13,18.7,18.89,18.45,18.56,-1,-1,0,0
2023-04-14,18.79,18.84,18.405,18.52,-1,-1,0,0
2023-04-17,18.6,19.585,18.5,19.35,-1,-1,0,0
2023-04-18,20.0,20.0,18.5,18.9,-1,-1,0,0
2023-04-19,19.15,19.15,18.495,19.09,-1,-1,0,0
2023-04-20,19.09,19.09,18.75,18.93,-1,-1,0,0
2023-04-21,18.92,18.92,18.45,18.69,-1,-1,0,0
2023-04-24,18.46,18.67,18.3,18.3,-1,-1,0,0
2023-04-25,18.13,18.5,17.8,17.9,-1,-1,0,0
2023-04-26,17.9,18.36,17.8,18.04,-1,-1,0,0
2023-04-27,18.2,18.65,17.9,18.25,-1,-1,0,0
2023-04-28,18.3,18.45,18.1,18.45,-1,-1,0,0
2023-05-02,18.4,18.4,18.09,18.14,-1,-1,0,0
2023-05-04,18.3,18.34,17.9,17.9,-1,-1,0,0
2023-05-05,18.08,18.1,17.81,18.02,-1,-1,0,0
2023-05-08,17.96,17.98,17.5,17.66,-1,-1,0,0
2023-05-09,17.83,18.85,17.42,18.49,-1,-1,0,0
