Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-06,5.0,5.0,4.98,4.98,-1,-1,0,0
2022-10-07,4.98,5.5,4.98,5.5,-1,-1,0,0
2022-10-10,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-11,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-12,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-13,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-14,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-17,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-18,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-19,5.5,5.65,5.5,5.65,-1,-1,0,0
2022-10-20,5.5,5.55,5.5,5.55,-1,-1,0,0
2022-10-21,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-24,5.55,5.55,5.5,5.5,-1,-1,0,0
2022-10-25,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-26,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-27,5.5,5.5,5.45,5.45,-1,-1,0,0
2022-10-28,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-10-31,5.45,5.45,5.25,5.4,-1,-1,0,0
2022-11-02,5.4,5.4,5.4,5.4,-1,-1,0,0
2022-11-03,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-04,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-07,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-08,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-09,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-10,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-14,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-15,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-16,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-17,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-18,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-21,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-22,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-23,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-24,5.5,5.5,5.5,5.5,-1,-1,0,0
2022-11-25,5.45,5.45,5.45,5.45,-1,-1,0,0
