Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-13,20.8,20.8,19.8,20.2,-1,-1,0,0
2023-02-14,20.5,21.5,20.4,21.2,-1,-1,0,0
2023-02-15,21.2,21.2,20.4,21.0,-1,-1,0,0
2023-02-16,20.8,21.4,20.8,21.2,-1,-1,0,0
2023-02-17,21.0,21.5,20.8,21.5,-1,-1,0,0
2023-02-20,21.3,22.6,21.3,22.4,-1,-1,0,0
2023-02-21,22.5,22.5,21.5,21.7,-1,-1,0,0
2023-02-22,21.4,21.4,20.6,21.0,-1,-1,0,0
2023-02-23,21.3,21.9,21.0,21.2,-1,-1,0,0
2023-02-24,21.4,21.4,20.7,21.0,-1,-1,0,0
2023-02-27,21.0,21.0,20.7,21.0,-1,-1,0,0
2023-02-28,21.0,21.7,20.7,21.5,-1,-1,0,0
2023-03-01,21.7,21.7,20.6,21.5,-1,-1,0,0
2023-03-02,21.5,21.5,20.5,20.5,-1,-1,0,0
2023-03-03,20.7,21.5,20.7,21.4,-1,-1,0,0
2023-03-06,21.4,22.0,21.1,21.7,-1,-1,0,0
2023-03-07,21.7,21.8,21.3,21.3,-1,-1,0,0
2023-03-08,21.3,21.5,20.9,21.1,-1,-1,0,0
2023-03-09,21.1,21.2,20.8,21.0,-1,-1,0,0
2023-03-10,20.7,20.9,19.35,19.95,-1,-1,0,0
2023-03-13,19.95,20.3,19.45,19.85,-1,-1,0,0
2023-03-14,19.6,20.3,19.55,20.3,-1,-1,0,0
2023-03-15,20.0,20.7,19.65,19.8,-1,-1,0,0
2023-03-16,20.2,20.2,19.4,19.7,-1,-1,0,0
2023-03-17,19.75,20.6,19.7,20.4,-1,-1,0,0
2023-03-20,20.0,20.7,19.8,20.6,-1,-1,0,0
2023-03-21,20.8,20.8,20.0,20.6,-1,-1,0,0
2023-03-22,20.5,20.7,20.1,20.1,-1,-1,0,0
2023-03-23,20.5,20.5,20.0,20.1,-1,-1,0,0
2023-03-24,20.1,20.7,19.7,20.0,-1,-1,0,0
2023-03-27,20.3,20.5,19.95,20.4,-1,-1,0,0
2023-03-28,20.5,20.7,20.2,20.7,-1,-1,0,0
2023-03-29,20.6,20.7,20.0,20.6,-1,-1,0,0
2023-03-30,20.6,21.5,20.4,21.4,-1,-1,0,0
2023-03-31,21.3,21.4,20.9,21.3,-1,-1,0,0
2023-04-03,21.2,21.3,20.8,21.2,-1,-1,0,0
2023-04-04,21.0,21.0,20.2,20.8,-1,-1,0,0
2023-04-05,20.8,20.9,20.5,20.8,-1,-1,0,0
2023-04-06,20.7,20.9,20.5,20.9,-1,-1,0,0
2023-04-11,21.3,21.6,20.9,21.3,-1,-1,0,0
2023-04-12,21.3,21.6,21.1,21.4,-1,-1,0,0
2023-04-13,21.4,21.4,20.8,21.1,-1,-1,0,0
2023-04-14,21.2,21.2,20.8,21.1,-1,-1,0,0
2023-04-17,20.9,21.2,20.8,21.1,-1,-1,0,0
2023-04-18,21.0,21.0,20.4,20.8,-1,-1,0,0
2023-04-19,20.8,21.0,20.5,20.9,-1,-1,0,0
2023-04-20,20.6,21.0,20.6,20.6,-1,-1,0,0
2023-04-21,20.5,20.5,19.9,20.5,-1,-1,0,0
2023-04-24,20.1,20.7,20.0,20.6,-1,-1,0,0
2023-04-25,20.6,20.7,20.1,20.2,-1,-1,0,0
2023-04-26,20.4,20.8,19.75,20.5,-1,-1,0,0
2023-04-27,20.5,20.5,19.85,20.4,-1,-1,0,0
2023-04-28,20.7,20.7,19.95,20.2,-1,-1,0,0
2023-05-02,20.5,20.6,20.3,20.3,-1,-1,0,0
2023-05-04,20.2,20.8,20.2,20.8,-1,-1,0,0
2023-05-05,21.0,21.3,20.4,20.8,-1,-1,0,0
2023-05-08,20.7,21.3,20.6,20.8,-1,-1,0,0
2023-05-09,20.6,20.6,20.1,20.4,-1,-1,0,0
2023-05-10,20.4,20.4,19.5,20.3,-1,-1,0,0
2023-05-11,20.3,20.6,20.0,20.5,-1,-1,0,0
2023-05-12,20.5,21.0,20.5,21.0,-1,-1,0,0
2023-05-15,20.9,21.3,20.9,21.0,-1,-1,0,0
2023-05-16,21.2,21.3,21.0,21.1,-1,-1,0,0
2023-05-17,21.3,23.3,21.3,23.3,-1,-1,0,0
2023-05-18,23.5,24.2,22.6,23.2,-1,-1,0,0
2023-05-19,23.1,23.2,22.5,23.1,-1,-1,0,0
2023-05-22,23.1,23.3,22.8,23.0,-1,-1,0,0
2023-05-23,23.6,23.7,22.9,23.3,-1,-1,0,0
2023-05-24,23.3,23.3,22.5,22.7,-1,-1,0,0
2023-05-25,22.7,23.2,22.2,22.8,-1,-1,0,0
2023-05-26,22.8,23.2,22.6,23.0,-1,-1,0,0
2023-05-29,23.5,23.5,22.5,22.9,-1,-1,0,0
2023-05-30,22.3,22.3,20.1,21.0,-1,-1,0,0
2023-05-31,21.0,21.2,19.9,20.0,-1,-1,0,0
2023-06-01,19.85,21.1,19.8,20.0,-1,-1,0,0
2023-06-02,19.9,21.2,19.9,21.0,-1,-1,0,0
2023-06-05,21.3,21.5,20.8,21.5,-1,-1,0,0
2023-06-06,21.5,21.5,20.7,21.0,-1,-1,0,0
2023-06-07,21.4,21.4,20.5,20.5,-1,-1,0,0
2023-06-09,21.0,21.0,20.5,20.6,-1,-1,0,0
2023-06-12,20.6,20.7,20.2,20.2,-1,-1,0,0
2023-06-13,20.2,20.5,20.0,20.3,-1,-1,0,0
2023-06-14,20.3,20.3,19.6,19.9,-1,-1,0,0
2023-06-15,19.7,19.8,18.7,19.6,-1,-1,0,0
2023-06-16,19.5,19.6,19.25,19.5,-1,-1,0,0
2023-06-19,19.75,19.75,19.25,19.4,-1,-1,0,0
2023-06-20,19.3,19.8,19.2,19.35,-1,-1,0,0
2023-06-21,19.4,21.0,19.4,20.7,-1,-1,0,0
2023-06-22,20.4,20.7,20.0,20.6,-1,-1,0,0
2023-06-23,20.7,20.7,20.2,20.2,-1,-1,0,0
2023-06-26,20.2,20.5,20.1,20.2,-1,-1,0,0
2023-06-27,20.3,20.3,19.35,19.6,-1,-1,0,0
2023-06-28,20.0,20.0,19.5,19.95,-1,-1,0,0
2023-06-29,19.95,20.0,19.6,20.0,-1,-1,0,0
2023-06-30,19.6,20.0,19.5,19.8,-1,-1,0,0
2023-07-03,19.8,19.8,19.45,19.55,-1,-1,0,0
2023-07-04,19.55,19.6,19.0,19.3,-1,-1,0,0
2023-07-05,19.4,19.7,19.3,19.4,-1,-1,0,0
2023-07-06,19.55,19.55,19.3,19.3,-1,-1,0,0
2023-07-07,19.5,19.5,19.2,19.3,-1,-1,0,0
2023-07-10,19.3,19.7,19.25,19.7,-1,-1,0,0
2023-07-11,19.7,20.0,19.6,19.8,-1,-1,0,0
2023-07-12,19.8,20.1,19.4,19.7,-1,-1,0,0
2023-07-13,19.7,19.7,19.4,19.6,-1,-1,0,0
2023-07-14,19.5,20.0,19.5,19.95,-1,-1,0,0
2023-07-17,19.8,20.5,19.65,19.95,-1,-1,0,0
2023-07-18,20.0,20.0,19.7,19.95,-1,-1,0,0
2023-07-19,20.0,20.4,19.8,20.0,-1,-1,0,0
2023-07-20,19.95,19.95,19.6,19.8,-1,-1,0,0
2023-07-21,19.8,19.9,19.55,19.9,-1,-1,0,0
