Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-05-23,1.92,1.99,1.91,1.975,-1,-1,0,0
2022-05-24,1.97,1.98,1.965,1.98,-1,-1,0,0
2022-05-25,1.95,2.05,1.95,2.03,-1,-1,0,0
2022-05-26,2.0,2.0,1.92,1.98,-1,-1,0,0
2022-05-27,1.93,1.98,1.93,1.98,-1,-1,0,0
2022-05-30,1.94,2.04,1.93,1.93,-1,-1,0,0
2022-05-31,1.98,2.15,1.93,2.0,-1,-1,0,0
2022-06-01,2.07,2.07,2.0,2.0,-1,-1,0,0
2022-06-02,2.0,2.02,2.0,2.0,-1,-1,0,0
2022-06-03,2.01,2.01,1.96,1.96,-1,-1,0,0
2022-06-06,1.975,1.98,1.96,1.96,-1,-1,0,0
2022-06-07,1.97,1.98,1.835,1.93,-1,-1,0,0
2022-06-08,1.835,1.93,1.835,1.93,-1,-1,0,0
2022-06-09,1.93,1.93,1.8,1.895,-1,-1,0,0
2022-06-10,1.895,1.9,1.81,1.895,-1,-1,0,0
2022-06-13,1.88,1.9,1.815,1.88,-1,-1,0,0
2022-06-14,1.805,1.85,1.805,1.85,-1,-1,0,0
2022-06-15,1.875,1.88,1.81,1.88,-1,-1,0,0
2022-06-17,1.82,1.97,1.82,1.95,-1,-1,0,0
2022-06-20,1.95,1.95,1.9,1.95,-1,-1,0,0
2022-06-21,1.93,1.95,1.74,1.8,-1,-1,0,0
2022-06-22,1.76,1.815,1.615,1.68,-1,-1,0,0
2022-06-23,1.68,1.68,1.48,1.57,-1,-1,0,0
2022-06-24,1.57,1.645,1.48,1.54,-1,-1,0,0
2022-06-27,1.54,1.54,1.44,1.45,-1,-1,0,0
2022-06-28,1.45,1.5,1.4,1.4,-1,-1,0,0
2022-06-29,1.41,1.445,1.3,1.35,-1,-1,0,0
2022-06-30,1.39,1.4,1.32,1.39,-1,-1,0,0
2022-07-01,1.39,1.4,1.3,1.32,-1,-1,0,0
2022-07-04,1.4,1.45,1.4,1.44,-1,-1,0,0
2022-07-05,1.45,1.5,1.44,1.44,-1,-1,0,0
2022-07-06,1.42,1.46,1.3,1.4,-1,-1,0,0
2022-07-07,1.4,1.5,1.4,1.48,-1,-1,0,0
2022-07-08,1.43,1.48,1.43,1.48,-1,-1,0,0
2022-07-11,1.48,1.48,1.44,1.48,-1,-1,0,0
2022-07-12,1.48,1.48,1.47,1.48,-1,-1,0,0
2022-07-13,1.48,1.5,1.45,1.5,-1,-1,0,0
2022-07-14,1.5,1.5,1.4,1.5,-1,-1,0,0
2022-07-15,1.5,1.5,1.45,1.5,-1,-1,0,0
2022-07-18,1.46,1.5,1.46,1.5,-1,-1,0,0
2022-07-19,1.5,1.6,1.5,1.5,-1,-1,0,0
2022-07-20,1.5,1.5,1.46,1.5,-1,-1,0,0
2022-07-21,1.55,1.55,1.55,1.55,-1,-1,0,0
2022-07-22,1.55,1.65,1.55,1.57,-1,-1,0,0
2022-07-25,1.57,1.64,1.55,1.63,-1,-1,0,0
2022-07-26,1.63,1.65,1.55,1.55,-1,-1,0,0
2022-07-27,1.6,1.635,1.58,1.58,-1,-1,0,0
2022-07-28,1.62,1.62,1.62,1.62,-1,-1,0,0
2022-07-29,1.615,1.62,1.565,1.565,-1,-1,0,0
2022-08-01,1.6,1.6,1.57,1.57,-1,-1,0,0
2022-08-02,1.58,1.63,1.57,1.6,-1,-1,0,0
2022-08-03,1.58,2.09,1.58,2.09,-1,-1,0,0
2022-08-04,2.17,2.3,1.96,1.975,-1,-1,0,0
2022-08-05,2.0,2.0,1.8,1.8,-1,-1,0,0
2022-08-08,1.795,1.945,1.795,1.94,-1,-1,0,0
2022-08-09,1.94,1.94,1.85,1.85,-1,-1,0,0
2022-08-10,1.89,1.92,1.89,1.92,-1,-1,0,0
2022-08-11,1.95,1.95,1.9,1.94,-1,-1,0,0
2022-08-12,1.95,2.28,1.9,2.23,-1,-1,0,0
2022-08-16,2.26,2.72,2.26,2.62,-1,-1,0,0
2022-08-17,2.7,2.9,2.45,2.48,-1,-1,0,0
2022-08-18,2.45,2.5,2.33,2.4,-1,-1,0,0
2022-08-19,2.36,2.67,2.35,2.57,-1,-1,0,0
2022-08-22,2.59,2.59,2.47,2.48,-1,-1,0,0
2022-08-23,2.47,2.62,2.44,2.62,-1,-1,0,0
2022-08-24,2.64,2.75,2.38,2.4,-1,-1,0,0
2022-08-25,2.38,2.58,2.35,2.35,-1,-1,0,0
2022-08-26,2.37,2.51,2.2,2.29,-1,-1,0,0
2022-08-29,2.25,2.25,2.1,2.2,-1,-1,0,0
2022-08-30,2.16,2.27,2.16,2.27,-1,-1,0,0
2022-08-31,2.27,2.27,2.22,2.27,-1,-1,0,0
2022-09-01,2.2,2.2,2.1,2.14,-1,-1,0,0
2022-09-02,2.14,2.14,2.1,2.14,-1,-1,0,0
2022-09-05,2.14,2.2,2.07,2.19,-1,-1,0,0
2022-09-06,2.2,2.2,2.11,2.19,-1,-1,0,0
2022-09-07,2.19,2.19,2.1,2.11,-1,-1,0,0
2022-09-08,2.11,2.14,2.05,2.05,-1,-1,0,0
2022-09-09,2.04,2.1,2.01,2.1,-1,-1,0,0
2022-09-12,2.06,2.1,2.03,2.05,-1,-1,0,0
2022-09-13,2.06,2.1,2.0,2.09,-1,-1,0,0
2022-09-14,2.02,2.02,1.92,2.0,-1,-1,0,0
2022-09-15,1.96,1.965,1.92,1.965,-1,-1,0,0
2022-09-16,1.965,1.965,1.93,1.965,-1,-1,0,0
2022-09-19,1.965,2.0,1.925,2.0,-1,-1,0,0
2022-09-20,1.99,1.99,1.9,1.9,-1,-1,0,0
2022-09-21,1.85,1.9,1.82,1.9,-1,-1,0,0
2022-09-22,1.86,1.86,1.82,1.86,-1,-1,0,0
2022-09-23,1.85,1.85,1.72,1.72,-1,-1,0,0
2022-09-26,1.72,1.72,1.62,1.66,-1,-1,0,0
2022-09-27,1.68,1.72,1.66,1.71,-1,-1,0,0
2022-09-28,1.71,1.72,1.62,1.72,-1,-1,0,0
2022-09-29,1.715,1.715,1.63,1.69,-1,-1,0,0
2022-09-30,1.63,1.72,1.62,1.695,-1,-1,0,0
2022-10-03,1.7,1.71,1.63,1.71,-1,-1,0,0
2022-10-04,1.63,1.8,1.62,1.8,-1,-1,0,0
2022-10-05,1.79,1.8,1.615,1.69,-1,-1,0,0
2022-10-06,1.69,1.69,1.64,1.69,-1,-1,0,0
2022-10-07,1.69,1.7,1.62,1.695,-1,-1,0,0
2022-10-10,1.6,1.7,1.6,1.64,-1,-1,0,0
2022-10-11,1.64,1.68,1.635,1.675,-1,-1,0,0
2022-10-12,1.6,1.75,1.6,1.75,-1,-1,0,0
2022-10-13,1.745,1.75,1.66,1.75,-1,-1,0,0
2022-10-14,1.75,1.75,1.75,1.75,-1,-1,0,0
2022-10-17,1.715,1.75,1.685,1.73,-1,-1,0,0
2022-10-18,1.72,1.735,1.66,1.735,-1,-1,0,0
2022-10-19,1.72,1.745,1.67,1.67,-1,-1,0,0
2022-10-20,1.74,1.74,1.665,1.735,-1,-1,0,0
2022-10-21,1.735,1.735,1.72,1.72,-1,-1,0,0
2022-10-24,1.665,1.73,1.665,1.73,-1,-1,0,0
2022-10-25,1.73,1.73,1.715,1.73,-1,-1,0,0
2022-10-26,1.7,1.7,1.7,1.7,-1,-1,0,0
2022-10-27,1.695,1.7,1.65,1.655,-1,-1,0,0
2022-10-28,1.655,1.7,1.655,1.7,-1,-1,0,0
2022-10-31,1.7,1.75,1.655,1.75,-1,-1,0,0
2022-11-02,1.685,1.84,1.685,1.76,-1,-1,0,0
2022-11-03,1.8,1.8,1.72,1.74,-1,-1,0,0
2022-11-04,1.73,1.76,1.73,1.76,-1,-1,0,0
2022-11-07,1.73,1.89,1.7,1.88,-1,-1,0,0
2022-11-08,1.875,2.0,1.84,1.98,-1,-1,0,0
2022-11-09,1.98,2.17,1.945,2.13,-1,-1,0,0
2022-11-10,2.13,2.13,1.9,1.9,-1,-1,0,0
2022-11-14,1.94,2.12,1.94,2.08,-1,-1,0,0
2022-11-15,2.05,2.07,1.9,1.925,-1,-1,0,0
2022-11-16,1.92,1.95,1.78,1.835,-1,-1,0,0
2022-11-17,1.835,1.89,1.805,1.885,-1,-1,0,0
2022-11-18,1.885,1.89,1.8,1.8,-1,-1,0,0
2022-11-21,1.8,1.8,1.7,1.77,-1,-1,0,0
2022-11-22,1.75,1.845,1.75,1.845,-1,-1,0,0
2022-11-23,1.77,1.845,1.77,1.805,-1,-1,0,0
2022-11-24,1.765,1.81,1.765,1.81,-1,-1,0,0
2022-11-25,1.765,1.825,1.75,1.75,-1,-1,0,0
2022-11-28,1.82,1.85,1.755,1.81,-1,-1,0,0
2022-11-29,1.82,1.82,1.8,1.8,-1,-1,0,0
2022-11-30,1.78,1.82,1.75,1.8,-1,-1,0,0
2022-12-01,1.75,1.8,1.67,1.73,-1,-1,0,0
2022-12-02,1.75,1.75,1.67,1.74,-1,-1,0,0
2022-12-05,1.74,1.74,1.675,1.73,-1,-1,0,0
2022-12-06,1.7,1.73,1.7,1.73,-1,-1,0,0
2022-12-07,1.7,1.715,1.7,1.715,-1,-1,0,0
2022-12-08,1.71,1.715,1.675,1.675,-1,-1,0,0
2022-12-09,1.7,1.71,1.67,1.67,-1,-1,0,0
2022-12-12,1.67,1.71,1.65,1.71,-1,-1,0,0
2022-12-13,1.7,1.7,1.53,1.64,-1,-1,0,0
2022-12-14,1.55,1.65,1.55,1.64,-1,-1,0,0
2022-12-15,1.62,1.62,1.58,1.62,-1,-1,0,0
2022-12-16,1.605,1.605,1.6,1.6,-1,-1,0,0
2022-12-19,1.55,1.6,1.455,1.515,-1,-1,0,0
2022-12-20,1.5,1.55,1.5,1.55,-1,-1,0,0
2022-12-21,1.55,1.55,1.49,1.49,-1,-1,0,0
2022-12-22,1.49,1.495,1.455,1.46,-1,-1,0,0
2022-12-23,1.47,1.6,1.455,1.515,-1,-1,0,0
2022-12-27,1.515,1.59,1.5,1.585,-1,-1,0,0
2022-12-28,1.505,1.58,1.505,1.56,-1,-1,0,0
2022-12-29,1.51,1.58,1.5,1.5,-1,-1,0,0
2022-12-30,1.5,1.56,1.48,1.53,-1,-1,0,0
2023-01-02,1.57,1.595,1.46,1.5,-1,-1,0,0
2023-01-03,1.5,1.545,1.5,1.54,-1,-1,0,0
2023-01-04,1.52,1.545,1.49,1.52,-1,-1,0,0
2023-01-05,1.52,1.52,1.5,1.51,-1,-1,0,0
2023-01-09,1.525,1.565,1.4,1.5,-1,-1,0,0
2023-01-10,1.5,1.5,1.49,1.495,-1,-1,0,0
2023-01-11,1.495,1.495,1.475,1.495,-1,-1,0,0
2023-01-12,1.49,1.5,1.405,1.495,-1,-1,0,0
2023-01-13,1.495,1.535,1.475,1.52,-1,-1,0,0
2023-01-16,1.52,1.52,1.49,1.5,-1,-1,0,0
2023-01-17,1.5,1.535,1.49,1.5,-1,-1,0,0
2023-01-18,1.49,1.5,1.49,1.5,-1,-1,0,0
2023-01-19,1.5,1.5,1.49,1.5,-1,-1,0,0
2023-01-20,1.5,1.5,1.48,1.48,-1,-1,0,0
2023-01-23,1.5,1.515,1.48,1.49,-1,-1,0,0
2023-01-24,1.515,1.53,1.49,1.5,-1,-1,0,0
2023-01-25,1.49,1.52,1.48,1.48,-1,-1,0,0
2023-01-26,1.5,1.5,1.48,1.5,-1,-1,0,0
2023-01-27,1.5,1.51,1.485,1.5,-1,-1,0,0
2023-01-30,1.5,1.515,1.48,1.51,-1,-1,0,0
2023-01-31,1.51,1.51,1.5,1.5,-1,-1,0,0
2023-02-01,1.515,1.515,1.5,1.5,-1,-1,0,0
2023-02-02,1.5,1.52,1.48,1.52,-1,-1,0,0
2023-02-03,1.515,1.52,1.45,1.51,-1,-1,0,0
2023-02-06,1.515,1.55,1.48,1.48,-1,-1,0,0
2023-02-07,1.53,1.53,1.48,1.525,-1,-1,0,0
2023-02-08,1.515,1.515,1.47,1.48,-1,-1,0,0
2023-02-09,1.49,1.525,1.49,1.52,-1,-1,0,0
2023-02-10,1.5,1.5,1.45,1.49,-1,-1,0,0
2023-02-13,1.48,1.495,1.465,1.49,-1,-1,0,0
2023-02-14,1.48,1.49,1.46,1.465,-1,-1,0,0
2023-02-15,1.48,1.485,1.445,1.47,-1,-1,0,0
2023-02-16,1.47,1.47,1.445,1.445,-1,-1,0,0
2023-02-17,1.465,1.49,1.45,1.49,-1,-1,0,0
2023-02-20,1.5,1.52,1.46,1.52,-1,-1,0,0
2023-02-21,1.5,1.525,1.47,1.5,-1,-1,0,0
2023-02-22,1.52,1.54,1.48,1.5,-1,-1,0,0
2023-02-23,1.535,1.535,1.48,1.51,-1,-1,0,0
2023-02-24,1.515,1.52,1.485,1.5,-1,-1,0,0
2023-02-27,1.51,1.51,1.5,1.5,-1,-1,0,0
2023-02-28,1.51,1.51,1.48,1.51,-1,-1,0,0
2023-03-01,1.5,1.51,1.48,1.51,-1,-1,0,0
2023-03-02,1.48,1.51,1.48,1.505,-1,-1,0,0
2023-03-03,1.505,1.515,1.505,1.515,-1,-1,0,0
2023-03-06,1.515,1.515,1.465,1.47,-1,-1,0,0
2023-03-07,1.505,1.505,1.475,1.475,-1,-1,0,0
2023-03-08,1.49,1.5,1.475,1.48,-1,-1,0,0
2023-03-09,1.475,1.525,1.475,1.5,-1,-1,0,0
2023-03-10,1.5,1.5,1.475,1.5,-1,-1,0,0
2023-03-13,1.5,1.5,1.455,1.455,-1,-1,0,0
2023-03-14,1.49,1.5,1.48,1.49,-1,-1,0,0
2023-03-15,1.49,1.49,1.465,1.47,-1,-1,0,0
2023-03-16,1.46,1.49,1.455,1.455,-1,-1,0,0
2023-03-17,1.465,1.48,1.45,1.48,-1,-1,0,0
2023-03-20,1.45,1.5,1.45,1.48,-1,-1,0,0
2023-03-21,1.46,1.46,1.45,1.45,-1,-1,0,0
2023-03-22,1.455,1.48,1.425,1.475,-1,-1,0,0
2023-03-23,1.425,1.475,1.425,1.45,-1,-1,0,0
2023-03-24,1.43,1.475,1.415,1.47,-1,-1,0,0
2023-03-27,1.47,1.47,1.4,1.47,-1,-1,0,0
2023-03-28,1.41,1.495,1.41,1.495,-1,-1,0,0
2023-03-29,1.45,1.47,1.4,1.4,-1,-1,0,0
2023-03-30,1.35,1.455,1.35,1.44,-1,-1,0,0
2023-03-31,1.445,1.45,1.4,1.45,-1,-1,0,0
2023-04-03,1.47,1.475,1.4,1.4,-1,-1,0,0
2023-04-04,1.37,1.4,1.35,1.4,-1,-1,0,0
2023-04-05,1.395,1.395,1.35,1.35,-1,-1,0,0
2023-04-06,1.35,1.39,1.32,1.38,-1,-1,0,0
2023-04-11,1.39,1.39,1.32,1.34,-1,-1,0,0
2023-04-12,1.34,1.34,1.3,1.32,-1,-1,0,0
2023-04-13,1.32,1.32,1.28,1.29,-1,-1,0,0
2023-04-14,1.29,1.3,1.225,1.275,-1,-1,0,0
2023-04-17,1.27,1.27,1.22,1.245,-1,-1,0,0
2023-04-18,1.245,1.275,1.24,1.275,-1,-1,0,0
2023-04-19,1.3,1.3,1.24,1.3,-1,-1,0,0
2023-04-20,1.29,1.3,1.29,1.3,-1,-1,0,0
2023-04-21,1.3,1.3,1.25,1.3,-1,-1,0,0
2023-04-24,1.3,1.3,1.2,1.2,-1,-1,0,0
2023-04-25,1.245,1.37,1.245,1.37,-1,-1,0,0
2023-04-26,1.38,1.49,1.37,1.465,-1,-1,0,0
2023-04-27,1.45,1.45,1.34,1.4,-1,-1,0,0
2023-04-28,1.35,1.39,1.3,1.38,-1,-1,0,0
2023-05-02,1.31,1.375,1.31,1.375,-1,-1,0,0
2023-05-04,1.31,1.37,1.27,1.37,-1,-1,0,0
2023-05-05,1.37,1.37,1.3,1.365,-1,-1,0,0
2023-05-08,1.37,1.37,1.3,1.32,-1,-1,0,0
2023-05-09,1.3,1.35,1.3,1.35,-1,-1,0,0
2023-05-10,1.34,1.36,1.31,1.36,-1,-1,0,0
2023-05-11,1.3,1.36,1.3,1.36,-1,-1,0,0
2023-05-12,1.31,1.355,1.3,1.355,-1,-1,0,0
2023-05-15,1.35,1.35,1.29,1.3,-1,-1,0,0
2023-05-16,1.3,1.3,1.27,1.3,-1,-1,0,0
2023-05-17,1.275,1.3,1.25,1.3,-1,-1,0,0
2023-05-18,1.3,1.35,1.25,1.35,-1,-1,0,0
2023-05-19,1.255,1.345,1.255,1.3,-1,-1,0,0
2023-05-22,1.3,1.34,1.3,1.31,-1,-1,0,0
2023-05-23,1.31,1.36,1.3,1.36,-1,-1,0,0
2023-05-24,1.36,1.38,1.305,1.32,-1,-1,0,0
2023-05-25,1.38,1.4,1.3,1.39,-1,-1,0,0
2023-05-26,1.33,1.35,1.315,1.35,-1,-1,0,0
2023-05-29,1.34,1.35,1.34,1.34,-1,-1,0,0
2023-05-30,1.31,1.31,1.255,1.3,-1,-1,0,0
2023-05-31,1.3,1.3,1.26,1.3,-1,-1,0,0
2023-06-01,1.29,1.3,1.26,1.3,-1,-1,0,0
2023-06-02,1.3,1.3,1.265,1.3,-1,-1,0,0
2023-06-05,1.3,1.3,1.26,1.27,-1,-1,0,0
2023-06-06,1.29,1.29,1.28,1.28,-1,-1,0,0
2023-06-07,1.26,1.31,1.26,1.3,-1,-1,0,0
2023-06-09,1.3,1.34,1.3,1.31,-1,-1,0,0
2023-06-12,1.31,1.36,1.31,1.34,-1,-1,0,0
2023-06-13,1.345,1.35,1.3,1.34,-1,-1,0,0
2023-06-14,1.3,1.41,1.3,1.395,-1,-1,0,0
2023-06-15,1.37,1.4,1.37,1.37,-1,-1,0,0
2023-06-16,1.37,1.38,1.35,1.38,-1,-1,0,0
2023-06-19,1.4,1.4,1.35,1.35,-1,-1,0,0
2023-06-20,1.35,1.43,1.35,1.43,-1,-1,0,0
2023-06-21,1.43,1.43,1.34,1.395,-1,-1,0,0
2023-06-22,1.35,1.4,1.35,1.4,-1,-1,0,0
2023-06-23,1.435,1.44,1.37,1.435,-1,-1,0,0
2023-06-26,1.42,1.435,1.35,1.35,-1,-1,0,0
2023-06-27,1.35,1.35,1.32,1.34,-1,-1,0,0
2023-06-28,1.34,1.35,1.32,1.35,-1,-1,0,0
2023-06-29,1.315,1.35,1.315,1.35,-1,-1,0,0
2023-06-30,1.31,1.35,1.31,1.35,-1,-1,0,0
2023-07-03,1.35,1.35,1.35,1.35,-1,-1,0,0
2023-07-04,1.345,1.35,1.315,1.35,-1,-1,0,0
2023-07-05,1.35,1.35,1.32,1.35,-1,-1,0,0
2023-07-06,1.35,1.35,1.32,1.32,-1,-1,0,0
2023-07-07,1.32,1.35,1.3,1.3,-1,-1,0,0
2023-07-10,1.3,1.36,1.29,1.29,-1,-1,0,0
2023-07-11,1.3,1.36,1.3,1.36,-1,-1,0,0
2023-07-12,1.36,1.36,1.32,1.33,-1,-1,0,0
2023-07-13,1.33,1.35,1.3,1.345,-1,-1,0,0
2023-07-14,1.345,1.35,1.3,1.31,-1,-1,0,0
2023-07-17,1.33,1.35,1.31,1.33,-1,-1,0,0
2023-07-18,1.33,1.36,1.33,1.33,-1,-1,0,0
2023-07-19,1.36,1.38,1.33,1.33,-1,-1,0,0
2023-07-20,1.375,1.375,1.33,1.33,-1,-1,0,0
2023-07-21,1.34,1.37,1.33,1.365,-1,-1,0,0
2023-07-24,1.33,1.37,1.33,1.37,-1,-1,0,0
2023-07-25,1.36,1.4,1.34,1.4,-1,-1,0,0
2023-07-26,1.39,1.4,1.34,1.39,-1,-1,0,0
2023-07-27,1.39,1.45,1.355,1.4,-1,-1,0,0
2023-07-28,1.43,1.835,1.4,1.7,-1,-1,0,0
2023-07-31,1.7,1.82,1.58,1.66,-1,-1,0,0
2023-08-01,1.7,1.7,1.61,1.61,-1,-1,0,0
2023-08-02,1.6,2.12,1.6,2.12,-1,-1,0,0
2023-08-03,2.29,2.37,1.92,2.05,-1,-1,0,0
2023-08-04,2.05,2.23,2.05,2.18,-1,-1,0,0
2023-08-07,2.2,2.2,2.0,2.05,-1,-1,0,0
2023-08-08,2.07,2.07,1.8,1.82,-1,-1,0,0
2023-08-09,1.82,1.93,1.75,1.845,-1,-1,0,0
2023-08-10,1.845,1.89,1.765,1.84,-1,-1,0,0
2023-08-11,1.84,1.85,1.75,1.84,-1,-1,0,0
2023-08-14,1.84,1.845,1.75,1.8,-1,-1,0,0
2023-08-16,1.815,1.815,1.65,1.65,-1,-1,0,0
2023-08-17,1.65,1.73,1.55,1.6,-1,-1,0,0
2023-08-18,1.62,1.65,1.32,1.45,-1,-1,0,0
2023-08-21,1.45,1.75,1.45,1.69,-1,-1,0,0
2023-08-22,1.7,2.05,1.67,1.965,-1,-1,0,0
2023-08-23,1.995,2.25,1.88,2.08,-1,-1,0,0
2023-08-24,2.08,2.19,1.895,1.92,-1,-1,0,0
2023-08-25,1.895,1.9,1.815,1.895,-1,-1,0,0
2023-08-28,1.895,1.97,1.89,1.9,-1,-1,0,0
