Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-22,79.9,82.7,77.7,80.9,167,221,2,1
2022-08-23,82.0,82.0,79.5,80.0,167,221,2,1
2022-08-24,80.0,82.0,77.5,79.0,167,221,2,1
2022-08-25,78.9,80.5,77.5,78.1,167,221,2,1
2022-08-26,79.1,79.1,77.6,77.7,167,221,2,1
2022-08-29,77.9,77.9,74.2,76.0,167,221,2,1
2022-08-30,74.9,75.1,73.0,74.9,167,221,2,1
2022-08-31,74.0,75.8,73.6,74.1,167,221,2,1
2022-09-01,75.0,75.0,73.0,73.7,167,221,2,1
2022-09-02,73.7,75.9,73.6,74.4,167,221,2,1
2022-09-05,76.0,76.0,74.8,75.0,167,221,2,1
2022-09-06,75.1,79.0,75.1,78.8,167,221,2,1
2022-09-07,79.8,79.8,78.0,78.6,167,221,2,1
2022-09-08,78.8,79.6,77.6,79.1,167,221,2,1
2022-09-09,79.0,81.5,78.3,80.2,167,221,2,1
2022-09-12,80.1,80.9,78.6,80.5,167,221,2,1
2022-09-13,80.0,80.3,79.0,79.0,167,221,2,1
2022-09-14,80.5,84.1,78.5,83.7,167,221,2,1
2022-09-15,83.0,86.0,82.6,84.8,167,221,2,1
2022-09-16,84.7,84.8,82.7,82.7,167,221,2,1
2022-09-19,82.2,84.7,82.2,84.7,167,221,2,1
2022-09-20,84.7,85.0,83.9,84.0,167,221,2,1
2022-09-21,84.0,85.3,83.5,85.3,167,221,2,1
2022-09-22,85.7,89.9,84.4,88.0,167,221,2,1
2022-09-23,88.0,89.8,86.2,86.2,167,221,2,1
2022-09-26,86.0,86.0,82.9,84.0,167,221,2,1
2022-09-27,83.0,87.8,80.8,87.0,167,221,2,1
2022-09-28,87.1,89.3,86.0,86.6,167,221,2,1
2022-09-29,86.8,87.7,84.2,84.3,167,221,2,1
2022-09-30,85.0,89.9,84.0,87.1,167,221,2,1
2022-10-03,87.9,87.9,83.0,86.0,167,221,2,1
2022-10-04,86.3,88.4,86.3,88.4,167,221,2,1
2022-10-05,88.6,89.6,87.0,88.4,167,221,2,1
2022-10-06,87.2,87.9,87.0,87.8,167,221,2,1
2022-10-07,88.0,88.0,87.1,87.8,167,221,2,1
2022-10-10,88.1,88.7,86.7,86.7,167,221,2,1
2022-10-11,87.0,87.0,84.5,85.8,167,221,2,1
2022-10-12,86.0,87.0,85.2,86.0,167,221,2,1
2022-10-13,85.5,87.0,82.5,83.8,167,221,2,1
2022-10-14,84.8,85.7,83.5,84.4,167,221,2,1
2022-10-17,83.4,84.0,82.9,84.0,167,221,2,1
2022-10-18,84.0,85.0,84.0,84.5,167,221,2,1
2022-10-19,84.2,86.0,84.1,86.0,167,221,2,1
2022-10-20,85.5,86.1,85.5,86.0,167,221,2,1
2022-10-21,86.0,86.0,84.2,85.0,167,221,2,1
2022-10-24,84.5,84.9,82.7,83.9,167,221,2,1
2022-10-25,83.2,84.1,83.1,83.1,167,221,2,1
2022-10-26,83.0,84.2,82.9,84.2,167,221,2,1
2022-10-27,84.2,85.5,84.1,84.8,167,221,2,1
2022-10-28,83.8,85.0,83.0,84.9,167,221,2,1
2022-10-31,84.8,84.8,83.3,84.5,167,221,2,1
2022-11-02,84.5,84.7,83.9,84.7,167,221,2,1
