Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-28,6.69,6.744,6.55,6.55,53,72,2,1
2023-03-29,6.63,6.63,6.508,6.59,53,72,2,1
2023-03-30,6.6,6.686,6.49,6.666,53,72,2,1
2023-03-31,6.7,6.826,6.612,6.826,53,72,2,1
2023-04-03,6.844,6.91,6.802,6.848,53,72,2,1
2023-04-04,6.852,6.866,6.73,6.838,53,72,2,1
2023-04-05,6.816,7.042,6.812,7.022,53,72,2,1
2023-04-06,7.05,7.086,6.926,7.022,53,72,2,1
2023-04-07,7.022,7.022,7.022,7.022,53,72,2,1
2023-04-10,7.022,7.022,7.022,7.022,53,72,2,1
2023-04-11,7.09,7.09,6.91,6.97,53,72,2,1
2023-04-12,6.95,7.06,6.914,7.044,53,72,2,1
2023-04-13,7.072,7.176,6.974,7.15,53,72,2,1
2023-04-14,7.15,7.248,7.144,7.18,53,72,2,1
2023-04-17,7.18,7.23,7.16,7.23,53,72,2,1
2023-04-18,7.238,7.338,7.18,7.288,53,72,2,1
2023-04-19,7.25,7.396,7.208,7.38,53,72,2,1
2023-04-20,7.35,7.456,7.336,7.358,53,72,2,1
2023-04-21,7.286,7.32,7.066,7.14,53,72,2,1
2023-04-24,7.166,7.25,7.11,7.192,53,72,2,1
2023-04-25,7.19,7.208,7.052,7.1,53,72,2,1
2023-04-26,7.13,7.2,7.054,7.12,53,72,2,1
2023-04-27,7.2,7.236,7.072,7.22,53,72,2,1
2023-04-28,7.25,7.288,7.178,7.248,53,72,2,1
2023-05-01,7.248,7.248,7.248,7.248,53,72,2,1
2023-05-02,7.286,7.452,7.248,7.41,53,72,2,1
2023-05-03,7.41,7.41,7.41,7.41,53,72,2,1
2023-05-04,7.438,7.512,7.336,7.416,53,72,2,1
2023-05-05,7.464,7.602,7.448,7.53,53,72,2,1
2023-05-08,7.59,7.66,7.526,7.62,53,72,2,1
2023-05-09,7.55,7.598,7.508,7.58,53,72,2,1
2023-05-10,7.516,7.602,7.42,7.444,53,72,2,1
2023-05-11,7.518,7.534,7.416,7.48,53,72,2,1
2023-05-12,7.52,7.606,7.466,7.6,53,72,2,1
2023-05-15,7.608,7.638,7.442,7.518,53,72,2,1
2023-05-16,7.5,7.628,7.466,7.584,53,72,2,1
2023-05-17,7.55,7.566,7.332,7.382,53,72,2,1
2023-05-18,7.496,7.496,7.264,7.348,53,72,2,1
2023-05-19,7.4,7.472,7.268,7.422,53,72,2,1
2023-05-22,7.43,7.5,7.378,7.43,53,72,2,1
2023-05-23,7.45,7.524,7.44,7.504,53,72,2,1
2023-05-24,7.54,7.54,7.264,7.35,53,72,2,1
2023-05-25,7.36,7.36,7.142,7.212,53,72,2,1
