Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-16,13.35,13.38,13.01,13.12,118,161,2,1
2022-12-19,13.19,13.39,13.15,13.39,118,161,2,1
2022-12-20,13.25,13.45,13.16,13.31,118,161,2,1
2022-12-21,13.31,13.67,13.23,13.65,118,161,2,1
2022-12-22,13.65,13.65,13.41,13.45,118,161,2,1
2022-12-23,13.45,13.64,13.45,13.45,118,161,2,1
2022-12-27,13.5,13.56,13.26,13.32,118,161,2,1
2022-12-28,13.3,13.3,13.13,13.16,118,161,2,1
2022-12-29,13.18,13.5,13.17,13.43,118,161,2,1
2022-12-30,13.45,13.67,13.4,13.6,118,161,2,1
2023-01-02,13.57,13.84,13.36,13.72,118,161,2,1
2023-01-03,13.55,14.88,13.55,14.7,118,161,2,1
2023-01-04,14.7,14.85,14.49,14.7,118,161,2,1
2023-01-05,14.74,14.98,14.48,14.65,118,161,2,1
2023-01-09,14.89,15.14,14.8,15.09,118,161,2,1
2023-01-10,15.02,15.58,14.95,15.1,118,161,2,1
2023-01-11,15.14,15.25,14.78,14.78,118,161,2,1
2023-01-12,14.78,15.13,14.68,14.68,118,161,2,1
2023-01-13,14.7,14.87,14.55,14.71,118,161,2,1
2023-01-16,14.65,14.76,14.52,14.54,118,161,2,1
2023-01-17,14.59,14.79,14.15,14.78,118,161,2,1
2023-01-18,14.8,15.03,14.62,14.65,118,161,2,1
2023-01-19,14.6,14.73,14.42,14.69,118,161,2,1
2023-01-20,14.77,15.33,14.77,15.11,118,161,2,1
2023-01-23,15.2,15.33,14.93,15.07,118,161,2,1
2023-01-24,15.1,15.21,14.8,14.8,118,161,2,1
2023-01-25,14.89,14.97,14.56,14.73,118,161,2,1
2023-01-26,14.75,14.88,14.63,14.65,118,161,2,1
2023-01-27,14.64,14.77,14.54,14.56,118,161,2,1
2023-01-30,14.56,14.77,14.21,14.25,118,161,2,1
2023-01-31,14.2,14.88,14.12,14.88,118,161,2,1
2023-02-01,14.87,14.88,14.29,14.48,118,161,2,1
2023-02-02,14.78,14.85,14.58,14.7,118,161,2,1
2023-02-03,14.7,14.8,14.54,14.7,118,161,2,1
2023-02-06,14.76,15.28,14.74,14.97,118,161,2,1
2023-02-07,14.97,15.07,14.72,15.07,118,161,2,1
2023-02-08,15.0,15.26,15.0,15.13,118,161,2,1
2023-02-09,15.15,15.75,15.15,15.25,118,161,2,1
2023-02-10,15.16,15.4,14.65,14.97,118,161,2,1
2023-02-13,15.0,15.08,14.65,14.89,118,161,2,1
2023-02-14,14.9,15.09,14.76,14.89,118,161,2,1
2023-02-15,14.89,14.9,14.72,14.9,118,161,2,1
2023-02-16,14.94,15.08,14.7,15.08,118,161,2,1
2023-02-17,15.08,15.08,14.88,14.98,118,161,2,1
2023-02-20,15.0,15.0,14.72,14.72,118,161,2,1
2023-02-21,14.77,14.83,14.18,14.38,118,161,2,1
2023-02-22,14.43,14.47,14.2,14.44,118,161,2,1
2023-02-23,14.49,14.64,14.4,14.5,118,161,2,1
2023-02-24,14.54,14.65,14.39,14.63,118,161,2,1
2023-02-27,14.6,14.92,14.6,14.79,118,161,2,1
2023-02-28,14.71,15.01,14.68,14.94,118,161,2,1
2023-03-01,14.78,14.96,14.71,14.84,118,161,2,1
2023-03-02,14.8,14.87,14.6,14.8,118,161,2,1
2023-03-03,14.88,15.1,14.6,14.75,118,161,2,1
2023-03-06,14.8,15.35,14.75,15.2,118,161,2,1
2023-03-07,15.21,15.25,14.83,14.84,118,161,2,1
2023-03-08,14.88,15.02,14.8,14.81,118,161,2,1
2023-03-09,15.0,15.0,14.7,14.93,118,161,2,1
2023-03-10,14.76,14.77,14.36,14.5,118,161,2,1
2023-03-13,14.4,14.62,14.14,14.44,118,161,2,1
2023-03-14,14.44,14.59,14.21,14.59,118,161,2,1
2023-03-15,14.45,14.6,13.98,14.25,118,161,2,1
2023-03-16,14.15,14.38,13.77,14.15,118,161,2,1
2023-03-17,14.17,14.28,13.41,13.41,118,161,2,1
2023-03-20,13.3,13.84,13.14,13.67,118,161,2,1
2023-03-21,13.64,14.05,13.64,13.98,118,161,2,1
2023-03-22,13.99,14.1,13.74,13.8,118,161,2,1
2023-03-23,13.95,13.95,13.26,13.33,118,161,2,1
2023-03-24,13.36,13.48,13.18,13.25,118,161,2,1
2023-03-27,13.25,13.75,13.25,13.61,118,161,2,1
2023-03-28,14.65,16.11,14.5,15.99,118,161,2,1
2023-03-29,15.97,17.87,15.96,17.2,118,161,2,1
2023-03-30,17.66,18.7,17.6,18.5,118,161,2,1
2023-03-31,18.6,18.7,17.7,18.66,118,161,2,1
2023-04-03,18.6,18.8,17.74,18.5,118,161,2,1
2023-04-04,18.45,19.38,18.41,19.0,118,161,2,1
2023-04-05,19.04,19.05,18.62,18.84,118,161,2,1
2023-04-06,18.63,19.2,18.62,18.8,118,161,2,1
2023-04-11,18.76,19.0,18.54,18.62,118,161,2,1
2023-04-12,18.58,18.94,18.55,18.76,118,161,2,1
2023-04-13,18.8,19.17,18.68,18.75,118,161,2,1
2023-04-14,18.72,18.83,18.43,18.59,118,161,2,1
2023-04-17,18.51,18.65,18.14,18.47,118,161,2,1
2023-04-18,18.43,18.71,18.35,18.44,118,161,2,1
2023-04-19,18.21,18.29,17.65,17.79,118,161,2,1
2023-04-20,17.85,18.52,17.85,18.47,118,161,2,1
2023-04-21,18.19,18.68,17.85,18.65,118,161,2,1
2023-04-24,18.45,18.54,18.05,18.21,118,161,2,1
2023-04-25,18.2,18.2,17.7,17.79,118,161,2,1
2023-04-26,17.72,18.81,17.72,18.21,118,161,2,1
2023-04-27,18.12,19.07,18.12,18.97,118,161,2,1
2023-04-28,18.94,18.98,18.34,18.97,118,161,2,1
2023-05-02,18.97,19.18,18.64,18.64,118,161,2,1
2023-05-04,18.7,18.91,17.95,17.99,118,161,2,1
2023-05-05,17.99,18.49,17.7,18.35,118,161,2,1
2023-05-08,18.57,19.5,18.35,19.24,118,161,2,1
2023-05-09,19.24,19.38,18.88,19.1,118,161,2,1
2023-05-10,19.1,19.24,18.89,19.1,118,161,2,1
2023-05-11,18.99,19.6,18.97,19.48,118,161,2,1
2023-05-12,18.97,18.99,17.08,17.45,118,161,2,1
2023-05-15,17.3,18.49,17.3,18.37,118,161,2,1
