Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-16,129.3,134.7,126.66,132.64,38,52,2,1
2022-12-19,133.0,133.58,128.2,128.74,38,52,2,1
2022-12-20,127.2,129.52,126.66,128.0,38,52,2,1
2022-12-21,128.0,130.74,127.82,130.1,38,52,2,1
2022-12-22,130.0,130.64,126.82,127.1,38,52,2,1
2022-12-23,127.2,130.5,125.82,129.3,38,52,2,1
2022-12-27,130.0,130.0,126.84,127.04,38,52,2,1
2022-12-28,127.0,128.96,125.52,125.68,38,52,2,1
2022-12-29,126.0,129.3,126.0,128.86,38,52,2,1
2022-12-30,128.0,130.38,128.0,129.64,38,52,2,1
2023-01-02,129.0,131.74,128.66,129.34,38,52,2,1
2023-01-03,130.0,132.08,128.2,129.0,38,52,2,1
2023-01-04,130.6,130.6,126.7,127.5,38,52,2,1
2023-01-05,127.2,134.12,127.1,132.56,38,52,2,1
2023-01-09,132.6,136.0,131.3,133.74,38,52,2,1
2023-01-10,132.26,138.64,131.5,138.16,38,52,2,1
2023-01-11,138.34,139.38,134.3,135.76,38,52,2,1
2023-01-12,135.7,135.8,128.66,129.94,38,52,2,1
2023-01-13,130.2,134.2,130.08,132.14,38,52,2,1
2023-01-16,133.0,133.4,128.82,128.82,38,52,2,1
2023-01-17,129.0,131.16,127.2,129.4,38,52,2,1
2023-01-18,129.22,134.8,129.22,133.28,38,52,2,1
2023-01-19,131.18,134.5,130.12,132.5,38,52,2,1
2023-01-20,132.9,134.6,131.6,132.52,38,52,2,1
2023-01-23,132.54,135.98,132.54,135.7,38,52,2,1
2023-01-24,135.7,137.3,132.9,133.92,38,52,2,1
2023-01-25,133.0,133.38,131.0,131.52,38,52,2,1
2023-01-26,133.36,135.6,132.54,134.66,38,52,2,1
2023-01-27,135.0,136.42,133.4,133.9,38,52,2,1
2023-01-30,133.5,134.0,131.2,132.8,38,52,2,1
2023-01-31,134.24,140.32,133.0,139.32,38,52,2,1
2023-02-01,139.5,141.84,137.18,138.28,38,52,2,1
2023-02-02,141.5,148.16,140.14,145.78,38,52,2,1
2023-02-03,146.98,148.54,144.56,146.8,38,52,2,1
2023-02-06,145.6,145.94,141.32,142.56,38,52,2,1
2023-02-07,141.98,141.98,136.02,141.28,38,52,2,1
2023-02-08,142.56,145.4,141.52,141.7,38,52,2,1
2023-02-09,143.0,143.66,141.1,141.48,38,52,2,1
2023-02-10,140.68,141.1,136.18,138.64,38,52,2,1
2023-02-13,139.6,140.38,137.0,138.9,38,52,2,1
2023-02-14,140.5,143.0,133.8,134.24,38,52,2,1
2023-02-15,133.7,138.5,133.3,138.4,38,52,2,1
2023-02-16,139.16,140.64,136.8,139.52,38,52,2,1
2023-02-17,139.0,139.34,135.82,135.82,38,52,2,1
2023-02-20,136.24,137.74,135.1,136.34,38,52,2,1
2023-02-21,136.0,136.0,131.22,131.22,38,52,2,1
2023-02-22,131.2,132.56,129.16,131.94,38,52,2,1
2023-02-23,132.06,135.86,132.06,134.5,38,52,2,1
2023-02-24,134.14,134.14,129.46,129.52,38,52,2,1
2023-02-27,130.0,133.04,129.38,132.12,38,52,2,1
2023-02-28,132.12,133.84,130.7,132.4,38,52,2,1
2023-03-01,133.86,135.6,131.9,132.26,38,52,2,1
2023-03-02,132.0,132.3,129.42,130.8,38,52,2,1
2023-03-03,132.0,133.54,129.7,130.66,38,52,2,1
2023-03-06,132.0,132.5,130.2,132.2,38,52,2,1
2023-03-07,132.5,134.8,131.4,133.46,38,52,2,1
2023-03-08,134.68,134.68,131.46,132.26,38,52,2,1
2023-03-09,132.0,133.78,131.46,132.18,38,52,2,1
2023-03-10,130.9,131.2,127.62,128.7,38,52,2,1
2023-03-13,128.72,130.04,120.8,127.08,38,52,2,1
2023-03-14,127.04,132.4,127.0,130.0,38,52,2,1
2023-03-15,130.0,132.56,128.82,129.36,38,52,2,1
2023-03-16,131.5,135.4,130.0,135.4,38,52,2,1
2023-03-17,135.2,136.3,130.28,131.0,38,52,2,1
2023-03-20,130.0,132.28,128.82,130.72,38,52,2,1
2023-03-21,125.5,127.7,114.9,116.46,38,52,2,1
2023-03-22,115.44,116.4,112.32,112.78,38,52,2,1
2023-03-23,112.22,113.2,109.22,110.0,38,52,2,1
2023-03-24,110.0,113.2,109.52,110.6,38,52,2,1
2023-03-27,111.5,114.36,110.52,114.06,38,52,2,1
2023-03-28,114.76,114.78,108.9,109.0,38,52,2,1
2023-03-29,110.0,110.84,105.52,110.18,38,52,2,1
2023-03-30,110.22,114.7,109.74,113.28,38,52,2,1
2023-03-31,120.0,124.4,111.22,111.22,38,52,2,1
2023-04-03,110.94,111.0,106.44,108.06,38,52,2,1
2023-04-04,109.6,110.1,107.94,108.44,38,52,2,1
2023-04-05,109.1,109.1,107.0,107.84,38,52,2,1
2023-04-06,107.8,108.66,106.0,106.2,38,52,2,1
2023-04-11,107.3,107.88,103.92,105.64,38,52,2,1
2023-04-12,105.6,110.28,105.3,108.84,38,52,2,1
2023-04-13,108.84,110.18,108.5,110.0,38,52,2,1
2023-04-14,110.9,112.82,110.4,110.74,38,52,2,1
2023-04-17,111.8,113.2,110.14,110.94,38,52,2,1
2023-04-18,111.76,111.94,109.52,109.7,38,52,2,1
2023-04-19,109.38,110.0,107.84,109.2,38,52,2,1
2023-04-20,109.65,110.6,108.5,109.65,38,52,2,1
2023-04-21,109.0,111.9,108.45,110.8,38,52,2,1
2023-04-24,111.4,111.75,109.6,110.3,38,52,2,1
2023-04-25,110.5,112.25,110.1,111.0,38,52,2,1
2023-04-26,111.2,112.8,110.5,111.95,38,52,2,1
2023-04-27,111.6,114.5,110.9,114.0,38,52,2,1
2023-04-28,114.1,115.2,113.1,113.3,38,52,2,1
