Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-01,450,451,440,440,49,66,2,1
2022-12-02,440,442,435,435,49,66,2,1
2022-12-05,442,451,438,440,49,66,2,1
2022-12-06,451,451,433,436,49,66,2,1
2022-12-07,436,446,433,433,49,66,2,1
2022-12-08,442,442,431,442,49,66,2,1
2022-12-09,433,433,430,430,49,66,2,1
2022-12-12,436,438,430,432,49,66,2,1
2022-12-13,432,436,430,436,49,66,2,1
2022-12-14,436,441,434,434,49,66,2,1
2022-12-15,434,434,432,432,49,66,2,1
2022-12-16,432,432,429,432,49,66,2,1
2022-12-19,435,435,435,435,49,66,2,1
2022-12-20,430,432,428,432,49,66,2,1
2022-12-21,434,434,427,430,49,66,2,1
2022-12-22,430,430,427,430,49,66,2,1
2022-12-23,426,430,426,430,49,66,2,1
2022-12-27,427,429,427,428,49,66,2,1
2022-12-28,428,436,428,433,49,66,2,1
2022-12-29,433,446,431,432,49,66,2,1
2022-12-30,435,436,431,431,49,66,2,1
2023-01-02,440,446,440,446,49,66,2,1
2023-01-03,447,458,446,458,49,66,2,1
2023-01-04,458,477,456,465,49,66,2,1
2023-01-05,472,474,465,465,49,66,2,1
2023-01-09,472,473,460,460,49,66,2,1
2023-01-10,465,475,465,470,49,66,2,1
2023-01-11,475,475,460,460,49,66,2,1
2023-01-12,460,469,460,460,49,66,2,1
2023-01-13,460,465,445,460,49,66,2,1
2023-01-16,460,466,455,456,49,66,2,1
2023-01-17,467,467,456,456,49,66,2,1
2023-01-18,467,467,456,466,49,66,2,1
2023-01-19,466,467,463,463,49,66,2,1
2023-01-20,462,462,455,460,49,66,2,1
2023-01-23,460,464,456,464,49,66,2,1
2023-01-24,462,462,460,461,49,66,2,1
2023-01-25,461,470,452,468,49,66,2,1
2023-01-26,468,478,460,475,49,66,2,1
2023-01-27,478,480,464,470,49,66,2,1
2023-01-30,470,478,470,474,49,66,2,1
2023-01-31,474,474,464,470,49,66,2,1
2023-02-01,474,477,463,463,49,66,2,1
2023-02-02,463,470,463,470,49,66,2,1
2023-02-03,470,477,470,477,49,66,2,1
2023-02-06,477,477,470,472,49,66,2,1
2023-02-07,472,474,472,474,49,66,2,1
2023-02-08,474,474,466,466,49,66,2,1
2023-02-09,466,473,466,473,49,66,2,1
2023-02-10,465,465,464,464,49,66,2,1
2023-02-13,472,472,462,462,49,66,2,1
2023-02-14,464,466,461,466,49,66,2,1
2023-02-15,462,462,460,460,49,66,2,1
2023-02-16,460,463,456,463,49,66,2,1
2023-02-17,461,461,461,461,49,66,2,1
2023-02-20,460,460,456,456,49,66,2,1
2023-02-21,455,460,454,460,49,66,2,1
2023-02-22,454,454,454,454,49,66,2,1
2023-02-23,455,460,454,454,49,66,2,1
2023-02-24,454,454,454,454,49,66,2,1
2023-02-27,454,459,453,459,49,66,2,1
2023-02-28,460,460,451,453,49,66,2,1
2023-03-01,453,453,451,453,49,66,2,1
2023-03-02,455,456,450,456,49,66,2,1
2023-03-03,453,457,453,457,49,66,2,1
2023-03-06,460,460,450,452,49,66,2,1
2023-03-07,452,470,452,470,49,66,2,1
2023-03-08,470,470,454,464,49,66,2,1
2023-03-09,455,464,455,464,49,66,2,1
2023-03-10,466,466,461,461,49,66,2,1
2023-03-13,461,461,451,452,49,66,2,1
2023-03-14,450,450,450,450,49,66,2,1
2023-03-15,451,458,440,440,49,66,2,1
2023-03-16,439,447,439,445,49,66,2,1
2023-03-17,442,453,442,442,49,66,2,1
2023-03-20,444,453,438,453,49,66,2,1
2023-03-21,453,458,448,450,49,66,2,1
2023-03-22,446,454,446,454,49,66,2,1
2023-03-23,454,475,447,470,49,66,2,1
2023-03-24,476,479,462,470,49,66,2,1
2023-03-27,474,474,463,470,49,66,2,1
2023-03-28,472,472,462,472,49,66,2,1
2023-03-29,473,474,465,465,49,66,2,1
2023-03-30,471,471,468,468,49,66,2,1
2023-03-31,470,475,463,475,49,66,2,1
2023-04-03,474,478,470,478,49,66,2,1
2023-04-04,478,478,470,476,49,66,2,1
2023-04-05,472,472,470,470,49,66,2,1
2023-04-06,470,470,462,470,49,66,2,1
2023-04-11,468,476,468,476,49,66,2,1
2023-04-12,475,476,465,476,49,66,2,1
2023-04-13,476,476,476,476,49,66,2,1
2023-04-14,476,476,466,475,49,66,2,1
2023-04-17,476,478,475,478,49,66,2,1
2023-04-18,478,488,475,487,49,66,2,1
2023-04-19,486,486,480,480,49,66,2,1
2023-04-20,481,484,480,484,49,66,2,1
2023-04-21,485,486,482,486,49,66,2,1
2023-04-24,485,485,482,482,49,66,2,1
2023-04-25,489,508,489,508,49,66,2,1
2023-04-26,510,510,498,502,49,66,2,1
2023-04-27,504,510,496,497,49,66,2,1
2023-04-28,497,508,496,506,49,66,2,1
2023-05-02,500,504,497,500,49,66,2,1
2023-05-04,497,500,497,500,49,66,2,1
2023-05-05,506,516,506,508,49,66,2,1
2023-05-08,506,506,504,506,49,66,2,1
2023-05-09,510,524,508,510,49,66,2,1
2023-05-10,512,520,512,516,49,66,2,1
2023-05-11,516,524,510,524,49,66,2,1
2023-05-12,520,528,520,520,49,66,2,1
2023-05-15,520,530,520,528,49,66,2,1
2023-05-16,524,534,518,530,49,66,2,1
2023-05-17,530,530,526,530,49,66,2,1
2023-05-18,528,542,528,530,49,66,2,1
