Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-10,7.96,7.96,7.84,7.92,53,71,2,1
2022-11-14,7.92,7.98,7.76,7.98,53,71,2,1
2022-11-15,7.98,7.98,7.98,7.98,53,71,2,1
2022-11-16,7.8,7.9,7.8,7.9,53,71,2,1
2022-11-17,7.8,7.9,7.8,7.9,53,71,2,1
2022-11-18,7.88,7.88,7.8,7.88,53,71,2,1
2022-11-21,7.86,7.88,7.84,7.84,53,71,2,1
2022-11-22,7.88,7.88,7.88,7.88,53,71,2,1
2022-11-23,7.86,7.88,7.86,7.88,53,71,2,1
2022-11-24,7.86,7.86,7.8,7.86,53,71,2,1
2022-11-25,7.8,7.84,7.8,7.8,53,71,2,1
2022-11-28,7.8,7.8,7.7,7.78,53,71,2,1
2022-11-29,7.7,7.74,7.7,7.74,53,71,2,1
2022-11-30,7.66,7.94,7.64,7.94,53,71,2,1
2022-12-01,7.82,7.94,7.82,7.86,53,71,2,1
2022-12-02,7.8,7.86,7.8,7.86,53,71,2,1
2022-12-05,7.96,7.96,7.72,7.86,53,71,2,1
2022-12-06,7.76,7.9,7.76,7.9,53,71,2,1
2022-12-07,7.88,7.96,7.8,7.96,53,71,2,1
2022-12-08,7.84,7.96,7.76,7.86,53,71,2,1
2022-12-09,7.82,7.9,7.8,7.88,53,71,2,1
2022-12-12,7.8,7.86,7.78,7.86,53,71,2,1
2022-12-13,7.86,7.88,7.86,7.88,53,71,2,1
2022-12-14,7.86,8.06,7.86,8.0,53,71,2,1
2022-12-15,8.0,8.0,7.96,8.0,53,71,2,1
2022-12-16,7.96,7.98,7.96,7.98,53,71,2,1
2022-12-19,7.98,7.98,7.96,7.98,53,71,2,1
2022-12-20,7.94,7.94,7.86,7.94,53,71,2,1
2022-12-21,7.96,7.96,7.82,7.94,53,71,2,1
2022-12-22,7.82,7.94,7.66,7.9,53,71,2,1
2022-12-23,7.9,7.9,7.76,7.9,53,71,2,1
2022-12-27,7.8,7.94,7.74,7.82,53,71,2,1
2022-12-28,7.8,7.88,7.78,7.8,53,71,2,1
2022-12-29,7.88,7.88,7.86,7.88,53,71,2,1
2022-12-30,7.78,7.88,7.7,7.86,53,71,2,1
2023-01-02,8.28,8.28,7.86,8.0,53,71,2,1
2023-01-03,7.84,7.98,7.84,7.86,53,71,2,1
2023-01-04,7.86,7.94,7.84,7.94,53,71,2,1
2023-01-05,7.84,7.9,7.82,7.9,53,71,2,1
2023-01-09,8.0,8.0,7.9,7.96,53,71,2,1
2023-01-10,7.9,7.98,7.84,7.96,53,71,2,1
2023-01-11,7.98,7.98,7.98,7.98,53,71,2,1
2023-01-12,7.98,8.18,7.98,8.16,53,71,2,1
2023-01-13,8.14,8.14,8.02,8.12,53,71,2,1
2023-01-16,8.0,8.08,8.0,8.06,53,71,2,1
2023-01-17,7.98,9.22,7.98,8.96,53,71,2,1
2023-01-18,8.94,8.94,8.48,8.6,53,71,2,1
2023-01-19,8.6,8.74,8.44,8.54,53,71,2,1
2023-01-20,8.46,8.5,8.24,8.38,53,71,2,1
2023-01-23,8.28,8.5,8.28,8.48,53,71,2,1
2023-01-24,8.38,8.6,8.24,8.46,53,71,2,1
2023-01-25,8.4,8.58,8.4,8.5,53,71,2,1
2023-01-26,8.5,8.5,8.38,8.48,53,71,2,1
2023-01-27,8.7,8.84,8.56,8.6,53,71,2,1
2023-01-30,8.64,8.7,8.24,8.5,53,71,2,1
2023-01-31,8.48,8.58,8.28,8.46,53,71,2,1
2023-02-01,8.58,8.58,8.32,8.42,53,71,2,1
2023-02-02,8.4,8.58,8.3,8.46,53,71,2,1
2023-02-03,8.32,8.48,8.22,8.22,53,71,2,1
2023-02-06,8.1,8.46,7.9,8.38,53,71,2,1
2023-02-07,8.3,8.3,8.0,8.2,53,71,2,1
2023-02-08,8.26,8.3,8.0,8.06,53,71,2,1
2023-02-09,8.3,8.3,8.0,8.3,53,71,2,1
2023-02-10,8.28,8.28,8.0,8.12,53,71,2,1
2023-02-13,8.06,8.06,7.86,8.0,53,71,2,1
2023-02-14,7.96,8.24,7.9,7.94,53,71,2,1
2023-02-15,7.92,8.0,7.86,8.0,53,71,2,1
2023-02-16,7.98,7.98,7.84,7.92,53,71,2,1
2023-02-17,7.84,7.9,7.82,7.9,53,71,2,1
2023-02-20,7.84,7.9,7.82,7.9,53,71,2,1
2023-02-21,7.9,7.9,7.8,7.8,53,71,2,1
2023-02-22,7.88,7.88,7.88,7.88,53,71,2,1
2023-02-23,7.78,7.78,7.76,7.76,53,71,2,1
2023-02-24,7.74,7.74,7.52,7.52,53,71,2,1
2023-02-27,7.5,7.58,7.46,7.58,53,71,2,1
2023-02-28,7.44,7.88,7.44,7.8,53,71,2,1
2023-03-01,7.8,7.8,7.54,7.8,53,71,2,1
2023-03-02,7.78,7.78,7.6,7.6,53,71,2,1
2023-03-03,7.74,7.8,7.66,7.8,53,71,2,1
2023-03-06,7.88,7.88,7.8,7.8,53,71,2,1
2023-03-07,7.68,7.74,7.68,7.74,53,71,2,1
2023-03-08,7.74,7.74,7.62,7.72,53,71,2,1
2023-03-09,7.72,7.72,7.6,7.72,53,71,2,1
2023-03-10,7.7,7.7,7.7,7.7,53,71,2,1
2023-03-13,7.7,7.7,7.52,7.52,53,71,2,1
2023-03-14,7.58,7.74,7.58,7.74,53,71,2,1
2023-03-15,7.8,7.82,7.6,7.82,53,71,2,1
2023-03-16,7.66,7.76,7.66,7.74,53,71,2,1
2023-03-17,7.74,7.82,7.64,7.8,53,71,2,1
2023-03-20,7.76,7.76,7.66,7.76,53,71,2,1
2023-03-21,7.76,7.78,7.76,7.78,53,71,2,1
2023-03-22,7.78,7.78,7.78,7.78,53,71,2,1
2023-03-23,7.76,7.78,7.6,7.78,53,71,2,1
2023-03-24,7.54,7.78,7.54,7.78,53,71,2,1
2023-03-27,7.78,7.78,7.78,7.78,53,71,2,1
2023-03-28,7.68,7.78,7.68,7.78,53,71,2,1
2023-03-29,7.7,7.7,7.54,7.66,53,71,2,1
