Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-06-13,46.0,47.7,42.8,44.5,85,112,2,1
2022-06-14,45.9,45.9,43.8,45.8,85,112,2,1
2022-06-15,45.2,47.2,44.0,47.2,85,112,2,1
2022-06-17,47.0,47.0,43.85,45.1,85,112,2,1
2022-06-20,46.1,46.1,41.6,44.0,85,112,2,1
2022-06-21,42.8,43.9,42.4,43.9,85,112,2,1
2022-06-22,42.6,43.9,41.85,43.9,85,112,2,1
2022-06-23,43.8,43.8,42.0,42.3,85,112,2,1
2022-06-24,42.2,44.0,41.1,42.0,85,112,2,1
2022-06-27,40.6,42.7,40.5,41.75,85,112,2,1
2022-06-28,41.2,43.0,39.9,40.8,85,112,2,1
2022-06-29,40.85,40.85,39.45,40.0,85,112,2,1
2022-06-30,39.5,39.5,37.5,38.3,85,112,2,1
2022-07-01,38.3,39.9,37.1,38.5,85,112,2,1
2022-07-04,39.4,39.4,35.65,36.65,85,112,2,1
2022-07-05,36.0,37.35,35.35,36.8,85,112,2,1
2022-07-06,36.8,36.85,35.35,36.0,85,112,2,1
2022-07-07,36.85,40.5,36.3,37.0,85,112,2,1
2022-07-08,37.2,38.45,36.2,37.3,85,112,2,1
2022-07-11,37.6,38.5,36.8,37.5,85,112,2,1
2022-07-12,37.5,39.1,37.0,37.05,85,112,2,1
2022-07-13,38.5,38.5,37.1,37.8,85,112,2,1
2022-07-14,37.95,37.95,36.5,36.8,85,112,2,1
2022-07-15,37.25,37.35,35.9,36.85,85,112,2,1
2022-07-18,37.2,37.4,36.05,36.6,85,112,2,1
2022-07-19,36.9,37.6,36.9,37.45,85,112,2,1
2022-07-20,37.8,39.0,37.65,38.6,85,112,2,1
2022-07-21,38.8,38.8,36.65,37.0,85,112,2,1
2022-07-22,37.0,37.5,36.45,36.95,85,112,2,1
2022-07-25,36.9,36.9,35.8,35.8,85,112,2,1
2022-07-26,35.9,36.7,35.7,36.2,85,112,2,1
2022-07-27,37.0,37.15,36.0,36.05,85,112,2,1
2022-07-28,36.8,36.8,35.7,36.35,85,112,2,1
2022-07-29,36.4,36.8,35.6,36.3,85,112,2,1
2022-08-01,36.5,36.75,35.5,35.6,85,112,2,1
2022-08-02,36.45,36.9,35.5,36.3,85,112,2,1
2022-08-03,37.0,39.55,37.0,38.85,85,112,2,1
2022-08-04,39.1,41.3,38.0,38.8,85,112,2,1
2022-08-05,39.8,39.8,38.5,38.9,85,112,2,1
2022-08-08,39.75,39.75,38.0,39.0,85,112,2,1
2022-08-09,39.75,49.0,39.7,49.0,85,112,2,1
2022-08-10,48.9,51.7,46.4,49.0,85,112,2,1
2022-08-11,49.0,49.5,46.6,47.0,85,112,2,1
2022-08-12,46.1,47.9,45.5,47.3,85,112,2,1
2022-08-16,47.3,49.0,45.8,47.0,85,112,2,1
2022-08-17,47.0,49.9,45.6,49.1,85,112,2,1
2022-08-18,49.1,51.1,47.2,47.2,85,112,2,1
2022-08-19,47.7,47.7,45.5,45.8,85,112,2,1
2022-08-22,46.6,46.65,45.0,45.8,85,112,2,1
2022-08-23,45.8,46.95,45.0,46.2,85,112,2,1
2022-08-24,46.9,46.9,45.0,46.6,85,112,2,1
2022-08-25,46.6,46.6,44.0,44.15,85,112,2,1
2022-08-26,45.3,45.3,44.2,44.6,85,112,2,1
2022-08-29,44.6,44.6,41.4,42.55,85,112,2,1
2022-08-30,42.0,42.95,41.7,42.95,85,112,2,1
2022-08-31,43.0,43.0,41.0,41.95,85,112,2,1
2022-09-01,41.95,41.95,39.0,40.7,85,112,2,1
2022-09-02,40.75,44.0,40.75,42.4,85,112,2,1
2022-09-05,42.8,43.0,41.9,42.2,85,112,2,1
2022-09-06,42.9,44.0,42.6,42.8,85,112,2,1
2022-09-07,44.9,44.9,42.95,44.5,85,112,2,1
2022-09-08,44.5,45.0,43.7,44.5,85,112,2,1
2022-09-09,45.9,46.35,44.5,45.25,85,112,2,1
2022-09-12,45.25,48.2,43.5,47.6,85,112,2,1
2022-09-13,47.0,48.5,46.0,46.0,85,112,2,1
2022-09-14,47.6,47.85,46.0,47.85,85,112,2,1
2022-09-15,47.85,48.55,46.3,47.95,85,112,2,1
2022-09-16,47.95,47.95,43.2,46.0,85,112,2,1
2022-09-19,44.0,44.75,39.6,39.95,85,112,2,1
2022-09-20,40.0,41.3,36.0,37.35,85,112,2,1
2022-09-21,37.35,37.75,34.7,36.2,85,112,2,1
2022-09-22,35.4,37.95,35.3,36.55,85,112,2,1
2022-09-23,36.5,36.95,35.0,35.0,85,112,2,1
2022-09-26,35.0,35.0,31.3,31.3,85,112,2,1
2022-09-27,31.95,33.0,29.4,30.95,85,112,2,1
2022-09-28,30.45,31.0,29.9,30.55,85,112,2,1
2022-09-29,30.8,31.5,29.5,30.4,85,112,2,1
2022-09-30,30.25,30.7,29.1,30.35,85,112,2,1
2022-10-03,30.3,31.0,30.0,31.0,85,112,2,1
2022-10-04,31.1,33.4,31.1,32.15,85,112,2,1
2022-10-05,32.25,33.8,32.0,32.15,85,112,2,1
2022-10-06,32.6,32.6,31.35,31.35,85,112,2,1
2022-10-07,31.35,31.9,31.25,31.25,85,112,2,1
2022-10-10,31.0,32.5,30.8,31.8,85,112,2,1
2022-10-11,31.8,32.5,31.5,31.6,85,112,2,1
2022-10-12,32.4,33.2,32.4,32.7,85,112,2,1
2022-10-13,32.85,33.2,31.35,32.25,85,112,2,1
