Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-06-13,8.0,8.0,7.56,7.7,67,90,2,1
2022-06-14,7.66,7.84,7.61,7.83,67,90,2,1
2022-06-15,7.83,7.83,7.63,7.8,67,90,2,1
2022-06-17,7.6,7.83,7.6,7.67,67,90,2,1
2022-06-20,7.68,7.75,7.62,7.67,67,90,2,1
2022-06-21,7.75,7.84,7.68,7.8,67,90,2,1
2022-06-22,7.84,7.98,7.75,7.75,67,90,2,1
2022-06-23,7.84,7.92,7.69,7.92,67,90,2,1
2022-06-24,8.0,8.1,7.82,8.08,67,90,2,1
2022-06-27,8.1,8.1,7.87,7.87,67,90,2,1
2022-06-28,7.86,8.08,7.86,7.97,67,90,2,1
2022-06-29,8.07,8.08,7.88,8.08,67,90,2,1
2022-06-30,8.08,8.1,7.92,7.93,67,90,2,1
2022-07-01,8.04,8.04,7.8,7.81,67,90,2,1
2022-07-04,7.81,7.81,7.63,7.71,67,90,2,1
2022-07-05,7.71,7.76,7.46,7.51,67,90,2,1
2022-07-06,7.59,7.77,7.42,7.42,67,90,2,1
2022-07-07,7.4,7.73,7.4,7.72,67,90,2,1
2022-07-08,7.76,7.83,7.53,7.77,67,90,2,1
2022-07-11,7.88,7.88,7.61,7.82,67,90,2,1
2022-07-12,7.79,7.79,7.42,7.46,67,90,2,1
2022-07-13,7.57,7.57,7.3,7.38,67,90,2,1
2022-07-14,7.49,7.57,7.38,7.56,67,90,2,1
2022-07-15,7.5,7.55,7.38,7.4,67,90,2,1
2022-07-18,7.55,7.63,7.44,7.57,67,90,2,1
2022-07-19,7.47,7.6,7.4,7.53,67,90,2,1
2022-07-20,7.5,7.63,7.5,7.63,67,90,2,1
2022-07-21,7.64,7.67,7.46,7.62,67,90,2,1
2022-07-22,7.62,7.62,7.5,7.55,67,90,2,1
2022-07-25,7.5,7.6,7.44,7.44,67,90,2,1
2022-07-26,7.44,7.58,7.43,7.5,67,90,2,1
2022-07-27,7.5,7.5,7.41,7.5,67,90,2,1
2022-07-28,7.52,7.74,7.44,7.66,67,90,2,1
2022-07-29,7.66,7.85,7.59,7.66,67,90,2,1
2022-08-01,7.65,7.85,7.6,7.75,67,90,2,1
2022-08-02,7.83,7.83,7.7,7.7,67,90,2,1
2022-08-03,7.77,7.77,7.5,7.5,67,90,2,1
2022-08-04,7.61,7.61,7.36,7.36,67,90,2,1
2022-08-05,7.49,7.58,7.34,7.58,67,90,2,1
2022-08-08,7.58,7.74,7.58,7.74,67,90,2,1
2022-08-09,7.8,7.8,7.54,7.58,67,90,2,1
2022-08-10,7.85,8.3,7.84,8.05,67,90,2,1
2022-08-11,8.06,8.25,8.05,8.1,67,90,2,1
2022-08-12,8.2,8.57,8.15,8.53,67,90,2,1
2022-08-16,8.68,8.94,8.53,8.68,67,90,2,1
2022-08-17,8.65,8.65,8.0,8.37,67,90,2,1
2022-08-18,8.3,8.4,8.1,8.4,67,90,2,1
2022-08-19,8.46,8.46,8.0,8.13,67,90,2,1
2022-08-22,8.25,8.25,8.1,8.1,67,90,2,1
2022-08-23,8.19,8.2,8.03,8.03,67,90,2,1
2022-08-24,8.15,8.15,8.02,8.1,67,90,2,1
2022-08-25,8.14,8.21,8.01,8.11,67,90,2,1
2022-08-26,8.11,8.19,7.8,7.92,67,90,2,1
2022-08-29,7.76,7.76,7.55,7.67,67,90,2,1
2022-08-30,7.55,7.96,7.5,7.5,67,90,2,1
2022-08-31,7.58,7.72,7.43,7.72,67,90,2,1
2022-09-01,7.72,7.72,7.24,7.24,67,90,2,1
2022-09-02,7.3,7.48,7.3,7.32,67,90,2,1
2022-09-05,7.63,7.63,7.04,7.13,67,90,2,1
2022-09-06,7.13,7.15,6.7,6.73,67,90,2,1
2022-09-07,6.7,6.87,6.56,6.68,67,90,2,1
2022-09-08,6.73,6.88,6.52,6.6,67,90,2,1
2022-09-09,6.75,7.19,6.75,6.98,67,90,2,1
2022-09-12,7.1,7.18,6.86,7.15,67,90,2,1
2022-09-13,7.22,7.22,6.8,6.86,67,90,2,1
2022-09-14,6.98,6.98,6.7,6.75,67,90,2,1
2022-09-15,6.79,6.98,6.78,6.93,67,90,2,1
2022-09-16,6.81,6.93,6.78,6.9,67,90,2,1
