Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-07-21,6.56,6.74,6.56,6.74,50,67,2,1
2022-07-22,6.74,6.76,6.56,6.64,50,67,2,1
2022-07-25,6.64,6.8,6.58,6.62,50,67,2,1
2022-07-26,6.62,6.64,6.56,6.64,50,67,2,1
2022-07-27,6.7,6.7,6.64,6.64,50,67,2,1
2022-07-28,6.66,6.7,6.5,6.54,50,67,2,1
2022-07-29,6.54,6.7,6.54,6.56,50,67,2,1
2022-08-01,6.7,6.72,6.58,6.6,50,67,2,1
2022-08-02,6.58,6.72,6.58,6.58,50,67,2,1
2022-08-03,6.68,6.72,6.6,6.72,50,67,2,1
2022-08-04,6.64,6.72,6.6,6.72,50,67,2,1
2022-08-05,6.6,6.74,6.6,6.74,50,67,2,1
2022-08-08,6.76,6.76,6.62,6.74,50,67,2,1
2022-08-09,6.6,6.68,6.6,6.6,50,67,2,1
2022-08-10,6.68,6.68,6.58,6.64,50,67,2,1
2022-08-11,6.6,6.7,6.6,6.7,50,67,2,1
2022-08-12,6.74,6.76,6.62,6.68,50,67,2,1
2022-08-16,6.68,6.74,6.62,6.74,50,67,2,1
2022-08-17,6.74,6.78,6.66,6.76,50,67,2,1
2022-08-18,6.7,6.76,6.64,6.72,50,67,2,1
2022-08-19,6.62,6.78,6.62,6.66,50,67,2,1
2022-08-22,6.66,6.72,6.56,6.72,50,67,2,1
2022-08-23,6.58,6.72,6.58,6.72,50,67,2,1
2022-08-24,6.64,6.72,6.62,6.72,50,67,2,1
2022-08-25,6.6,6.6,6.6,6.6,50,67,2,1
2022-08-26,6.64,6.66,6.6,6.6,50,67,2,1
2022-08-29,6.62,6.62,6.54,6.54,50,67,2,1
2022-08-30,6.54,6.54,6.42,6.44,50,67,2,1
2022-08-31,6.42,6.42,6.34,6.38,50,67,2,1
2022-09-01,6.46,6.54,6.32,6.42,50,67,2,1
2022-09-02,6.52,6.52,6.42,6.5,50,67,2,1
2022-09-05,6.32,6.54,6.32,6.34,50,67,2,1
2022-09-06,6.54,6.54,6.34,6.4,50,67,2,1
2022-09-07,6.5,6.52,6.34,6.52,50,67,2,1
2022-09-08,6.34,6.76,6.34,6.76,50,67,2,1
2022-09-09,6.72,6.72,6.72,6.72,50,67,2,1
2022-09-12,6.76,6.76,6.62,6.72,50,67,2,1
2022-09-13,6.62,6.7,6.5,6.5,50,67,2,1
2022-09-14,6.56,6.66,6.5,6.66,50,67,2,1
2022-09-15,6.68,6.68,6.64,6.64,50,67,2,1
2022-09-16,6.58,6.66,6.54,6.66,50,67,2,1
2022-09-19,6.64,6.66,6.64,6.66,50,67,2,1
2022-09-20,6.6,6.66,6.6,6.66,50,67,2,1
2022-09-21,6.4,6.4,6.0,6.38,50,67,2,1
2022-09-22,6.2,6.38,6.14,6.22,50,67,2,1
2022-09-23,6.24,6.5,6.24,6.4,50,67,2,1
2022-09-26,6.36,6.36,6.12,6.36,50,67,2,1
2022-09-27,6.12,6.38,6.12,6.38,50,67,2,1
