Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-17,73.3,73.4,70.78,71.18,26,34,2,1
2022-08-18,71.8,74.48,71.1,73.6,26,34,2,1
2022-08-19,72.5,73.34,71.22,72.0,26,34,2,1
2022-08-22,72.2,72.98,70.34,71.84,26,34,2,1
2022-08-23,71.2,71.56,69.5,69.5,26,34,2,1
2022-08-24,69.5,69.96,67.12,67.3,26,34,2,1
2022-08-25,68.64,70.2,68.44,69.5,26,34,2,1
2022-08-26,69.72,69.76,66.5,67.14,26,34,2,1
2022-08-29,66.0,66.42,64.98,66.04,26,34,2,1
2022-08-30,66.38,67.5,65.12,65.46,26,34,2,1
2022-08-31,66.0,66.58,64.04,65.2,26,34,2,1
2022-09-01,65.0,65.0,61.48,61.48,26,34,2,1
2022-09-02,62.46,62.82,61.36,62.5,26,34,2,1
2022-09-05,61.66,62.76,60.3,62.44,26,34,2,1
2022-09-06,62.3,62.78,61.44,62.08,26,34,2,1
2022-09-07,62.0,63.14,61.1,62.8,26,34,2,1
2022-09-08,63.7,65.3,63.12,64.44,26,34,2,1
2022-09-09,65.5,68.68,65.24,68.58,26,34,2,1
2022-09-12,69.9,72.38,68.66,72.36,26,34,2,1
2022-09-13,72.66,72.8,69.04,70.0,26,34,2,1
2022-09-14,68.28,70.76,68.04,70.28,26,34,2,1
2022-09-15,71.0,72.02,70.2,71.0,26,34,2,1
2022-09-16,70.0,70.78,67.14,68.2,26,34,2,1
2022-09-19,68.2,69.8,67.64,69.76,26,34,2,1
2022-09-20,70.9,71.34,67.26,67.64,26,34,2,1
2022-09-21,67.0,67.7,66.2,66.54,26,34,2,1
2022-09-22,65.54,67.7,64.64,67.1,26,34,2,1
2022-09-23,66.5,66.72,64.24,64.7,26,34,2,1
2022-09-26,64.3,65.0,62.66,64.0,26,34,2,1
2022-09-27,65.0,65.9,63.8,64.54,26,34,2,1
2022-09-28,63.1,63.52,61.28,63.12,26,34,2,1
2022-09-29,64.0,64.0,60.72,61.18,26,34,2,1
2022-09-30,61.18,61.88,60.12,60.7,26,34,2,1
2022-10-03,60.6,60.74,58.42,60.04,26,34,2,1
2022-10-04,61.3,63.82,61.0,63.7,26,34,2,1
2022-10-05,63.98,63.98,61.24,61.5,26,34,2,1
2022-10-06,62.4,63.5,61.88,62.7,26,34,2,1
2022-10-07,62.7,64.16,62.22,63.88,26,34,2,1
2022-10-10,63.46,64.2,62.8,63.28,26,34,2,1
2022-10-11,63.36,66.48,62.3,65.0,26,34,2,1
2022-10-12,65.74,66.76,64.2,66.0,26,34,2,1
2022-10-13,66.7,66.7,63.0,65.14,26,34,2,1
2022-10-14,66.96,68.44,66.38,67.34,26,34,2,1
2022-10-17,67.34,68.7,66.58,68.14,26,34,2,1
2022-10-18,69.46,72.28,69.0,72.1,26,34,2,1
2022-10-19,72.1,73.04,69.8,70.2,26,34,2,1
2022-10-20,70.5,72.9,70.02,72.64,26,34,2,1
2022-10-21,72.0,73.9,71.18,72.0,26,34,2,1
2022-10-24,72.8,73.7,71.9,73.1,26,34,2,1
2022-10-25,73.6,73.9,71.92,73.06,26,34,2,1
2022-10-26,73.5,74.62,73.1,74.62,26,34,2,1
2022-10-27,74.5,76.16,73.7,76.1,26,34,2,1
2022-10-28,75.78,77.7,74.44,77.0,26,34,2,1
2022-10-31,77.0,78.74,76.76,78.44,26,34,2,1
2022-11-02,78.5,79.58,77.54,79.46,26,34,2,1
2022-11-03,76.5,78.32,76.42,77.1,26,34,2,1
2022-11-04,77.58,77.68,75.74,75.82,26,34,2,1
2022-11-07,76.24,81.06,76.16,79.38,26,34,2,1
2022-11-08,79.42,80.26,78.26,79.68,26,34,2,1
2022-11-09,79.7,80.8,79.36,80.04,26,34,2,1
