Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-07-06,2.48,2.53,2.45,2.5,26,33,2,1
2023-07-07,2.43,2.52,2.43,2.52,26,33,2,1
2023-07-10,2.52,2.52,2.4,2.49,26,33,2,1
2023-07-11,2.44,2.49,2.37,2.44,26,33,2,1
2023-07-12,2.43,2.45,2.43,2.45,26,33,2,1
2023-07-13,2.45,2.47,2.41,2.47,26,33,2,1
2023-07-14,2.47,2.5,2.42,2.46,26,33,2,1
2023-07-17,2.51,2.58,2.44,2.58,26,33,2,1
2023-07-18,2.57,2.62,2.53,2.58,26,33,2,1
2023-07-19,2.53,2.57,2.51,2.57,26,33,2,1
2023-07-20,2.51,2.56,2.5,2.56,26,33,2,1
2023-07-21,2.51,2.54,2.5,2.54,26,33,2,1
2023-07-24,2.54,2.54,2.46,2.46,26,33,2,1
2023-07-25,2.47,2.59,2.45,2.57,26,33,2,1
2023-07-26,2.57,2.64,2.54,2.59,26,33,2,1
2023-07-27,2.54,2.6,2.53,2.59,26,33,2,1
2023-07-28,2.59,2.59,2.54,2.59,26,33,2,1
2023-07-31,2.59,2.6,2.52,2.59,26,33,2,1
2023-08-01,2.62,2.62,2.52,2.6,26,33,2,1
2023-08-02,2.6,2.6,2.6,2.6,26,33,2,1
2023-08-03,2.58,2.64,2.58,2.64,26,33,2,1
2023-08-04,2.64,2.65,2.56,2.65,26,33,2,1
2023-08-07,2.65,2.65,2.58,2.65,26,33,2,1
2023-08-08,2.63,2.63,2.56,2.56,26,33,2,1
2023-08-09,2.63,2.63,2.57,2.63,26,33,2,1
2023-08-10,2.58,2.6,2.58,2.6,26,33,2,1
2023-08-11,2.6,2.63,2.57,2.62,26,33,2,1
2023-08-14,2.6,2.6,2.53,2.6,26,33,2,1
2023-08-16,2.59,2.59,2.51,2.58,26,33,2,1
2023-08-17,2.54,2.6,2.51,2.6,26,33,2,1
2023-08-18,2.6,2.61,2.52,2.58,26,33,2,1
2023-08-21,2.52,2.52,2.5,2.5,26,33,2,1
2023-08-22,2.5,2.5,2.47,2.5,26,33,2,1
2023-08-23,2.5,2.54,2.47,2.54,26,33,2,1
2023-08-24,2.54,2.55,2.47,2.54,26,33,2,1
2023-08-25,2.54,2.54,2.54,2.54,26,33,2,1
2023-08-28,2.53,2.53,2.46,2.52,26,33,2,1
2023-08-29,2.52,2.52,2.52,2.52,26,33,2,1
2023-08-30,2.49,2.5,2.4,2.4,26,33,2,1
2023-08-31,2.37,2.49,2.35,2.35,26,33,2,1
