Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-27,1.65,1.658,1.644,1.65,60,81,2,1
2023-02-28,1.66,1.66,1.634,1.648,60,81,2,1
2023-03-01,1.636,1.668,1.634,1.666,60,81,2,1
2023-03-02,1.64,1.652,1.62,1.638,60,81,2,1
2023-03-03,1.63,1.646,1.626,1.64,60,81,2,1
2023-03-06,1.65,1.652,1.628,1.634,60,81,2,1
2023-03-07,1.63,1.668,1.626,1.658,60,81,2,1
2023-03-08,1.658,1.668,1.634,1.65,60,81,2,1
2023-03-09,1.658,1.668,1.628,1.628,60,81,2,1
2023-03-10,1.628,1.65,1.62,1.65,60,81,2,1
2023-03-13,1.65,1.676,1.55,1.628,60,81,2,1
2023-03-14,1.6,1.66,1.6,1.63,60,81,2,1
2023-03-15,1.64,1.64,1.57,1.57,60,81,2,1
2023-03-16,1.544,1.598,1.542,1.584,60,81,2,1
2023-03-17,1.562,1.618,1.56,1.584,60,81,2,1
2023-03-20,1.582,1.584,1.574,1.578,60,81,2,1
2023-03-21,1.582,1.618,1.56,1.56,60,81,2,1
2023-03-22,1.608,1.61,1.558,1.58,60,81,2,1
2023-03-23,1.57,1.57,1.546,1.546,60,81,2,1
2023-03-24,1.55,1.574,1.51,1.564,60,81,2,1
2023-03-27,1.538,1.546,1.52,1.538,60,81,2,1
2023-03-28,1.522,1.618,1.522,1.578,60,81,2,1
2023-03-29,1.55,1.598,1.532,1.598,60,81,2,1
2023-03-30,1.598,1.6,1.56,1.59,60,81,2,1
2023-03-31,1.59,1.6,1.562,1.6,60,81,2,1
2023-04-03,1.6,1.688,1.6,1.682,60,81,2,1
2023-04-04,1.69,1.69,1.65,1.69,60,81,2,1
2023-04-05,1.688,1.696,1.652,1.678,60,81,2,1
2023-04-06,1.656,1.72,1.65,1.72,60,81,2,1
2023-04-11,1.72,1.744,1.7,1.732,60,81,2,1
2023-04-12,1.732,1.732,1.7,1.728,60,81,2,1
2023-04-13,1.73,1.73,1.7,1.72,60,81,2,1
2023-04-14,1.722,1.728,1.704,1.724,60,81,2,1
2023-04-17,1.728,1.73,1.702,1.722,60,81,2,1
2023-04-18,1.722,1.722,1.702,1.718,60,81,2,1
2023-04-19,1.7,1.72,1.69,1.69,60,81,2,1
2023-04-20,1.69,1.71,1.69,1.71,60,81,2,1
2023-04-21,1.705,1.705,1.65,1.7,60,81,2,1
2023-04-24,1.71,1.71,1.69,1.695,60,81,2,1
2023-04-25,1.665,1.7,1.66,1.695,60,81,2,1
2023-04-26,1.685,1.695,1.66,1.695,60,81,2,1
2023-04-27,1.69,1.695,1.63,1.67,60,81,2,1
2023-04-28,1.635,1.675,1.54,1.66,60,81,2,1
2023-05-02,1.66,1.68,1.625,1.68,60,81,2,1
2023-05-04,1.68,1.68,1.61,1.67,60,81,2,1
2023-05-05,1.67,1.685,1.61,1.68,60,81,2,1
2023-05-08,1.635,1.68,1.625,1.66,60,81,2,1
2023-05-09,1.67,1.67,1.62,1.67,60,81,2,1
2023-05-10,1.67,1.67,1.65,1.67,60,81,2,1
2023-05-11,1.67,1.67,1.62,1.62,60,81,2,1
2023-05-12,1.66,1.665,1.635,1.665,60,81,2,1
2023-05-15,1.63,1.7,1.63,1.67,60,81,2,1
2023-05-16,1.67,1.69,1.645,1.68,60,81,2,1
2023-05-17,1.685,1.685,1.645,1.67,60,81,2,1
2023-05-18,1.67,1.67,1.635,1.65,60,81,2,1
2023-05-19,1.64,1.65,1.63,1.65,60,81,2,1
2023-05-22,1.635,1.66,1.63,1.655,60,81,2,1
2023-05-23,1.66,1.66,1.61,1.64,60,81,2,1
2023-05-24,1.63,1.63,1.6,1.63,60,81,2,1
2023-05-25,1.6,1.625,1.595,1.62,60,81,2,1
2023-05-26,1.66,1.66,1.605,1.62,60,81,2,1
2023-05-29,1.625,1.67,1.62,1.63,60,81,2,1
2023-05-30,1.63,1.63,1.605,1.61,60,81,2,1
2023-05-31,1.605,1.63,1.59,1.59,60,81,2,1
2023-06-01,1.63,1.63,1.59,1.59,60,81,2,1
2023-06-02,1.62,1.625,1.585,1.615,60,81,2,1
2023-06-05,1.59,1.615,1.58,1.61,60,81,2,1
2023-06-06,1.605,1.625,1.595,1.625,60,81,2,1
2023-06-07,1.6,1.62,1.6,1.62,60,81,2,1
2023-06-09,1.6,1.63,1.59,1.63,60,81,2,1
2023-06-12,1.62,1.62,1.6,1.6,60,81,2,1
2023-06-13,1.6,1.615,1.575,1.615,60,81,2,1
2023-06-14,1.57,1.62,1.57,1.61,60,81,2,1
2023-06-15,1.605,1.62,1.605,1.62,60,81,2,1
2023-06-16,1.6,1.61,1.57,1.61,60,81,2,1
2023-06-19,1.61,1.61,1.52,1.58,60,81,2,1
2023-06-20,1.55,1.575,1.53,1.56,60,81,2,1
2023-06-21,1.54,1.55,1.52,1.54,60,81,2,1
2023-06-22,1.53,1.56,1.53,1.56,60,81,2,1
2023-06-23,1.555,1.575,1.51,1.54,60,81,2,1
2023-06-26,1.51,1.54,1.48,1.51,60,81,2,1
2023-06-27,1.52,1.525,1.485,1.515,60,81,2,1
2023-06-28,1.515,1.515,1.46,1.5,60,81,2,1
2023-06-29,1.485,1.5,1.45,1.485,60,81,2,1
2023-06-30,1.48,1.51,1.44,1.5,60,81,2,1
2023-07-03,1.49,1.495,1.46,1.47,60,81,2,1
2023-07-04,1.475,1.48,1.44,1.46,60,81,2,1
2023-07-05,1.45,1.48,1.42,1.48,60,81,2,1
2023-07-06,1.475,1.48,1.44,1.47,60,81,2,1
2023-07-07,1.465,1.47,1.44,1.46,60,81,2,1
2023-07-10,1.47,1.47,1.45,1.46,60,81,2,1
2023-07-11,1.475,1.49,1.455,1.475,60,81,2,1
2023-07-12,1.475,1.475,1.465,1.47,60,81,2,1
2023-07-13,1.475,1.54,1.47,1.495,60,81,2,1
2023-07-14,1.495,1.55,1.495,1.54,60,81,2,1
2023-07-17,1.515,1.59,1.505,1.54,60,81,2,1
2023-07-18,1.54,1.54,1.46,1.5,60,81,2,1
2023-07-19,1.5,1.53,1.44,1.46,60,81,2,1
2023-07-20,1.45,1.47,1.43,1.46,60,81,2,1
2023-07-21,1.445,1.49,1.445,1.475,60,81,2,1
2023-07-24,1.48,1.49,1.46,1.47,60,81,2,1
2023-07-25,1.485,1.495,1.45,1.48,60,81,2,1
2023-07-26,1.47,1.485,1.44,1.47,60,81,2,1
2023-07-27,1.47,1.47,1.425,1.47,60,81,2,1
2023-07-28,1.44,1.46,1.42,1.455,60,81,2,1
2023-07-31,1.43,1.45,1.405,1.43,60,81,2,1
2023-08-01,1.435,1.44,1.385,1.44,60,81,2,1
2023-08-02,1.44,1.44,1.36,1.41,60,81,2,1
2023-08-03,1.41,1.415,1.39,1.41,60,81,2,1
2023-08-04,1.41,1.415,1.39,1.41,60,81,2,1
2023-08-07,1.415,1.42,1.375,1.4,60,81,2,1
2023-08-08,1.4,1.4,1.385,1.395,60,81,2,1
2023-08-09,1.395,1.395,1.385,1.395,60,81,2,1
2023-08-10,1.395,1.445,1.39,1.42,60,81,2,1
2023-08-11,1.425,1.465,1.415,1.425,60,81,2,1
2023-08-14,1.45,1.45,1.43,1.445,60,81,2,1
2023-08-16,1.445,1.45,1.415,1.425,60,81,2,1
2023-08-17,1.435,1.445,1.415,1.435,60,81,2,1
2023-08-18,1.43,1.435,1.4,1.42,60,81,2,1
2023-08-21,1.42,1.42,1.375,1.4,60,81,2,1
2023-08-22,1.395,1.4,1.395,1.4,60,81,2,1
2023-08-23,1.4,1.42,1.37,1.42,60,81,2,1
2023-08-24,1.425,1.425,1.385,1.39,60,81,2,1
2023-08-25,1.42,1.42,1.385,1.405,60,81,2,1
2023-08-28,1.42,1.42,1.37,1.39,60,81,2,1
2023-08-29,1.395,1.395,1.36,1.38,60,81,2,1
2023-08-30,1.385,1.385,1.37,1.385,60,81,2,1
2023-08-31,1.385,1.385,1.375,1.38,60,81,2,1
