Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-02,27.7,28.0,27.6,27.6,26,35,2,1
2023-05-04,28.0,28.1,27.4,27.9,26,35,2,1
2023-05-05,27.9,28.1,27.5,28.1,26,35,2,1
2023-05-08,28.0,28.2,27.5,28.1,26,35,2,1
2023-05-09,28.2,28.2,27.6,28.2,26,35,2,1
2023-05-10,28.0,28.2,27.5,27.9,26,35,2,1
2023-05-11,27.9,28.2,27.2,27.3,26,35,2,1
2023-05-12,27.2,28.0,27.0,28.0,26,35,2,1
2023-05-15,28.0,28.8,27.5,27.9,26,35,2,1
2023-05-16,28.2,30.3,27.4,30.0,26,35,2,1
2023-05-17,31.0,31.8,29.6,30.0,26,35,2,1
2023-05-18,30.8,31.0,29.6,29.9,26,35,2,1
2023-05-19,30.9,31.0,29.5,30.6,26,35,2,1
2023-05-22,31.0,31.9,29.6,30.9,26,35,2,1
2023-05-23,30.9,31.2,30.1,30.1,26,35,2,1
2023-05-24,30.9,31.0,30.0,30.9,26,35,2,1
2023-05-25,31.0,31.0,30.0,30.0,26,35,2,1
2023-05-26,30.0,31.0,30.0,30.2,26,35,2,1
2023-05-29,31.0,31.2,30.2,30.5,26,35,2,1
2023-05-30,31.2,31.2,30.0,30.9,26,35,2,1
2023-05-31,30.9,31.0,29.0,29.1,26,35,2,1
2023-06-01,29.4,30.0,29.0,30.0,26,35,2,1
2023-06-02,30.8,30.8,29.9,30.5,26,35,2,1
2023-06-05,30.5,30.7,29.5,29.5,26,35,2,1
2023-06-06,30.0,30.5,29.6,29.6,26,35,2,1
2023-06-07,29.9,30.0,29.5,30.0,26,35,2,1
2023-06-09,29.6,30.3,29.0,29.0,26,35,2,1
2023-06-12,29.5,29.6,28.8,28.9,26,35,2,1
2023-06-13,28.6,30.0,28.6,29.5,26,35,2,1
2023-06-14,29.5,29.9,28.9,29.4,26,35,2,1
2023-06-15,30.0,30.0,29.0,29.5,26,35,2,1
2023-06-16,29.5,29.5,28.9,28.9,26,35,2,1
2023-06-19,28.7,29.4,28.1,28.1,26,35,2,1
2023-06-20,28.1,29.1,28.0,28.2,26,35,2,1
2023-06-21,28.2,28.7,27.4,27.9,26,35,2,1
2023-06-22,28.0,28.4,27.8,28.4,26,35,2,1
2023-06-23,28.0,28.8,28.0,28.3,26,35,2,1
2023-06-26,28.0,28.7,27.6,28.4,26,35,2,1
2023-06-27,28.7,28.7,27.5,27.5,26,35,2,1
2023-06-28,28.7,28.7,28.2,28.7,26,35,2,1
2023-06-29,28.7,29.8,28.3,29.7,26,35,2,1
2023-06-30,29.8,29.8,28.8,29.8,26,35,2,1
2023-07-03,29.6,29.8,29.6,29.8,26,35,2,1
2023-07-04,29.6,30.2,28.6,30.1,26,35,2,1
2023-07-05,30.1,30.1,28.9,29.5,26,35,2,1
2023-07-06,30.0,30.0,29.2,29.3,26,35,2,1
2023-07-07,29.3,29.7,28.9,29.0,26,35,2,1
2023-07-10,28.9,29.7,28.0,28.3,26,35,2,1
2023-07-11,28.2,28.5,28.0,28.3,26,35,2,1
2023-07-12,28.3,29.1,28.3,29.1,26,35,2,1
2023-07-13,29.1,30.2,28.6,30.0,26,35,2,1
2023-07-14,30.3,30.9,30.2,30.9,26,35,2,1
2023-07-17,31.0,31.0,30.2,31.0,26,35,2,1
2023-07-18,30.9,31.2,30.0,31.2,26,35,2,1
2023-07-19,31.2,31.4,30.7,31.4,26,35,2,1
2023-07-20,31.6,31.6,30.4,31.0,26,35,2,1
2023-07-21,31.4,31.4,30.5,31.0,26,35,2,1
2023-07-24,30.6,31.5,30.6,31.4,26,35,2,1
2023-07-25,31.4,31.4,30.3,30.7,26,35,2,1
2023-07-26,30.6,31.2,30.6,30.6,26,35,2,1
2023-07-27,30.8,30.8,30.5,30.7,26,35,2,1
2023-07-28,30.3,31.1,29.8,30.2,26,35,2,1
2023-07-31,29.9,30.2,29.6,30.0,26,35,2,1
