Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-05,41.42,41.42,40.06,40.16,59,81,2,1
2023-04-06,40.5,40.5,39.94,40.04,59,81,2,1
2023-04-11,40.38,41.22,40.0,40.3,59,81,2,1
2023-04-12,41.18,41.18,40.4,40.82,59,81,2,1
2023-04-13,41.28,41.28,40.62,40.62,59,81,2,1
2023-04-14,40.7,41.08,39.5,39.78,59,81,2,1
2023-04-17,40.2,40.2,38.92,39.64,59,81,2,1
2023-04-18,39.8,40.64,39.44,40.16,59,81,2,1
2023-04-19,39.92,40.14,39.48,39.68,59,81,2,1
2023-04-20,40.22,40.92,40.18,40.28,59,81,2,1
2023-04-21,40.0,40.86,40.0,40.4,59,81,2,1
2023-04-24,40.8,40.88,40.08,40.58,59,81,2,1
2023-04-25,40.78,40.94,40.3,40.3,59,81,2,1
2023-04-26,40.76,40.78,39.84,39.94,59,81,2,1
2023-04-27,40.1,40.32,39.84,40.0,59,81,2,1
2023-04-28,40.3,40.4,39.7,39.88,59,81,2,1
2023-05-02,40.36,40.5,39.52,39.68,59,81,2,1
2023-05-04,40.38,40.64,39.26,39.32,59,81,2,1
2023-05-05,39.32,40.1,39.18,39.8,59,81,2,1
2023-05-08,40.2,40.2,39.54,39.64,59,81,2,1
2023-05-09,39.5,40.36,39.4,40.2,59,81,2,1
2023-05-10,40.3,40.4,39.7,40.1,59,81,2,1
2023-05-11,40.3,40.44,39.8,39.88,59,81,2,1
2023-05-12,39.88,40.54,39.62,40.02,59,81,2,1
2023-05-15,40.4,41.24,39.84,39.96,59,81,2,1
2023-05-16,40.0,41.66,39.8,41.0,59,81,2,1
2023-05-17,41.38,41.38,40.3,40.38,59,81,2,1
2023-05-18,40.76,40.92,40.34,40.38,59,81,2,1
2023-05-19,41.0,42.04,40.46,41.9,59,81,2,1
2023-05-22,42.0,43.16,41.8,42.8,59,81,2,1
2023-05-23,42.98,43.28,41.74,41.76,59,81,2,1
2023-05-24,41.8,42.08,41.16,41.24,59,81,2,1
2023-05-25,41.92,41.92,40.22,40.24,59,81,2,1
2023-05-26,40.7,41.08,40.28,40.9,59,81,2,1
2023-05-29,41.3,41.54,40.72,41.32,59,81,2,1
2023-05-30,41.24,41.24,40.46,40.7,59,81,2,1
2023-05-31,40.6,40.6,39.66,40.0,59,81,2,1
2023-06-01,40.02,41.1,39.62,40.58,59,81,2,1
2023-06-02,41.2,41.42,40.74,41.3,59,81,2,1
2023-06-05,41.48,42.4,41.3,41.86,59,81,2,1
2023-06-06,41.0,41.38,39.42,40.72,59,81,2,1
2023-06-07,40.6,40.9,40.02,40.1,59,81,2,1
2023-06-09,40.8,40.8,38.54,38.54,59,81,2,1
2023-06-12,38.5,38.8,37.64,38.1,59,81,2,1
2023-06-13,38.2,38.42,36.86,37.2,59,81,2,1
2023-06-14,37.1,38.2,37.1,37.7,59,81,2,1
2023-06-15,38.0,38.52,37.66,37.88,59,81,2,1
2023-06-16,38.14,39.28,38.14,38.66,59,81,2,1
2023-06-19,39.18,39.18,38.42,38.6,59,81,2,1
2023-06-20,38.46,39.2,38.44,39.0,59,81,2,1
2023-06-21,39.1,39.26,38.42,38.42,59,81,2,1
2023-06-22,38.38,38.38,37.6,37.6,59,81,2,1
2023-06-23,37.66,37.76,36.58,36.58,59,81,2,1
2023-06-26,36.58,37.4,36.58,37.04,59,81,2,1
2023-06-27,37.18,37.4,36.76,37.0,59,81,2,1
2023-06-28,37.24,37.5,36.9,37.26,59,81,2,1
2023-06-29,37.06,37.36,36.9,36.98,59,81,2,1
2023-06-30,37.0,37.34,36.72,36.82,59,81,2,1
2023-07-03,36.72,37.36,36.3,37.08,59,81,2,1
2023-07-04,37.08,37.3,36.62,36.84,59,81,2,1
2023-07-05,36.6,36.86,36.04,36.4,59,81,2,1
2023-07-06,36.18,36.28,35.9,36.2,59,81,2,1
2023-07-07,36.22,36.5,35.84,35.84,59,81,2,1
2023-07-10,35.8,36.06,35.62,35.8,59,81,2,1
2023-07-11,36.34,36.5,35.9,36.0,59,81,2,1
2023-07-12,35.9,36.7,35.8,36.4,59,81,2,1
2023-07-13,36.96,36.98,35.1,35.34,59,81,2,1
2023-07-14,35.3,35.94,35.3,35.56,59,81,2,1
2023-07-17,35.5,35.8,34.84,34.9,59,81,2,1
2023-07-18,35.0,35.56,34.96,35.54,59,81,2,1
2023-07-19,35.8,35.96,35.48,35.48,59,81,2,1
2023-07-20,35.7,35.72,34.8,34.8,59,81,2,1
2023-07-21,34.8,35.48,34.58,35.3,59,81,2,1
2023-07-24,35.4,36.14,35.38,35.62,59,81,2,1
2023-07-25,36.0,36.02,35.5,35.5,59,81,2,1
2023-07-26,35.5,35.64,34.8,34.94,59,81,2,1
2023-07-27,34.82,34.9,33.82,34.2,59,81,2,1
2023-07-28,33.96,34.3,33.5,34.14,59,81,2,1
2023-07-31,34.14,35.0,34.0,34.54,59,81,2,1
2023-08-01,34.5,34.92,34.04,34.88,59,81,2,1
2023-08-02,35.0,35.0,33.84,33.84,59,81,2,1
2023-08-03,33.8,34.12,33.5,33.78,59,81,2,1
2023-08-04,33.92,34.26,33.54,33.8,59,81,2,1
2023-08-07,33.72,33.98,33.64,33.8,59,81,2,1
2023-08-08,33.6,33.74,32.88,33.02,59,81,2,1
2023-08-09,33.0,33.48,32.78,32.92,59,81,2,1
2023-08-10,33.0,33.38,32.38,33.02,59,81,2,1
2023-08-11,32.8,33.12,32.52,32.52,59,81,2,1
2023-08-14,32.42,32.72,32.06,32.66,59,81,2,1
2023-08-16,32.2,33.2,31.66,31.9,59,81,2,1
