Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-24,30.96,31.18,30.2,30.36,-1,-1,0,0
2022-10-25,30.34,31.82,30.34,31.82,-1,-1,0,0
2022-10-26,31.88,33.34,31.66,33.2,-1,-1,0,0
2022-10-27,33.2,33.84,32.9,33.6,-1,-1,0,0
2022-10-28,33.6,33.6,32.68,32.9,-1,-1,0,0
2022-10-31,33.28,34.3,33.2,33.54,-1,-1,0,0
2022-11-02,33.88,34.08,33.34,34.0,-1,-1,0,0
2022-11-03,34.0,34.16,33.38,34.16,-1,-1,0,0
2022-11-04,34.16,34.88,33.66,34.8,-1,-1,0,0
2022-11-07,34.84,35.66,34.2,34.2,-1,-1,0,0
2022-11-08,34.2,35.26,34.18,35.26,-1,-1,0,0
2022-11-09,35.26,35.46,34.32,34.32,-1,-1,0,0
2022-11-10,34.58,34.74,33.1,34.74,-1,-1,0,0
2022-11-14,34.96,35.88,34.9,35.56,-1,-1,0,0
2022-11-15,35.6,35.94,34.62,35.5,-1,-1,0,0
2022-11-16,35.4,36.0,34.7,36.0,-1,-1,0,0
2022-11-17,36.0,36.0,34.04,34.26,-1,-1,0,0
2022-11-18,34.26,36.56,34.04,36.5,-1,-1,0,0
2022-11-21,36.6,36.68,35.3,35.46,-1,-1,0,0
2022-11-22,35.4,36.54,35.4,36.14,-1,-1,0,0
2022-11-23,36.58,36.98,35.88,35.94,-1,-1,0,0
2022-11-24,35.94,37.08,35.94,37.02,-1,-1,0,0
2022-11-25,38.34,39.72,38.34,39.5,-1,-1,0,0
2022-11-28,39.66,39.7,38.66,38.68,-1,-1,0,0
2022-11-29,38.88,38.88,37.62,38.58,-1,-1,0,0
2022-11-30,39.0,41.0,38.3,40.8,-1,-1,0,0
2022-12-01,41.04,41.58,40.78,41.14,-1,-1,0,0
2022-12-02,41.12,41.12,39.8,40.52,-1,-1,0,0
2022-12-05,40.98,41.98,40.98,41.98,-1,-1,0,0
2022-12-06,41.5,41.84,40.82,41.34,-1,-1,0,0
2022-12-07,41.34,41.86,41.1,41.66,-1,-1,0,0
2022-12-08,41.66,41.76,40.62,41.28,-1,-1,0,0
