Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-23,569.0,579,558.0,570.0,-1,-1,0,0
2023-03-24,578.0,578,561.0,566.0,-1,-1,0,0
2023-03-27,565.0,574,562.0,564.0,-1,-1,0,0
2023-03-28,570.0,571,548.0,550.0,-1,-1,0,0
2023-03-29,554.0,559,537.0,550.0,-1,-1,0,0
2023-03-30,550.0,570,544.0,570.0,-1,-1,0,0
2023-03-31,569.0,570,561.0,568.0,-1,-1,0,0
2023-04-03,570.0,585,555.0,565.0,-1,-1,0,0
2023-04-04,565.0,570,560.0,568.0,-1,-1,0,0
2023-04-05,568.0,573,555.0,568.0,-1,-1,0,0
2023-04-06,570.0,577,568.0,570.0,-1,-1,0,0
2023-04-11,555.0,558,537.0,554.0,-1,-1,0,0
2023-04-12,542.0,542,521.0,526.0,-1,-1,0,0
2023-04-13,529.0,539,528.0,530.0,-1,-1,0,0
2023-04-14,528.0,533,514.0,514.0,-1,-1,0,0
2023-04-17,512.0,536,512.0,528.0,-1,-1,0,0
2023-04-18,529.0,542,529.0,537.0,-1,-1,0,0
2023-04-19,530.0,530,522.0,524.0,-1,-1,0,0
2023-04-20,524.0,527,512.0,523.0,-1,-1,0,0
2023-04-21,523.0,523,512.0,515.0,-1,-1,0,0
2023-04-24,515.0,524,512.0,524.0,-1,-1,0,0
2023-04-25,524.0,524,516.0,516.0,-1,-1,0,0
2023-04-26,512.0,519,507.0,509.0,-1,-1,0,0
2023-04-27,508.0,534,508.0,523.0,-1,-1,0,0
2023-04-28,531.0,539,516.0,516.0,-1,-1,0,0
2023-05-02,517.0,522,506.0,508.0,-1,-1,0,0
2023-05-04,511.0,513,496.5,497.5,-1,-1,0,0
2023-05-05,499.5,512,495.0,506.0,-1,-1,0,0
2023-05-08,506.0,524,503.0,504.0,-1,-1,0,0
2023-05-09,503.0,530,501.0,525.0,-1,-1,0,0
2023-05-10,528.0,533,513.0,516.0,-1,-1,0,0
2023-05-11,517.0,519,508.0,511.0,-1,-1,0,0
2023-05-12,511.0,516,507.0,515.0,-1,-1,0,0
2023-05-15,515.0,515,508.0,515.0,-1,-1,0,0
2023-05-16,515.0,525,511.0,514.0,-1,-1,0,0
2023-05-17,514.0,520,503.0,511.0,-1,-1,0,0
2023-05-18,511.0,519,504.0,511.0,-1,-1,0,0
2023-05-19,514.0,514,503.0,506.0,-1,-1,0,0
2023-05-22,522.0,559,522.0,548.0,-1,-1,0,0
2023-05-23,556.0,558,528.0,534.0,-1,-1,0,0
2023-05-24,530.0,530,512.0,525.0,-1,-1,0,0
2023-05-25,530.0,530,510.0,528.0,-1,-1,0,0
2023-05-26,525.0,529,524.0,525.0,-1,-1,0,0
2023-05-29,530.0,530,522.0,524.0,-1,-1,0,0
2023-05-30,529.0,533,524.0,524.0,-1,-1,0,0
2023-05-31,525.0,527,513.0,526.0,-1,-1,0,0
2023-06-01,530.0,537,529.0,530.0,-1,-1,0,0
2023-06-02,532.0,563,532.0,562.0,-1,-1,0,0
2023-06-05,559.0,569,553.0,560.0,-1,-1,0,0
2023-06-06,557.0,562,552.0,556.0,-1,-1,0,0
2023-06-07,556.0,556,549.0,549.0,-1,-1,0,0
2023-06-09,553.0,553,545.0,545.0,-1,-1,0,0
2023-06-12,530.0,530,517.0,528.0,-1,-1,0,0
2023-06-13,513.0,513,509.0,510.0,-1,-1,0,0
2023-06-14,513.0,515,512.0,515.0,-1,-1,0,0
2023-06-15,515.0,515,512.0,512.0,-1,-1,0,0
2023-06-16,509.0,509,506.0,509.0,-1,-1,0,0
2023-06-19,505.0,505,502.0,505.0,-1,-1,0,0
2023-06-20,504.0,517,503.0,517.0,-1,-1,0,0
2023-06-21,513.0,520,509.0,513.0,-1,-1,0,0
2023-06-22,513.0,532,510.0,532.0,-1,-1,0,0
2023-06-23,532.0,538,526.0,530.0,-1,-1,0,0
2023-06-26,530.0,541,527.0,539.0,-1,-1,0,0
2023-06-27,543.0,549,538.0,544.0,-1,-1,0,0
2023-06-28,548.0,551,540.0,550.0,-1,-1,0,0
2023-06-29,550.0,557,550.0,553.0,-1,-1,0,0
