Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-13,0.78,0.85,0.78,0.85,-1,-1,0,0
2022-09-14,0.85,0.852,0.79,0.852,-1,-1,0,0
2022-09-15,0.852,0.936,0.852,0.936,-1,-1,0,0
2022-09-16,0.95,0.95,0.89,0.89,-1,-1,0,0
2022-09-19,0.85,0.85,0.804,0.804,-1,-1,0,0
2022-09-20,0.806,0.88,0.806,0.88,-1,-1,0,0
2022-09-21,0.88,0.968,0.87,0.87,-1,-1,0,0
2022-09-22,0.87,0.87,0.87,0.87,-1,-1,0,0
2022-09-23,0.87,0.968,0.87,0.91,-1,-1,0,0
2022-09-26,0.91,0.97,0.91,0.94,-1,-1,0,0
2022-09-27,0.96,0.96,0.91,0.91,-1,-1,0,0
2022-09-28,0.946,0.946,0.902,0.902,-1,-1,0,0
2022-09-29,0.902,0.91,0.88,0.9,-1,-1,0,0
2022-09-30,0.89,0.89,0.85,0.85,-1,-1,0,0
2022-10-03,0.85,0.86,0.85,0.86,-1,-1,0,0
2022-10-04,0.86,0.9,0.85,0.9,-1,-1,0,0
2022-10-05,0.9,0.9,0.85,0.85,-1,-1,0,0
2022-10-06,0.852,0.852,0.852,0.852,-1,-1,0,0
2022-10-07,0.85,0.85,0.85,0.85,-1,-1,0,0
2022-10-10,0.83,0.83,0.83,0.83,-1,-1,0,0
2022-10-11,0.83,0.83,0.83,0.83,-1,-1,0,0
2022-10-12,0.848,0.85,0.818,0.85,-1,-1,0,0
2022-10-13,0.85,0.85,0.83,0.83,-1,-1,0,0
2022-10-14,0.85,0.85,0.77,0.77,-1,-1,0,0
2022-10-17,0.774,0.78,0.774,0.774,-1,-1,0,0
2022-10-18,0.774,0.82,0.774,0.82,-1,-1,0,0
2022-10-19,0.774,0.85,0.774,0.81,-1,-1,0,0
2022-10-20,0.812,0.83,0.78,0.83,-1,-1,0,0
2022-10-21,0.85,0.88,0.826,0.826,-1,-1,0,0
2022-10-24,0.828,0.88,0.828,0.88,-1,-1,0,0
2022-10-25,0.88,0.946,0.84,0.946,-1,-1,0,0
2022-10-26,0.92,0.92,0.85,0.88,-1,-1,0,0
2022-10-27,0.88,0.89,0.87,0.87,-1,-1,0,0
2022-10-28,0.874,0.93,0.872,0.872,-1,-1,0,0
2022-10-31,0.9,0.9,0.85,0.85,-1,-1,0,0
2022-11-02,0.85,0.85,0.83,0.83,-1,-1,0,0
2022-11-03,0.84,0.84,0.84,0.84,-1,-1,0,0
2022-11-04,0.84,0.84,0.83,0.83,-1,-1,0,0
2022-11-07,0.83,0.9,0.818,0.9,-1,-1,0,0
2022-11-08,0.9,0.9,0.85,0.89,-1,-1,0,0
2022-11-09,0.9,0.9,0.85,0.9,-1,-1,0,0
2022-11-10,0.9,0.99,0.85,0.986,-1,-1,0,0
2022-11-14,1.0,1.1,0.998,1.0,-1,-1,0,0
2022-11-15,1.0,1.015,1.0,1.01,-1,-1,0,0
2022-11-16,0.99,1.0,0.956,0.956,-1,-1,0,0
2022-11-17,0.956,0.956,0.956,0.956,-1,-1,0,0
2022-11-18,0.956,0.956,0.904,0.938,-1,-1,0,0
2022-11-21,0.95,0.95,0.95,0.95,-1,-1,0,0
2022-11-22,0.95,0.95,0.95,0.95,-1,-1,0,0
2022-11-23,0.94,0.94,0.94,0.94,-1,-1,0,0
2022-11-24,0.93,0.95,0.888,0.95,-1,-1,0,0
2022-11-25,0.95,0.95,0.91,0.91,-1,-1,0,0
2022-11-28,0.908,0.908,0.85,0.88,-1,-1,0,0
2022-11-29,0.88,0.88,0.858,0.86,-1,-1,0,0
2022-11-30,0.86,0.92,0.774,0.92,-1,-1,0,0
2022-12-01,0.948,0.948,0.86,0.878,-1,-1,0,0
2022-12-02,0.87,0.87,0.85,0.85,-1,-1,0,0
2022-12-05,0.828,0.878,0.828,0.878,-1,-1,0,0
2022-12-06,0.876,0.878,0.828,0.878,-1,-1,0,0
2022-12-07,0.878,0.878,0.87,0.87,-1,-1,0,0
2022-12-08,0.94,0.94,0.89,0.89,-1,-1,0,0
2022-12-09,0.9,0.9,0.9,0.9,-1,-1,0,0
2022-12-12,0.89,0.89,0.85,0.86,-1,-1,0,0
2022-12-13,0.86,0.87,0.85,0.87,-1,-1,0,0
2022-12-14,0.868,0.868,0.82,0.82,-1,-1,0,0
2022-12-15,0.824,0.87,0.822,0.87,-1,-1,0,0
2022-12-16,0.868,0.868,0.868,0.868,-1,-1,0,0
2022-12-19,0.868,0.868,0.842,0.868,-1,-1,0,0
2022-12-20,0.84,0.84,0.82,0.82,-1,-1,0,0
2022-12-21,0.82,0.82,0.808,0.808,-1,-1,0,0
2022-12-22,0.858,0.858,0.81,0.81,-1,-1,0,0
2022-12-23,0.802,0.802,0.802,0.802,-1,-1,0,0
2022-12-27,0.81,0.81,0.81,0.81,-1,-1,0,0
2022-12-28,0.81,0.81,0.81,0.81,-1,-1,0,0
2022-12-29,0.81,0.858,0.81,0.858,-1,-1,0,0
2022-12-30,0.868,0.868,0.868,0.868,-1,-1,0,0
2023-01-02,0.93,0.93,0.85,0.85,-1,-1,0,0
2023-01-03,0.85,0.85,0.85,0.85,-1,-1,0,0
2023-01-04,0.85,0.85,0.85,0.85,-1,-1,0,0
2023-01-05,0.84,0.84,0.81,0.82,-1,-1,0,0
2023-01-09,0.81,0.84,0.81,0.84,-1,-1,0,0
2023-01-10,0.84,0.84,0.84,0.84,-1,-1,0,0
2023-01-11,0.848,0.848,0.848,0.848,-1,-1,0,0
2023-01-12,0.84,0.84,0.84,0.84,-1,-1,0,0
2023-01-13,0.84,0.84,0.84,0.84,-1,-1,0,0
2023-01-16,0.848,0.848,0.84,0.84,-1,-1,0,0
2023-01-17,0.84,0.84,0.82,0.82,-1,-1,0,0
2023-01-18,0.82,0.82,0.79,0.802,-1,-1,0,0
2023-01-19,0.8,0.8,0.79,0.8,-1,-1,0,0
2023-01-20,0.79,0.79,0.79,0.79,-1,-1,0,0
2023-01-23,0.792,0.802,0.792,0.802,-1,-1,0,0
2023-01-24,0.792,0.792,0.792,0.792,-1,-1,0,0
2023-01-25,0.79,0.79,0.79,0.79,-1,-1,0,0
2023-01-26,0.818,0.818,0.8,0.8,-1,-1,0,0
2023-01-27,0.8,0.8,0.8,0.8,-1,-1,0,0
2023-01-30,0.794,0.794,0.79,0.79,-1,-1,0,0
2023-01-31,0.794,0.794,0.77,0.77,-1,-1,0,0
2023-02-01,0.788,0.95,0.788,0.92,-1,-1,0,0
2023-02-02,0.928,0.93,0.84,0.93,-1,-1,0,0
2023-02-03,0.938,0.95,0.852,0.852,-1,-1,0,0
2023-02-06,0.856,0.87,0.856,0.856,-1,-1,0,0
2023-02-07,0.856,0.86,0.856,0.86,-1,-1,0,0
2023-02-08,0.86,0.89,0.846,0.89,-1,-1,0,0
2023-02-09,0.89,0.89,0.846,0.88,-1,-1,0,0
2023-02-10,0.89,0.89,0.84,0.84,-1,-1,0,0
2023-02-13,0.84,0.844,0.822,0.844,-1,-1,0,0
2023-02-14,0.842,0.842,0.83,0.84,-1,-1,0,0
2023-02-15,0.844,0.868,0.83,0.86,-1,-1,0,0
2023-02-16,0.89,0.944,0.84,0.86,-1,-1,0,0
2023-02-17,0.83,0.86,0.83,0.86,-1,-1,0,0
2023-02-20,0.86,0.86,0.86,0.86,-1,-1,0,0
2023-02-21,0.86,0.86,0.86,0.86,-1,-1,0,0
2023-02-22,0.86,0.86,0.82,0.84,-1,-1,0,0
2023-02-23,0.84,0.84,0.838,0.838,-1,-1,0,0
2023-02-24,0.838,0.838,0.812,0.812,-1,-1,0,0
2023-02-27,0.812,0.838,0.796,0.838,-1,-1,0,0
2023-02-28,0.88,1.055,0.83,0.838,-1,-1,0,0
2023-03-01,0.894,0.894,0.836,0.84,-1,-1,0,0
2023-03-02,0.84,0.874,0.83,0.836,-1,-1,0,0
2023-03-03,0.836,0.84,0.836,0.836,-1,-1,0,0
2023-03-06,0.82,0.82,0.79,0.798,-1,-1,0,0
2023-03-07,0.796,0.84,0.79,0.79,-1,-1,0,0
2023-03-08,0.8,0.8,0.79,0.79,-1,-1,0,0
2023-03-09,0.78,0.78,0.78,0.78,-1,-1,0,0
2023-03-10,0.78,0.82,0.78,0.82,-1,-1,0,0
2023-03-13,0.82,0.82,0.8,0.8,-1,-1,0,0
2023-03-14,0.8,0.8,0.77,0.77,-1,-1,0,0
