Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-02,475,475,475,475,-1,-1,0,0
2022-08-03,476,478,475,475,-1,-1,0,0
2022-08-04,474,475,474,474,-1,-1,0,0
2022-08-05,474,474,465,465,-1,-1,0,0
2022-08-08,460,468,458,462,-1,-1,0,0
2022-08-09,460,468,455,456,-1,-1,0,0
2022-08-10,456,464,456,458,-1,-1,0,0
2022-08-11,460,467,457,467,-1,-1,0,0
2022-08-12,462,468,460,468,-1,-1,0,0
2022-08-16,458,472,458,472,-1,-1,0,0
2022-08-17,461,472,458,472,-1,-1,0,0
2022-08-18,472,477,460,476,-1,-1,0,0
2022-08-19,466,469,460,460,-1,-1,0,0
2022-08-22,459,459,458,458,-1,-1,0,0
2022-08-23,455,455,446,450,-1,-1,0,0
2022-08-24,450,457,450,450,-1,-1,0,0
2022-08-25,450,450,450,450,-1,-1,0,0
2022-08-26,450,450,450,450,-1,-1,0,0
2022-08-29,451,451,446,446,-1,-1,0,0
2022-08-30,445,454,445,445,-1,-1,0,0
2022-08-31,445,456,444,456,-1,-1,0,0
2022-09-01,456,456,441,451,-1,-1,0,0
2022-09-02,450,450,444,444,-1,-1,0,0
2022-09-05,444,444,441,442,-1,-1,0,0
2022-09-06,448,448,442,443,-1,-1,0,0
2022-09-07,442,451,442,444,-1,-1,0,0
2022-09-08,444,444,443,443,-1,-1,0,0
2022-09-09,449,450,443,449,-1,-1,0,0
2022-09-12,450,450,444,444,-1,-1,0,0
2022-09-13,444,444,443,443,-1,-1,0,0
2022-09-14,449,449,444,449,-1,-1,0,0
2022-09-15,451,451,443,443,-1,-1,0,0
2022-09-16,442,442,442,442,-1,-1,0,0
2022-09-19,442,449,442,447,-1,-1,0,0
2022-09-20,446,446,446,446,-1,-1,0,0
2022-09-21,442,442,441,441,-1,-1,0,0
2022-09-22,441,444,440,444,-1,-1,0,0
2022-09-23,440,445,435,435,-1,-1,0,0
2022-09-26,441,441,430,430,-1,-1,0,0
2022-09-27,439,439,415,431,-1,-1,0,0
2022-09-28,430,430,430,430,-1,-1,0,0
2022-09-29,429,429,411,426,-1,-1,0,0
2022-09-30,411,412,401,412,-1,-1,0,0
2022-10-03,414,423,406,423,-1,-1,0,0
2022-10-04,426,426,415,415,-1,-1,0,0
2022-10-05,411,422,410,422,-1,-1,0,0
2022-10-06,422,423,418,423,-1,-1,0,0
2022-10-07,424,424,415,422,-1,-1,0,0
2022-10-10,424,424,424,424,-1,-1,0,0
2022-10-11,423,423,413,416,-1,-1,0,0
2022-10-12,422,422,412,414,-1,-1,0,0
2022-10-13,415,416,415,415,-1,-1,0,0
2022-10-14,422,423,412,423,-1,-1,0,0
2022-10-17,420,423,413,420,-1,-1,0,0
2022-10-18,420,420,415,416,-1,-1,0,0
2022-10-19,414,415,408,415,-1,-1,0,0
2022-10-20,415,415,410,410,-1,-1,0,0
2022-10-21,409,413,401,413,-1,-1,0,0
2022-10-24,413,418,413,418,-1,-1,0,0
2022-10-25,418,418,414,418,-1,-1,0,0
2022-10-26,418,418,403,409,-1,-1,0,0
2022-10-27,410,416,408,415,-1,-1,0,0
2022-10-28,416,420,415,415,-1,-1,0,0
2022-10-31,415,420,415,420,-1,-1,0,0
2022-11-02,417,417,415,416,-1,-1,0,0
2022-11-03,420,421,416,421,-1,-1,0,0
2022-11-04,422,427,420,427,-1,-1,0,0
2022-11-07,426,430,426,430,-1,-1,0,0
2022-11-08,427,427,426,426,-1,-1,0,0
2022-11-09,425,426,418,418,-1,-1,0,0
2022-11-10,424,424,418,424,-1,-1,0,0
2022-11-14,425,432,420,430,-1,-1,0,0
2022-11-15,430,434,425,434,-1,-1,0,0
2022-11-16,432,435,430,430,-1,-1,0,0
2022-11-17,432,432,426,426,-1,-1,0,0
2022-11-18,426,433,426,432,-1,-1,0,0
2022-11-21,432,432,426,426,-1,-1,0,0
2022-11-22,428,433,428,430,-1,-1,0,0
2022-11-23,433,434,430,430,-1,-1,0,0
2022-11-24,430,430,428,428,-1,-1,0,0
2022-11-25,430,432,426,426,-1,-1,0,0
2022-11-28,428,450,428,446,-1,-1,0,0
2022-11-29,446,447,440,443,-1,-1,0,0
2022-11-30,450,450,440,450,-1,-1,0,0
2022-12-01,450,451,440,440,-1,-1,0,0
2022-12-02,440,442,435,435,-1,-1,0,0
2022-12-05,442,451,438,440,-1,-1,0,0
2022-12-06,451,451,433,436,-1,-1,0,0
2022-12-07,436,446,433,433,-1,-1,0,0
2022-12-08,442,442,431,442,-1,-1,0,0
2022-12-09,433,433,430,430,-1,-1,0,0
2022-12-12,436,438,430,432,-1,-1,0,0
2022-12-13,432,436,430,436,-1,-1,0,0
2022-12-14,436,441,434,434,-1,-1,0,0
2022-12-15,434,434,432,432,-1,-1,0,0
2022-12-16,432,432,429,432,-1,-1,0,0
2022-12-19,435,435,435,435,-1,-1,0,0
2022-12-20,430,432,428,432,-1,-1,0,0
2022-12-21,434,434,427,430,-1,-1,0,0
2022-12-22,430,430,427,430,-1,-1,0,0
2022-12-23,426,430,426,430,-1,-1,0,0
2022-12-27,427,429,427,428,-1,-1,0,0
2022-12-28,428,436,428,433,-1,-1,0,0
2022-12-29,433,446,431,432,-1,-1,0,0
2022-12-30,435,436,431,431,-1,-1,0,0
2023-01-02,440,446,440,446,-1,-1,0,0
2023-01-03,447,458,446,458,-1,-1,0,0
2023-01-04,458,477,456,465,-1,-1,0,0
2023-01-05,472,474,465,465,-1,-1,0,0
2023-01-09,472,473,460,460,-1,-1,0,0
2023-01-10,465,475,465,470,-1,-1,0,0
2023-01-11,475,475,460,460,-1,-1,0,0
2023-01-12,460,469,460,460,-1,-1,0,0
2023-01-13,460,465,445,460,-1,-1,0,0
2023-01-16,460,466,455,456,-1,-1,0,0
2023-01-17,467,467,456,456,-1,-1,0,0
2023-01-18,467,467,456,466,-1,-1,0,0
2023-01-19,466,467,463,463,-1,-1,0,0
2023-01-20,462,462,455,460,-1,-1,0,0
2023-01-23,460,464,456,464,-1,-1,0,0
2023-01-24,462,462,460,461,-1,-1,0,0
