Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-05,320.8,329.2,320.0,322.6,-1,-1,0,0
2023-04-06,326.0,327.8,322.4,326.0,-1,-1,0,0
2023-04-11,330.0,341.0,327.6,340.6,-1,-1,0,0
2023-04-12,342.6,353.0,337.0,349.4,-1,-1,0,0
2023-04-13,347.8,357.0,346.8,355.0,-1,-1,0,0
2023-04-14,355.0,359.6,350.2,354.8,-1,-1,0,0
2023-04-17,356.8,368.8,356.6,365.8,-1,-1,0,0
2023-04-18,365.8,380.4,363.4,373.2,-1,-1,0,0
2023-04-19,372.8,377.0,364.0,372.6,-1,-1,0,0
2023-04-20,372.4,388.6,368.6,384.2,-1,-1,0,0
2023-04-21,381.0,386.0,376.0,384.4,-1,-1,0,0
2023-04-24,384.6,389.8,379.4,388.2,-1,-1,0,0
2023-04-25,386.4,395.2,384.0,389.0,-1,-1,0,0
2023-04-26,390.0,395.0,386.0,392.0,-1,-1,0,0
2023-04-27,380.0,390.0,366.6,388.4,-1,-1,0,0
2023-04-28,387.8,388.8,373.4,375.2,-1,-1,0,0
2023-05-02,370.0,389.8,370.0,375.6,-1,-1,0,0
2023-05-04,375.0,382.2,366.0,366.0,-1,-1,0,0
2023-05-05,364.8,373.4,362.2,368.8,-1,-1,0,0
2023-05-08,376.0,380.0,368.8,378.0,-1,-1,0,0
2023-05-09,378.0,382.2,373.6,379.4,-1,-1,0,0
2023-05-10,379.0,388.8,377.6,386.8,-1,-1,0,0
2023-05-11,387.6,387.6,373.6,374.4,-1,-1,0,0
2023-05-12,371.0,382.2,371.0,377.4,-1,-1,0,0
2023-05-15,380.2,381.2,371.6,373.0,-1,-1,0,0
2023-05-16,370.2,378.6,369.4,371.4,-1,-1,0,0
2023-05-17,373.0,373.0,364.0,365.0,-1,-1,0,0
2023-05-18,371.8,381.6,370.4,377.4,-1,-1,0,0
2023-05-19,381.0,382.6,374.0,380.2,-1,-1,0,0
2023-05-22,380.2,383.4,373.8,375.0,-1,-1,0,0
2023-05-23,378.0,393.0,375.8,390.8,-1,-1,0,0
2023-05-24,386.2,392.0,378.6,381.4,-1,-1,0,0
2023-05-25,382.6,383.8,373.2,373.2,-1,-1,0,0
2023-05-26,375.6,386.0,375.0,385.0,-1,-1,0,0
2023-05-29,390.0,390.0,379.4,381.6,-1,-1,0,0
2023-05-30,380.2,386.4,373.8,376.8,-1,-1,0,0
2023-05-31,370.8,379.6,370.0,370.0,-1,-1,0,0
2023-06-01,368.4,384.2,368.4,382.0,-1,-1,0,0
2023-06-02,388.0,388.0,381.6,387.0,-1,-1,0,0
2023-06-05,388.6,398.6,385.8,391.6,-1,-1,0,0
2023-06-06,385.0,402.6,385.0,400.0,-1,-1,0,0
2023-06-07,400.8,405.0,393.6,396.6,-1,-1,0,0
2023-06-09,400.0,401.0,384.8,384.8,-1,-1,0,0
2023-06-12,384.6,395.2,383.0,384.4,-1,-1,0,0
2023-06-13,386.2,394.4,377.6,381.4,-1,-1,0,0
2023-06-14,385.0,392.0,375.8,384.4,-1,-1,0,0
2023-06-15,390.8,390.8,378.0,382.6,-1,-1,0,0
2023-06-16,382.4,388.8,380.8,386.0,-1,-1,0,0
2023-06-19,386.0,390.8,381.4,382.6,-1,-1,0,0
2023-06-20,382.6,385.4,380.0,383.8,-1,-1,0,0
2023-06-21,384.0,384.0,376.6,377.2,-1,-1,0,0
2023-06-22,380.0,383.0,373.0,378.8,-1,-1,0,0
2023-06-23,376.0,383.0,375.6,379.4,-1,-1,0,0
2023-06-26,380.0,381.0,372.8,377.6,-1,-1,0,0
2023-06-27,378.2,384.2,371.0,374.4,-1,-1,0,0
2023-06-28,381.0,382.8,372.2,381.6,-1,-1,0,0
2023-06-29,382.6,403.2,381.0,402.6,-1,-1,0,0
2023-06-30,405.0,410.8,402.8,408.0,-1,-1,0,0
2023-07-03,412.0,417.8,404.6,416.0,-1,-1,0,0
2023-07-04,416.0,418.6,412.0,412.2,-1,-1,0,0
2023-07-05,412.0,412.0,401.0,402.0,-1,-1,0,0
2023-07-06,401.4,414.4,395.2,410.2,-1,-1,0,0
2023-07-07,403.0,412.4,402.4,409.2,-1,-1,0,0
2023-07-10,405.2,420.0,405.2,415.4,-1,-1,0,0
2023-07-11,423.4,425.0,413.2,414.0,-1,-1,0,0
2023-07-12,415.8,419.6,409.2,416.8,-1,-1,0,0
2023-07-13,419.6,424.8,411.6,420.6,-1,-1,0,0
