Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-20,609,618,600,618,-1,-1,0,0
2023-03-21,619,619,608,611,-1,-1,0,0
2023-03-22,611,615,607,615,-1,-1,0,0
2023-03-23,615,615,606,614,-1,-1,0,0
2023-03-24,613,613,604,606,-1,-1,0,0
2023-03-27,610,620,609,618,-1,-1,0,0
2023-03-28,620,620,615,618,-1,-1,0,0
2023-03-29,619,619,606,610,-1,-1,0,0
2023-03-30,611,614,609,612,-1,-1,0,0
2023-03-31,612,613,607,613,-1,-1,0,0
2023-04-03,615,615,565,569,-1,-1,0,0
2023-04-04,579,597,570,588,-1,-1,0,0
2023-04-05,584,597,582,582,-1,-1,0,0
2023-04-06,582,604,582,596,-1,-1,0,0
2023-04-11,602,614,601,612,-1,-1,0,0
2023-04-12,614,619,609,609,-1,-1,0,0
2023-04-13,615,654,615,645,-1,-1,0,0
2023-04-14,649,679,649,670,-1,-1,0,0
2023-04-17,675,675,652,661,-1,-1,0,0
2023-04-18,651,665,648,656,-1,-1,0,0
2023-04-19,655,679,655,673,-1,-1,0,0
2023-04-20,674,684,664,666,-1,-1,0,0
2023-04-21,666,672,652,652,-1,-1,0,0
2023-04-24,652,659,642,655,-1,-1,0,0
2023-04-25,659,684,654,672,-1,-1,0,0
2023-04-26,670,680,660,668,-1,-1,0,0
2023-04-27,669,679,665,673,-1,-1,0,0
2023-04-28,673,687,670,675,-1,-1,0,0
2023-05-02,676,695,673,673,-1,-1,0,0
2023-05-04,670,680,669,673,-1,-1,0,0
2023-05-05,673,684,664,680,-1,-1,0,0
2023-05-08,679,700,679,693,-1,-1,0,0
2023-05-09,694,718,688,715,-1,-1,0,0
2023-05-10,715,715,699,713,-1,-1,0,0
2023-05-11,712,727,703,717,-1,-1,0,0
2023-05-12,703,717,679,708,-1,-1,0,0
2023-05-15,704,712,682,707,-1,-1,0,0
2023-05-16,714,715,697,704,-1,-1,0,0
2023-05-17,705,705,682,693,-1,-1,0,0
2023-05-18,690,709,687,697,-1,-1,0,0
2023-05-19,700,709,694,708,-1,-1,0,0
2023-05-22,709,709,694,700,-1,-1,0,0
2023-05-23,703,750,703,730,-1,-1,0,0
2023-05-24,730,734,685,696,-1,-1,0,0
2023-05-25,700,704,691,704,-1,-1,0,0
2023-05-26,704,720,704,712,-1,-1,0,0
2023-05-29,706,712,694,704,-1,-1,0,0
2023-05-30,705,715,701,715,-1,-1,0,0
2023-05-31,715,730,715,719,-1,-1,0,0
2023-06-01,716,734,715,722,-1,-1,0,0
2023-06-02,725,749,720,749,-1,-1,0,0
2023-06-05,745,750,735,745,-1,-1,0,0
2023-06-06,740,750,736,750,-1,-1,0,0
2023-06-07,745,754,736,752,-1,-1,0,0
2023-06-09,751,758,740,758,-1,-1,0,0
2023-06-12,758,758,741,749,-1,-1,0,0
2023-06-13,750,755,716,755,-1,-1,0,0
2023-06-14,742,769,742,768,-1,-1,0,0
2023-06-15,768,768,746,746,-1,-1,0,0
2023-06-16,748,771,747,770,-1,-1,0,0
2023-06-19,770,770,748,749,-1,-1,0,0
2023-06-20,747,768,742,754,-1,-1,0,0
2023-06-21,753,778,753,774,-1,-1,0,0
2023-06-22,772,784,771,783,-1,-1,0,0
2023-06-23,776,793,776,790,-1,-1,0,0
2023-06-26,787,794,786,787,-1,-1,0,0
2023-06-27,788,788,768,779,-1,-1,0,0
2023-06-28,777,783,769,770,-1,-1,0,0
2023-06-29,770,794,770,780,-1,-1,0,0
2023-06-30,777,779,756,763,-1,-1,0,0
2023-07-03,761,774,761,766,-1,-1,0,0
2023-07-04,766,774,738,745,-1,-1,0,0
2023-07-05,740,747,735,736,-1,-1,0,0
2023-07-06,739,755,731,750,-1,-1,0,0
2023-07-07,749,767,741,764,-1,-1,0,0
2023-07-10,759,772,757,767,-1,-1,0,0
2023-07-11,772,783,761,761,-1,-1,0,0
2023-07-12,763,786,763,786,-1,-1,0,0
2023-07-13,785,788,778,780,-1,-1,0,0
2023-07-14,777,797,777,797,-1,-1,0,0
2023-07-17,797,806,786,798,-1,-1,0,0
2023-07-18,799,805,787,800,-1,-1,0,0
2023-07-19,799,804,789,796,-1,-1,0,0
2023-07-20,788,820,788,798,-1,-1,0,0
2023-07-21,795,802,790,790,-1,-1,0,0
2023-07-24,787,799,761,767,-1,-1,0,0
2023-07-25,774,779,773,776,-1,-1,0,0
2023-07-26,774,781,768,770,-1,-1,0,0
2023-07-27,770,773,767,767,-1,-1,0,0
2023-07-28,764,778,762,765,-1,-1,0,0
2023-07-31,765,781,761,769,-1,-1,0,0
2023-08-01,761,770,761,770,-1,-1,0,0
2023-08-02,765,765,745,750,-1,-1,0,0
2023-08-03,743,752,738,746,-1,-1,0,0
2023-08-04,746,765,746,765,-1,-1,0,0
2023-08-07,775,775,742,749,-1,-1,0,0
2023-08-08,745,756,741,744,-1,-1,0,0
2023-08-09,756,756,739,743,-1,-1,0,0
2023-08-10,743,761,741,755,-1,-1,0,0
2023-08-11,750,756,750,750,-1,-1,0,0
2023-08-14,750,774,750,762,-1,-1,0,0
2023-08-16,750,760,750,750,-1,-1,0,0
2023-08-17,750,762,750,761,-1,-1,0,0
2023-08-18,763,763,755,762,-1,-1,0,0
2023-08-21,760,780,760,773,-1,-1,0,0
2023-08-22,774,775,760,764,-1,-1,0,0
2023-08-23,762,764,760,760,-1,-1,0,0
2023-08-24,762,767,760,762,-1,-1,0,0
