Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-30,374.0,374.3,358.8,359.4,-1,-1,0,0
2022-08-31,357.1,358.0,343.5,343.7,-1,-1,0,0
2022-09-01,340.0,345.6,328.5,335.5,-1,-1,0,0
2022-09-02,337.1,343.5,328.0,342.8,-1,-1,0,0
2022-09-05,340.8,342.5,335.3,339.3,-1,-1,0,0
2022-09-06,339.3,340.5,327.0,329.7,-1,-1,0,0
2022-09-07,325.0,342.5,322.0,340.5,-1,-1,0,0
2022-09-08,339.3,341.5,337.1,339.0,-1,-1,0,0
2022-09-09,342.8,345.5,329.5,345.1,-1,-1,0,0
2022-09-12,343.0,353.1,339.5,351.9,-1,-1,0,0
2022-09-13,352.0,352.4,340.3,342.2,-1,-1,0,0
2022-09-14,342.6,348.4,340.5,344.2,-1,-1,0,0
2022-09-15,342.0,357.6,339.0,351.6,-1,-1,0,0
2022-09-16,348.2,360.5,347.0,350.3,-1,-1,0,0
2022-09-19,348.2,350.0,340.1,345.2,-1,-1,0,0
2022-09-20,346.9,350.7,338.0,343.2,-1,-1,0,0
2022-09-21,345.0,349.5,334.3,346.6,-1,-1,0,0
2022-09-22,340.8,345.0,336.2,343.1,-1,-1,0,0
2022-09-23,339.4,339.5,316.8,320.0,-1,-1,0,0
2022-09-26,317.5,325.0,310.0,321.5,-1,-1,0,0
2022-09-27,325.4,326.4,316.7,325.4,-1,-1,0,0
2022-09-28,323.5,323.6,313.1,318.1,-1,-1,0,0
2022-09-29,320.0,323.5,297.1,303.0,-1,-1,0,0
2022-09-30,305.0,306.3,294.6,302.0,-1,-1,0,0
2022-10-03,298.1,301.6,291.1,300.0,-1,-1,0,0
2022-10-04,305.0,308.0,301.0,307.5,-1,-1,0,0
2022-10-05,307.7,313.4,307.5,310.0,-1,-1,0,0
2022-10-06,310.1,313.7,303.8,306.0,-1,-1,0,0
2022-10-07,307.2,308.5,301.5,302.2,-1,-1,0,0
2022-10-10,298.2,300.8,288.9,291.9,-1,-1,0,0
2022-10-11,290.0,292.3,283.3,286.2,-1,-1,0,0
2022-10-12,286.0,289.9,281.6,288.5,-1,-1,0,0
2022-10-13,289.0,289.0,283.0,287.0,-1,-1,0,0
2022-10-14,292.7,297.4,291.0,296.4,-1,-1,0,0
2022-10-17,295.0,295.0,285.0,289.0,-1,-1,0,0
2022-10-18,290.0,302.0,285.4,299.2,-1,-1,0,0
2022-10-19,300.5,300.9,293.1,294.4,-1,-1,0,0
2022-10-20,296.5,301.9,292.5,300.9,-1,-1,0,0
2022-10-21,297.4,298.5,289.4,297.4,-1,-1,0,0
2022-10-24,297.9,310.7,296.0,306.1,-1,-1,0,0
2022-10-25,309.7,313.8,305.3,308.4,-1,-1,0,0
2022-10-26,309.0,320.8,309.0,319.1,-1,-1,0,0
2022-10-27,320.0,320.1,312.5,316.9,-1,-1,0,0
