Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-30,53.0,54.3,51.9,52.4,-1,-1,0,0
2022-10-03,52.5,54.5,50.0,54.3,-1,-1,0,0
2022-10-04,54.5,58.3,54.5,58.0,-1,-1,0,0
2022-10-05,58.0,62.5,57.4,61.6,-1,-1,0,0
2022-10-06,61.5,61.5,59.6,60.4,-1,-1,0,0
2022-10-07,59.6,60.2,59.0,60.0,-1,-1,0,0
2022-10-10,60.4,60.4,58.0,58.6,-1,-1,0,0
2022-10-11,59.0,59.0,55.7,56.2,-1,-1,0,0
2022-10-12,57.8,59.6,55.3,58.5,-1,-1,0,0
2022-10-13,58.0,59.9,56.5,57.5,-1,-1,0,0
2022-10-14,57.9,61.8,57.9,60.3,-1,-1,0,0
2022-10-17,60.3,62.0,60.0,61.8,-1,-1,0,0
2022-10-18,62.4,65.7,62.4,65.7,-1,-1,0,0
2022-10-19,65.9,67.8,65.7,67.8,-1,-1,0,0
2022-10-20,67.8,68.2,66.9,68.0,-1,-1,0,0
2022-10-21,68.0,68.0,65.5,67.0,-1,-1,0,0
2022-10-24,67.1,71.0,67.1,69.9,-1,-1,0,0
2022-10-25,69.9,72.9,67.2,71.3,-1,-1,0,0
2022-10-26,71.3,72.0,68.5,70.3,-1,-1,0,0
2022-10-27,70.3,71.8,69.9,70.2,-1,-1,0,0
2022-10-28,71.5,71.9,70.0,70.3,-1,-1,0,0
2022-10-31,70.4,73.9,70.4,73.9,-1,-1,0,0
2022-11-02,74.0,75.2,72.0,75.2,-1,-1,0,0
2022-11-03,72.1,76.3,72.1,76.2,-1,-1,0,0
2022-11-04,76.7,78.7,75.0,77.5,-1,-1,0,0
2022-11-07,78.7,78.7,71.6,72.3,-1,-1,0,0
2022-11-08,74.4,74.4,72.9,73.1,-1,-1,0,0
2022-11-09,73.7,73.7,72.3,73.1,-1,-1,0,0
2022-11-10,72.6,74.3,71.6,74.1,-1,-1,0,0
2022-11-14,75.3,78.8,74.2,78.8,-1,-1,0,0
2022-11-15,79.0,80.7,77.3,80.4,-1,-1,0,0
2022-11-16,80.0,81.5,78.4,81.5,-1,-1,0,0
2022-11-17,82.0,85.0,80.6,84.4,-1,-1,0,0
2022-11-18,84.4,88.0,83.7,87.6,-1,-1,0,0
2022-11-21,87.7,91.0,87.7,89.1,-1,-1,0,0
2022-11-22,90.0,91.0,87.5,89.5,-1,-1,0,0
2022-11-23,89.5,90.0,87.0,89.5,-1,-1,0,0
2022-11-24,89.5,89.5,87.1,87.4,-1,-1,0,0
2022-11-25,87.8,88.2,86.6,87.8,-1,-1,0,0
2022-11-28,88.0,90.4,88.0,89.7,-1,-1,0,0
2022-11-29,90.0,90.6,87.8,88.8,-1,-1,0,0
2022-11-30,89.0,89.9,88.0,89.3,-1,-1,0,0
2022-12-01,89.5,90.7,89.3,90.6,-1,-1,0,0
2022-12-02,90.0,96.0,89.8,93.0,-1,-1,0,0
2022-12-05,93.0,94.6,92.0,93.2,-1,-1,0,0
2022-12-06,92.9,92.9,90.1,91.9,-1,-1,0,0
2022-12-07,91.7,91.7,88.1,91.2,-1,-1,0,0
2022-12-08,91.2,91.2,87.5,89.0,-1,-1,0,0
2022-12-09,89.0,91.6,87.2,91.0,-1,-1,0,0
2022-12-12,90.5,91.7,88.7,91.7,-1,-1,0,0
2022-12-13,90.9,93.0,90.1,92.5,-1,-1,0,0
2022-12-14,92.4,93.0,91.8,93.0,-1,-1,0,0
2022-12-15,92.5,92.5,91.0,92.1,-1,-1,0,0
2022-12-16,93.0,93.2,89.0,90.4,-1,-1,0,0
2022-12-19,90.4,90.9,88.1,89.9,-1,-1,0,0
2022-12-20,89.9,90.4,88.1,90.2,-1,-1,0,0
2022-12-21,90.9,91.0,88.4,90.9,-1,-1,0,0
2022-12-22,90.9,91.1,88.0,89.3,-1,-1,0,0
2022-12-23,89.9,89.9,88.1,89.0,-1,-1,0,0
2022-12-27,89.0,91.0,89.0,90.4,-1,-1,0,0
2022-12-28,90.4,90.4,88.2,89.5,-1,-1,0,0
2022-12-29,89.0,91.4,89.0,91.0,-1,-1,0,0
2022-12-30,90.6,90.7,89.2,89.5,-1,-1,0,0
2023-01-02,90.8,91.8,89.6,90.9,-1,-1,0,0
2023-01-03,90.9,91.0,88.7,89.6,-1,-1,0,0
2023-01-04,89.4,89.4,88.3,88.8,-1,-1,0,0
2023-01-05,88.9,91.8,88.4,91.0,-1,-1,0,0
2023-01-09,91.0,94.5,91.0,93.8,-1,-1,0,0
2023-01-10,93.2,94.8,92.0,94.0,-1,-1,0,0
2023-01-11,94.1,94.8,92.0,93.0,-1,-1,0,0
2023-01-12,93.3,98.4,90.0,97.4,-1,-1,0,0
2023-01-13,97.6,101.0,97.0,98.6,-1,-1,0,0
2023-01-16,99.4,102.0,99.1,101.8,-1,-1,0,0
2023-01-17,102.0,102.2,99.4,100.8,-1,-1,0,0
2023-01-18,100.8,102.0,100.8,101.6,-1,-1,0,0
2023-01-19,101.0,101.6,99.4,101.6,-1,-1,0,0
2023-01-20,100.4,107.6,100.2,107.2,-1,-1,0,0
2023-01-23,107.4,109.4,105.4,109.4,-1,-1,0,0
