Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-29,67.2,68.4,64.8,66.4,-1,-1,0,0
2023-05-30,66.0,70.0,64.0,68.4,-1,-1,0,0
2023-05-31,68.0,70.0,66.2,66.4,-1,-1,0,0
2023-06-01,66.0,66.4,63.2,63.8,-1,-1,0,0
2023-06-02,63.8,69.4,63.8,68.0,-1,-1,0,0
2023-06-05,68.2,69.0,66.0,67.6,-1,-1,0,0
2023-06-06,68.0,73.0,66.4,71.4,-1,-1,0,0
2023-06-07,72.8,73.0,70.0,70.8,-1,-1,0,0
2023-06-09,70.8,74.8,70.8,72.6,-1,-1,0,0
2023-06-12,72.8,73.0,68.4,71.2,-1,-1,0,0
2023-06-13,71.8,72.8,69.6,70.0,-1,-1,0,0
2023-06-14,71.0,71.0,69.8,71.0,-1,-1,0,0
2023-06-15,67.6,71.0,67.4,70.0,-1,-1,0,0
2023-06-16,70.0,70.4,69.4,70.4,-1,-1,0,0
2023-06-19,70.2,71.0,69.0,70.8,-1,-1,0,0
2023-06-20,71.8,72.0,70.0,71.0,-1,-1,0,0
2023-06-21,72.6,72.8,69.6,71.0,-1,-1,0,0
2023-06-22,71.6,71.6,68.8,69.2,-1,-1,0,0
2023-06-23,69.4,71.8,68.6,68.8,-1,-1,0,0
2023-06-26,70.4,72.8,70.0,71.0,-1,-1,0,0
2023-06-27,71.0,72.2,68.0,70.2,-1,-1,0,0
2023-06-28,69.2,71.6,69.0,70.6,-1,-1,0,0
2023-06-29,71.0,77.4,70.2,74.6,-1,-1,0,0
2023-06-30,76.2,76.4,72.8,75.0,-1,-1,0,0
2023-07-03,74.8,75.0,72.2,73.2,-1,-1,0,0
2023-07-04,73.6,77.0,72.4,76.0,-1,-1,0,0
2023-07-05,76.0,78.4,75.4,78.4,-1,-1,0,0
2023-07-06,78.4,79.0,77.0,78.8,-1,-1,0,0
2023-07-07,78.2,79.8,75.8,75.8,-1,-1,0,0
2023-07-10,75.8,77.2,75.0,77.0,-1,-1,0,0
2023-07-11,77.0,77.8,76.6,77.0,-1,-1,0,0
2023-07-12,76.8,77.0,76.0,76.8,-1,-1,0,0
2023-07-13,77.0,77.0,74.6,75.2,-1,-1,0,0
2023-07-14,75.0,78.8,74.8,78.0,-1,-1,0,0
2023-07-17,78.0,78.0,76.4,77.6,-1,-1,0,0
2023-07-18,78.4,84.6,76.8,83.0,-1,-1,0,0
2023-07-19,83.0,84.8,81.0,84.0,-1,-1,0,0
2023-07-20,83.0,87.0,77.2,79.6,-1,-1,0,0
2023-07-21,80.0,80.6,79.4,80.0,-1,-1,0,0
2023-07-24,80.0,80.8,77.6,78.8,-1,-1,0,0
2023-07-25,77.8,80.0,75.8,78.0,-1,-1,0,0
2023-07-26,78.0,78.0,75.0,75.4,-1,-1,0,0
2023-07-27,76.4,78.0,76.0,77.6,-1,-1,0,0
2023-07-28,78.0,78.0,76.8,78.0,-1,-1,0,0
2023-07-31,77.8,79.0,76.6,77.2,-1,-1,0,0
2023-08-01,78.0,78.0,76.0,77.0,-1,-1,0,0
2023-08-02,76.2,76.2,74.8,74.8,-1,-1,0,0
