Date,Open,High,Low,Close,Start Date,End Date,Pattern
2023-01-25,341.8,342.0,332.0,336.0,-1,-1,0
2023-01-26,340.0,349.8,334.4,347.0,-1,-1,0
2023-01-27,346.8,351.2,345.4,347.0,-1,-1,0
2023-01-30,344.4,346.4,342.0,345.0,-1,-1,0
2023-01-31,342.2,351.6,340.4,351.6,-1,-1,0
2023-02-01,351.0,355.4,345.4,346.6,-1,-1,0
2023-02-02,349.0,357.0,347.8,352.0,-1,-1,0
2023-02-03,355.0,357.4,349.2,353.6,-1,-1,0
2023-02-06,354.0,356.4,341.4,342.0,-1,-1,0
2023-02-07,340.6,341.0,331.6,339.6,-1,-1,0
2023-02-08,341.6,343.0,334.2,339.0,-1,-1,0
2023-02-09,338.0,350.4,338.0,344.2,-1,-1,0
2023-02-10,347.0,347.0,325.4,326.0,-1,-1,0
2023-02-13,328.8,339.6,322.0,334.4,-1,-1,0
2023-02-14,335.0,341.0,321.0,323.6,-1,-1,0
2023-02-15,326.4,337.4,323.6,336.6,-1,-1,0
2023-02-16,336.6,336.6,327.4,332.4,-1,-1,0
2023-02-17,333.0,342.2,330.0,341.4,-1,-1,0
2023-02-20,342.0,342.0,331.8,333.6,-1,-1,0
2023-02-21,337.8,337.8,327.2,333.6,-1,-1,0
2023-02-22,336.8,336.8,323.0,326.0,-1,-1,0
2023-02-23,328.6,333.4,323.2,333.4,-1,-1,0
2023-02-24,333.0,333.8,325.2,330.0,-1,-1,0
2023-02-27,333.0,333.0,326.8,330.4,-1,-1,0
2023-02-28,328.0,336.4,326.0,330.8,-1,-1,0
2023-03-01,332.0,334.4,328.8,330.6,-1,-1,0
2023-03-02,330.6,330.6,321.4,326.2,-1,-1,0
2023-03-03,328.0,332.4,325.2,327.6,-1,-1,0
2023-03-06,331.0,340.6,328.4,337.0,-1,-1,0
2023-03-07,339.0,346.0,337.0,337.2,-1,-1,0
2023-03-08,338.0,344.6,335.0,342.0,-1,-1,0
2023-03-09,343.0,343.0,331.6,332.0,-1,-1,0
2023-03-10,328.0,335.8,325.0,328.0,-1,-1,0
2023-03-13,328.0,328.4,307.4,312.8,-1,-1,0
2023-03-14,316.0,316.0,308.2,309.8,-1,-1,0
2023-03-15,310.0,310.0,294.0,299.0,-1,-1,0
2023-03-16,300.4,301.8,286.2,297.6,-1,-1,0
2023-03-17,298.0,311.0,292.0,299.6,-1,-1,0
2023-03-20,297.0,302.2,286.6,301.4,-1,-1,0
2023-03-21,304.0,308.2,300.8,305.2,-1,-1,0
2023-03-22,306.0,306.0,299.2,302.0,-1,-1,0
2023-03-23,307.2,307.2,295.0,305.0,-1,-1,0
2023-03-24,303.2,306.0,290.8,297.8,-1,-1,0
2023-03-27,293.0,303.0,293.0,302.4,-1,-1,0
2023-03-28,306.0,311.0,302.4,303.8,-1,-1,0
2023-03-29,307.0,309.0,300.2,303.8,-1,-1,0
2023-03-30,303.8,309.4,302.0,308.4,-1,-1,0
2023-03-31,310.0,314.0,307.0,308.2,-1,-1,0
2023-04-03,310.0,316.2,310.0,314.0,-1,-1,0
2023-04-04,320.0,328.8,318.6,320.8,-1,-1,0
2023-04-05,320.8,329.2,320.0,322.6,-1,-1,0
2023-04-06,326.0,327.8,322.4,326.0,-1,-1,0
2023-04-11,330.0,341.0,327.6,340.6,-1,-1,0
2023-04-12,342.6,353.0,337.0,349.4,-1,-1,0
2023-04-13,347.8,357.0,346.8,355.0,-1,-1,0
2023-04-14,355.0,359.6,350.2,354.8,-1,-1,0
2023-04-17,356.8,368.8,356.6,365.8,-1,-1,0
2023-04-18,365.8,380.4,363.4,373.2,-1,-1,0
2023-04-19,372.8,377.0,364.0,372.6,-1,-1,0
