Date,Open,High,Low,Close,Start Date,End Date,Pattern
2022-12-16,5.705,5.795,5.665,5.795,-1,-1,0
2022-12-19,5.725,5.97,5.705,5.82,-1,-1,0
2022-12-20,5.84,5.84,5.705,5.8,-1,-1,0
2022-12-21,5.81,5.91,5.8,5.89,-1,-1,0
2022-12-22,5.88,5.895,5.69,5.695,-1,-1,0
2022-12-23,5.705,5.745,5.6,5.63,-1,-1,0
2022-12-27,5.64,5.68,5.56,5.6,-1,-1,0
2022-12-28,5.58,5.685,5.55,5.59,-1,-1,0
2022-12-29,5.58,5.75,5.58,5.75,-1,-1,0
2022-12-30,5.75,6.095,5.7,6.0,-1,-1,0
2023-01-02,6.08,6.18,5.955,6.13,-1,-1,0
2023-01-03,6.16,6.35,6.13,6.28,-1,-1,0
2023-01-04,6.28,6.31,6.115,6.18,-1,-1,0
2023-01-05,6.19,6.28,6.14,6.21,-1,-1,0
2023-01-09,6.275,6.345,5.945,6.0,-1,-1,0
2023-01-10,6.02,6.02,5.78,5.825,-1,-1,0
2023-01-11,5.85,6.17,5.845,6.0,-1,-1,0
2023-01-12,6.005,6.295,6.005,6.26,-1,-1,0
2023-01-13,6.29,6.33,6.22,6.31,-1,-1,0
2023-01-16,6.32,6.33,6.145,6.2,-1,-1,0
2023-01-17,6.23,6.3,6.18,6.29,-1,-1,0
2023-01-18,6.255,6.475,6.255,6.395,-1,-1,0
2023-01-19,6.37,6.45,6.295,6.43,-1,-1,0
2023-01-20,6.43,6.46,6.365,6.39,-1,-1,0
2023-01-23,6.42,6.595,6.36,6.58,-1,-1,0
2023-01-24,6.6,7.06,6.6,6.73,-1,-1,0
2023-01-25,6.74,6.75,6.6,6.675,-1,-1,0
2023-01-26,6.675,6.755,6.56,6.615,-1,-1,0
2023-01-27,6.67,6.77,6.56,6.56,-1,-1,0
2023-01-30,6.55,6.68,6.5,6.555,-1,-1,0
2023-01-31,6.58,6.785,6.535,6.75,-1,-1,0
2023-02-01,6.79,6.79,6.42,6.42,-1,-1,0
2023-02-02,6.52,6.6,6.45,6.48,-1,-1,0
