Date,Open,High,Low,Close,Start Date,End Date,Pattern
2022-08-03,0.531,0.537,0.523,0.533,-1,-1,0
2022-08-04,0.532,0.534,0.523,0.531,-1,-1,0
2022-08-05,0.529,0.531,0.52,0.529,-1,-1,0
2022-08-08,0.526,0.534,0.522,0.531,-1,-1,0
2022-08-09,0.53,0.532,0.52,0.531,-1,-1,0
2022-08-10,0.53,0.63,0.528,0.599,-1,-1,0
2022-08-11,0.618,0.671,0.571,0.63,-1,-1,0
2022-08-12,0.632,0.658,0.606,0.624,-1,-1,0
2022-08-16,0.62,0.64,0.61,0.634,-1,-1,0
2022-08-17,0.636,0.64,0.61,0.61,-1,-1,0
2022-08-18,0.602,0.628,0.602,0.609,-1,-1,0
2022-08-19,0.604,0.639,0.602,0.634,-1,-1,0
2022-08-22,0.635,0.637,0.605,0.617,-1,-1,0
2022-08-23,0.61,0.632,0.6,0.62,-1,-1,0
2022-08-24,0.612,0.629,0.605,0.623,-1,-1,0
2022-08-25,0.622,0.644,0.61,0.617,-1,-1,0
2022-08-26,0.616,0.637,0.6,0.608,-1,-1,0
2022-08-29,0.602,0.602,0.542,0.563,-1,-1,0
2022-08-30,0.555,0.569,0.543,0.552,-1,-1,0
2022-08-31,0.553,0.554,0.534,0.546,-1,-1,0
2022-09-01,0.537,0.537,0.4615,0.4615,-1,-1,0
2022-09-02,0.46,0.518,0.456,0.504,-1,-1,0
2022-09-05,0.503,0.503,0.47,0.4915,-1,-1,0
2022-09-06,0.4915,0.502,0.4635,0.4775,-1,-1,0
2022-09-07,0.4765,0.524,0.46,0.4975,-1,-1,0
2022-09-08,0.495,0.519,0.478,0.519,-1,-1,0
2022-09-09,0.519,0.545,0.485,0.545,-1,-1,0
2022-09-12,0.55,0.558,0.503,0.51,-1,-1,0
2022-09-13,0.511,0.545,0.511,0.525,-1,-1,0
2022-09-14,0.513,0.525,0.513,0.519,-1,-1,0
2022-09-15,0.52,0.558,0.504,0.556,-1,-1,0
2022-09-16,0.545,0.554,0.51,0.529,-1,-1,0
2022-09-19,0.529,0.558,0.518,0.55,-1,-1,0
2022-09-20,0.554,0.57,0.502,0.502,-1,-1,0
2022-09-21,0.503,0.547,0.503,0.544,-1,-1,0
2022-09-22,0.543,0.57,0.536,0.565,-1,-1,0
2022-09-23,0.565,0.568,0.53,0.563,-1,-1,0
2022-09-26,0.563,0.568,0.52,0.556,-1,-1,0
2022-09-27,0.541,0.57,0.516,0.545,-1,-1,0
2022-09-28,0.55,0.555,0.51,0.536,-1,-1,0
2022-09-29,0.534,0.546,0.52,0.536,-1,-1,0
2022-09-30,0.55,0.563,0.4935,0.4935,-1,-1,0
2022-10-03,0.509,0.529,0.4935,0.528,-1,-1,0
2022-10-04,0.52,0.563,0.52,0.559,-1,-1,0
2022-10-05,0.558,0.559,0.52,0.54,-1,-1,0
2022-10-06,0.54,0.57,0.54,0.57,-1,-1,0
2022-10-07,0.57,0.578,0.547,0.565,-1,-1,0
2022-10-10,0.57,0.578,0.532,0.565,-1,-1,0
2022-10-11,0.554,0.569,0.522,0.556,-1,-1,0
2022-10-12,0.539,0.56,0.539,0.553,-1,-1,0
2022-10-13,0.552,0.552,0.52,0.544,-1,-1,0
2022-10-14,0.53,0.554,0.52,0.554,-1,-1,0
2022-10-17,0.55,0.555,0.525,0.546,-1,-1,0
2022-10-18,0.546,0.556,0.515,0.529,-1,-1,0
2022-10-19,0.519,0.531,0.504,0.504,-1,-1,0
2022-10-20,0.504,0.527,0.504,0.525,-1,-1,0
2022-10-21,0.52,0.525,0.506,0.523,-1,-1,0
2022-10-24,0.512,0.515,0.498,0.504,-1,-1,0
2022-10-25,0.4985,0.503,0.4845,0.4985,-1,-1,0
2022-10-26,0.4975,0.518,0.4975,0.51,-1,-1,0
2022-10-27,0.508,0.514,0.495,0.505,-1,-1,0
2022-10-28,0.507,0.556,0.4915,0.495,-1,-1,0
2022-10-31,0.508,0.517,0.493,0.516,-1,-1,0
2022-11-02,0.515,0.548,0.501,0.544,-1,-1,0
2022-11-03,0.544,0.56,0.518,0.542,-1,-1,0
2022-11-04,0.53,0.544,0.52,0.543,-1,-1,0
2022-11-07,0.532,0.553,0.527,0.539,-1,-1,0
2022-11-08,0.529,0.543,0.522,0.535,-1,-1,0
2022-11-09,0.528,0.565,0.526,0.565,-1,-1,0
2022-11-10,0.556,0.57,0.535,0.57,-1,-1,0
2022-11-14,0.573,0.579,0.55,0.568,-1,-1,0
2022-11-15,0.56,0.568,0.542,0.551,-1,-1,0
2022-11-16,0.545,0.566,0.532,0.544,-1,-1,0
2022-11-17,0.54,0.546,0.502,0.533,-1,-1,0
2022-11-18,0.533,0.538,0.505,0.529,-1,-1,0
2022-11-21,0.528,0.538,0.514,0.536,-1,-1,0
2022-11-22,0.528,0.574,0.528,0.574,-1,-1,0
2022-11-23,0.574,0.609,0.56,0.601,-1,-1,0
2022-11-24,0.608,0.609,0.59,0.603,-1,-1,0
2022-11-25,0.597,0.637,0.597,0.637,-1,-1,0
2022-11-28,0.63,0.65,0.622,0.65,-1,-1,0
2022-11-29,0.649,0.65,0.578,0.58,-1,-1,0
2022-11-30,0.578,0.589,0.544,0.577,-1,-1,0
