Date,Open,High,Low,Close,Start Date,End Date,Pattern
2022-08-01,98.9,99.3,96.5,99.1,-1,-1,0
2022-08-02,99.2,104.8,97.0,102.0,-1,-1,0
2022-08-03,104.0,107.8,102.6,105.6,-1,-1,0
2022-08-04,105.4,105.4,101.0,102.4,-1,-1,0
2022-08-05,102.4,106.4,100.2,101.0,-1,-1,0
2022-08-08,102.0,106.2,102.0,105.0,-1,-1,0
2022-08-09,106.2,106.8,103.8,104.0,-1,-1,0
2022-08-10,107.2,107.2,103.6,107.0,-1,-1,0
2022-08-11,107.4,108.0,106.6,108.0,-1,-1,0
2022-08-12,109.0,112.6,109.0,112.6,-1,-1,0
2022-08-16,112.6,119.8,112.6,118.0,-1,-1,0
2022-08-17,119.4,119.4,112.8,114.2,-1,-1,0
2022-08-18,114.2,115.2,113.2,114.0,-1,-1,0
2022-08-19,114.2,115.8,111.0,111.0,-1,-1,0
2022-08-22,110.2,112.2,105.4,105.4,-1,-1,0
2022-08-23,105.4,111.0,105.2,107.0,-1,-1,0
2022-08-24,109.4,109.4,100.8,101.0,-1,-1,0
2022-08-25,101.0,105.6,101.0,102.6,-1,-1,0
2022-08-26,103.6,103.6,96.4,96.4,-1,-1,0
2022-08-29,96.5,96.5,91.0,93.6,-1,-1,0
2022-08-30,95.4,99.4,94.0,94.2,-1,-1,0
2022-08-31,94.0,102.4,94.0,99.0,-1,-1,0
2022-09-01,97.5,99.8,94.0,94.0,-1,-1,0
2022-09-02,96.0,99.3,96.0,99.3,-1,-1,0
2022-09-05,99.8,99.8,93.3,95.5,-1,-1,0
2022-09-06,97.4,97.4,95.1,97.0,-1,-1,0
2022-09-07,97.0,98.9,94.9,97.0,-1,-1,0
2022-09-08,97.8,102.4,97.8,98.6,-1,-1,0
2022-09-09,100.0,102.0,98.5,100.0,-1,-1,0
2022-09-12,102.2,103.2,98.1,100.0,-1,-1,0
2022-09-13,101.2,101.4,95.0,95.0,-1,-1,0
2022-09-14,96.3,97.0,93.0,95.3,-1,-1,0
2022-09-15,98.5,98.6,97.3,98.5,-1,-1,0
2022-09-16,98.4,98.4,92.8,92.8,-1,-1,0
2022-09-19,92.8,97.0,92.8,97.0,-1,-1,0
2022-09-20,97.0,104.4,95.7,101.6,-1,-1,0
2022-09-21,100.2,104.8,100.0,102.8,-1,-1,0
2022-09-22,103.4,103.4,98.1,98.1,-1,-1,0
2022-09-23,101.0,101.0,94.0,94.0,-1,-1,0
2022-09-26,93.6,95.8,91.0,94.0,-1,-1,0
2022-09-27,91.7,96.0,91.5,95.6,-1,-1,0
2022-09-28,95.8,96.0,93.1,95.5,-1,-1,0
2022-09-29,96.0,97.9,91.2,94.0,-1,-1,0
2022-09-30,93.0,93.5,88.0,91.0,-1,-1,0
2022-10-03,88.1,92.7,88.1,90.5,-1,-1,0
2022-10-04,91.0,97.8,91.0,95.0,-1,-1,0
2022-10-05,95.5,96.9,93.7,93.7,-1,-1,0
2022-10-06,93.8,96.8,93.1,95.3,-1,-1,0
2022-10-07,96.0,96.0,93.1,94.5,-1,-1,0
2022-10-10,94.0,94.0,92.2,93.0,-1,-1,0
2022-10-11,93.9,93.9,91.0,92.0,-1,-1,0
2022-10-12,93.9,93.9,89.7,90.0,-1,-1,0
2022-10-13,90.0,92.4,90.0,90.0,-1,-1,0
2022-10-14,90.4,92.7,90.4,91.0,-1,-1,0
2022-10-17,92.6,92.6,89.3,91.0,-1,-1,0
2022-10-18,92.0,92.0,89.2,91.5,-1,-1,0
2022-10-19,92.0,92.0,89.0,89.0,-1,-1,0
2022-10-20,90.0,90.6,88.6,89.4,-1,-1,0
2022-10-21,90.9,90.9,87.8,90.5,-1,-1,0
2022-10-24,91.0,91.0,87.8,88.9,-1,-1,0
2022-10-25,90.0,91.9,88.4,90.0,-1,-1,0
2022-10-26,88.2,93.5,88.2,93.0,-1,-1,0
2022-10-27,93.0,94.5,93.0,94.5,-1,-1,0
2022-10-28,94.8,94.8,90.5,91.0,-1,-1,0
2022-10-31,92.0,92.8,89.5,92.8,-1,-1,0
