Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-26,27.4,27.4,27.4,27.4,-1,-1,0,0
2023-01-27,27.4,27.4,27.4,27.4,-1,-1,0,0
2023-01-30,27.4,27.4,27.4,27.4,-1,-1,0,0
2023-01-31,27.3,27.3,27.3,27.3,-1,-1,0,0
2023-02-01,27.1,27.4,27.1,27.4,-1,-1,0,0
2023-02-02,27.3,27.3,27.3,27.3,-1,-1,0,0
2023-02-03,27.3,27.3,27.3,27.3,-1,-1,0,0
2023-02-06,27.3,27.3,27.3,27.3,-1,-1,0,0
2023-02-07,27.0,27.0,27.0,27.0,-1,-1,0,0
2023-02-08,26.7,26.8,26.7,26.8,-1,-1,0,0
2023-02-09,27.1,27.2,27.1,27.2,-1,-1,0,0
2023-02-10,27.1,27.1,26.9,26.9,-1,-1,0,0
2023-02-13,26.8,26.8,26.8,26.8,-1,-1,0,0
2023-02-14,26.8,26.8,26.8,26.8,-1,-1,0,0
2023-02-15,26.8,26.8,26.8,26.8,-1,-1,0,0
2023-02-16,25.9,26.0,25.9,26.0,-1,-1,0,0
2023-02-17,26.0,26.0,25.1,25.1,-1,-1,0,0
2023-02-20,25.2,26.7,25.2,26.7,-1,-1,0,0
2023-02-21,26.7,26.7,25.8,25.8,-1,-1,0,0
2023-02-22,25.9,25.9,25.9,25.9,-1,-1,0,0
2023-02-23,25.9,25.9,25.9,25.9,-1,-1,0,0
2023-02-24,25.7,25.7,25.7,25.7,-1,-1,0,0
2023-02-27,25.7,25.7,25.7,25.7,-1,-1,0,0
2023-02-28,25.3,25.3,25.3,25.3,-1,-1,0,0
2023-03-01,25.3,25.3,25.2,25.2,-1,-1,0,0
2023-03-02,25.0,25.2,25.0,25.2,-1,-1,0,0
2023-03-03,25.0,25.5,25.0,25.5,-1,-1,0,0
2023-03-06,24.8,25.0,24.8,25.0,-1,-1,0,0
2023-03-07,25.4,25.4,25.4,25.4,-1,-1,0,0
2023-03-08,24.6,24.6,24.6,24.6,-1,-1,0,0
2023-03-09,24.6,24.6,24.6,24.6,-1,-1,0,0
2023-03-10,24.6,24.6,24.6,24.6,-1,-1,0,0
2023-03-13,25.0,25.0,24.9,24.9,-1,-1,0,0
2023-03-14,24.9,24.9,24.3,24.3,-1,-1,0,0
2023-03-15,24.4,24.4,24.4,24.4,-1,-1,0,0
2023-03-16,24.0,24.0,24.0,24.0,-1,-1,0,0
2023-03-17,24.0,24.0,23.5,23.5,-1,-1,0,0
2023-03-20,23.7,23.7,23.7,23.7,-1,-1,0,0
2023-03-21,23.7,23.7,23.7,23.7,-1,-1,0,0
2023-03-22,23.7,23.7,23.7,23.7,-1,-1,0,0
2023-03-23,23.5,24.0,23.5,24.0,-1,-1,0,0
2023-03-24,24.0,24.0,24.0,24.0,-1,-1,0,0
2023-03-27,24.0,25.1,24.0,25.1,-1,-1,0,0
2023-03-28,24.0,24.0,24.0,24.0,-1,-1,0,0
2023-03-29,25.2,25.2,23.6,23.6,-1,-1,0,0
2023-03-30,25.0,25.0,25.0,25.0,-1,-1,0,0
2023-03-31,25.0,26.9,25.0,26.9,-1,-1,0,0
2023-04-03,27.5,27.5,27.5,27.5,-1,-1,0,0
2023-04-04,27.5,27.5,27.5,27.5,-1,-1,0,0
2023-04-05,26.5,26.5,26.5,26.5,-1,-1,0,0
2023-04-06,25.1,26.0,25.1,26.0,-1,-1,0,0
2023-04-11,25.5,26.9,25.5,26.9,-1,-1,0,0
2023-04-12,26.0,26.0,26.0,26.0,-1,-1,0,0
2023-04-13,26.0,26.0,26.0,26.0,-1,-1,0,0
2023-04-14,26.5,26.5,26.5,26.5,-1,-1,0,0
2023-04-17,25.5,25.5,25.5,25.5,-1,-1,0,0
2023-04-18,26.5,26.5,25.8,25.8,-1,-1,0,0
2023-04-19,26.0,26.0,26.0,26.0,-1,-1,0,0
2023-04-20,26.0,26.0,25.6,25.6,-1,-1,0,0
2023-04-21,25.8,25.8,25.4,25.4,-1,-1,0,0
2023-04-24,26.0,26.0,26.0,26.0,-1,-1,0,0
2023-04-25,26.0,26.0,26.0,26.0,-1,-1,0,0
2023-04-26,26.0,26.0,26.0,26.0,-1,-1,0,0
2023-04-27,26.4,27.0,26.4,27.0,-1,-1,0,0
2023-04-28,29.0,29.0,28.8,28.8,-1,-1,0,0
2023-05-02,28.8,29.2,28.8,29.2,-1,-1,0,0
2023-05-04,29.0,29.0,28.4,28.4,-1,-1,0,0
2023-05-05,28.2,28.2,28.2,28.2,-1,-1,0,0
2023-05-08,28.2,28.4,28.2,28.4,-1,-1,0,0
2023-05-09,28.4,28.4,28.4,28.4,-1,-1,0,0
2023-05-10,28.4,28.4,28.4,28.4,-1,-1,0,0
2023-05-11,29.0,29.0,29.0,29.0,-1,-1,0,0
2023-05-12,29.0,29.2,29.0,29.2,-1,-1,0,0
2023-05-15,29.2,29.2,29.2,29.2,-1,-1,0,0
2023-05-16,29.8,30.2,29.8,30.2,-1,-1,0,0
2023-05-17,30.2,30.2,30.2,30.2,-1,-1,0,0
2023-05-18,30.8,31.4,30.8,31.4,-1,-1,0,0
2023-05-19,31.4,31.4,31.4,31.4,-1,-1,0,0
2023-05-22,31.4,31.6,31.4,31.6,-1,-1,0,0
2023-05-23,31.6,31.6,31.6,31.6,-1,-1,0,0
2023-05-24,31.6,31.6,30.6,30.6,-1,-1,0,0
2023-05-25,30.6,30.6,30.6,30.6,-1,-1,0,0
2023-05-26,30.6,31.4,30.6,31.4,-1,-1,0,0
2023-05-29,31.6,31.6,31.6,31.6,-1,-1,0,0
2023-05-30,31.8,31.8,31.8,31.8,-1,-1,0,0
2023-05-31,31.6,31.6,31.6,31.6,-1,-1,0,0
2023-06-01,30.6,30.6,30.6,30.6,-1,-1,0,0
2023-06-02,30.8,31.2,30.8,31.2,-1,-1,0,0
2023-06-05,31.2,31.4,31.2,31.4,-1,-1,0,0
2023-06-06,31.6,31.6,31.6,31.6,-1,-1,0,0
2023-06-07,31.8,31.8,31.8,31.8,-1,-1,0,0
2023-06-09,31.8,31.8,31.8,31.8,-1,-1,0,0
2023-06-12,31.8,31.8,31.8,31.8,-1,-1,0,0
2023-06-13,31.6,31.6,31.6,31.6,-1,-1,0,0
2023-06-14,31.4,31.8,31.4,31.8,-1,-1,0,0
2023-06-15,31.8,31.8,31.8,31.8,-1,-1,0,0
2023-06-16,31.6,31.6,31.6,31.6,-1,-1,0,0
2023-06-19,31.8,31.8,31.8,31.8,-1,-1,0,0
2023-06-20,31.4,31.8,31.4,31.8,-1,-1,0,0
2023-06-21,31.8,31.8,31.8,31.8,-1,-1,0,0
2023-06-22,32.0,32.0,32.0,32.0,-1,-1,0,0
2023-06-23,32.0,32.0,32.0,32.0,-1,-1,0,0
2023-06-26,31.8,32.2,31.8,32.2,-1,-1,0,0
2023-06-27,32.2,32.2,32.2,32.2,-1,-1,0,0
2023-06-28,32.0,32.0,32.0,32.0,-1,-1,0,0
2023-06-29,32.2,32.2,32.2,32.2,-1,-1,0,0
2023-06-30,32.2,32.4,32.2,32.4,-1,-1,0,0
2023-07-03,32.4,32.6,32.4,32.6,-1,-1,0,0
2023-07-04,32.6,32.6,32.6,32.6,-1,-1,0,0
2023-07-05,32.8,32.8,32.8,32.8,-1,-1,0,0
2023-07-06,33.0,33.0,32.8,32.8,-1,-1,0,0
2023-07-07,33.2,33.4,33.2,33.4,-1,-1,0,0
2023-07-10,33.6,33.6,33.6,33.6,-1,-1,0,0
2023-07-11,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-07-12,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-07-13,33.8,33.8,33.8,33.8,-1,-1,0,0
2023-07-14,33.8,33.8,33.8,33.8,-1,-1,0,0
2023-07-17,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-07-18,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-07-19,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-07-20,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-07-21,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-07-24,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-07-25,33.2,34.0,33.2,34.0,-1,-1,0,0
2023-07-26,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-07-27,33.8,33.8,33.8,33.8,-1,-1,0,0
2023-07-28,31.8,32.0,31.8,32.0,-1,-1,0,0
2023-07-31,32.0,32.0,32.0,32.0,-1,-1,0,0
2023-08-01,33.0,33.0,33.0,33.0,-1,-1,0,0
2023-08-02,33.0,33.0,33.0,33.0,-1,-1,0,0
2023-08-03,33.0,33.0,33.0,33.0,-1,-1,0,0
2023-08-04,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-08-07,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-08-08,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-08-09,34.0,34.0,34.0,34.0,-1,-1,0,0
2023-08-10,32.4,32.4,31.6,31.6,-1,-1,0,0
2023-08-11,31.6,31.6,31.6,31.6,-1,-1,0,0
2023-08-14,32.0,32.6,32.0,32.6,-1,-1,0,0
2023-08-16,33.6,33.6,33.6,33.6,-1,-1,0,0
2023-08-17,33.4,33.4,33.2,33.2,-1,-1,0,0
2023-08-18,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-08-21,33.0,33.0,33.0,33.0,-1,-1,0,0
2023-08-22,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-08-23,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-08-24,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-08-25,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-08-28,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-08-29,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-08-30,33.4,33.4,33.4,33.4,-1,-1,0,0
2023-08-31,33.4,33.4,33.4,33.4,-1,-1,0,0
