Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-30,8729.54,8961.2,8716.77,8874.73,-1,-1,0,0
2022-10-03,8857.45,9123.6,8732.3,9123.6,-1,-1,0,0
2022-10-04,9248.88,9319.69,9155.65,9319.69,-1,-1,0,0
2022-10-05,9327.62,9327.62,8962.45,8962.45,-1,-1,0,0
2022-10-06,8991.43,9203.94,8988.53,9133.35,-1,-1,0,0
2022-10-07,9144.49,9153.72,8853.55,8922.36,-1,-1,0,0
2022-10-10,8799.29,8892.29,8632.21,8632.21,-1,-1,0,0
2022-10-11,8654.1,8654.1,8278.28,8344.71,-1,-1,0,0
2022-10-12,8399.35,8494.45,8183.64,8306.79,-1,-1,0,0
2022-10-13,8447.3,8656.63,8353.51,8573.01,-1,-1,0,0
2022-10-14,8728.12,8786.8,8393.9,8444.09,-1,-1,0,0
2022-10-17,8474.88,8538.27,8320.59,8368.08,-1,-1,0,0
2022-10-18,8422.35,8502.56,8319.94,8424.42,-1,-1,0,0
2022-10-19,8480.72,8580.13,8365.53,8511.08,-1,-1,0,0
2022-10-20,8433.43,8577.7,8314.76,8364.07,-1,-1,0,0
2022-10-21,8380.3,8417.38,8195.1,8314.38,-1,-1,0,0
2022-10-24,8379.4,8408.67,8184.77,8262.67,-1,-1,0,0
2022-10-25,8282.63,8439.82,8268.95,8414.07,-1,-1,0,0
2022-10-26,8499.11,8892.61,8389.7,8858.3,-1,-1,0,0
2022-10-27,8874.86,8948.47,8726.07,8910.88,-1,-1,0,0
2022-10-28,8808.08,8880.51,8712.41,8763.99,-1,-1,0,0
2022-10-31,8821.59,9091.21,8812.94,8966.61,-1,-1,0,0
2022-11-02,9021.8,9113.68,8943.26,9039.79,-1,-1,0,0
2022-11-03,8908.64,9126.91,8897.11,9126.91,-1,-1,0,0
2022-11-04,9142.47,9550.28,9142.47,9542.21,-1,-1,0,0
2022-11-07,9806.83,9806.83,9401.52,9401.52,-1,-1,0,0
2022-11-08,9348.95,9586.87,9320.45,9480.84,-1,-1,0,0
2022-11-09,9595.34,9690.48,9405.19,9411.72,-1,-1,0,0
2022-11-10,9369.9,9369.9,8848.27,9140.32,-1,-1,0,0
2022-11-14,9247.94,9502.7,9247.94,9424.12,-1,-1,0,0
2022-11-15,9463.04,9463.04,9276.88,9311.51,-1,-1,0,0
2022-11-16,9208.83,9342.74,9164.74,9278.62,-1,-1,0,0
2022-11-17,9310.34,9316.1,9060.06,9096.89,-1,-1,0,0
2022-11-18,9095.24,9405.83,9070.01,9405.83,-1,-1,0,0
2022-11-21,9451.79,9451.79,9250.82,9256.88,-1,-1,0,0
2022-11-22,9304.15,9509.46,9283.97,9442.09,-1,-1,0,0
2022-11-23,9442.92,9506.17,9324.17,9324.17,-1,-1,0,0
2022-11-24,9384.76,9700.56,9353.05,9694.34,-1,-1,0,0
2022-11-25,9895.91,10080.22,9798.03,9991.46,-1,-1,0,0
2022-11-28,10021.66,10021.66,9842.65,9934.77,-1,-1,0,0
2022-11-29,9900.65,9923.42,9691.14,9842.69,-1,-1,0,0
2022-11-30,9895.73,10224.72,9791.31,10141.9,-1,-1,0,0
2022-12-01,10304.06,10388.07,10254.47,10359.31,-1,-1,0,0
2022-12-02,10371.29,10500.45,10170.21,10427.01,-1,-1,0,0
2022-12-05,10436.67,10535.94,10355.58,10389.89,-1,-1,0,0
2022-12-06,10358.81,10358.81,10102.24,10102.24,-1,-1,0,0
2022-12-07,10085.4,10291.57,10072.63,10171.06,-1,-1,0,0
2022-12-08,10144.8,10250.58,10039.55,10250.58,-1,-1,0,0
2022-12-09,10266.93,10287.41,10085.41,10162.89,-1,-1,0,0
2022-12-12,10183.09,10197.94,10052.62,10107.63,-1,-1,0,0
2022-12-13,10156.18,10367.36,10075.16,10321.18,-1,-1,0,0
2022-12-14,10324.56,10383.51,10210.98,10236.74,-1,-1,0,0
2022-12-15,10194.8,10198.84,9988.57,10038.93,-1,-1,0,0
2022-12-16,10030.9,10271.14,9927.27,10200.91,-1,-1,0,0
2022-12-19,10223.61,10271.32,10110.65,10225.48,-1,-1,0,0
2022-12-20,10219.07,10674.0,10175.43,10674.0,-1,-1,0,0
2022-12-21,10628.61,10932.81,10577.4,10903.97,-1,-1,0,0
2022-12-22,10908.83,11093.73,10833.0,10853.94,-1,-1,0,0
2022-12-23,10866.81,10992.73,10743.28,10743.28,-1,-1,0,0
2022-12-27,10771.74,10884.1,10750.3,10805.98,-1,-1,0,0
2022-12-28,10793.33,10891.28,10731.53,10763.63,-1,-1,0,0
2022-12-29,10832.73,10923.84,10727.69,10849.9,-1,-1,0,0
2022-12-30,10872.67,10935.77,10787.48,10887.39,-1,-1,0,0
2023-01-02,10860.76,11360.78,10849.1,11356.32,-1,-1,0,0
2023-01-03,11489.73,11836.03,11487.72,11616.59,-1,-1,0,0
2023-01-04,11623.73,11781.31,11512.41,11573.09,-1,-1,0,0
2023-01-05,11552.82,12011.62,11529.63,11993.3,-1,-1,0,0
2023-01-09,12134.75,12302.95,12067.22,12202.03,-1,-1,0,0
2023-01-10,12128.73,12316.24,12075.28,12201.11,-1,-1,0,0
2023-01-11,12229.72,12277.26,12016.99,12016.99,-1,-1,0,0
2023-01-12,12024.25,12140.45,11968.25,12026.32,-1,-1,0,0
2023-01-13,12030.45,12182.4,12018.21,12058.43,-1,-1,0,0
2023-01-16,12134.29,12292.77,11969.91,12154.72,-1,-1,0,0
2023-01-17,12158.5,12193.78,12034.24,12146.01,-1,-1,0,0
2023-01-18,12121.35,12328.55,12094.07,12233.59,-1,-1,0,0
2023-01-19,12137.91,12323.14,12131.8,12240.65,-1,-1,0,0
2023-01-20,12404.19,12553.02,12234.34,12399.62,-1,-1,0,0
2023-01-23,12427.53,12716.77,12419.75,12673.18,-1,-1,0,0
2023-01-24,12686.17,12744.95,12511.45,12537.74,-1,-1,0,0
2023-01-25,12543.95,12676.73,12463.38,12463.38,-1,-1,0,0
2023-01-26,12482.17,12684.31,12482.17,12618.88,-1,-1,0,0
2023-01-27,12560.24,12666.1,12351.39,12351.39,-1,-1,0,0
2023-01-30,12189.61,12264.95,12059.51,12116.38,-1,-1,0,0
2023-01-31,12111.01,12616.74,12060.68,12584.36,-1,-1,0,0
2023-02-01,12540.84,12555.31,12321.27,12359.24,-1,-1,0,0
2023-02-02,12457.52,12495.44,12231.3,12244.58,-1,-1,0,0
2023-02-03,12350.29,12420.47,12218.03,12333.31,-1,-1,0,0
2023-02-06,12327.97,12388.19,12131.52,12299.43,-1,-1,0,0
2023-02-07,12373.81,12376.97,12191.11,12205.51,-1,-1,0,0
2023-02-08,12306.89,12469.08,12293.42,12406.82,-1,-1,0,0
2023-02-09,12443.42,12586.08,12361.41,12548.26,-1,-1,0,0
2023-02-10,12493.9,12493.9,12141.91,12178.44,-1,-1,0,0
2023-02-13,12459.21,12597.16,12369.35,12532.02,-1,-1,0,0
2023-02-14,12547.43,12602.63,12377.98,12413.86,-1,-1,0,0
2023-02-15,12404.75,12422.71,12310.46,12341.82,-1,-1,0,0
2023-02-16,12394.4,12432.8,12253.96,12322.43,-1,-1,0,0
2023-02-17,12324.98,12407.0,12300.82,12341.06,-1,-1,0,0
2023-02-20,12396.01,12396.01,12140.09,12140.09,-1,-1,0,0
2023-02-21,12157.29,12174.79,11927.68,12006.93,-1,-1,0,0
2023-02-22,11963.39,12024.29,11767.41,11916.17,-1,-1,0,0
2023-02-23,11952.98,12014.12,11809.97,11904.0,-1,-1,0,0
2023-02-24,11967.09,11967.09,11686.76,11742.93,-1,-1,0,0
2023-02-27,11725.94,11756.11,11601.07,11667.68,-1,-1,0,0
2023-02-28,11636.2,11923.36,11607.75,11899.66,-1,-1,0,0
2023-03-01,11958.5,12034.23,11882.43,11983.91,-1,-1,0,0
2023-03-02,11995.19,11995.19,11807.75,11900.97,-1,-1,0,0
2023-03-03,11957.13,11984.48,11849.21,11875.09,-1,-1,0,0
2023-03-06,11962.46,12045.47,11862.53,12018.12,-1,-1,0,0
2023-03-07,12051.09,12097.51,11923.93,11981.72,-1,-1,0,0
2023-03-08,11968.62,12039.26,11889.11,11957.57,-1,-1,0,0
2023-03-09,11928.72,12099.23,11881.89,12094.27,-1,-1,0,0
2023-03-10,11882.99,11955.2,11777.97,11803.81,-1,-1,0,0
2023-03-13,11646.73,11754.67,11372.66,11564.47,-1,-1,0,0
2023-03-14,11465.79,11579.85,11375.82,11401.01,-1,-1,0,0
2023-03-15,11403.56,11441.6,11117.65,11143.71,-1,-1,0,0
2023-03-16,11196.34,11254.33,11068.67,11231.64,-1,-1,0,0
2023-03-17,11330.89,11369.79,11121.12,11183.78,-1,-1,0,0
2023-03-20,11042.8,11184.14,10905.23,11133.58,-1,-1,0,0
2023-03-21,11193.61,11554.4,11193.61,11359.45,-1,-1,0,0
2023-03-22,11373.7,11373.7,11234.7,11327.37,-1,-1,0,0
2023-03-23,11347.53,11516.9,11270.82,11470.95,-1,-1,0,0
2023-03-24,11474.71,11552.02,11269.39,11370.82,-1,-1,0,0
2023-03-27,11527.67,11664.28,11402.93,11629.57,-1,-1,0,0
2023-03-28,11666.91,11764.02,11621.22,11676.2,-1,-1,0,0
2023-03-29,11750.82,11929.7,11709.15,11864.23,-1,-1,0,0
2023-03-30,11969.17,12291.64,11946.8,12219.42,-1,-1,0,0
2023-03-31,12277.41,12283.24,12069.31,12183.43,-1,-1,0,0
2023-04-03,12140.28,12222.89,11689.83,11707.71,-1,-1,0,0
2023-04-04,11668.91,11823.42,11595.16,11595.16,-1,-1,0,0
2023-04-05,11676.24,11715.4,11535.28,11545.31,-1,-1,0,0
2023-04-06,11553.19,11603.02,11464.42,11506.58,-1,-1,0,0
2023-04-11,11621.3,11795.9,11606.92,11771.91,-1,-1,0,0
2023-04-12,11797.18,11817.32,11644.76,11663.33,-1,-1,0,0
2023-04-13,11675.9,11733.28,11545.73,11566.64,-1,-1,0,0
2023-04-14,11596.31,11684.77,11560.79,11587.11,-1,-1,0,0
2023-04-17,11644.29,11716.84,11563.31,11678.77,-1,-1,0,0
2023-04-18,11688.14,11788.25,11572.16,11652.88,-1,-1,0,0
2023-04-19,11686.43,11694.19,11546.25,11624.99,-1,-1,0,0
2023-04-20,11583.9,11754.4,11560.8,11652.18,-1,-1,0,0
