Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-03,17.5,17.5,16.52,17.0,-1,-1,0,0
2022-10-04,17.28,19.99,17.2,19.4,-1,-1,0,0
2022-10-05,19.48,19.48,18.6,18.7,-1,-1,0,0
2022-10-06,19.37,19.9,19.15,19.45,-1,-1,0,0
2022-10-07,19.45,20.8,19.24,19.92,-1,-1,0,0
2022-10-10,19.9,19.91,18.82,18.82,-1,-1,0,0
2022-10-11,18.8,19.69,18.78,19.35,-1,-1,0,0
2022-10-12,19.35,19.5,18.94,19.2,-1,-1,0,0
2022-10-13,19.21,19.48,18.4,18.42,-1,-1,0,0
2022-10-14,19.0,19.1,18.6,18.9,-1,-1,0,0
2022-10-17,18.96,18.96,18.3,18.8,-1,-1,0,0
2022-10-18,18.83,18.9,18.46,18.55,-1,-1,0,0
2022-10-19,18.99,18.99,17.31,17.9,-1,-1,0,0
2022-10-20,18.0,18.0,17.16,17.17,-1,-1,0,0
2022-10-21,17.17,17.5,16.31,16.8,-1,-1,0,0
2022-10-24,16.99,17.42,16.75,17.27,-1,-1,0,0
2022-10-25,17.4,17.4,17.0,17.14,-1,-1,0,0
2022-10-26,17.2,17.24,16.93,17.0,-1,-1,0,0
2022-10-27,17.0,17.41,17.0,17.18,-1,-1,0,0
2022-10-28,17.29,17.29,16.78,16.96,-1,-1,0,0
2022-10-31,16.65,16.65,15.5,16.55,-1,-1,0,0
2022-11-02,16.9,18.09,15.7,17.0,-1,-1,0,0
2022-11-03,17.19,18.0,17.06,17.58,-1,-1,0,0
2022-11-04,17.65,18.0,17.4,18.0,-1,-1,0,0
2022-11-07,18.1,18.2,17.95,18.16,-1,-1,0,0
2022-11-08,18.17,18.18,17.18,17.41,-1,-1,0,0
2022-11-09,17.48,18.19,17.25,18.19,-1,-1,0,0
2022-11-10,18.52,18.76,17.5,18.38,-1,-1,0,0
2022-11-14,19.27,22.6,19.22,21.66,-1,-1,0,0
2022-11-15,21.8,21.8,20.32,21.0,-1,-1,0,0
2022-11-16,19.4,20.28,18.81,19.4,-1,-1,0,0
2022-11-17,19.6,19.79,18.4,18.6,-1,-1,0,0
2022-11-18,18.5,19.1,18.3,18.6,-1,-1,0,0
2022-11-21,18.78,18.83,18.35,18.56,-1,-1,0,0
2022-11-22,18.52,18.78,18.3,18.64,-1,-1,0,0
2022-11-23,18.69,18.8,17.7,18.0,-1,-1,0,0
2022-11-24,18.0,18.47,17.99,18.1,-1,-1,0,0
2022-11-25,18.0,18.47,17.5,18.0,-1,-1,0,0
2022-11-28,18.1,18.19,17.76,18.0,-1,-1,0,0
2022-11-29,17.84,18.4,17.57,18.19,-1,-1,0,0
2022-11-30,18.14,18.48,17.93,18.28,-1,-1,0,0
2022-12-01,18.46,18.46,17.87,17.95,-1,-1,0,0
2022-12-02,18.0,18.3,17.95,18.0,-1,-1,0,0
2022-12-05,18.29,18.39,18.06,18.39,-1,-1,0,0
2022-12-06,18.4,18.5,18.1,18.33,-1,-1,0,0
2022-12-07,18.32,18.4,17.9,18.01,-1,-1,0,0
2022-12-08,18.25,18.25,17.96,18.0,-1,-1,0,0
2022-12-09,18.0,18.09,17.7,17.78,-1,-1,0,0
