Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-04,3.368,3.478,3.324,3.478,-1,-1,0,0
2022-10-05,3.52,3.52,3.32,3.34,-1,-1,0,0
2022-10-06,3.37,3.42,3.32,3.328,-1,-1,0,0
2022-10-07,3.31,3.4,3.296,3.35,-1,-1,0,0
2022-10-10,3.3,3.32,3.22,3.314,-1,-1,0,0
2022-10-11,3.296,3.328,3.162,3.306,-1,-1,0,0
2022-10-12,3.32,3.32,3.206,3.25,-1,-1,0,0
2022-10-13,3.2,3.326,3.152,3.326,-1,-1,0,0
2022-10-14,3.422,3.486,3.396,3.408,-1,-1,0,0
2022-10-17,3.4,3.48,3.37,3.48,-1,-1,0,0
2022-10-18,3.52,3.644,3.512,3.598,-1,-1,0,0
2022-10-19,3.58,3.58,3.418,3.446,-1,-1,0,0
2022-10-20,3.406,3.578,3.37,3.574,-1,-1,0,0
2022-10-21,3.54,3.68,3.464,3.546,-1,-1,0,0
2022-10-24,3.64,3.77,3.48,3.754,-1,-1,0,0
2022-10-25,3.758,3.978,3.712,3.95,-1,-1,0,0
2022-10-26,3.98,4.126,3.95,4.08,-1,-1,0,0
2022-10-27,4.09,4.224,3.976,4.2,-1,-1,0,0
2022-10-28,4.192,4.356,4.054,4.3,-1,-1,0,0
2022-10-31,4.3,4.436,4.25,4.36,-1,-1,0,0
2022-11-02,4.37,4.43,4.262,4.322,-1,-1,0,0
2022-11-03,4.28,4.28,4.11,4.236,-1,-1,0,0
2022-11-04,4.202,4.45,4.202,4.432,-1,-1,0,0
2022-11-07,4.48,4.64,4.426,4.53,-1,-1,0,0
2022-11-08,4.59,4.678,4.51,4.66,-1,-1,0,0
2022-11-09,4.68,4.95,4.622,4.918,-1,-1,0,0
2022-11-10,4.9,5.09,4.76,5.03,-1,-1,0,0
2022-11-14,5.055,5.235,5.025,5.105,-1,-1,0,0
2022-11-15,5.15,5.16,4.868,4.95,-1,-1,0,0
2022-11-16,4.85,4.968,4.722,4.9,-1,-1,0,0
2022-11-17,4.88,4.928,4.7,4.82,-1,-1,0,0
2022-11-18,4.8,4.916,4.732,4.862,-1,-1,0,0
2022-11-21,4.8,4.858,4.564,4.624,-1,-1,0,0
2022-11-22,4.59,4.68,4.58,4.628,-1,-1,0,0
2022-11-23,4.678,4.736,4.6,4.668,-1,-1,0,0
2022-11-24,4.676,4.758,4.63,4.7,-1,-1,0,0
2022-11-25,4.76,4.778,4.672,4.75,-1,-1,0,0
2022-11-28,4.73,4.74,4.64,4.712,-1,-1,0,0
2022-11-29,4.69,4.714,4.6,4.644,-1,-1,0,0
2022-11-30,4.65,4.76,4.59,4.64,-1,-1,0,0
2022-12-01,4.75,4.758,4.652,4.7,-1,-1,0,0
2022-12-02,4.7,4.7,4.552,4.574,-1,-1,0,0
2022-12-05,4.584,4.768,4.584,4.71,-1,-1,0,0
2022-12-06,4.652,4.652,4.54,4.58,-1,-1,0,0
2022-12-07,4.57,4.638,4.53,4.586,-1,-1,0,0
2022-12-08,4.56,4.56,4.42,4.486,-1,-1,0,0
2022-12-09,4.48,4.508,4.35,4.44,-1,-1,0,0
2022-12-12,4.4,4.454,4.34,4.44,-1,-1,0,0
2022-12-13,4.47,4.616,4.452,4.546,-1,-1,0,0
2022-12-14,4.62,4.708,4.574,4.636,-1,-1,0,0
2022-12-15,4.6,4.638,4.522,4.56,-1,-1,0,0
2022-12-16,4.55,4.666,4.52,4.662,-1,-1,0,0
2022-12-19,4.688,4.72,4.508,4.552,-1,-1,0,0
2022-12-20,4.548,4.594,4.504,4.57,-1,-1,0,0
2022-12-21,4.57,4.698,4.564,4.698,-1,-1,0,0
2022-12-22,4.692,4.76,4.644,4.696,-1,-1,0,0
2022-12-23,4.75,4.75,4.614,4.642,-1,-1,0,0
2022-12-27,4.694,4.7,4.49,4.52,-1,-1,0,0
2022-12-28,4.518,4.588,4.476,4.56,-1,-1,0,0
2022-12-29,4.52,4.67,4.51,4.622,-1,-1,0,0
2022-12-30,4.62,4.642,4.566,4.58,-1,-1,0,0
2023-01-02,4.67,4.73,4.6,4.73,-1,-1,0,0
2023-01-03,4.764,5.15,4.75,5.07,-1,-1,0,0
2023-01-04,5.1,5.6,5.0,5.595,-1,-1,0,0
2023-01-05,5.595,5.84,5.41,5.64,-1,-1,0,0
2023-01-09,5.66,5.77,5.525,5.585,-1,-1,0,0
2023-01-10,5.59,5.7,5.515,5.67,-1,-1,0,0
2023-01-11,5.72,5.77,5.305,5.31,-1,-1,0,0
2023-01-12,5.31,5.59,5.28,5.52,-1,-1,0,0
2023-01-13,5.58,5.58,5.41,5.5,-1,-1,0,0
2023-01-16,5.485,5.545,5.385,5.45,-1,-1,0,0
2023-01-17,5.485,5.49,5.22,5.23,-1,-1,0,0
2023-01-18,5.23,5.31,5.13,5.155,-1,-1,0,0
2023-01-19,5.14,5.26,5.105,5.23,-1,-1,0,0
2023-01-20,5.25,5.37,5.195,5.265,-1,-1,0,0
2023-01-23,5.27,5.3,5.14,5.14,-1,-1,0,0
2023-01-24,5.16,5.22,5.06,5.095,-1,-1,0,0
2023-01-25,5.03,5.03,4.66,4.752,-1,-1,0,0
2023-01-26,4.8,4.858,4.712,4.82,-1,-1,0,0
2023-01-27,4.82,4.86,4.762,4.786,-1,-1,0,0
2023-01-30,4.758,4.758,4.592,4.594,-1,-1,0,0
2023-01-31,4.7,5.15,4.67,5.14,-1,-1,0,0
2023-02-01,5.15,5.215,5.0,5.05,-1,-1,0,0
2023-02-02,5.17,5.175,4.97,5.05,-1,-1,0,0
2023-02-03,5.07,5.12,5.0,5.08,-1,-1,0,0
2023-02-06,5.02,5.055,4.902,4.942,-1,-1,0,0
2023-02-07,4.944,5.045,4.898,4.914,-1,-1,0,0
2023-02-08,4.93,5.025,4.93,4.954,-1,-1,0,0
