Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-05,472,472,470,470,22,30,1,1
2023-04-06,470,470,462,470,22,30,1,1
2023-04-11,468,476,468,476,22,30,1,1
2023-04-12,475,476,465,476,22,30,1,1
2023-04-13,476,476,476,476,22,30,1,1
2023-04-14,476,476,466,475,22,30,1,1
2023-04-17,476,478,475,478,22,30,1,1
2023-04-18,478,488,475,487,22,30,1,1
2023-04-19,486,486,480,480,22,30,1,1
2023-04-20,481,484,480,484,22,30,1,1
2023-04-21,485,486,482,486,22,30,1,1
2023-04-24,485,485,482,482,22,30,1,1
2023-04-25,489,508,489,508,22,30,1,1
2023-04-26,510,510,498,502,22,30,1,1
2023-04-27,504,510,496,497,22,30,1,1
2023-04-28,497,508,496,506,22,30,1,1
2023-05-02,500,504,497,500,22,30,1,1
2023-05-04,497,500,497,500,22,30,1,1
2023-05-05,506,516,506,508,22,30,1,1
2023-05-08,506,506,504,506,22,30,1,1
2023-05-09,510,524,508,510,22,30,1,1
2023-05-10,512,520,512,516,22,30,1,1
2023-05-11,516,524,510,524,22,30,1,1
2023-05-12,520,528,520,520,22,30,1,1
2023-05-15,520,530,520,528,22,30,1,1
2023-05-16,524,534,518,530,22,30,1,1
2023-05-17,530,530,526,530,22,30,1,1
2023-05-18,528,542,528,530,22,30,1,1
2023-05-19,538,540,530,538,22,30,1,1
2023-05-22,524,542,524,532,22,30,1,1
2023-05-23,540,540,532,532,22,30,1,1
2023-05-24,532,542,532,542,22,30,1,1
2023-05-25,534,540,528,540,22,30,1,1
2023-05-26,540,540,540,540,22,30,1,1
2023-05-29,540,544,534,544,22,30,1,1
2023-05-30,544,544,540,544,22,30,1,1
2023-05-31,546,546,540,540,22,30,1,1
2023-06-01,544,546,538,546,22,30,1,1
2023-06-02,546,548,540,548,22,30,1,1
2023-06-05,546,548,546,546,22,30,1,1
2023-06-06,540,544,540,540,22,30,1,1
2023-06-07,544,552,538,538,22,30,1,1
2023-06-09,540,554,540,548,22,30,1,1
2023-06-12,548,550,540,542,22,30,1,1
2023-06-13,548,550,544,548,22,30,1,1
2023-06-14,546,550,544,544,22,30,1,1
2023-06-15,542,550,542,548,22,30,1,1
2023-06-16,556,556,550,554,22,30,1,1
2023-06-19,554,554,544,544,22,30,1,1
2023-06-20,546,560,546,560,22,30,1,1
2023-06-21,556,556,550,550,22,30,1,1
2023-06-22,560,566,560,560,22,30,1,1
2023-06-23,560,562,560,562,22,30,1,1
2023-06-26,562,564,562,564,22,30,1,1
2023-06-27,564,564,560,564,22,30,1,1
2023-06-28,570,570,560,562,22,30,1,1
