Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-14,50.0,52.45,49.28,51.8,141,189,1,1
2022-11-15,51.8,52.7,50.05,51.1,141,189,1,1
2022-11-16,50.0,50.95,49.04,50.95,141,189,1,1
2022-11-17,51.25,53.0,50.5,50.55,141,189,1,1
2022-11-18,51.5,52.0,49.52,50.6,141,189,1,1
2022-11-21,51.35,51.5,49.5,49.5,141,189,1,1
2022-11-22,49.7,50.7,49.46,50.35,141,189,1,1
2022-11-23,50.55,52.5,49.96,52.3,141,189,1,1
2022-11-24,53.2,59.05,53.2,57.65,141,189,1,1
2022-11-25,57.9,58.0,56.0,57.65,141,189,1,1
2022-11-28,57.0,57.8,56.0,56.6,141,189,1,1
2022-11-29,56.2,57.1,52.9,53.9,141,189,1,1
2022-11-30,53.95,59.45,53.0,57.75,141,189,1,1
2022-12-01,58.4,59.7,57.9,58.9,141,189,1,1
2022-12-02,58.9,60.8,56.9,57.8,141,189,1,1
2022-12-05,58.0,59.9,57.45,58.5,141,189,1,1
2022-12-06,58.0,58.9,58.0,58.0,141,189,1,1
2022-12-07,58.1,58.3,57.1,57.5,141,189,1,1
2022-12-08,57.05,57.95,56.9,57.9,141,189,1,1
2022-12-09,57.9,57.9,56.7,57.3,141,189,1,1
2022-12-12,57.9,57.9,55.3,56.25,141,189,1,1
2022-12-13,56.0,56.95,55.45,56.35,141,189,1,1
2022-12-14,56.35,56.4,55.4,55.5,141,189,1,1
2022-12-15,55.45,56.4,53.95,55.0,141,189,1,1
2022-12-16,54.25,59.0,53.1,55.7,141,189,1,1
2022-12-19,56.7,57.0,54.95,55.75,141,189,1,1
2022-12-20,55.45,56.0,51.0,51.6,141,189,1,1
2022-12-21,51.8,53.6,51.6,52.65,141,189,1,1
2022-12-22,52.5,54.25,49.4,54.0,141,189,1,1
2022-12-23,54.0,55.15,53.35,54.9,141,189,1,1
2022-12-27,54.0,55.3,54.0,54.9,141,189,1,1
2022-12-28,54.0,54.9,53.1,53.45,141,189,1,1
2022-12-29,53.05,55.15,53.05,54.95,141,189,1,1
2022-12-30,54.9,55.6,54.6,55.4,141,189,1,1
2023-01-02,56.5,56.85,55.3,56.2,141,189,1,1
2023-01-03,56.3,57.2,55.05,55.95,141,189,1,1
2023-01-04,56.0,56.25,55.0,55.5,141,189,1,1
2023-01-05,55.45,56.5,55.0,55.7,141,189,1,1
2023-01-09,56.0,56.3,55.0,55.7,141,189,1,1
2023-01-10,55.3,56.1,55.1,56.05,141,189,1,1
2023-01-11,56.15,58.45,56.1,57.9,141,189,1,1
2023-01-12,57.9,59.2,57.35,58.0,141,189,1,1
2023-01-13,58.0,58.45,57.1,58.25,141,189,1,1
2023-01-16,58.55,61.5,57.7,61.5,141,189,1,1
2023-01-17,62.0,64.5,62.0,62.4,141,189,1,1
2023-01-18,62.0,63.65,62.0,63.65,141,189,1,1
2023-01-19,63.0,63.0,60.4,61.0,141,189,1,1
2023-01-20,61.0,61.8,60.55,61.5,141,189,1,1
2023-01-23,61.75,64.65,61.75,63.6,141,189,1,1
2023-01-24,63.85,63.85,61.7,62.0,141,189,1,1
2023-01-25,62.45,62.45,60.9,61.85,141,189,1,1
2023-01-26,63.0,63.6,61.85,63.0,141,189,1,1
2023-01-27,63.0,63.45,62.0,62.9,141,189,1,1
2023-01-30,62.85,62.9,61.45,62.2,141,189,1,1
2023-01-31,62.2,62.85,61.75,61.8,141,189,1,1
2023-02-01,61.5,61.8,60.7,61.75,141,189,1,1
2023-02-02,61.0,62.4,60.5,61.45,141,189,1,1
2023-02-03,61.5,61.6,59.4,60.0,141,189,1,1
2023-02-06,60.55,60.55,57.0,58.0,141,189,1,1
2023-02-07,57.6,57.95,57.15,57.9,141,189,1,1
2023-02-08,58.0,58.5,57.7,58.05,141,189,1,1
2023-02-09,58.6,61.0,58.0,60.5,141,189,1,1
2023-02-10,60.9,60.9,59.4,60.4,141,189,1,1
2023-02-13,60.45,60.8,58.0,58.75,141,189,1,1
2023-02-14,58.5,59.3,57.8,58.0,141,189,1,1
2023-02-15,57.65,61.0,57.65,59.75,141,189,1,1
2023-02-16,59.75,59.75,57.8,58.8,141,189,1,1
2023-02-17,58.75,58.75,57.5,58.15,141,189,1,1
2023-02-20,57.95,58.0,57.3,58.0,141,189,1,1
2023-02-21,57.8,58.45,57.45,58.45,141,189,1,1
2023-02-22,58.6,58.6,55.9,57.8,141,189,1,1
2023-02-23,57.9,57.9,57.1,57.65,141,189,1,1
2023-02-24,57.25,57.9,57.15,57.5,141,189,1,1
2023-02-27,57.95,57.95,56.9,57.5,141,189,1,1
2023-02-28,57.05,57.85,55.0,55.8,141,189,1,1
2023-03-01,55.6,56.2,55.6,55.85,141,189,1,1
2023-03-02,56.15,56.15,55.1,55.3,141,189,1,1
2023-03-03,55.95,57.0,54.0,54.8,141,189,1,1
2023-03-06,55.0,56.85,55.0,56.75,141,189,1,1
2023-03-07,59.1,61.2,58.2,58.25,141,189,1,1
2023-03-08,59.3,60.7,59.0,59.8,141,189,1,1
2023-03-09,60.1,60.65,57.75,58.8,141,189,1,1
2023-03-10,58.0,58.05,57.1,58.0,141,189,1,1
2023-03-13,57.2,57.2,55.5,56.0,141,189,1,1
2023-03-14,56.0,57.4,56.0,57.3,141,189,1,1
2023-03-15,57.45,58.0,54.7,56.0,141,189,1,1
2023-03-16,56.6,58.7,56.0,57.0,141,189,1,1
2023-03-17,57.45,57.45,56.0,57.0,141,189,1,1
2023-03-20,56.7,56.7,54.9,55.5,141,189,1,1
2023-03-21,55.5,56.15,55.0,55.8,141,189,1,1
2023-03-22,55.8,56.35,55.45,56.35,141,189,1,1
2023-03-23,56.35,56.35,54.5,55.85,141,189,1,1
2023-03-24,55.1,55.8,54.7,55.65,141,189,1,1
2023-03-27,55.0,56.7,54.8,56.0,141,189,1,1
2023-03-28,56.0,57.45,55.8,56.1,141,189,1,1
2023-03-29,56.05,56.65,55.3,55.55,141,189,1,1
2023-03-30,56.0,58.5,55.4,58.5,141,189,1,1
2023-03-31,59.0,61.75,58.0,61.5,141,189,1,1
2023-04-03,62.0,63.5,61.0,63.4,141,189,1,1
2023-04-04,63.45,63.5,61.3,62.5,141,189,1,1
2023-04-05,63.6,69.9,63.6,69.5,141,189,1,1
2023-04-06,70.0,71.9,70.0,71.25,141,189,1,1
2023-04-11,71.25,71.95,70.05,71.25,141,189,1,1
2023-04-12,71.3,71.6,71.0,71.35,141,189,1,1
2023-04-13,71.05,71.5,70.15,71.05,141,189,1,1
2023-04-14,71.05,71.45,70.85,71.3,141,189,1,1
2023-04-17,71.0,71.2,66.2,68.0,141,189,1,1
2023-04-18,68.0,68.0,66.5,67.45,141,189,1,1
2023-04-19,67.5,68.25,67.0,68.25,141,189,1,1
2023-04-20,68.7,74.9,67.4,71.6,141,189,1,1
2023-04-21,71.8,72.9,70.5,71.8,141,189,1,1
2023-04-24,71.5,74.4,71.0,73.0,141,189,1,1
2023-04-25,73.8,75.0,73.1,74.4,141,189,1,1
2023-04-26,74.8,74.8,73.2,74.5,141,189,1,1
2023-04-27,74.8,76.9,73.3,76.0,141,189,1,1
2023-04-28,76.0,76.9,71.4,72.5,141,189,1,1
2023-05-02,71.1,72.0,67.2,70.7,141,189,1,1
2023-05-04,70.0,70.0,66.7,69.3,141,189,1,1
2023-05-05,67.1,69.8,67.1,68.7,141,189,1,1
2023-05-08,69.9,74.0,69.8,73.0,141,189,1,1
2023-05-09,73.0,74.0,72.0,72.5,141,189,1,1
2023-05-10,72.5,73.0,68.5,71.3,141,189,1,1
2023-05-11,70.4,71.3,68.5,69.6,141,189,1,1
2023-05-12,69.6,69.6,68.6,69.0,141,189,1,1
2023-05-15,69.0,70.5,68.1,70.0,141,189,1,1
2023-05-16,69.9,70.0,68.5,68.6,141,189,1,1
2023-05-17,69.3,69.5,68.0,69.4,141,189,1,1
2023-05-18,69.3,70.9,68.9,69.0,141,189,1,1
2023-05-19,69.1,69.5,68.6,69.2,141,189,1,1
2023-05-22,69.5,70.5,67.8,69.4,141,189,1,1
2023-05-23,68.8,69.5,68.8,69.0,141,189,1,1
2023-05-24,69.0,70.0,68.7,69.7,141,189,1,1
2023-05-25,69.7,70.0,69.1,70.0,141,189,1,1
2023-05-26,66.9,67.3,64.2,65.0,141,189,1,1
2023-05-29,64.0,67.8,62.2,67.3,141,189,1,1
2023-05-30,67.5,70.7,67.5,69.0,141,189,1,1
2023-05-31,68.5,70.5,67.3,70.2,141,189,1,1
2023-06-01,70.1,70.4,69.0,70.0,141,189,1,1
2023-06-02,70.1,73.8,69.9,73.0,141,189,1,1
2023-06-05,73.4,74.5,73.0,73.6,141,189,1,1
2023-06-06,73.4,73.4,72.5,72.5,141,189,1,1
2023-06-07,72.5,72.9,71.3,72.9,141,189,1,1
2023-06-09,73.0,73.3,70.3,70.6,141,189,1,1
2023-06-12,70.7,72.2,68.3,71.6,141,189,1,1
2023-06-13,70.1,70.7,70.1,70.5,141,189,1,1
2023-06-14,71.5,71.5,69.0,69.1,141,189,1,1
2023-06-15,69.1,70.4,69.0,70.1,141,189,1,1
2023-06-16,69.5,70.9,69.2,70.9,141,189,1,1
2023-06-19,70.9,70.9,69.5,70.4,141,189,1,1
2023-06-20,70.4,70.9,69.2,69.9,141,189,1,1
2023-06-21,70.7,72.9,70.3,72.5,141,189,1,1
2023-06-22,72.7,73.8,71.9,73.3,141,189,1,1
2023-06-23,73.0,73.0,71.7,73.0,141,189,1,1
2023-06-26,72.1,73.8,72.0,72.1,141,189,1,1
2023-06-27,72.1,74.0,71.9,74.0,141,189,1,1
2023-06-28,74.0,81.0,73.3,77.8,141,189,1,1
