Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-09,110.4,110.6,106.2,110.6,49,65,1,1
2022-11-10,108.0,112.6,107.6,112.0,49,65,1,1
2022-11-14,111.8,112.2,106.8,107.2,49,65,1,1
2022-11-15,108.0,108.2,104.0,104.0,49,65,1,1
2022-11-16,104.0,107.8,103.2,104.4,49,65,1,1
2022-11-17,104.2,104.4,101.0,101.4,49,65,1,1
2022-11-18,103.0,105.4,101.6,103.6,49,65,1,1
2022-11-21,103.6,105.4,103.0,104.6,49,65,1,1
2022-11-22,105.4,107.4,104.6,107.4,49,65,1,1
2022-11-23,107.4,108.0,105.0,105.2,49,65,1,1
2022-11-24,106.0,106.4,105.0,106.0,49,65,1,1
2022-11-25,106.4,108.4,105.2,108.4,49,65,1,1
2022-11-28,109.0,109.0,106.2,108.6,49,65,1,1
2022-11-29,108.8,108.8,106.0,107.4,49,65,1,1
2022-11-30,107.4,109.8,106.0,109.4,49,65,1,1
2022-12-01,110.0,112.6,110.0,112.0,49,65,1,1
2022-12-02,114.0,116.0,110.6,114.4,49,65,1,1
2022-12-05,114.4,115.0,111.4,111.4,49,65,1,1
2022-12-06,111.2,115.0,110.0,115.0,49,65,1,1
2022-12-07,114.0,114.4,109.2,110.6,49,65,1,1
2022-12-08,109.0,110.0,107.2,107.8,49,65,1,1
2022-12-09,107.8,110.0,107.0,109.2,49,65,1,1
2022-12-12,109.2,113.8,109.2,112.6,49,65,1,1
2022-12-13,112.6,113.8,109.8,111.8,49,65,1,1
2022-12-14,112.0,112.6,111.0,111.0,49,65,1,1
2022-12-15,110.8,111.0,106.0,110.0,49,65,1,1
2022-12-16,108.4,108.6,106.0,107.8,49,65,1,1
2022-12-19,107.4,108.2,104.8,106.0,49,65,1,1
2022-12-20,105.2,106.0,104.0,105.8,49,65,1,1
2022-12-21,106.6,109.0,105.2,108.0,49,65,1,1
2022-12-22,109.0,109.6,105.2,106.0,49,65,1,1
2022-12-23,105.2,107.4,104.2,107.0,49,65,1,1
2022-12-27,107.0,107.2,104.2,106.0,49,65,1,1
2022-12-28,105.8,108.4,104.2,107.6,49,65,1,1
2022-12-29,107.2,110.6,106.0,110.6,49,65,1,1
2022-12-30,110.0,110.6,106.8,107.0,49,65,1,1
2023-01-02,108.0,109.0,105.0,107.0,49,65,1,1
2023-01-03,115.0,117.4,112.2,112.6,49,65,1,1
2023-01-04,112.6,113.8,112.0,113.2,49,65,1,1
2023-01-05,113.8,119.4,113.8,117.2,49,65,1,1
2023-01-09,118.0,121.2,118.0,121.2,49,65,1,1
2023-01-10,120.8,122.0,118.4,120.8,49,65,1,1
2023-01-11,121.0,121.6,120.0,120.0,49,65,1,1
2023-01-12,121.4,124.0,119.0,121.0,49,65,1,1
2023-01-13,121.0,126.0,119.4,125.2,49,65,1,1
2023-01-16,126.0,126.4,122.4,126.0,49,65,1,1
2023-01-17,126.0,128.0,124.2,128.0,49,65,1,1
2023-01-18,128.0,128.8,125.4,127.0,49,65,1,1
2023-01-19,127.2,131.2,126.2,130.0,49,65,1,1
2023-01-20,131.0,131.2,126.8,130.2,49,65,1,1
2023-01-23,130.2,131.2,127.2,127.2,49,65,1,1
2023-01-24,129.2,129.2,125.0,126.0,49,65,1,1
2023-01-25,125.6,126.8,121.0,122.0,49,65,1,1
2023-01-26,121.2,124.0,121.2,122.4,49,65,1,1
2023-01-27,123.0,124.0,122.2,123.4,49,65,1,1
2023-01-30,123.6,123.6,122.2,122.2,49,65,1,1
2023-01-31,122.8,128.0,122.6,126.0,49,65,1,1
