Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-28,0.63,0.66,0.62,0.658,30,39,1,1
2023-06-29,0.622,0.67,0.622,0.668,30,39,1,1
2023-06-30,0.674,0.674,0.64,0.64,30,39,1,1
2023-07-03,0.64,0.64,0.624,0.624,30,39,1,1
2023-07-04,0.63,0.63,0.622,0.622,30,39,1,1
2023-07-05,0.622,0.622,0.602,0.602,30,39,1,1
2023-07-06,0.604,0.604,0.6,0.6,30,39,1,1
2023-07-07,0.62,0.698,0.62,0.69,30,39,1,1
2023-07-10,0.69,0.69,0.68,0.68,30,39,1,1
2023-07-11,0.612,0.65,0.612,0.628,30,39,1,1
2023-07-12,0.622,0.646,0.622,0.642,30,39,1,1
2023-07-13,0.624,0.624,0.606,0.612,30,39,1,1
2023-07-14,0.616,0.63,0.616,0.63,30,39,1,1
2023-07-17,0.64,0.642,0.616,0.616,30,39,1,1
2023-07-18,0.616,0.616,0.596,0.598,30,39,1,1
2023-07-19,0.61,0.61,0.596,0.6,30,39,1,1
2023-07-20,0.6,0.6,0.6,0.6,30,39,1,1
2023-07-21,0.606,0.606,0.59,0.604,30,39,1,1
2023-07-24,0.604,0.604,0.58,0.596,30,39,1,1
2023-07-25,0.596,0.596,0.596,0.596,30,39,1,1
2023-07-26,0.584,0.6,0.584,0.6,30,39,1,1
2023-07-27,0.6,0.6,0.6,0.6,30,39,1,1
2023-07-28,0.584,0.6,0.582,0.6,30,39,1,1
2023-07-31,0.6,0.6,0.6,0.6,30,39,1,1
2023-08-01,0.58,0.594,0.58,0.594,30,39,1,1
2023-08-02,0.58,0.592,0.56,0.592,30,39,1,1
2023-08-03,0.588,0.602,0.588,0.6,30,39,1,1
2023-08-04,0.578,0.59,0.578,0.588,30,39,1,1
2023-08-07,0.608,0.608,0.578,0.602,30,39,1,1
2023-08-08,0.58,0.604,0.578,0.604,30,39,1,1
2023-08-09,0.582,0.582,0.582,0.582,30,39,1,1
2023-08-10,0.584,0.594,0.578,0.59,30,39,1,1
2023-08-11,0.58,0.59,0.58,0.582,30,39,1,1
2023-08-14,0.582,0.582,0.58,0.58,30,39,1,1
2023-08-16,0.588,0.59,0.576,0.59,30,39,1,1
2023-08-17,0.59,0.63,0.59,0.63,30,39,1,1
2023-08-18,0.63,0.63,0.592,0.592,30,39,1,1
2023-08-21,0.592,0.592,0.592,0.592,30,39,1,1
2023-08-22,0.584,0.598,0.584,0.598,30,39,1,1
2023-08-23,0.598,0.598,0.598,0.598,30,39,1,1
2023-08-24,0.598,0.598,0.598,0.598,30,39,1,1
2023-08-25,0.598,0.598,0.598,0.598,30,39,1,1
2023-08-28,0.598,0.598,0.598,0.598,30,39,1,1
2023-08-29,0.598,0.598,0.584,0.586,30,39,1,1
2023-08-30,0.59,0.596,0.574,0.596,30,39,1,1
2023-08-31,0.58,0.58,0.58,0.58,30,39,1,1
