Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-05-19,7.92,7.92,7.44,7.7,185,244,1,1
2022-05-20,7.7,7.7,7.56,7.56,185,244,1,1
2022-05-23,7.56,7.64,7.12,7.28,185,244,1,1
2022-05-24,7.4,7.4,6.8,6.96,185,244,1,1
2022-05-25,6.76,6.96,6.7,6.78,185,244,1,1
2022-05-26,6.78,6.88,6.68,6.88,185,244,1,1
2022-05-27,6.98,7.16,6.9,7.1,185,244,1,1
2022-05-30,7.16,7.4,7.16,7.2,185,244,1,1
2022-05-31,7.28,7.28,6.9,7.0,185,244,1,1
2022-06-01,6.98,7.14,6.7,6.8,185,244,1,1
2022-06-02,6.94,7.58,6.86,7.48,185,244,1,1
2022-06-03,7.66,7.84,7.44,7.5,185,244,1,1
2022-06-06,7.6,7.94,7.5,7.94,185,244,1,1
2022-06-07,7.94,8.2,7.64,7.9,185,244,1,1
2022-06-08,7.94,8.0,7.66,7.88,185,244,1,1
2022-06-09,7.9,7.9,7.34,7.62,185,244,1,1
2022-06-10,7.76,7.76,7.1,7.58,185,244,1,1
2022-06-13,7.58,7.58,6.9,7.22,185,244,1,1
2022-06-14,7.52,7.52,7.0,7.1,185,244,1,1
2022-06-15,7.52,7.52,6.9,7.0,185,244,1,1
2022-06-17,7.08,7.08,6.7,6.98,185,244,1,1
2022-06-20,6.96,7.44,6.64,7.3,185,244,1,1
2022-06-21,7.52,7.6,7.2,7.6,185,244,1,1
2022-06-22,7.48,7.88,7.0,7.88,185,244,1,1
2022-06-23,7.88,7.88,7.5,7.78,185,244,1,1
2022-06-24,7.78,8.0,7.48,8.0,185,244,1,1
2022-06-27,7.98,8.22,7.8,7.96,185,244,1,1
2022-06-28,8.28,8.28,7.8,8.02,185,244,1,1
2022-06-29,7.86,7.98,7.46,7.82,185,244,1,1
2022-06-30,7.98,7.98,7.56,7.8,185,244,1,1
2022-07-01,7.62,8.02,7.62,8.02,185,244,1,1
2022-07-04,8.02,8.08,7.7,8.04,185,244,1,1
2022-07-05,8.16,8.16,7.36,7.9,185,244,1,1
2022-07-06,7.98,7.98,7.5,7.56,185,244,1,1
