Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-15,21.7,21.85,21.47,21.52,34,44,1,1
2023-02-16,21.72,21.97,21.58,21.75,34,44,1,1
2023-02-17,21.7,21.9,21.48,21.6,34,44,1,1
2023-02-20,21.83,22.49,21.6,22.3,34,44,1,1
2023-02-21,22.4,22.53,21.98,22.46,34,44,1,1
2023-02-22,22.35,22.35,21.7,21.79,34,44,1,1
2023-02-23,21.8,22.19,21.61,21.7,34,44,1,1
2023-02-24,21.93,22.18,21.63,21.78,34,44,1,1
2023-02-27,21.79,21.97,21.58,21.61,34,44,1,1
2023-02-28,21.71,22.13,21.5,21.71,34,44,1,1
2023-03-01,21.22,21.22,20.32,20.69,34,44,1,1
2023-03-02,20.5,20.75,20.21,20.4,34,44,1,1
2023-03-03,20.41,20.67,20.2,20.49,34,44,1,1
2023-03-06,20.7,21.3,20.6,20.66,34,44,1,1
2023-03-07,20.75,21.19,20.43,20.51,34,44,1,1
2023-03-08,20.58,20.77,20.42,20.69,34,44,1,1
2023-03-09,20.65,20.74,20.38,20.39,34,44,1,1
2023-03-10,20.27,20.54,20.0,20.1,34,44,1,1
2023-03-13,20.38,20.44,19.1,19.5,34,44,1,1
2023-03-14,19.305,19.99,19.085,19.7,34,44,1,1
2023-03-15,19.705,19.745,18.5,18.88,34,44,1,1
2023-03-16,18.88,18.995,18.22,18.56,34,44,1,1
2023-03-17,18.795,19.08,18.195,18.2,34,44,1,1
2023-03-20,18.2,18.49,17.48,18.02,34,44,1,1
2023-03-21,18.0,18.45,17.9,18.18,34,44,1,1
2023-03-22,18.25,18.385,17.77,17.935,34,44,1,1
2023-03-23,17.85,18.0,17.405,17.5,34,44,1,1
2023-03-24,17.405,17.74,16.88,17.19,34,44,1,1
2023-03-27,17.395,17.49,16.87,17.14,34,44,1,1
2023-03-28,17.22,17.39,16.93,17.35,34,44,1,1
2023-03-29,17.5,18.145,17.4,17.72,34,44,1,1
2023-03-30,17.89,18.6,17.8,18.17,34,44,1,1
2023-03-31,18.22,18.27,17.7,17.82,34,44,1,1
2023-04-03,17.7,18.475,17.69,18.285,34,44,1,1
2023-04-04,18.3,18.455,17.92,17.92,34,44,1,1
2023-04-05,17.85,18.185,17.85,17.88,34,44,1,1
2023-04-06,18.1,18.975,17.81,18.34,34,44,1,1
2023-04-11,18.5,18.9,18.5,18.7,34,44,1,1
2023-04-12,18.86,19.24,18.615,18.62,34,44,1,1
2023-04-13,18.7,18.89,18.45,18.56,34,44,1,1
2023-04-14,18.79,18.84,18.405,18.52,34,44,1,1
2023-04-17,18.6,19.585,18.5,19.35,34,44,1,1
2023-04-18,20.0,20.0,18.5,18.9,34,44,1,1
2023-04-19,19.15,19.15,18.495,19.09,34,44,1,1
2023-04-20,19.09,19.09,18.75,18.93,34,44,1,1
2023-04-21,18.92,18.92,18.45,18.69,34,44,1,1
2023-04-24,18.46,18.67,18.3,18.3,34,44,1,1
2023-04-25,18.13,18.5,17.8,17.9,34,44,1,1
2023-04-26,17.9,18.36,17.8,18.04,34,44,1,1
2023-04-27,18.2,18.65,17.9,18.25,34,44,1,1
2023-04-28,18.3,18.45,18.1,18.45,34,44,1,1
2023-05-02,18.4,18.4,18.09,18.14,34,44,1,1
2023-05-04,18.3,18.34,17.9,17.9,34,44,1,1
2023-05-05,18.08,18.1,17.81,18.02,34,44,1,1
2023-05-08,17.96,17.98,17.5,17.66,34,44,1,1
2023-05-09,17.83,18.85,17.42,18.49,34,44,1,1
2023-05-10,18.39,18.39,17.88,18.0,34,44,1,1
2023-05-11,17.88,18.11,17.72,17.75,34,44,1,1
2023-05-12,17.76,18.08,17.66,17.96,34,44,1,1
2023-05-15,17.96,18.55,17.83,18.06,34,44,1,1
2023-05-16,18.06,18.06,17.8,17.81,34,44,1,1
2023-05-17,17.95,17.99,17.64,17.88,34,44,1,1
2023-05-18,17.86,17.98,17.61,17.7,34,44,1,1
2023-05-19,17.7,17.95,17.62,17.82,34,44,1,1
2023-05-22,17.82,18.15,17.7,18.15,34,44,1,1
2023-05-23,19.22,19.49,18.22,18.26,34,44,1,1
2023-05-24,18.1,18.71,18.03,18.1,34,44,1,1
2023-05-25,18.29,18.29,17.96,17.96,34,44,1,1
2023-05-26,18.08,18.19,17.89,18.1,34,44,1,1
2023-05-29,18.12,18.29,17.78,17.81,34,44,1,1
2023-05-30,17.83,18.12,17.68,17.9,34,44,1,1
2023-05-31,17.81,17.9,17.3,17.4,34,44,1,1
2023-06-01,17.32,17.77,16.96,17.0,34,44,1,1
2023-06-02,17.01,17.4,17.0,17.38,34,44,1,1
2023-06-05,17.4,17.68,17.2,17.66,34,44,1,1
2023-06-06,17.66,17.7,17.44,17.52,34,44,1,1
2023-06-07,17.65,17.9,17.48,17.89,34,44,1,1
