Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-05,9.8,9.8,9.5,9.5,91,122,1,1
2022-12-06,9.5,9.7,9.5,9.7,91,122,1,1
2022-12-07,9.7,9.7,9.5,9.62,91,122,1,1
2022-12-08,9.62,9.8,9.6,9.6,91,122,1,1
2022-12-09,9.6,9.88,9.6,9.88,91,122,1,1
2022-12-12,9.88,10.05,9.82,10.05,91,122,1,1
2022-12-13,10.05,10.3,10.0,10.15,91,122,1,1
2022-12-14,10.15,10.55,10.1,10.3,91,122,1,1
2022-12-15,10.3,10.35,9.84,9.84,91,122,1,1
2022-12-16,10.0,10.2,9.88,10.15,91,122,1,1
2022-12-19,10.35,10.4,9.88,9.9,91,122,1,1
2022-12-20,9.9,9.9,9.74,9.74,91,122,1,1
2022-12-21,9.7,9.7,9.62,9.66,91,122,1,1
2022-12-22,9.68,9.8,9.62,9.68,91,122,1,1
2022-12-23,9.68,10.0,9.66,9.86,91,122,1,1
2022-12-27,9.88,10.05,9.7,10.0,91,122,1,1
2022-12-28,10.1,10.1,9.8,10.0,91,122,1,1
2022-12-29,10.0,10.2,9.92,10.2,91,122,1,1
2022-12-30,10.2,10.25,10.0,10.15,91,122,1,1
2023-01-02,10.2,10.25,10.2,10.2,91,122,1,1
2023-01-03,10.15,10.35,10.15,10.35,91,122,1,1
2023-01-04,10.45,11.0,10.45,11.0,91,122,1,1
2023-01-05,11.1,11.2,10.95,11.2,91,122,1,1
2023-01-09,11.2,11.2,10.95,11.2,91,122,1,1
2023-01-10,11.5,11.6,11.2,11.25,91,122,1,1
2023-01-11,11.55,11.55,11.25,11.25,91,122,1,1
2023-01-12,11.45,11.45,11.3,11.4,91,122,1,1
2023-01-13,11.4,11.4,11.1,11.1,91,122,1,1
2023-01-16,11.5,11.7,11.35,11.4,91,122,1,1
2023-01-17,11.6,11.75,11.55,11.6,91,122,1,1
2023-01-18,11.65,11.8,11.45,11.45,91,122,1,1
2023-01-19,11.4,11.4,11.3,11.3,91,122,1,1
2023-01-20,11.4,11.4,11.35,11.35,91,122,1,1
2023-01-23,11.35,11.75,11.3,11.3,91,122,1,1
2023-01-24,11.3,11.6,11.3,11.4,91,122,1,1
2023-01-25,11.5,11.8,11.5,11.75,91,122,1,1
