Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-31,2.015,2.015,1.926,1.98,79,106,1,1
2022-11-02,1.998,1.998,1.93,1.946,79,106,1,1
2022-11-03,1.94,1.984,1.882,1.912,79,106,1,1
2022-11-04,1.932,2.1,1.932,2.1,79,106,1,1
2022-11-07,2.1,2.16,2.065,2.115,79,106,1,1
2022-11-08,2.085,2.12,2.06,2.12,79,106,1,1
2022-11-09,2.15,2.15,2.05,2.05,79,106,1,1
2022-11-10,2.05,2.08,2.025,2.045,79,106,1,1
2022-11-14,2.05,2.05,1.98,1.996,79,106,1,1
2022-11-15,1.996,2.04,1.962,2.0,79,106,1,1
2022-11-16,2.0,2.145,2.0,2.1,79,106,1,1
2022-11-17,2.12,2.19,2.08,2.16,79,106,1,1
2022-11-18,2.18,2.2,2.17,2.17,79,106,1,1
2022-11-21,2.18,2.18,2.12,2.16,79,106,1,1
2022-11-22,2.16,2.16,2.07,2.07,79,106,1,1
2022-11-23,2.18,2.18,2.065,2.065,79,106,1,1
2022-11-24,2.09,2.115,2.07,2.115,79,106,1,1
2022-11-25,2.115,2.14,2.075,2.115,79,106,1,1
2022-11-28,2.115,2.115,2.08,2.09,79,106,1,1
2022-11-29,2.115,2.14,2.09,2.14,79,106,1,1
2022-11-30,2.18,2.2,2.155,2.175,79,106,1,1
2022-12-01,2.2,2.265,2.165,2.265,79,106,1,1
2022-12-02,2.27,2.305,2.245,2.285,79,106,1,1
2022-12-05,2.31,2.31,2.28,2.28,79,106,1,1
2022-12-06,2.28,2.28,2.18,2.205,79,106,1,1
2022-12-07,2.22,2.22,2.16,2.195,79,106,1,1
2022-12-08,2.21,2.29,2.195,2.28,79,106,1,1
2022-12-09,2.24,2.33,2.24,2.33,79,106,1,1
2022-12-12,2.34,2.42,2.34,2.38,79,106,1,1
2022-12-13,2.35,2.47,2.35,2.45,79,106,1,1
2022-12-14,2.4,2.47,2.4,2.47,79,106,1,1
2022-12-15,2.465,2.465,2.42,2.45,79,106,1,1
2022-12-16,2.44,2.45,2.345,2.4,79,106,1,1
2022-12-19,2.435,2.555,2.435,2.55,79,106,1,1
2022-12-20,2.54,2.54,2.485,2.51,79,106,1,1
2022-12-21,2.53,2.55,2.515,2.55,79,106,1,1
2022-12-22,2.55,2.55,2.48,2.495,79,106,1,1
2022-12-23,2.52,2.52,2.455,2.49,79,106,1,1
2022-12-27,2.5,2.52,2.465,2.495,79,106,1,1
2022-12-28,2.52,2.52,2.415,2.445,79,106,1,1
2022-12-29,2.445,2.46,2.42,2.455,79,106,1,1
2022-12-30,2.455,2.455,2.42,2.455,79,106,1,1
2023-01-02,2.49,2.57,2.455,2.53,79,106,1,1
2023-01-03,2.55,2.63,2.55,2.6,79,106,1,1
2023-01-04,2.63,2.735,2.615,2.615,79,106,1,1
2023-01-05,2.69,2.69,2.585,2.585,79,106,1,1
2023-01-09,2.63,2.7,2.59,2.68,79,106,1,1
2023-01-10,2.68,2.77,2.59,2.59,79,106,1,1
2023-01-11,2.6,2.65,2.56,2.58,79,106,1,1
2023-01-12,2.58,2.58,2.51,2.535,79,106,1,1
2023-01-13,2.61,2.61,2.47,2.545,79,106,1,1
2023-01-16,2.52,2.59,2.49,2.52,79,106,1,1
2023-01-17,2.495,2.5,2.48,2.485,79,106,1,1
2023-01-18,2.49,2.54,2.4,2.4,79,106,1,1
2023-01-19,2.41,2.43,2.3,2.3,79,106,1,1
