Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-10,135.28,135.5,132.1,133.32,48,64,1,1
2023-02-13,133.5,133.5,130.9,130.9,48,64,1,1
2023-02-14,132.04,133.02,131.7,132.72,48,64,1,1
2023-02-15,133.32,133.32,131.82,131.82,48,64,1,1
2023-02-16,133.76,135.06,133.76,135.06,48,64,1,1
2023-02-17,135.28,135.28,134.18,135.1,48,64,1,1
2023-02-20,135.0,135.14,135.0,135.14,48,64,1,1
2023-02-21,135.34,135.34,132.94,132.94,48,64,1,1
2023-02-22,133.4,133.4,132.0,132.7,48,64,1,1
2023-02-23,132.62,132.62,132.62,132.62,48,64,1,1
2023-02-24,132.96,133.54,132.96,132.96,48,64,1,1
2023-02-27,133.12,133.12,133.12,133.12,48,64,1,1
2023-02-28,133.06,134.5,133.0,133.5,48,64,1,1
2023-03-01,134.62,134.82,134.1,134.22,48,64,1,1
2023-03-02,134.0,134.0,132.04,133.02,48,64,1,1
2023-03-03,134.1,136.48,134.0,136.48,48,64,1,1
2023-03-06,135.52,136.62,135.02,136.62,48,64,1,1
2023-03-07,137.02,137.68,135.6,135.6,48,64,1,1
2023-03-08,136.66,137.72,136.66,137.0,48,64,1,1
2023-03-09,137.8,137.8,136.68,137.38,48,64,1,1
2023-03-10,136.62,136.62,134.26,134.26,48,64,1,1
2023-03-13,134.5,134.5,131.44,133.54,48,64,1,1
2023-03-14,133.54,134.04,133.52,133.6,48,64,1,1
2023-03-15,133.62,134.56,130.66,130.66,48,64,1,1
2023-03-16,132.32,132.32,130.42,131.22,48,64,1,1
2023-03-17,132.64,132.84,131.68,132.24,48,64,1,1
2023-03-20,131.2,131.78,130.64,131.78,48,64,1,1
2023-03-21,131.78,131.78,131.0,131.0,48,64,1,1
2023-03-22,129.92,130.4,129.9,129.9,48,64,1,1
2023-03-23,131.0,131.0,130.14,130.14,48,64,1,1
2023-03-24,130.14,130.14,128.08,128.14,48,64,1,1
2023-03-27,128.2,129.0,127.72,128.08,48,64,1,1
2023-03-28,129.38,129.38,129.0,129.0,48,64,1,1
2023-03-29,128.88,130.34,128.82,130.0,48,64,1,1
2023-03-30,130.0,130.2,130.0,130.2,48,64,1,1
2023-03-31,131.0,131.0,130.3,130.3,48,64,1,1
2023-04-03,130.78,131.0,130.3,130.8,48,64,1,1
2023-04-04,130.82,130.92,129.84,129.84,48,64,1,1
2023-04-05,130.24,130.58,129.52,129.52,48,64,1,1
2023-04-06,130.42,130.42,128.94,128.94,48,64,1,1
2023-04-11,129.66,129.98,128.06,129.04,48,64,1,1
2023-04-12,129.76,130.04,129.0,130.04,48,64,1,1
2023-04-13,130.38,130.64,129.88,130.64,48,64,1,1
2023-04-14,131.0,132.38,130.56,130.56,48,64,1,1
2023-04-17,131.26,133.74,131.26,133.74,48,64,1,1
2023-04-18,133.78,134.48,133.24,133.38,48,64,1,1
2023-04-19,133.5,133.62,133.16,133.2,48,64,1,1
2023-04-20,133.98,134.82,133.7,133.7,48,64,1,1
2023-04-21,133.58,133.58,132.24,133.24,48,64,1,1
2023-04-24,133.0,133.0,131.54,132.7,48,64,1,1
2023-04-25,133.28,133.28,131.98,133.26,48,64,1,1
2023-04-26,132.7,133.8,132.62,133.8,48,64,1,1
2023-04-27,133.5,134.08,132.22,134.08,48,64,1,1
2023-04-28,134.26,134.26,133.9,133.9,48,64,1,1
2023-05-02,133.92,135.0,133.92,134.8,48,64,1,1
2023-05-04,135.28,135.56,133.94,133.94,48,64,1,1
2023-05-05,134.2,135.4,134.2,134.82,48,64,1,1
2023-05-08,135.0,135.7,135.0,135.0,48,64,1,1
2023-05-09,135.5,135.64,135.1,135.52,48,64,1,1
2023-05-10,136.12,137.46,135.86,137.46,48,64,1,1
2023-05-11,136.74,136.98,135.9,136.94,48,64,1,1
2023-05-12,136.7,137.46,136.7,137.38,48,64,1,1
2023-05-15,137.42,137.42,136.1,136.1,48,64,1,1
2023-05-16,137.46,138.22,137.3,138.22,48,64,1,1
