Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-06,7.2,7.2,7.01,7.05,62,84,1,1
2022-12-07,7.15,7.15,6.92,7.0,62,84,1,1
2022-12-08,7.0,7.0,6.78,6.93,62,84,1,1
2022-12-09,6.93,6.93,6.76,6.83,62,84,1,1
2022-12-12,6.92,7.0,6.82,6.82,62,84,1,1
2022-12-13,6.92,7.0,6.88,7.0,62,84,1,1
2022-12-14,6.91,7.28,6.91,7.19,62,84,1,1
2022-12-15,7.2,7.22,6.96,7.1,62,84,1,1
2022-12-16,7.13,7.13,6.9,6.97,62,84,1,1
2022-12-19,7.05,7.05,6.9,6.92,62,84,1,1
2022-12-20,6.91,7.0,6.9,6.95,62,84,1,1
2022-12-21,6.95,6.95,6.86,6.9,62,84,1,1
2022-12-22,6.89,6.9,6.8,6.8,62,84,1,1
2022-12-23,6.85,6.94,6.75,6.9,62,84,1,1
2022-12-27,6.96,6.96,6.7,6.72,62,84,1,1
2022-12-28,6.73,6.91,6.61,6.72,62,84,1,1
2022-12-29,6.69,6.95,6.69,6.9,62,84,1,1
2022-12-30,6.94,7.15,6.91,7.13,62,84,1,1
2023-01-02,7.15,7.3,7.15,7.2,62,84,1,1
2023-01-03,7.2,7.3,7.14,7.25,62,84,1,1
2023-01-04,7.32,7.61,7.25,7.41,62,84,1,1
2023-01-05,7.45,7.76,7.45,7.75,62,84,1,1
2023-01-09,7.82,7.96,7.75,7.8,62,84,1,1
2023-01-10,7.82,7.9,7.7,7.75,62,84,1,1
2023-01-11,7.72,7.76,7.5,7.5,62,84,1,1
2023-01-12,7.51,7.66,7.5,7.56,62,84,1,1
2023-01-13,7.54,7.76,7.5,7.72,62,84,1,1
2023-01-16,7.7,7.85,7.63,7.83,62,84,1,1
2023-01-17,7.84,7.84,7.36,7.57,62,84,1,1
2023-01-18,7.75,7.85,7.66,7.85,62,84,1,1
2023-01-19,7.85,7.85,7.5,7.59,62,84,1,1
2023-01-20,7.53,7.75,7.52,7.69,62,84,1,1
2023-01-23,7.8,7.8,7.7,7.7,62,84,1,1
2023-01-24,7.73,7.82,7.57,7.69,62,84,1,1
2023-01-25,7.6,7.69,7.51,7.62,62,84,1,1
2023-01-26,7.57,7.78,7.57,7.62,62,84,1,1
2023-01-27,7.73,7.74,7.58,7.69,62,84,1,1
2023-01-30,7.6,7.69,7.52,7.55,62,84,1,1
2023-01-31,7.63,7.74,7.53,7.61,62,84,1,1
2023-02-01,7.6,7.96,7.55,7.55,62,84,1,1
2023-02-02,7.68,7.76,7.59,7.7,62,84,1,1
2023-02-03,7.68,7.75,7.62,7.69,62,84,1,1
2023-02-06,7.69,7.69,7.56,7.59,62,84,1,1
2023-02-07,7.55,7.65,7.24,7.35,62,84,1,1
2023-02-08,7.32,7.5,7.32,7.48,62,84,1,1
2023-02-09,7.5,7.58,7.3,7.4,62,84,1,1
2023-02-10,7.4,7.4,7.0,7.19,62,84,1,1
2023-02-13,7.16,7.16,7.01,7.14,62,84,1,1
2023-02-14,7.17,7.19,7.11,7.14,62,84,1,1
2023-02-15,7.14,7.19,7.0,7.1,62,84,1,1
2023-02-16,7.2,7.3,7.02,7.19,62,84,1,1
2023-02-17,7.18,7.27,7.11,7.24,62,84,1,1
2023-02-20,7.2,7.24,7.1,7.18,62,84,1,1
2023-02-21,7.15,7.19,7.05,7.19,62,84,1,1
2023-02-22,7.05,7.17,6.72,6.8,62,84,1,1
2023-02-23,6.79,6.98,6.79,6.85,62,84,1,1
2023-02-24,7.0,7.09,6.88,6.99,62,84,1,1
2023-02-27,7.0,7.0,6.83,6.88,62,84,1,1
2023-02-28,6.9,7.5,6.85,7.41,62,84,1,1
2023-03-01,7.52,7.69,7.52,7.6,62,84,1,1
2023-03-02,7.7,7.81,7.6,7.79,62,84,1,1
2023-03-03,7.8,7.92,7.66,7.82,62,84,1,1
2023-03-06,7.8,7.98,7.79,7.98,62,84,1,1
2023-03-07,8.0,8.2,7.98,8.11,62,84,1,1
2023-03-08,7.98,8.07,7.9,8.0,62,84,1,1
2023-03-09,8.0,8.08,7.9,7.94,62,84,1,1
2023-03-10,7.83,7.85,7.6,7.75,62,84,1,1
2023-03-13,7.73,7.75,7.25,7.55,62,84,1,1
2023-03-14,7.46,7.68,7.46,7.65,62,84,1,1
2023-03-15,7.67,7.86,7.29,7.35,62,84,1,1
2023-03-16,7.4,7.57,7.3,7.46,62,84,1,1
2023-03-17,7.48,7.82,7.48,7.64,62,84,1,1
2023-03-20,7.5,7.54,7.3,7.52,62,84,1,1
2023-03-21,7.42,7.64,7.36,7.49,62,84,1,1
2023-03-22,7.49,7.68,7.45,7.61,62,84,1,1
2023-03-23,7.64,7.77,7.48,7.77,62,84,1,1
2023-03-24,7.78,7.78,7.57,7.7,62,84,1,1
2023-03-27,7.75,7.78,7.55,7.73,62,84,1,1
2023-03-28,7.75,7.79,7.69,7.78,62,84,1,1
2023-03-29,7.79,8.09,7.79,7.99,62,84,1,1
2023-03-30,7.99,8.1,7.96,8.08,62,84,1,1
2023-03-31,8.11,8.12,8.01,8.1,62,84,1,1
2023-04-03,8.1,8.1,8.01,8.06,62,84,1,1
2023-04-04,7.91,8.06,7.7,8.0,62,84,1,1
2023-04-05,8.09,8.09,7.9,8.03,62,84,1,1
2023-04-06,8.03,8.07,7.96,8.07,62,84,1,1
2023-04-11,8.1,8.55,8.0,8.33,62,84,1,1
