Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-02-15,8.1,8.2,8.025,8.19,186,249,1,1
2022-02-16,8.215,8.3,8.125,8.28,186,249,1,1
2022-02-17,8.28,8.59,7.775,8.12,186,249,1,1
2022-02-18,8.175,8.39,8.105,8.295,186,249,1,1
2022-02-21,8.295,8.35,8.035,8.14,186,249,1,1
2022-02-22,8.04,8.42,8.04,8.42,186,249,1,1
2022-02-23,8.4,8.4,7.805,7.87,186,249,1,1
2022-02-24,7.6,7.925,7.17,7.7,186,249,1,1
2022-02-25,7.805,8.015,7.675,7.8,186,249,1,1
2022-02-28,7.7,7.925,7.56,7.79,186,249,1,1
2022-03-01,7.79,8.0,7.77,7.835,186,249,1,1
2022-03-02,7.77,8.035,7.66,8.025,186,249,1,1
2022-03-03,8.0,8.0,7.73,7.85,186,249,1,1
2022-03-04,7.78,7.84,7.52,7.665,186,249,1,1
2022-03-07,7.61,7.875,7.45,7.875,186,249,1,1
2022-03-08,7.7,7.785,7.38,7.395,186,249,1,1
2022-03-09,7.6,7.62,7.275,7.33,186,249,1,1
2022-03-10,7.39,7.47,7.315,7.4,186,249,1,1
2022-03-11,7.65,7.82,7.49,7.82,186,249,1,1
2022-03-14,7.82,7.82,7.395,7.395,186,249,1,1
2022-03-15,7.425,7.72,7.42,7.675,186,249,1,1
2022-03-16,7.82,7.835,7.62,7.735,186,249,1,1
2022-03-17,7.74,7.98,7.675,7.95,186,249,1,1
2022-03-18,7.8,8.06,7.78,7.93,186,249,1,1
2022-03-21,7.82,8.12,7.82,7.925,186,249,1,1
2022-03-22,7.925,8.1,7.895,8.04,186,249,1,1
2022-03-23,7.97,8.31,7.97,8.18,186,249,1,1
2022-03-24,8.18,8.3,8.035,8.165,186,249,1,1
2022-03-25,8.08,8.31,8.08,8.1,186,249,1,1
2022-03-28,8.315,8.315,8.055,8.055,186,249,1,1
2022-03-29,8.12,8.2,7.955,8.11,186,249,1,1
2022-03-30,8.145,8.19,8.025,8.14,186,249,1,1
2022-03-31,8.03,8.19,7.89,7.89,186,249,1,1
2022-04-01,7.92,8.0,7.91,7.95,186,249,1,1
2022-04-04,7.95,8.04,7.8,7.905,186,249,1,1
2022-04-05,7.915,8.025,7.88,8.005,186,249,1,1
2022-04-06,7.99,8.06,7.83,7.96,186,249,1,1
2022-04-07,7.95,8.0,7.795,7.795,186,249,1,1
