Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-06,108.2,110.8,104.0,107.0,33,44,1,1
2023-02-07,108.0,110.6,105.0,110.2,33,44,1,1
2023-02-08,110.6,111.8,109.4,109.6,33,44,1,1
2023-02-09,114.8,115.8,108.2,108.8,33,44,1,1
2023-02-10,108.0,110.8,105.6,106.0,33,44,1,1
2023-02-13,106.2,107.0,104.8,106.0,33,44,1,1
2023-02-14,107.0,107.8,104.8,105.6,33,44,1,1
2023-02-15,105.0,109.6,103.8,109.6,33,44,1,1
2023-02-16,109.8,110.0,106.4,108.2,33,44,1,1
2023-02-17,108.0,110.0,107.0,109.4,33,44,1,1
2023-02-20,109.4,110.0,108.0,109.0,33,44,1,1
2023-02-21,109.4,109.4,105.4,107.0,33,44,1,1
2023-02-22,107.0,108.0,105.4,108.0,33,44,1,1
2023-02-23,108.0,108.0,105.4,106.8,33,44,1,1
2023-02-24,106.8,107.4,105.8,106.2,33,44,1,1
2023-02-27,106.8,109.0,106.0,108.8,33,44,1,1
2023-02-28,108.6,114.0,107.8,113.6,33,44,1,1
2023-03-01,113.6,113.6,111.4,112.4,33,44,1,1
2023-03-02,111.8,112.0,108.0,109.4,33,44,1,1
2023-03-03,109.0,109.0,106.2,106.4,33,44,1,1
2023-03-06,106.8,108.4,106.0,106.4,33,44,1,1
2023-03-07,106.4,107.6,105.4,107.0,33,44,1,1
2023-03-08,107.0,107.2,104.8,107.0,33,44,1,1
2023-03-09,106.6,106.8,104.6,105.6,33,44,1,1
2023-03-10,104.8,104.8,101.0,101.0,33,44,1,1
2023-03-13,100.0,102.8,96.0,99.8,33,44,1,1
2023-03-14,97.0,106.0,97.0,105.6,33,44,1,1
2023-03-15,105.8,106.0,100.4,101.2,33,44,1,1
2023-03-16,100.0,102.8,98.6,102.4,33,44,1,1
2023-03-17,102.8,103.6,99.6,100.8,33,44,1,1
2023-03-20,99.0,102.8,96.4,100.0,33,44,1,1
2023-03-21,101.2,104.0,101.2,102.2,33,44,1,1
2023-03-22,102.0,104.2,102.0,103.6,33,44,1,1
2023-03-23,102.8,104.0,102.2,104.0,33,44,1,1
2023-03-24,104.0,104.0,100.2,102.0,33,44,1,1
2023-03-27,102.0,103.8,100.4,101.0,33,44,1,1
2023-03-28,101.0,103.0,101.0,102.8,33,44,1,1
2023-03-29,102.8,104.8,101.0,104.0,33,44,1,1
2023-03-30,104.6,105.0,102.6,105.0,33,44,1,1
2023-03-31,104.4,105.4,102.6,102.6,33,44,1,1
2023-04-03,102.6,105.2,102.6,103.8,33,44,1,1
2023-04-04,103.8,104.2,102.4,104.0,33,44,1,1
2023-04-05,103.8,104.2,102.6,103.8,33,44,1,1
2023-04-06,103.8,104.6,102.4,104.4,33,44,1,1
2023-04-11,105.0,111.0,105.0,110.6,33,44,1,1
2023-04-12,110.6,111.8,109.2,111.8,33,44,1,1
2023-04-13,112.0,113.0,111.0,113.0,33,44,1,1
2023-04-14,112.6,115.0,112.0,115.0,33,44,1,1
2023-04-17,115.2,121.2,114.4,120.8,33,44,1,1
2023-04-18,120.8,120.8,118.2,120.6,33,44,1,1
2023-04-19,119.6,121.4,115.4,121.4,33,44,1,1
2023-04-20,121.0,123.6,119.2,120.6,33,44,1,1
2023-04-21,125.0,126.8,122.2,122.4,33,44,1,1
2023-04-24,122.8,123.6,116.4,119.0,33,44,1,1
2023-04-25,120.2,121.4,119.0,120.0,33,44,1,1
2023-04-26,119.6,120.0,118.8,118.8,33,44,1,1
2023-04-27,118.2,121.6,118.0,121.0,33,44,1,1
2023-04-28,121.4,121.6,119.0,121.6,33,44,1,1
2023-05-02,121.4,123.0,120.8,121.8,33,44,1,1
2023-05-04,122.0,123.0,120.0,120.4,33,44,1,1
2023-05-05,121.0,121.0,119.6,120.4,33,44,1,1
2023-05-08,120.4,120.6,116.6,117.0,33,44,1,1
2023-05-09,117.2,119.0,116.2,117.6,33,44,1,1
2023-05-10,120.0,120.8,118.0,118.6,33,44,1,1
2023-05-11,118.6,118.6,110.4,113.0,33,44,1,1
2023-05-12,113.0,113.8,112.2,113.4,33,44,1,1
2023-05-15,113.4,115.8,113.0,114.4,33,44,1,1
2023-05-16,115.0,115.6,114.6,114.8,33,44,1,1
2023-05-17,115.4,116.4,114.8,116.2,33,44,1,1
2023-05-18,116.6,118.8,115.6,118.8,33,44,1,1
2023-05-19,119.0,119.6,117.4,119.4,33,44,1,1
2023-05-22,119.8,120.4,117.6,119.0,33,44,1,1
