Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-01,20.4,21.35,20.05,20.9,24,32,1,1
2022-12-02,21.0,21.2,20.5,20.85,24,32,1,1
2022-12-05,21.1,21.1,20.5,20.5,24,32,1,1
2022-12-06,20.5,20.55,19.92,20.4,24,32,1,1
2022-12-07,20.3,21.3,20.05,20.9,24,32,1,1
2022-12-08,20.9,21.0,20.5,20.6,24,32,1,1
2022-12-09,20.7,22.15,20.65,21.65,24,32,1,1
2022-12-12,21.9,22.15,21.0,21.15,24,32,1,1
2022-12-13,21.15,21.7,20.8,20.9,24,32,1,1
2022-12-14,20.8,21.45,20.8,21.05,24,32,1,1
2022-12-15,21.25,21.4,20.6,20.7,24,32,1,1
2022-12-16,20.5,20.8,19.88,20.1,24,32,1,1
2022-12-19,19.92,20.6,19.46,20.15,24,32,1,1
2022-12-20,20.45,20.7,20.0,20.65,24,32,1,1
2022-12-21,20.7,21.0,20.15,20.2,24,32,1,1
2022-12-22,20.4,20.6,20.0,20.0,24,32,1,1
2022-12-23,20.0,20.25,19.52,19.6,24,32,1,1
2022-12-27,19.6,20.05,19.52,19.6,24,32,1,1
2022-12-28,19.6,19.82,19.2,19.32,24,32,1,1
2022-12-29,19.26,19.8,19.26,19.6,24,32,1,1
2022-12-30,19.6,20.3,19.42,19.6,24,32,1,1
2023-01-02,20.0,20.0,19.4,19.68,24,32,1,1
2023-01-03,19.68,20.6,19.58,20.05,24,32,1,1
2023-01-04,20.25,20.4,19.78,19.82,24,32,1,1
2023-01-05,19.9,20.3,19.64,19.82,24,32,1,1
2023-01-09,20.2,20.6,20.1,20.3,24,32,1,1
2023-01-10,20.3,21.25,20.2,21.1,24,32,1,1
2023-01-11,21.2,21.5,20.8,20.85,24,32,1,1
2023-01-12,21.0,21.4,20.15,20.4,24,32,1,1
2023-01-13,20.5,20.55,20.15,20.15,24,32,1,1
2023-01-16,20.3,21.35,20.3,21.3,24,32,1,1
2023-01-17,21.4,22.3,21.3,21.65,24,32,1,1
2023-01-18,21.7,22.0,21.45,21.45,24,32,1,1
2023-01-19,21.7,21.9,21.05,21.6,24,32,1,1
2023-01-20,21.7,22.05,21.4,21.7,24,32,1,1
2023-01-23,21.95,22.85,21.85,22.45,24,32,1,1
2023-01-24,22.6,22.9,21.4,21.6,24,32,1,1
2023-01-25,21.7,21.7,21.1,21.4,24,32,1,1
2023-01-26,21.3,21.9,21.2,21.65,24,32,1,1
2023-01-27,21.75,22.5,21.7,22.3,24,32,1,1
2023-01-30,22.55,23.0,22.3,22.3,24,32,1,1
2023-01-31,22.3,22.8,22.3,22.8,24,32,1,1
2023-02-01,22.75,24.75,22.7,24.3,24,32,1,1
2023-02-02,24.15,24.65,23.35,24.45,24,32,1,1
2023-02-03,24.5,24.85,24.35,24.85,24,32,1,1
2023-02-06,24.65,24.7,22.35,23.0,24,32,1,1
2023-02-07,23.25,23.25,22.35,22.35,24,32,1,1
2023-02-08,22.5,22.65,21.35,21.45,24,32,1,1
2023-02-09,21.3,22.5,21.3,21.95,24,32,1,1
2023-02-10,21.9,22.05,21.15,21.25,24,32,1,1
2023-02-13,21.25,22.55,21.25,22.5,24,32,1,1
2023-02-14,22.7,22.75,21.8,21.9,24,32,1,1
2023-02-15,21.8,22.2,21.6,21.9,24,32,1,1
2023-02-16,22.45,23.9,22.2,22.7,24,32,1,1
2023-02-17,22.7,23.25,22.3,22.45,24,32,1,1
2023-02-20,22.45,23.0,22.25,22.35,24,32,1,1
2023-02-21,22.5,22.55,21.45,21.45,24,32,1,1
2023-02-22,21.5,21.65,20.55,20.8,24,32,1,1
2023-02-23,20.8,21.45,20.4,21.2,24,32,1,1
