Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-29,77.9,77.9,74.2,76.0,71,93,1,1
2022-08-30,74.9,75.1,73.0,74.9,71,93,1,1
2022-08-31,74.0,75.8,73.6,74.1,71,93,1,1
2022-09-01,75.0,75.0,73.0,73.7,71,93,1,1
2022-09-02,73.7,75.9,73.6,74.4,71,93,1,1
2022-09-05,76.0,76.0,74.8,75.0,71,93,1,1
2022-09-06,75.1,79.0,75.1,78.8,71,93,1,1
2022-09-07,79.8,79.8,78.0,78.6,71,93,1,1
2022-09-08,78.8,79.6,77.6,79.1,71,93,1,1
2022-09-09,79.0,81.5,78.3,80.2,71,93,1,1
2022-09-12,80.1,80.9,78.6,80.5,71,93,1,1
2022-09-13,80.0,80.3,79.0,79.0,71,93,1,1
2022-09-14,80.5,84.1,78.5,83.7,71,93,1,1
2022-09-15,83.0,86.0,82.6,84.8,71,93,1,1
2022-09-16,84.7,84.8,82.7,82.7,71,93,1,1
2022-09-19,82.2,84.7,82.2,84.7,71,93,1,1
2022-09-20,84.7,85.0,83.9,84.0,71,93,1,1
2022-09-21,84.0,85.3,83.5,85.3,71,93,1,1
2022-09-22,85.7,89.9,84.4,88.0,71,93,1,1
2022-09-23,88.0,89.8,86.2,86.2,71,93,1,1
2022-09-26,86.0,86.0,82.9,84.0,71,93,1,1
2022-09-27,83.0,87.8,80.8,87.0,71,93,1,1
2022-09-28,87.1,89.3,86.0,86.6,71,93,1,1
2022-09-29,86.8,87.7,84.2,84.3,71,93,1,1
2022-09-30,85.0,89.9,84.0,87.1,71,93,1,1
2022-10-03,87.9,87.9,83.0,86.0,71,93,1,1
2022-10-04,86.3,88.4,86.3,88.4,71,93,1,1
2022-10-05,88.6,89.6,87.0,88.4,71,93,1,1
2022-10-06,87.2,87.9,87.0,87.8,71,93,1,1
2022-10-07,88.0,88.0,87.1,87.8,71,93,1,1
2022-10-10,88.1,88.7,86.7,86.7,71,93,1,1
2022-10-11,87.0,87.0,84.5,85.8,71,93,1,1
2022-10-12,86.0,87.0,85.2,86.0,71,93,1,1
2022-10-13,85.5,87.0,82.5,83.8,71,93,1,1
2022-10-14,84.8,85.7,83.5,84.4,71,93,1,1
2022-10-17,83.4,84.0,82.9,84.0,71,93,1,1
2022-10-18,84.0,85.0,84.0,84.5,71,93,1,1
2022-10-19,84.2,86.0,84.1,86.0,71,93,1,1
2022-10-20,85.5,86.1,85.5,86.0,71,93,1,1
2022-10-21,86.0,86.0,84.2,85.0,71,93,1,1
2022-10-24,84.5,84.9,82.7,83.9,71,93,1,1
2022-10-25,83.2,84.1,83.1,83.1,71,93,1,1
2022-10-26,83.0,84.2,82.9,84.2,71,93,1,1
2022-10-27,84.2,85.5,84.1,84.8,71,93,1,1
2022-10-28,83.8,85.0,83.0,84.9,71,93,1,1
2022-10-31,84.8,84.8,83.3,84.5,71,93,1,1
2022-11-02,84.5,84.7,83.9,84.7,71,93,1,1
2022-11-03,83.5,83.7,75.7,78.5,71,93,1,1
2022-11-04,78.6,82.8,78.6,82.8,71,93,1,1
2022-11-07,81.9,81.9,79.2,80.5,71,93,1,1
2022-11-08,80.0,80.0,76.6,78.0,71,93,1,1
2022-11-09,77.2,80.5,77.2,79.9,71,93,1,1
2022-11-10,79.4,80.0,77.6,80.0,71,93,1,1
2022-11-14,80.5,81.2,77.7,79.0,71,93,1,1
2022-11-15,78.4,79.4,78.1,79.3,71,93,1,1
2022-11-16,78.2,78.7,77.9,78.6,71,93,1,1
2022-11-17,78.6,78.6,77.2,77.7,71,93,1,1
2022-11-18,77.5,80.0,77.5,78.7,71,93,1,1
2022-11-21,78.7,81.0,75.0,81.0,71,93,1,1
2022-11-22,80.8,83.8,80.5,82.6,71,93,1,1
2022-11-23,82.5,82.5,81.6,82.5,71,93,1,1
2022-11-24,82.9,82.9,79.9,80.4,71,93,1,1
2022-11-25,81.2,82.4,80.4,81.9,71,93,1,1
2022-11-28,81.9,81.9,79.9,80.7,71,93,1,1
2022-11-29,80.9,81.4,78.4,80.8,71,93,1,1
2022-11-30,80.9,80.9,79.3,80.7,71,93,1,1
2022-12-01,80.2,80.8,80.2,80.8,71,93,1,1
2022-12-02,80.5,82.7,80.5,82.3,71,93,1,1
2022-12-05,82.0,82.0,79.9,81.9,71,93,1,1
2022-12-06,81.9,82.3,80.3,82.3,71,93,1,1
2022-12-07,82.0,82.0,80.9,82.0,71,93,1,1
2022-12-08,82.2,82.8,81.4,82.6,71,93,1,1
2022-12-09,82.4,85.0,82.1,83.0,71,93,1,1
2022-12-12,83.9,84.9,83.1,83.1,71,93,1,1
2022-12-13,84.7,84.8,83.3,84.8,71,93,1,1
2022-12-14,84.5,85.0,84.1,84.1,71,93,1,1
2022-12-15,84.0,84.0,81.6,81.6,71,93,1,1
2022-12-16,81.0,81.5,79.1,80.4,71,93,1,1
2022-12-19,80.4,81.9,80.4,81.7,71,93,1,1
2022-12-20,81.7,82.5,80.8,81.8,71,93,1,1
2022-12-21,82.5,82.5,81.2,81.2,71,93,1,1
2022-12-22,81.9,82.0,81.5,81.5,71,93,1,1
2022-12-23,81.9,81.9,81.0,81.5,71,93,1,1
2022-12-27,81.0,81.5,80.7,81.2,71,93,1,1
2022-12-28,81.0,81.4,80.4,81.0,71,93,1,1
2022-12-29,81.0,82.9,80.1,82.9,71,93,1,1
2022-12-30,82.9,82.9,81.0,82.9,71,93,1,1
2023-01-02,82.0,82.5,80.4,81.9,71,93,1,1
2023-01-03,81.1,82.0,80.8,81.5,71,93,1,1
2023-01-04,81.9,83.0,80.9,83.0,71,93,1,1
2023-01-05,82.5,84.0,82.0,82.5,71,93,1,1
2023-01-09,84.6,86.0,83.7,86.0,71,93,1,1
2023-01-10,86.2,86.9,85.5,85.8,71,93,1,1
2023-01-11,85.7,85.7,84.5,85.1,71,93,1,1
2023-01-12,84.9,87.2,84.4,87.0,71,93,1,1
2023-01-13,86.0,87.8,86.0,87.5,71,93,1,1
2023-01-16,88.1,91.6,88.1,91.0,71,93,1,1
2023-01-17,91.0,91.0,90.0,90.0,71,93,1,1
2023-01-18,89.5,89.8,88.2,89.2,71,93,1,1
2023-01-19,89.0,89.0,86.1,86.4,71,93,1,1
2023-01-20,87.7,91.0,87.1,90.0,71,93,1,1
2023-01-23,90.0,90.5,89.1,90.5,71,93,1,1
2023-01-24,90.3,90.5,89.6,90.3,71,93,1,1
2023-01-25,90.2,90.2,87.5,89.2,71,93,1,1
2023-01-26,90.4,90.5,87.6,87.6,71,93,1,1
2023-01-27,89.0,89.0,87.7,87.7,71,93,1,1
2023-01-30,88.0,88.3,86.6,86.7,71,93,1,1
2023-01-31,86.4,87.8,84.5,85.9,71,93,1,1
2023-02-01,85.9,86.9,84.9,84.9,71,93,1,1
2023-02-02,83.0,85.9,82.7,85.0,71,93,1,1
2023-02-03,85.0,85.9,84.8,85.2,71,93,1,1
2023-02-06,85.2,86.8,84.5,85.9,71,93,1,1
2023-02-07,86.4,87.0,85.7,86.1,71,93,1,1
2023-02-08,86.7,86.9,85.7,85.8,71,93,1,1
2023-02-09,85.3,85.8,84.0,85.8,71,93,1,1
2023-02-10,84.1,85.7,84.1,84.6,71,93,1,1
2023-02-13,85.0,85.0,83.1,83.3,71,93,1,1
2023-02-14,83.2,83.5,81.5,83.0,71,93,1,1
2023-02-15,83.0,83.0,80.7,82.0,71,93,1,1
2023-02-16,81.3,83.0,81.3,82.9,71,93,1,1
2023-02-17,82.9,83.8,82.0,82.8,71,93,1,1
2023-02-20,82.5,83.5,82.5,83.4,71,93,1,1
2023-02-21,83.4,83.4,82.0,82.0,71,93,1,1
2023-02-22,81.4,83.0,81.2,82.0,71,93,1,1
2023-02-23,82.5,83.2,82.4,83.0,71,93,1,1
2023-02-24,83.0,83.9,82.0,82.0,71,93,1,1
2023-02-27,81.7,82.0,80.6,80.9,71,93,1,1
2023-02-28,80.5,80.5,79.6,80.0,71,93,1,1
2023-03-01,79.9,81.0,79.9,80.9,71,93,1,1
2023-03-02,80.9,83.9,80.9,83.0,71,93,1,1
2023-03-03,83.3,86.0,83.3,85.5,71,93,1,1
2023-03-06,86.0,86.3,85.0,85.5,71,93,1,1
2023-03-07,85.5,88.5,85.5,88.0,71,93,1,1
2023-03-08,87.5,88.5,87.1,87.6,71,93,1,1
2023-03-09,87.5,88.0,86.7,87.9,71,93,1,1
2023-03-10,86.6,88.1,85.5,86.1,71,93,1,1
2023-03-13,85.8,85.8,83.2,85.0,71,93,1,1
2023-03-14,85.0,86.0,84.5,86.0,71,93,1,1
2023-03-15,86.0,86.0,84.0,84.0,71,93,1,1
2023-03-16,83.0,83.0,81.8,82.4,71,93,1,1
2023-03-17,82.5,85.0,82.0,84.8,71,93,1,1
2023-03-20,84.5,84.5,82.0,83.5,71,93,1,1
2023-03-21,82.6,85.6,82.6,83.3,71,93,1,1
2023-03-22,82.6,82.7,81.9,82.5,71,93,1,1
2023-03-23,83.4,83.4,81.8,81.8,71,93,1,1
2023-03-24,82.5,82.5,81.3,82.0,71,93,1,1
2023-03-27,82.0,83.1,81.1,82.0,71,93,1,1
2023-03-28,81.8,83.0,81.3,82.0,71,93,1,1
2023-03-29,82.0,83.5,82.0,83.5,71,93,1,1
2023-03-30,82.9,82.9,75.4,78.0,71,93,1,1
2023-03-31,79.6,79.6,74.0,75.0,71,93,1,1
2023-04-03,74.5,74.9,72.6,73.5,71,93,1,1
2023-04-04,73.5,75.0,73.5,74.4,71,93,1,1
2023-04-05,74.4,74.4,72.6,73.3,71,93,1,1
2023-04-06,72.8,73.4,71.9,72.0,71,93,1,1
2023-04-11,72.0,72.5,70.8,72.5,71,93,1,1
2023-04-12,72.1,74.3,72.1,74.3,71,93,1,1
2023-04-13,74.3,75.0,73.6,73.7,71,93,1,1
2023-04-14,74.0,76.9,74.0,76.8,71,93,1,1
2023-04-17,76.8,77.0,75.9,76.1,71,93,1,1
2023-04-18,75.5,77.0,75.2,77.0,71,93,1,1
2023-04-19,77.5,77.8,76.2,77.0,71,93,1,1
2023-04-20,77.0,77.0,76.1,76.9,71,93,1,1
2023-04-21,76.2,76.2,74.0,74.0,71,93,1,1
