Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-04,19.6,20.3,19.55,19.6,36,47,1,1
2023-01-05,21.5,21.5,20.0,20.4,36,47,1,1
2023-01-09,20.4,20.9,20.4,20.9,36,47,1,1
2023-01-10,20.8,21.0,20.2,21.0,36,47,1,1
2023-01-11,21.0,21.0,20.3,20.8,36,47,1,1
2023-01-12,20.8,20.8,20.5,20.6,36,47,1,1
2023-01-13,20.8,21.1,20.6,21.0,36,47,1,1
2023-01-16,21.0,21.1,20.8,20.9,36,47,1,1
2023-01-17,20.9,20.9,20.8,20.9,36,47,1,1
2023-01-18,20.9,20.9,20.7,20.7,36,47,1,1
2023-01-19,20.7,20.9,20.2,20.7,36,47,1,1
2023-01-20,20.9,20.9,20.2,20.5,36,47,1,1
2023-01-23,20.5,20.9,20.3,20.9,36,47,1,1
2023-01-24,20.9,22.0,20.5,21.9,36,47,1,1
2023-01-25,22.0,22.0,21.3,21.6,36,47,1,1
2023-01-26,21.6,21.6,21.0,21.3,36,47,1,1
2023-01-27,21.0,21.4,20.9,21.0,36,47,1,1
2023-01-30,21.0,21.0,20.5,20.7,36,47,1,1
2023-01-31,20.5,20.7,19.9,20.3,36,47,1,1
2023-02-01,20.3,20.3,19.9,20.0,36,47,1,1
2023-02-02,19.9,20.0,19.8,19.8,36,47,1,1
2023-02-03,19.7,20.3,19.6,19.6,36,47,1,1
2023-02-06,19.7,20.3,19.7,20.0,36,47,1,1
2023-02-07,20.1,20.3,19.75,20.1,36,47,1,1
2023-02-08,20.2,20.2,19.65,20.1,36,47,1,1
2023-02-09,20.1,20.2,20.0,20.2,36,47,1,1
2023-02-10,20.3,20.3,19.35,19.7,36,47,1,1
2023-02-13,19.7,19.7,19.25,19.3,36,47,1,1
2023-02-14,19.6,19.6,19.25,19.45,36,47,1,1
2023-02-15,19.6,19.6,19.3,19.45,36,47,1,1
2023-02-16,19.5,19.5,18.8,19.0,36,47,1,1
2023-02-17,18.9,19.2,18.9,19.0,36,47,1,1
2023-02-20,19.5,20.0,19.5,20.0,36,47,1,1
2023-02-21,20.0,20.5,19.9,20.3,36,47,1,1
2023-02-22,20.3,20.5,19.8,20.3,36,47,1,1
2023-02-23,20.0,20.0,19.7,19.9,36,47,1,1
2023-02-24,19.9,19.9,19.5,19.7,36,47,1,1
2023-02-27,19.95,19.95,19.25,19.7,36,47,1,1
2023-02-28,19.75,19.75,19.5,19.75,36,47,1,1
2023-03-01,19.75,20.2,19.7,20.2,36,47,1,1
2023-03-02,20.3,21.1,20.1,20.8,36,47,1,1
2023-03-03,21.0,21.7,20.9,21.3,36,47,1,1
2023-03-06,21.3,22.8,21.3,22.4,36,47,1,1
2023-03-07,22.5,22.9,22.5,22.9,36,47,1,1
2023-03-08,22.9,23.0,22.2,22.6,36,47,1,1
2023-03-09,22.8,22.9,22.3,22.4,36,47,1,1
2023-03-10,22.5,22.5,22.0,22.0,36,47,1,1
2023-03-13,22.3,22.9,22.2,22.7,36,47,1,1
2023-03-14,22.3,22.4,21.1,21.8,36,47,1,1
2023-03-15,22.0,22.1,21.5,21.5,36,47,1,1
2023-03-16,21.3,21.3,21.0,21.0,36,47,1,1
2023-03-17,21.2,21.5,21.2,21.4,36,47,1,1
2023-03-20,21.5,21.5,20.6,21.1,36,47,1,1
2023-03-21,21.4,21.4,21.3,21.3,36,47,1,1
2023-03-22,21.3,21.4,21.1,21.3,36,47,1,1
2023-03-23,21.3,21.3,20.9,21.3,36,47,1,1
2023-03-24,21.3,21.3,21.0,21.0,36,47,1,1
2023-03-27,21.0,21.3,20.9,21.3,36,47,1,1
2023-03-28,21.4,21.6,19.8,20.0,36,47,1,1
2023-03-29,20.1,20.9,19.9,20.4,36,47,1,1
2023-03-30,20.8,21.0,20.5,21.0,36,47,1,1
2023-03-31,21.0,21.5,20.9,21.1,36,47,1,1
2023-04-03,21.5,21.5,20.9,21.0,36,47,1,1
2023-04-04,21.1,21.5,20.8,20.9,36,47,1,1
2023-04-05,21.0,21.5,20.7,20.7,36,47,1,1
2023-04-06,21.0,21.2,20.6,21.1,36,47,1,1
2023-04-11,21.0,22.8,21.0,22.8,36,47,1,1
2023-04-12,22.8,22.8,21.6,22.2,36,47,1,1
2023-04-13,22.2,22.2,21.8,22.2,36,47,1,1
2023-04-14,22.2,22.2,21.9,22.2,36,47,1,1
2023-04-17,22.3,22.8,22.0,22.8,36,47,1,1
2023-04-18,22.7,22.7,22.0,22.5,36,47,1,1
2023-04-19,22.5,22.6,22.0,22.2,36,47,1,1
2023-04-20,22.4,22.4,22.2,22.3,36,47,1,1
2023-04-21,22.4,22.4,22.1,22.1,36,47,1,1
2023-04-24,22.0,22.9,22.0,22.9,36,47,1,1
2023-04-25,22.8,24.8,22.8,24.7,36,47,1,1
2023-04-26,24.7,25.8,24.2,25.8,36,47,1,1
2023-04-27,25.6,26.4,24.8,26.4,36,47,1,1
2023-04-28,26.0,26.0,25.6,25.6,36,47,1,1
2023-05-02,25.6,26.8,25.3,26.8,36,47,1,1
