Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-05,2.441,2.454,2.32,2.449,67,87,1,1
2022-09-06,2.449,2.47,2.294,2.34,67,87,1,1
2022-09-07,2.321,2.42,2.27,2.376,67,87,1,1
2022-09-08,2.449,2.48,2.36,2.41,67,87,1,1
2022-09-09,2.4,2.524,2.395,2.509,67,87,1,1
2022-09-12,2.511,2.513,2.393,2.41,67,87,1,1
2022-09-13,2.454,2.456,2.364,2.407,67,87,1,1
2022-09-14,2.388,2.44,2.362,2.426,67,87,1,1
2022-09-15,2.439,2.502,2.33,2.334,67,87,1,1
2022-09-16,2.332,2.359,2.273,2.298,67,87,1,1
2022-09-19,2.349,2.375,2.285,2.346,67,87,1,1
2022-09-20,2.371,2.388,2.31,2.34,67,87,1,1
2022-09-21,2.29,2.338,2.28,2.315,67,87,1,1
2022-09-22,2.34,2.415,2.306,2.4,67,87,1,1
2022-09-23,2.37,2.398,2.302,2.347,67,87,1,1
2022-09-26,2.305,2.307,2.125,2.176,67,87,1,1
2022-09-27,2.191,2.225,2.112,2.14,67,87,1,1
2022-09-28,2.15,2.181,2.02,2.16,67,87,1,1
2022-09-29,2.174,2.178,2.045,2.079,67,87,1,1
2022-09-30,2.06,2.108,2.02,2.027,67,87,1,1
2022-10-03,2.03,2.149,2.011,2.13,67,87,1,1
2022-10-04,2.15,2.219,2.08,2.115,67,87,1,1
2022-10-05,2.12,2.149,2.087,2.105,67,87,1,1
2022-10-06,2.121,2.151,2.091,2.125,67,87,1,1
2022-10-07,2.119,2.164,2.096,2.14,67,87,1,1
2022-10-10,2.142,2.142,2.002,2.003,67,87,1,1
2022-10-11,2.006,2.08,1.94,2.013,67,87,1,1
2022-10-12,2.021,2.075,1.9995,2.053,67,87,1,1
2022-10-13,2.053,2.053,1.9605,1.9985,67,87,1,1
2022-10-14,2.04,2.05,1.965,1.977,67,87,1,1
2022-10-17,1.978,2.04,1.978,1.9885,67,87,1,1
2022-10-18,2.001,2.019,1.8655,1.887,67,87,1,1
2022-10-19,1.9,1.9,1.81,1.839,67,87,1,1
2022-10-20,1.84,1.85,1.7605,1.8235,67,87,1,1
2022-10-21,1.83,1.8495,1.726,1.745,67,87,1,1
2022-10-24,1.76,1.79,1.703,1.79,67,87,1,1
2022-10-25,1.79,1.92,1.7805,1.8495,67,87,1,1
2022-10-26,1.86,1.929,1.825,1.8575,67,87,1,1
2022-10-27,1.8575,1.8715,1.8345,1.867,67,87,1,1
2022-10-28,1.8505,1.8725,1.82,1.857,67,87,1,1
2022-10-31,1.875,1.939,1.864,1.939,67,87,1,1
2022-11-02,1.96,2.15,1.9585,2.06,67,87,1,1
2022-11-03,2.02,2.14,2.0,2.123,67,87,1,1
2022-11-04,2.15,2.24,2.11,2.211,67,87,1,1
2022-11-07,2.25,2.339,2.015,2.035,67,87,1,1
2022-11-08,2.06,2.1,1.982,2.038,67,87,1,1
2022-11-09,2.055,2.095,1.991,2.004,67,87,1,1
2022-11-10,2.018,2.13,1.9745,2.12,67,87,1,1
2022-11-14,2.153,2.157,2.012,2.035,67,87,1,1
2022-11-15,2.04,2.069,1.99,2.045,67,87,1,1
2022-11-16,2.0,2.022,1.971,1.972,67,87,1,1
2022-11-17,1.9805,2.04,1.959,2.011,67,87,1,1
2022-11-18,2.015,2.028,1.9705,2.006,67,87,1,1
2022-11-21,2.015,2.044,1.98,2.006,67,87,1,1
2022-11-22,2.006,2.09,1.996,2.043,67,87,1,1
2022-11-23,2.033,2.118,2.022,2.088,67,87,1,1
2022-11-24,2.085,2.086,1.988,2.03,67,87,1,1
2022-11-25,2.049,2.079,2.021,2.061,67,87,1,1
2022-11-28,2.07,2.079,2.015,2.029,67,87,1,1
2022-11-29,2.029,2.046,1.9925,2.034,67,87,1,1
2022-11-30,2.04,2.069,2.024,2.041,67,87,1,1
2022-12-01,2.054,2.144,2.054,2.13,67,87,1,1
2022-12-02,2.13,2.148,2.08,2.1,67,87,1,1
2022-12-05,2.12,2.14,2.103,2.114,67,87,1,1
2022-12-06,2.11,2.133,2.082,2.09,67,87,1,1
2022-12-07,2.089,2.143,2.075,2.13,67,87,1,1
2022-12-08,2.13,2.174,2.114,2.147,67,87,1,1
2022-12-09,2.16,2.16,2.07,2.09,67,87,1,1
2022-12-12,2.1,2.13,2.07,2.117,67,87,1,1
2022-12-13,2.122,2.126,2.082,2.12,67,87,1,1
2022-12-14,2.12,2.126,2.095,2.105,67,87,1,1
2022-12-15,2.103,2.103,2.032,2.04,67,87,1,1
2022-12-16,2.04,2.098,2.02,2.055,67,87,1,1
2022-12-19,2.076,2.146,2.07,2.115,67,87,1,1
2022-12-20,2.115,2.13,2.09,2.13,67,87,1,1
