Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-06-20,0.73,0.788,0.73,0.73,89,117,1,1
2022-06-21,0.726,0.77,0.691,0.764,89,117,1,1
2022-06-22,0.777,0.79,0.742,0.779,89,117,1,1
2022-06-23,0.779,0.779,0.74,0.77,89,117,1,1
2022-06-24,0.766,0.814,0.75,0.8,89,117,1,1
2022-06-27,0.8,0.8,0.783,0.783,89,117,1,1
2022-06-28,0.783,0.812,0.783,0.81,89,117,1,1
2022-06-29,0.809,0.812,0.79,0.809,89,117,1,1
2022-06-30,0.795,0.815,0.79,0.815,89,117,1,1
2022-07-01,0.81,0.81,0.783,0.79,89,117,1,1
2022-07-04,0.78,0.82,0.78,0.795,89,117,1,1
2022-07-05,0.772,0.787,0.766,0.787,89,117,1,1
2022-07-06,0.768,0.769,0.626,0.626,89,117,1,1
2022-07-07,0.73,0.739,0.673,0.722,89,117,1,1
2022-07-08,0.724,0.724,0.68,0.722,89,117,1,1
2022-07-11,0.688,0.7,0.66,0.676,89,117,1,1
2022-07-12,0.674,0.718,0.674,0.718,89,117,1,1
2022-07-13,0.71,0.71,0.67,0.702,89,117,1,1
2022-07-14,0.671,0.72,0.671,0.72,89,117,1,1
2022-07-15,0.696,0.714,0.676,0.709,89,117,1,1
2022-07-18,0.7,0.77,0.683,0.711,89,117,1,1
2022-07-19,0.736,0.736,0.691,0.727,89,117,1,1
2022-07-20,0.699,0.718,0.69,0.69,89,117,1,1
2022-07-21,0.69,0.7,0.67,0.699,89,117,1,1
2022-07-22,0.674,0.7,0.674,0.7,89,117,1,1
2022-07-25,0.676,0.729,0.676,0.72,89,117,1,1
2022-07-26,0.7,0.79,0.7,0.78,89,117,1,1
2022-07-27,0.79,0.91,0.79,0.83,89,117,1,1
2022-07-28,0.84,0.866,0.76,0.798,89,117,1,1
2022-07-29,0.754,0.789,0.744,0.784,89,117,1,1
2022-08-01,0.785,0.785,0.754,0.785,89,117,1,1
2022-08-02,0.784,0.786,0.76,0.786,89,117,1,1
2022-08-03,0.786,0.797,0.77,0.797,89,117,1,1
2022-08-04,0.77,0.844,0.77,0.839,89,117,1,1
2022-08-05,0.805,0.83,0.8,0.83,89,117,1,1
2022-08-08,0.791,0.9,0.791,0.884,89,117,1,1
2022-08-09,0.855,0.889,0.855,0.87,89,117,1,1
2022-08-10,0.859,0.888,0.859,0.885,89,117,1,1
2022-08-11,0.866,0.87,0.853,0.87,89,117,1,1
2022-08-12,0.86,0.86,0.831,0.859,89,117,1,1
2022-08-16,0.859,0.86,0.85,0.85,89,117,1,1
2022-08-17,0.841,0.85,0.811,0.811,89,117,1,1
2022-08-18,0.806,0.83,0.804,0.83,89,117,1,1
2022-08-19,0.83,0.83,0.79,0.826,89,117,1,1
2022-08-22,0.82,0.82,0.782,0.798,89,117,1,1
