Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-27,1.46,1.485,1.39,1.42,27,36,1,1
2022-12-28,1.43,1.43,1.4,1.425,27,36,1,1
2022-12-29,1.41,1.48,1.4,1.47,27,36,1,1
2022-12-30,1.475,1.5,1.42,1.495,27,36,1,1
2023-01-02,1.49,1.545,1.49,1.545,27,36,1,1
2023-01-03,1.545,1.56,1.5,1.51,27,36,1,1
2023-01-04,1.555,1.555,1.51,1.51,27,36,1,1
2023-01-05,1.505,1.58,1.5,1.55,27,36,1,1
2023-01-09,1.54,1.63,1.52,1.55,27,36,1,1
2023-01-10,1.51,1.565,1.49,1.52,27,36,1,1
2023-01-11,1.5,1.5,1.47,1.47,27,36,1,1
2023-01-12,1.49,1.51,1.425,1.43,27,36,1,1
2023-01-13,1.455,1.48,1.4,1.43,27,36,1,1
2023-01-16,1.475,2.02,1.43,2.02,27,36,1,1
2023-01-17,2.15,2.24,1.62,1.62,27,36,1,1
2023-01-18,1.67,1.695,1.52,1.595,27,36,1,1
2023-01-19,1.59,1.59,1.49,1.5,27,36,1,1
2023-01-20,1.565,1.63,1.49,1.575,27,36,1,1
2023-01-23,1.575,1.63,1.575,1.62,27,36,1,1
2023-01-24,1.635,1.67,1.6,1.65,27,36,1,1
2023-01-25,1.65,1.67,1.6,1.645,27,36,1,1
2023-01-26,1.64,1.64,1.51,1.575,27,36,1,1
2023-01-27,1.575,1.585,1.55,1.57,27,36,1,1
2023-01-30,1.55,1.61,1.55,1.585,27,36,1,1
2023-01-31,1.58,1.58,1.525,1.58,27,36,1,1
2023-02-01,1.58,1.58,1.535,1.565,27,36,1,1
2023-02-02,1.56,1.61,1.54,1.6,27,36,1,1
2023-02-03,1.61,1.61,1.565,1.59,27,36,1,1
2023-02-06,1.59,1.59,1.53,1.585,27,36,1,1
2023-02-07,1.55,1.58,1.53,1.55,27,36,1,1
2023-02-08,1.55,1.58,1.54,1.575,27,36,1,1
2023-02-09,1.58,1.585,1.545,1.585,27,36,1,1
2023-02-10,1.555,1.58,1.53,1.58,27,36,1,1
2023-02-13,1.58,1.58,1.54,1.565,27,36,1,1
2023-02-14,1.565,1.6,1.565,1.6,27,36,1,1
2023-02-15,1.59,1.62,1.58,1.595,27,36,1,1
2023-02-16,1.59,1.61,1.59,1.61,27,36,1,1
2023-02-17,1.57,1.59,1.565,1.59,27,36,1,1
2023-02-20,1.59,1.615,1.565,1.59,27,36,1,1
2023-02-21,1.595,1.595,1.58,1.58,27,36,1,1
2023-02-22,1.595,1.6,1.58,1.59,27,36,1,1
2023-02-23,1.585,1.595,1.58,1.58,27,36,1,1
2023-02-24,1.59,1.6,1.585,1.59,27,36,1,1
2023-02-27,1.605,1.61,1.605,1.605,27,36,1,1
2023-02-28,1.575,1.59,1.565,1.59,27,36,1,1
2023-03-01,1.59,1.615,1.575,1.615,27,36,1,1
2023-03-02,1.58,1.605,1.555,1.605,27,36,1,1
2023-03-03,1.6,1.6,1.58,1.58,27,36,1,1
2023-03-06,1.59,1.61,1.58,1.6,27,36,1,1
2023-03-07,1.615,1.72,1.6,1.69,27,36,1,1
2023-03-08,1.69,1.73,1.65,1.69,27,36,1,1
2023-03-09,1.68,1.71,1.64,1.7,27,36,1,1
2023-03-10,1.65,1.65,1.6,1.645,27,36,1,1
2023-03-13,1.635,1.68,1.535,1.65,27,36,1,1
2023-03-14,1.65,1.675,1.62,1.655,27,36,1,1
2023-03-15,1.65,1.675,1.55,1.615,27,36,1,1
2023-03-16,1.6,1.6,1.54,1.57,27,36,1,1
2023-03-17,1.57,1.57,1.55,1.56,27,36,1,1
2023-03-20,1.54,1.56,1.505,1.505,27,36,1,1
2023-03-21,1.505,1.61,1.505,1.52,27,36,1,1
2023-03-22,1.55,1.585,1.5,1.53,27,36,1,1
2023-03-23,1.5,1.53,1.5,1.52,27,36,1,1
2023-03-24,1.52,1.55,1.52,1.55,27,36,1,1
2023-03-27,1.55,1.56,1.5,1.56,27,36,1,1
