Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-04-11,6.3,6.43,6.195,6.33,152,202,1,1
2022-04-12,6.33,6.415,6.21,6.295,152,202,1,1
2022-04-13,6.295,6.385,6.215,6.24,152,202,1,1
2022-04-14,6.2,6.28,6.165,6.165,152,202,1,1
2022-04-19,6.17,6.235,6.06,6.21,152,202,1,1
2022-04-20,6.15,6.315,6.15,6.2,152,202,1,1
2022-04-21,6.19,6.345,6.15,6.15,152,202,1,1
2022-04-22,6.14,6.2,6.07,6.09,152,202,1,1
2022-04-25,6.075,6.075,5.545,5.57,152,202,1,1
2022-04-26,5.65,5.785,5.28,5.35,152,202,1,1
2022-04-27,5.3,5.3,4.92,5.02,152,202,1,1
2022-04-28,5.1,5.33,5.085,5.255,152,202,1,1
2022-04-29,5.31,5.485,5.03,5.035,152,202,1,1
2022-05-02,5.08,5.085,4.9,5.01,152,202,1,1
2022-05-04,5.03,5.05,4.86,4.99,152,202,1,1
2022-05-05,5.1,5.15,4.704,4.8,152,202,1,1
2022-05-06,4.68,4.692,4.504,4.608,152,202,1,1
2022-05-09,4.57,4.66,4.462,4.508,152,202,1,1
2022-05-10,4.56,4.714,4.428,4.6,152,202,1,1
2022-05-11,4.67,4.67,4.45,4.5,152,202,1,1
2022-05-12,4.45,4.484,4.302,4.38,152,202,1,1
2022-05-13,4.49,4.608,4.45,4.51,152,202,1,1
2022-05-16,4.58,4.84,4.52,4.728,152,202,1,1
2022-05-17,4.8,4.844,4.68,4.688,152,202,1,1
2022-05-18,4.74,5.0,4.736,4.762,152,202,1,1
2022-05-19,4.65,4.79,4.53,4.53,152,202,1,1
2022-05-20,4.646,4.69,4.494,4.496,152,202,1,1
2022-05-23,4.6,4.7,4.582,4.68,152,202,1,1
2022-05-24,4.65,4.688,4.53,4.55,152,202,1,1
2022-05-25,4.6,4.63,4.5,4.62,152,202,1,1
2022-05-26,4.62,4.772,4.592,4.77,152,202,1,1
2022-05-27,4.78,4.78,4.604,4.744,152,202,1,1
2022-05-30,4.8,4.926,4.76,4.92,152,202,1,1
2022-05-31,4.94,4.94,4.794,4.898,152,202,1,1
2022-06-01,4.9,4.95,4.768,4.832,152,202,1,1
2022-06-02,4.89,4.89,4.76,4.77,152,202,1,1
2022-06-03,4.812,4.812,4.614,4.614,152,202,1,1
2022-06-06,4.61,4.83,4.61,4.796,152,202,1,1
2022-06-07,4.75,4.76,4.66,4.76,152,202,1,1
2022-06-08,4.77,4.77,4.522,4.62,152,202,1,1
2022-06-09,4.58,4.628,4.418,4.486,152,202,1,1
2022-06-10,4.47,4.47,4.252,4.3,152,202,1,1
2022-06-13,4.25,4.25,4.0,4.046,152,202,1,1
2022-06-14,4.1,4.18,3.98,4.012,152,202,1,1
2022-06-15,4.06,4.072,3.966,4.072,152,202,1,1
2022-06-17,3.998,4.21,3.962,4.068,152,202,1,1
2022-06-20,4.2,4.2,4.092,4.16,152,202,1,1
2022-06-21,4.2,4.246,4.104,4.15,152,202,1,1
2022-06-22,4.09,4.16,4.006,4.12,152,202,1,1
2022-06-23,4.14,4.144,3.96,4.0,152,202,1,1
2022-06-24,4.054,4.13,3.966,4.062,152,202,1,1
2022-06-27,4.1,4.138,4.002,4.066,152,202,1,1
2022-06-28,4.07,4.13,4.022,4.05,152,202,1,1
2022-06-29,4.0,4.028,3.934,4.01,152,202,1,1
2022-06-30,4.01,4.01,3.832,3.886,152,202,1,1
2022-07-01,3.85,4.036,3.842,3.864,152,202,1,1
2022-07-04,3.866,3.912,3.638,3.716,152,202,1,1
2022-07-05,3.722,3.8,3.51,3.658,152,202,1,1
2022-07-06,3.68,3.76,3.572,3.718,152,202,1,1
2022-07-07,3.74,3.952,3.74,3.9,152,202,1,1
2022-07-08,3.946,3.976,3.82,3.92,152,202,1,1
2022-07-11,3.8,3.9,3.72,3.88,152,202,1,1
2022-07-12,3.82,3.844,3.6,3.634,152,202,1,1
2022-07-13,3.66,3.7,3.52,3.526,152,202,1,1
2022-07-14,3.528,3.586,3.36,3.412,152,202,1,1
2022-07-15,3.436,3.484,3.232,3.25,152,202,1,1
2022-07-18,3.3,3.53,3.294,3.472,152,202,1,1
2022-07-19,3.5,3.524,3.412,3.524,152,202,1,1
2022-07-20,3.582,3.7,3.49,3.606,152,202,1,1
2022-07-21,3.6,3.628,3.512,3.59,152,202,1,1
2022-07-22,3.586,3.66,3.534,3.606,152,202,1,1
2022-07-25,3.61,3.7,3.6,3.63,152,202,1,1
2022-07-26,3.68,3.682,3.348,3.4,152,202,1,1
2022-07-27,3.45,3.45,3.37,3.43,152,202,1,1
